state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,11,28752,5,0,0,318,215,5216,3.34,11,329,17971,15996,890,3292
Andaman & Nicobar,South Andaman,0,78,55603,49,0,0,348,358,19080,10.33,44,426,40550,34129,842,10196
Andaman & Nicobar,Nicobar,0,0,7662,2,0,0,107,33,1225,2.8,3,107,4723,4164,882,1906
Andhra Pradesh,Krishna,0,1336,735808,10830,0,0,2097,8963,203031,3.41,117,3433,465371,473578,1018,257815
Andhra Pradesh,Guntur,0,6583,689684,10411,0,0,4494,6467,187060,3.55,393,11077,441365,435462,987,231830
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,3289,545246,7801,0,0,3996,3461,81682,3.64,265,7285,299417,327476,1094,183302
Andhra Pradesh,Kurnool,0,2371,530372,3524,0,0,3800,7987,126737,4.68,289,6171,297164,359948,1211,179624
Andhra Pradesh,Visakhapatnam,878,3461,665405,6953,2248,2198,8181,12728,308070,3.25,378,11642,500471,473243,946,233641
Andhra Pradesh,Anantapur,0,1457,601355,6553,0,0,1478,4002,102635,4.6,135,2935,345866,357897,1035,203121
Andhra Pradesh,Chittoor,48,3031,668594,4608,91,91,2872,6073,153617,4.52,267,5903,389322,432934,1112,237415
Andhra Pradesh,East Godavari,10,1599,748168,7487,8,8,5840,11817,207321,3.37,251,7439,470177,485358,1032,255063
Andhra Pradesh,Prakasam,0,0,554435,5051,0,0,178,5018,112133,6.74,12,178,320591,345936,1079,195721
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,822,538753,4950,0,0,2759,5329,116936,3.32,119,3581,315908,339793,1076,201428
Andhra Pradesh,Srikakulam,0,5497,501247,7091,0,0,4102,5995,98981,4.18,401,9599,269913,330304,1224,132148
Andhra Pradesh,Vizianagaram,0,4717,389765,4497,0,0,4614,6866,100859,2.67,249,9331,221042,269566,1220,111734
Andhra Pradesh,West Godavari,0,160,664564,11409,0,0,724,8434,128258,1.81,16,884,364895,427999,1173,217733
Arunachal Pradesh,Itanagar Capital Complex,0,149,19136,101,0,0,1095,854,40814,2.89,36,1244,34137,25813,756,7672
Arunachal Pradesh,Lower Siang,16,2,4004,13,0,0,139,59,2492,6.38,9,141,3425,3071,897,1105
Arunachal Pradesh,Pakke Kessang,40,1,3061,10,50,0,58,26,1661,18.64,11,59,2457,2262,921,1393
Arunachal Pradesh,Changlang,97,24,17509,186,189,0,252,122,12498,5.07,14,276,17142,12865,750,4637
Arunachal Pradesh,Kurung Kumey,0,0,2480,1,0,0,0,7,2284,0.0,0,0,2255,2447,1085,1949
Arunachal Pradesh,Anjaw,0,47,3090,77,0,0,0,107,2321,27.66,13,47,2904,2513,865,1259
Arunachal Pradesh,East Kameng,0,21,8035,209,0,0,107,44,3909,9.38,12,128,6138,5804,946,1869
Arunachal Pradesh,Kamle,0,0,1597,5,0,0,0,31,1003,0.0,0,0,1470,1131,769,537
Arunachal Pradesh,Dibang Valley,0,0,937,5,0,0,0,2,1099,0.0,0,0,1195,841,704,887
Arunachal Pradesh,Tirap,0,60,6062,236,0,0,340,190,5524,5.0,20,400,6853,4732,691,2608
Arunachal Pradesh,Kra Daadi,0,0,1699,20,0,0,0,22,1636,0.0,0,0,1736,1601,922,729
Arunachal Pradesh,West Kameng,0,94,13162,104,0,0,214,334,10399,7.14,22,308,13295,10268,772,6794
Arunachal Pradesh,Lohit,0,89,6145,57,0,0,201,159,5158,10.34,30,290,6608,4692,710,2038
Arunachal Pradesh,Tawang,0,10,7768,5,0,0,12,195,7913,36.36,8,22,8213,7462,909,4282
Arunachal Pradesh,Lower Dibang Valley,14,67,7002,45,0,0,14,78,5488,23.46,19,81,6657,5834,876,2586
Arunachal Pradesh,Lower Subansiri,0,37,7177,49,0,0,118,142,6317,3.23,5,155,6823,6671,978,4065
Arunachal Pradesh,Lepa Rada,0,10,3937,17,0,0,99,64,2658,0.92,1,109,3549,3046,858,2521
Arunachal Pradesh,Upper Siang,0,4,6008,52,0,0,0,69,3582,150.0,6,4,4971,4621,930,2677
Arunachal Pradesh,Shi Yomi,0,8,2022,9,0,0,0,7,975,25.0,2,8,1488,1509,1014,1435
Arunachal Pradesh,Namsai,0,104,16028,254,0,0,563,132,6803,3.45,23,667,12364,10472,847,4541
Arunachal Pradesh,Siang,0,7,4245,2,0,0,2,1,1533,11.11,1,9,2928,2849,973,1581
Arunachal Pradesh,West Siang,0,11,10329,18,0,0,506,115,6527,0.58,3,517,8835,8021,908,4159
Arunachal Pradesh,Papum Pare,0,11,7912,67,0,0,112,145,9502,13.82,17,123,10682,6733,630,4536
Arunachal Pradesh,Longding,0,180,4432,277,0,0,20,68,3819,15.0,30,200,5264,2990,568,1716
Arunachal Pradesh,Upper Subansiri,0,14,9610,93,0,0,41,84,4571,27.27,15,55,7372,6808,923,3133
Arunachal Pradesh,East Siang,0,15,14199,23,0,0,4,86,8704,5.26,1,19,11790,11112,942,8505
Assam,Dibrugarh,0,1061,141793,668,0,0,3854,2751,93540,3.15,155,4915,125742,109573,871,41762
Assam,Sivasagar,0,911,73763,355,0,0,823,850,23834,3.23,56,1734,53039,44552,840,24882
Assam,Tinsukia,0,1809,103949,1251,0,0,281,2088,56372,4.78,100,2090,87080,73220,841,25701
Assam,Baksa,150,211,51268,281,0,0,9,496,19389,18.18,40,220,38564,32087,832,15668
Assam,Barpeta,0,3300,133647,419,0,0,585,763,36427,4.5,175,3885,89158,80903,907,90143
Assam,Darrang,0,942,73794,292,0,0,204,658,29133,4.71,54,1146,56923,45991,808,25087
