state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,285,55975,304,112,0,1350,567,26727,3.36,55,1635,43303,39389,910,27154,55548,581,10
Andaman & Nicobar,South Andaman,1087,107361,1147,0,0,1474,582,57470,3.48,89,2561,89195,75615,848,50488,114343,651,21
Andaman & Nicobar,Nicobar,97,15849,133,1,0,101,204,11995,6.06,12,198,15027,12816,853,7584,20260,235,3
Andhra Pradesh,Krishna,9483,1301973,10827,1496,1496,6357,8234,553425,5.37,850,15840,869897,985218,1133,454892,1400506,11866,236
Andhra Pradesh,Guntur,10628,1293665,9778,542,542,5644,4769,517682,3.24,528,16272,852321,958823,1125,418078,1393269,5610,141
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",3038,953413,4847,45,0,2691,3137,275618,7.17,411,5729,550493,678340,1232,299562,929469,4203,106
Andhra Pradesh,Kurnool,9231,947502,7112,535,507,6395,5838,369548,2.84,444,15626,562357,754537,1342,314478,1002572,6422,116
Andhra Pradesh,Visakhapatnam,7077,1174720,7731,3271,3250,8848,8373,724592,3.67,585,15925,928873,970200,1044,426669,1472643,5813,166
Andhra Pradesh,Anantapur,6572,1121765,9915,73,73,5722,3819,342208,3.79,466,12294,661901,801420,1211,400204,1063769,3784,125
Andhra Pradesh,Chittoor,10715,1148587,8139,870,870,13442,7334,458727,2.33,563,24157,733165,873925,1192,399020,1208294,5427,144
Andhra Pradesh,East Godavari,6995,1340760,8647,97,0,7504,7378,599143,4.42,641,14499,862878,1076801,1248,439630,1500273,8036,163
Andhra Pradesh,Prakasam,2807,992174,3379,113,113,9586,6787,352269,2.8,347,12393,612318,731948,1195,303067,1041376,5176,112
Andhra Pradesh,Sri Potti Sriramulu Nellore,883,1016511,5281,186,186,1169,3138,332018,5.26,108,2052,622873,725384,1165,407082,941447,2412,35
Andhra Pradesh,Srikakulam,2912,879132,4955,33,0,2286,1887,247665,7.52,391,5199,489153,637542,1303,256204,870593,1822,93
Andhra Pradesh,Vizianagaram,2730,654449,3271,38,0,2395,2698,258358,5.56,285,5125,403870,508811,1260,179444,733363,3472,93
Andhra Pradesh,West Godavari,604,1213002,3354,0,0,639,3904,404609,4.59,57,1243,687241,930166,1353,303354,1314257,4037,22
Arunachal Pradesh,Itanagar Capital Complex,342,34953,413,0,0,946,933,75213,2.48,32,1288,63097,47057,746,21184,88982,574,8
Arunachal Pradesh,Lower Siang,63,7541,100,0,0,141,122,9386,2.94,6,204,9128,7798,854,3237,13690,139,2
Arunachal Pradesh,Pakke Kessang,20,5145,42,0,0,30,43,3821,0.0,0,50,4687,4276,912,2371,6595,38,1
Arunachal Pradesh,Changlang,650,33159,357,574,0,754,365,48101,3.28,46,1404,46127,35124,761,12801,68459,379,13
Arunachal Pradesh,Kurung Kumey,42,4825,25,0,0,62,51,5234,15.38,16,104,4810,5147,1070,2541,7518,50,3
Arunachal Pradesh,Anjaw,12,4810,36,0,0,11,61,7339,30.43,7,23,6650,5498,827,1894,10255,59,3
Arunachal Pradesh,East Kameng,125,12459,109,0,0,29,153,11082,23.38,36,154,12422,11116,895,4267,19274,159,5
Arunachal Pradesh,Kamle,37,2845,34,20,0,73,69,3547,9.09,10,110,3697,2695,729,1013,5379,81,3
Arunachal Pradesh,Dibang Valley,0,1526,9,200,0,0,9,3119,0.0,0,0,2883,1762,611,1085,3560,11,1
Arunachal Pradesh,Tirap,125,11852,98,0,0,115,150,20109,12.5,30,240,18503,13452,727,4341,27620,156,6
Arunachal Pradesh,Kra Daadi,67,2934,27,0,0,44,28,3603,8.11,9,111,3461,3076,889,1272,5265,22,5
Arunachal Pradesh,West Kameng,155,23905,184,2,0,321,401,33420,7.14,34,476,31919,25391,795,11594,45731,420,7
Arunachal Pradesh,Lohit,191,11683,150,0,0,276,170,18933,7.07,33,467,17233,13373,776,5003,25613,190,6
Arunachal Pradesh,Tawang,107,13614,121,1,0,101,68,19421,5.77,12,208,17806,15217,855,7335,25700,66,3
Arunachal Pradesh,Lower Dibang Valley,91,14410,119,687,0,177,208,20305,11.94,32,268,19064,15647,821,6913,27802,197,7
Arunachal Pradesh,Lower Subansiri,230,13060,120,0,0,158,171,16343,5.67,22,388,15639,13762,880,6428,22975,171,11
Arunachal Pradesh,Lepa Rada,20,7575,49,0,0,32,53,9059,15.38,8,52,9326,7305,783,4227,12407,54,1
Arunachal Pradesh,Upper Siang,89,11281,70,0,0,104,114,10098,8.81,17,193,11371,10006,880,5126,16253,125,3
Arunachal Pradesh,Shi Yomi,6,3632,21,1,0,5,20,4250,81.82,9,11,3982,3900,979,1780,6102,20,3
Arunachal Pradesh,Namsai,216,26819,297,0,0,75,216,37232,9.97,29,291,34634,29414,849,9635,54416,241,6
Arunachal Pradesh,Siang,77,8170,41,1,0,103,68,8381,11.11,20,180,8716,7832,899,3523,13028,71,4
