state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Odisha,Sundargarh,617,2706,262468,1602,1119,0,10316,5219,225381,2.21,288,13022,258943,229073,885,56023
Odisha,Bhadrak,987,4258,217851,2292,0,0,9489,3568,51156,1.84,253,13747,147664,121401,822,56041
Odisha,Kendujhar,0,133,240121,2534,0,0,982,2639,46084,1.35,15,1115,152546,133645,876,51323
Odisha,Mayurbhanj,133,2043,274148,1651,128,0,15286,5385,72252,2.52,435,17265,175034,171361,979,71526
Odisha,Cuttack,303,3656,413783,2427,0,0,13869,8239,250656,1.83,320,17530,373137,291529,781,113180
Odisha,Dhenkanal,49,1334,159479,967,0,0,6866,3842,46046,2.93,240,8200,116006,89676,773,30045
Odisha,Jagatsinghpur,147,2978,173876,781,0,0,3329,1492,23227,1.95,123,6307,107947,89161,826,44691
Odisha,Jajpur,0,2719,237599,2001,0,0,9179,3254,47092,0.77,92,11898,159653,125044,783,53192
Odisha,Kendrapara,538,2170,224210,1110,0,0,9060,4051,44864,2.85,320,11230,144096,125027,868,51616
Odisha,Nayagarh,0,1958,146546,1535,0,0,2599,1278,21239,2.04,93,4557,90395,77406,856,32906
Odisha,Puri,0,2279,308465,2592,0,0,11072,6282,105229,2.31,309,13351,224516,189089,842,61389
Odisha,Kalahandi,20,207,202173,987,47,0,884,1594,56715,3.57,39,1091,135851,123050,906,50340
Odisha,Nuapada,337,915,70286,553,608,0,3797,1398,18130,5.26,248,4712,45147,43262,958,17709
Odisha,Subarnapur,2,192,85698,297,0,0,1032,1846,21007,2.94,36,1224,56501,50209,889,21563
Odisha,Gajapati,331,677,79896,973,203,0,2785,1355,22906,4.56,158,3462,49021,53759,1097,22210
Odisha,Boudh,167,712,59201,795,0,0,1713,671,11517,3.09,75,2425,38957,31755,815,12909
Odisha,Malkangiri,22,181,72092,388,1189,0,3097,1657,25613,1.59,52,3278,48743,48963,1005,19884
Odisha,Nabarangpur,10,151,126653,553,26,0,1743,900,38848,5.07,96,1894,78274,87228,1114,32752
Odisha,Rayagada,553,440,122118,401,425,0,6562,3905,48782,2.97,208,7002,83900,87033,1037,35994
Odisha,Bargarh,0,586,201904,1306,0,0,163,1449,54203,5.47,41,749,135350,120732,892,45173
Odisha,Deogarh,2346,501,41542,401,175,0,2110,929,14194,2.64,69,2611,30934,24805,802,11630
Odisha,Jharsuguda,47,777,87990,1148,1,0,2911,2658,50144,2.77,102,3688,79355,58855,742,26888
Puducherry,Puducherry,1409,1921,146162,2958,647,0,4086,7828,149143,3.05,183,6007,152391,142974,938,47071
Puducherry,Karaikal,643,406,28991,738,572,0,734,2019,26153,3.51,40,1140,27160,27983,1030,5162
Puducherry,Mahe,0,0,13638,38,0,0,326,347,9182,7.36,24,326,10184,12638,1241,3958
Puducherry,Yanam,0,105,6665,83,0,0,369,441,7312,3.38,16,474,7425,6551,882,1808
Punjab,Kapurthala,0,1036,112086,661,0,0,1865,672,21172,3.07,89,2901,71398,61872,867,22619
Punjab,Ferozpur,3519,588,72935,454,3328,0,1415,550,29115,7.84,157,2003,58454,43595,746,18208
Punjab,Hoshiarpur,26189,5602,280333,2345,30572,0,12811,3277,89235,3.4,626,18414,198149,171412,865,70035
Punjab,Mansa,13899,174,42706,179,15107,0,536,281,23776,18.31,130,710,39772,26723,672,9186
Punjab,Barnala,4698,445,53806,265,5275,0,1369,497,20727,3.09,56,1814,43034,31503,732,13170
Punjab,Fatehgarh Sahib,4200,1167,49877,576,3874,0,1925,712,19967,6.4,198,3092,39827,30018,754,12875
Punjab,Amritsar,909,3088,259005,1209,367,367,6586,2092,105651,3.37,326,9674,202593,162101,800,79734
Punjab,Pathankot,13419,682,132991,201,12016,0,2926,1108,32199,3.38,122,3608,86799,78393,903,32484
Punjab,Fazilka,3095,642,73733,404,3352,0,1827,499,24786,5.71,141,2469,56495,42024,744,17646
Punjab,Ludhiana,1410,4245,505247,2768,1477,1240,9729,3677,196233,4.12,576,13974,413668,287886,696,151340
Punjab,Gurdaspur,24416,1385,269291,497,24721,0,2754,912,55667,7.03,291,4139,168986,155993,923,85071
Punjab,Sri Muktsar Sahib,859,506,73947,405,937,0,947,535,31809,3.92,57,1453,60854,44898,738,14416
Punjab,Moga,3019,1212,92796,766,2950,0,1973,735,36514,9.89,315,3185,71313,57997,813,19015
Punjab,Jalandhar,1066,3863,386943,1485,1493,806,11590,3919,109379,1.53,237,15453,265477,230840,870,96844
Punjab,Bathinda,2740,775,97926,565,2674,0,2745,905,59669,4.55,160,3520,94745,62838,663,30782
Punjab,Patiala,2937,1130,222559,605,3874,0,2374,809,69866,4.45,156,3504,165252,127183,770,45147
Punjab,Tarn Taran,10236,889,100054,762,713,0,2155,871,39403,7.42,226,3044,78322,61131,781,19774
Punjab,SAS Nagar,1526,1323,189955,809,351,197,4785,1992,288405,6.58,402,6108,289523,188838,652,61206
Punjab,Rup Nagar,1816,1950,83928,989,1801,0,4363,1232,25956,4.55,287,6313,60904,48987,804,15135
Punjab,Sangrur,10371,1159,112053,892,9966,0,2125,759,39677,10.23,336,3284,89018,62713,704,23434
Punjab,Faridkot,9345,650,75656,322,7051,0,1193,362,21614,9.6,177,1843,53131,44153,831,20865
Punjab,SBS Nagar,4399,958,104825,394,3574,0,2132,590,28284,2.91,90,3090,69964,63136,902,23381
Rajasthan,Bikaner,732,3825,423447,648,1508,0,12511,9546,274150,3.82,624,16336,383067,314587,821,164792
Rajasthan,Jodhpur,440,531,691603,1178,2,0,3688,19710,370224,3.34,141,4219,575185,487068,847,201403
Rajasthan,Kota,0,1685,365288,288,0,0,14793,7819,257118,2.93,482,16478,337492,285074,845,99469
