state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,0,137,31087,333,9,0,1235,878,12054,4.23,58,1372,22671,20464,903,3444,39697,719,10
Andaman & Nicobar,South Andaman,197,370,62736,982,0,0,2753,2478,38110,1.83,57,3123,55778,45058,808,10895,89951,1903,14
Andaman & Nicobar,Nicobar,0,46,9184,216,0,0,554,595,6405,1.67,10,600,8326,7262,872,1958,13631,531,3
Andhra Pradesh,Krishna,4,3439,1074736,48321,0,0,8030,21867,362225,5.41,621,11469,682820,753930,1104,287048,1149913,29181,162
Andhra Pradesh,Guntur,427,16269,1013125,45405,197,197,8358,18469,323283,1.43,353,24627,658024,678245,1031,265117,1071291,26000,93
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",209,14035,784521,34012,0,0,9509,14005,181965,1.81,426,23544,439462,526861,1199,201543,764943,19226,117
Andhra Pradesh,Kurnool,103,13972,746491,30823,98,98,11055,13493,222988,1.77,443,25027,426496,542876,1273,191176,778303,17005,124
Andhra Pradesh,Visakhapatnam,1272,14768,960104,40911,1404,1404,16415,23343,497741,1.79,557,31183,730324,727348,996,257885,1199960,27413,155
Andhra Pradesh,Anantapur,0,8191,853144,35920,0,0,1291,13738,199766,4.09,388,9482,494907,557550,1127,224981,827929,17517,124
Andhra Pradesh,Chittoor,919,16255,962198,41647,391,391,14498,18875,290638,2.01,617,30753,573942,678740,1183,267938,984898,22246,158
Andhra Pradesh,East Godavari,742,5445,1065361,45188,0,0,2976,21063,363532,4.48,377,8423,671722,757009,1127,272810,1156083,27278,145
Andhra Pradesh,Prakasam,2791,16319,833060,39828,15,0,6609,13036,203690,1.54,352,22928,481204,555413,1154,213303,823447,22393,100
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,10617,779721,34433,0,0,5950,15522,229143,1.84,305,16595,473858,534806,1129,227388,781476,17471,77
Andhra Pradesh,Srikakulam,29,24877,706346,29187,1,0,9491,11880,182992,1.29,442,34368,387576,501683,1294,153440,735898,19147,105
Andhra Pradesh,Vizianagaram,628,9639,546679,22098,0,0,8508,10675,179311,1.23,223,18147,321129,404778,1260,119521,606469,15698,99
Andhra Pradesh,West Godavari,18182,24285,994183,47072,0,0,15601,19766,268043,1.29,514,39886,550549,711521,1292,223845,1038381,34860,136
Arunachal Pradesh,Itanagar Capital Complex,251,124,24526,727,186,0,950,1369,54871,1.49,16,1074,45307,34080,752,7848,71549,974,8
Arunachal Pradesh,Lower Siang,0,10,4775,100,0,0,96,261,5107,3.77,4,106,5290,4592,868,1109,8773,203,1
Arunachal Pradesh,Pakke Kessang,0,1,4185,155,0,0,18,96,2393,5.26,1,19,3421,3154,922,1457,5121,43,2
Arunachal Pradesh,Changlang,40,5,23078,384,0,0,28,597,33970,51.52,17,33,32404,24639,760,4719,52329,306,3
Arunachal Pradesh,Kurung Kumey,10,56,3617,162,0,0,3,160,3448,1.69,1,59,3292,3674,1116,1961,5104,43,1
Arunachal Pradesh,Anjaw,0,35,4220,131,0,0,219,229,4196,10.24,26,254,4477,3938,880,1412,7004,158,5
Arunachal Pradesh,East Kameng,0,35,9724,203,39,0,343,284,6043,5.82,22,378,8235,7529,914,1899,13868,216,4
Arunachal Pradesh,Kamle,0,0,1945,48,30,0,9,80,1637,11.11,1,9,2034,1548,761,537,3045,51,2
Arunachal Pradesh,Dibang Valley,100,0,1356,59,0,0,0,152,2446,0.0,0,0,2231,1571,704,920,2882,79,1
Arunachal Pradesh,Tirap,0,57,8273,235,0,0,317,474,10184,1.6,6,374,10954,7501,685,2661,15796,329,5
Arunachal Pradesh,Kra Daadi,0,20,2236,70,0,0,76,91,2336,4.17,4,96,2399,2173,906,741,3831,54,2
Arunachal Pradesh,West Kameng,1,108,18171,692,0,0,779,1272,20300,4.85,43,887,21412,17052,796,6965,31506,969,9
Arunachal Pradesh,Lohit,0,23,7934,193,0,0,175,597,10116,1.01,2,198,10412,7631,733,2096,15954,491,1
Arunachal Pradesh,Tawang,0,17,10603,400,0,0,68,769,15650,5.88,5,85,14021,12222,872,4373,21880,544,2
Arunachal Pradesh,Lower Dibang Valley,234,71,9985,371,0,0,124,613,12888,7.69,15,195,12463,10407,835,2738,20135,593,4
Arunachal Pradesh,Lower Subansiri,0,36,10316,431,24,0,328,463,10256,4.4,16,364,10526,10045,954,4120,16452,305,8
Arunachal Pradesh,Lepa Rada,0,10,5801,257,0,0,271,428,5947,3.2,9,281,6349,5398,850,2538,9210,322,3
Arunachal Pradesh,Upper Siang,0,48,8430,302,0,0,157,360,6189,7.32,15,205,7632,6986,915,2744,11875,271,3
Arunachal Pradesh,Shi Yomi,0,9,3236,168,5,0,214,264,2914,3.14,7,223,3027,3123,1032,1441,4709,226,3
Arunachal Pradesh,Namsai,0,252,19546,498,0,0,2113,1118,17722,3.17,75,2365,20001,17266,863,4646,32622,952,19
Arunachal Pradesh,Siang,5,152,5959,238,40,0,404,359,4497,4.32,24,556,5346,5109,956,1830,8626,335,8
Arunachal Pradesh,West Siang,0,101,13753,449,0,0,442,827,14887,1.29,7,543,15119,13518,894,4371,24269,651,4
Arunachal Pradesh,Papum Pare,2,67,10527,360,0,0,312,644,15591,10.82,41,379,16010,10104,631,4733,21385,328,9
Arunachal Pradesh,Longding,28,2,5637,134,0,0,22,262,5980,25.0,6,24,7499,4118,549,1744,9873,147,3
Arunachal Pradesh,Upper Subansiri,200,7,12538,399,100,0,59,176,6034,20.48,17,83,9614,8955,931,3177,15395,121,5
Arunachal Pradesh,East Siang,37,70,21390,1017,1,0,757,1699,23974,2.78,23,827,23030,22325,969,8557,36807,1494,7
Assam,Dibrugarh,0,3365,196274,7045,0,0,8433,11581,189891,1.8,212,11798,205138,180977,882,55772,330393,10659,68
Assam,Sivasagar,0,1244,107084,4342,0,0,3307,6055,69472,1.08,49,4551,96492,80047,830,29796,146760,6140,21
Assam,Tinsukia,0,1002,144983,4969,0,0,4194,8519,127269,1.81,94,5196,146089,126126,863,31216,241036,9029,22
Assam,Baksa,11,602,72649,2796,8,0,1725,4333,53341,2.28,53,2327,69115,56849,823,20660,105330,4178,16
Assam,Barpeta,3,4046,236849,14383,2,0,2242,9216,104208,4.64,292,6288,179291,161719,902,106907,234150,8326,108
Assam,Darrang,0,961,102814,3879,0,0,2064,4871,69523,2.81,85,3025,95071,77245,812,29150,143187,4586,21
Assam,Kamrup Metropolitan,68,3958,378348,15179,49,49,8841,21145,502694,3.52,451,12799,496454,384432,774,132281,748761,17427,122
Assam,Kamrup Rural,112,1580,253539,7722,134,124,3379,6953,113113,3.45,171,4959,198458,168144,847,60943,305709,5969,49
Assam,Karbi-Anglong,103,453,54345,1911,56,0,948,3058,44858,7.78,109,1401,56449,42743,757,19139,80064,2235,27
Assam,Nalbari,0,779,85920,3090,0,0,1474,4460,55281,4.31,97,2253,78063,63120,809,20145,121056,4672,23
Assam,Golaghat,0,1606,119812,4369,0,0,4198,6543,79835,0.28,16,5804,109484,90137,823,32712,166935,6239,31
Assam,Jorhat,0,1550,145526,6052,5,0,4235,7529,93371,3.37,195,5785,129670,109189,842,43252,195645,7402,51
Assam,Morigaon,13,1170,101604,3876,13,0,2183,4554,55548,6.77,227,3353,79423,77714,978,24628,132524,4912,47
Assam,Nagaon,9,1481,207842,8545,7,0,2268,9201,157109,2.16,81,3749,188246,176653,938,57863,307088,9479,19
Assam,Bongaigaon,0,1228,90075,4243,0,0,2331,4885,70952,1.99,71,3559,84570,76436,904,30997,130030,4700,22
Assam,Chirang,74,589,46692,2191,148,0,1386,3397,41264,2.78,55,1975,51550,36394,706,18333,69623,2969,15
Assam,Dhubri,0,1166,117365,5444,0,0,2874,7649,82737,1.24,50,4040,109686,90387,824,38447,161655,7601,24
Assam,Goalpara,94,1082,83047,3795,52,0,2501,6283,76969,3.54,127,3583,84544,75400,892,27457,132559,6156,29
Assam,Kokrajhar,19,964,71789,2642,51,0,2389,4942,65953,3.79,127,3353,79716,58008,728,23155,114587,4276,55
Assam,Dhemaji,5,851,91825,3446,1,0,2563,5647,73932,2.52,86,3414,84788,80937,955,24999,140758,5522,24
Assam,Lakhimpur,4,899,122389,4700,7,0,1990,6817,77130,1.42,41,2889,105686,93807,888,33797,165722,6688,27
Assam,Sonitpur,9,8449,191876,11833,32,0,2309,10920,154549,2.99,322,10758,181139,165242,912,86005,260420,10466,90
Assam,Udalguri,0,622,66483,2326,0,0,1616,4088,55429,3.22,72,2238,66284,55607,839,18548,103364,3764,25
Assam,Cachar,2,2380,183853,7527,1,0,5581,10887,176351,1.34,107,7963,194752,165421,849,49832,310372,11294,41
Assam,Dima Hasao,4,352,30196,1402,33,0,1498,2491,32768,4.32,80,1850,36958,25988,703,11555,51409,2242,21
Assam,Hailakandi,258,2162,78615,3301,363,0,5094,5001,64781,2.12,154,7256,79344,64036,807,23584,119812,4933,32
Assam,Karimganj,35,1922,98535,4143,312,0,5226,6251,76058,3.25,232,7148,97463,77108,791,31282,143311,5925,55
Bihar,Madhepura,0,0,161105,4037,0,0,0,3519,94225,0.0,0,0,137681,117587,854,30106,225224,3255,0
