state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,305,55122,585,71,0,1178,439,24042,2.49,37,1483,41421,37733,911,26333,52831,533,10
Andaman & Nicobar,South Andaman,1563,104537,2014,0,0,522,482,54966,4.56,95,2085,86441,73042,845,47878,111625,933,21
Andaman & Nicobar,Nicobar,172,15519,228,3,0,526,401,11513,3.15,22,698,14540,12491,859,7331,19701,500,4
Andhra Pradesh,Krishna,8157,1252272,9000,2245,2245,5704,4601,510057,8.22,1139,13861,824549,937523,1137,436418,1325911,5883,294
Andhra Pradesh,Guntur,19122,1268142,15345,42,42,8898,7768,504388,2.39,670,28020,834013,938320,1125,393275,1379255,14480,167
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",5397,941164,8238,96,0,3239,3861,266410,3.64,314,8636,541051,666329,1232,288436,919138,8070,123
Andhra Pradesh,Kurnool,6086,926229,10540,472,444,4692,7409,355064,2.43,262,10778,547044,734095,1342,293159,988134,11186,88
Andhra Pradesh,Visakhapatnam,8072,1151844,8968,2557,2513,5820,7965,695081,3.22,448,13892,904921,941774,1041,386735,1460190,10081,142
Andhra Pradesh,Anantapur,16812,1094402,16855,119,119,4797,4384,323747,2.42,524,21626,641739,775783,1209,378267,1039882,8401,126
Andhra Pradesh,Chittoor,13493,1131706,10438,789,788,9710,6340,437955,2.74,636,23204,715983,853460,1192,365772,1203889,10282,145
Andhra Pradesh,East Godavari,20068,1326066,15023,103,0,22186,8891,582320,2.19,925,42255,850221,1057943,1244,426234,1482152,14176,232
Andhra Pradesh,Prakasam,5100,985963,6437,66,66,9060,9616,338606,2.75,389,14161,607115,717279,1181,286916,1037653,11413,114
Andhra Pradesh,Sri Potti Sriramulu Nellore,11049,1007297,10211,0,0,4953,3801,322431,1.92,308,16002,616018,713446,1158,393091,936637,7004,66
Andhra Pradesh,Srikakulam,7437,865779,7158,17,0,2379,1635,239648,4.32,424,9816,478736,626591,1309,246387,859040,4712,114
Andhra Pradesh,Vizianagaram,3775,645843,4150,326,0,3398,2680,251012,4.56,327,7173,396349,500380,1262,172906,723949,4530,94
Andhra Pradesh,West Godavari,12331,1210248,6935,2,0,12477,8240,401243,1.74,432,24808,684469,926819,1354,299601,1311890,11231,153
Arunachal Pradesh,Itanagar Capital Complex,444,33834,543,0,0,991,938,72411,2.44,35,1435,60965,45268,743,18526,87719,767,8
Arunachal Pradesh,Lower Siang,70,7183,125,0,0,97,155,8968,1.8,3,167,8727,7423,851,2916,13235,189,1
Arunachal Pradesh,Pakke Kessang,16,5055,57,0,0,4,47,3671,0.0,0,20,4557,4166,914,2258,6468,47,1
Arunachal Pradesh,Changlang,147,31407,311,401,0,128,290,46303,5.45,15,275,44110,33594,762,11097,66613,339,11
Arunachal Pradesh,Kurung Kumey,16,4742,28,0,0,21,50,5038,8.11,3,37,4682,4996,1067,2456,7324,50,1
Arunachal Pradesh,Anjaw,27,4654,20,0,0,87,76,7265,22.81,26,114,6533,5385,824,1720,10199,77,3
Arunachal Pradesh,East Kameng,105,12220,146,0,0,60,305,10979,9.09,15,165,12244,10952,894,4018,19181,319,4
Arunachal Pradesh,Kamle,1,2729,36,39,0,10,57,3314,81.82,9,11,3515,2528,719,927,5116,74,2
Arunachal Pradesh,Dibang Valley,10,1520,9,199,0,22,9,3107,25.0,8,32,2873,1754,611,1076,3551,11,1
Arunachal Pradesh,Tirap,78,11505,121,0,0,149,230,19662,10.13,23,227,18052,13109,726,3995,27172,268,4
Arunachal Pradesh,Kra Daadi,19,2827,31,0,0,12,22,3522,29.03,9,31,3367,2982,886,1149,5200,17,2
Arunachal Pradesh,West Kameng,139,23317,229,2,0,451,381,32023,5.08,30,590,30851,24474,793,11016,44324,455,7
Arunachal Pradesh,Lohit,109,11141,148,0,0,90,220,18286,0.5,1,199,16553,12864,777,4540,24887,242,2
Arunachal Pradesh,Tawang,101,13321,124,0,0,63,68,19195,9.76,16,164,17513,14991,856,7042,25474,54,2
Arunachal Pradesh,Lower Dibang Valley,101,14038,172,587,0,158,212,19652,11.97,31,259,18452,15234,826,6491,27199,214,8
Arunachal Pradesh,Lower Subansiri,83,12586,106,0,0,132,158,15860,11.63,25,215,15134,13310,879,5925,22521,168,5
Arunachal Pradesh,Lepa Rada,115,7467,76,0,0,68,79,8964,3.83,7,183,9202,7226,785,4110,12321,82,3
Arunachal Pradesh,Upper Siang,0,10896,116,0,0,0,143,9665,0.0,0,0,10905,9654,885,4774,15787,169,1
