state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,0,60893,48,0,664,65910,0.0,0,0,66132,60655,917,48152,78651,31,0,681
Andaman & Nicobar,South Andaman,0,129578,160,0,856,159749,0.0,0,0,155669,133611,858,101849,187478,170,0,846
Andaman & Nicobar,Nicobar,0,18891,15,0,229,23135,0.0,0,0,22671,19352,854,16732,25294,3,0,241
Andhra Pradesh,Krishna,5422,2264434,10826,8522,17489,1784731,3.49,486,13944,1894723,2153724,1137,1391274,2657891,14921,173,13393
Andhra Pradesh,Guntur,2438,2358599,15870,3583,26896,1847601,1.31,79,6021,1946105,2259429,1161,1428866,2777334,21850,36,20916
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",78,1626416,5001,132,9324,1054773,9.52,20,210,1218346,1462388,1200,1071029,1610160,5493,53,8831
Andhra Pradesh,Kurnool,564,1736430,7302,2508,24400,1548188,2.54,78,3072,1475437,1808684,1226,1083167,2201451,19534,31,12167
Andhra Pradesh,Visakhapatnam,12211,2076354,8099,8626,12358,2124421,1.63,339,20841,2050182,2149995,1049,1387869,2812906,5637,143,14819
Andhra Pradesh,Anantapur,4945,2060170,8394,13973,32703,1554814,2.02,382,18918,1654457,1958506,1184,1276235,2338749,25462,96,15634
Andhra Pradesh,Chittoor,4,2192150,3293,37,7568,1671519,21.95,9,41,1791699,2071357,1156,1405936,2457733,4809,3,6052
Andhra Pradesh,East Godavari,103,2604417,20413,287,27043,2104375,10.26,40,390,2210916,2497111,1129,1365817,3342975,17779,12,29677
Andhra Pradesh,Prakasam,14623,1842249,12067,30155,24143,1313473,0.81,365,44865,1459226,1696040,1162,1230529,1925193,17173,140,19037
Andhra Pradesh,Sri Potti Sriramulu Nellore,562,1657531,3387,1134,7089,1252392,4.95,84,1696,1361833,1547545,1136,1104310,1805613,4079,92,6397
Andhra Pradesh,Srikakulam,0,1456165,3614,0,4720,881818,0.0,0,0,1036459,1301278,1256,778972,1559011,3437,0,4897
Andhra Pradesh,Vizianagaram,747,1153815,3754,1218,4988,810972,2.29,45,1965,890074,1074409,1207,681376,1283411,2770,13,5971
Andhra Pradesh,West Godavari,2323,2071033,10204,2923,15507,1516719,5.6,294,5246,1634335,1952929,1195,1261051,2326701,7071,262,18639
Arunachal Pradesh,Itanagar Capital Complex,0,42086,51,0,648,133553,0.0,0,0,100344,75277,750,68561,107078,133,0,566
Arunachal Pradesh,Lower Siang,8,9562,17,74,87,15481,9.76,8,82,13432,11610,864,8652,16391,8,2,96
Arunachal Pradesh,Pakke Kessang,0,6143,2,0,16,6174,0.0,0,0,6471,5839,902,4355,7962,3,0,14
Arunachal Pradesh,Changlang,11,46054,149,57,634,89043,2.94,2,68,74897,60186,804,47340,87757,156,2,627
Arunachal Pradesh,Kurung Kumey,5,5955,29,12,76,7985,17.65,3,17,6839,6996,1023,4892,9048,13,1,91
Arunachal Pradesh,Anjaw,0,6659,10,0,57,11663,0.0,0,0,10082,8238,817,6733,11589,5,0,62
Arunachal Pradesh,East Kameng,0,17368,27,0,107,19024,0.0,0,0,19111,17275,904,13679,22713,21,0,113
Arunachal Pradesh,Kamle,10,3879,20,20,67,5750,0.0,0,30,5537,4092,739,2910,6719,23,1,62
Arunachal Pradesh,Dibang Valley,0,1927,8,0,42,4609,0.0,0,0,4147,2389,576,2408,4128,4,0,46
Arunachal Pradesh,Tirap,18,16930,76,132,275,32883,0.0,0,150,27904,21897,785,18377,31436,17,2,334
Arunachal Pradesh,Kra Daadi,0,3933,9,0,25,5445,0.0,0,0,4989,4389,880,3120,6258,3,0,30
Arunachal Pradesh,West Kameng,23,28667,62,258,435,60390,3.2,9,281,49322,39704,805,33935,55122,42,3,454
Arunachal Pradesh,Lohit,0,15158,45,0,292,33371,0.0,0,0,26535,21983,828,17923,30606,47,0,289
Arunachal Pradesh,Tawang,0,16029,12,0,160,34890,0.0,0,0,27646,23255,841,21580,29339,16,0,155
Arunachal Pradesh,Lower Dibang Valley,12,17829,58,5,281,33580,76.47,13,17,27985,23419,837,19218,32191,41,2,298
Arunachal Pradesh,Lower Subansiri,2,15582,16,38,134,27568,0.0,0,40,23485,19663,837,16472,26678,22,1,128
Arunachal Pradesh,Lepa Rada,0,8315,6,0,57,14325,0.0,0,0,12792,9844,770,9378,13262,3,1,60
Arunachal Pradesh,Upper Siang,13,13309,36,49,165,16978,12.9,8,62,16136,14149,877,11875,18412,25,1,175
Arunachal Pradesh,Shi Yomi,0,4532,2,0,20,7658,0.0,0,0,6304,5886,934,5293,6897,1,1,20
Arunachal Pradesh,Namsai,8,36630,120,45,742,66126,13.21,7,53,54966,47786,869,39866,62890,108,2,754
Arunachal Pradesh,Siang,0,9637,14,0,84,12697,0.0,0,0,11747,10580,901,8009,14325,3,0,95
Arunachal Pradesh,West Siang,0,22126,19,0,216,37491,0.0,0,0,31683,27928,881,25995,33622,14,0,221
Arunachal Pradesh,Papum Pare,7,16298,33,55,182,35816,12.9,8,62,30885,21220,687,20606,31508,31,1,184
Arunachal Pradesh,Longding,30,9711,43,59,84,15734,1.12,1,89,15656,9789,625,6375,19070,24,7,102
Arunachal Pradesh,Upper Subansiri,0,20187,20,0,111,18134,0.0,0,0,20146,18169,902,13713,24608,13,0,117
Arunachal Pradesh,East Siang,0,30110,36,0,364,57639,0.0,0,0,45225,42506,940,34488,53261,35,0,365
Assam,Dibrugarh,1702,470618,1407,4264,3653,772273,10.46,624,5966,624072,618663,991,347561,895330,2909,156,2150
Assam,Sivasagar,529,270427,830,1439,2072,367958,15.35,302,1968,323690,314602,972,164349,474036,538,104,2364
Assam,Tinsukia,2163,371933,1931,6577,5875,602990,8.76,766,8744,490740,484018,986,244598,730325,5765,240,2041
Assam,Baksa,925,243582,737,2063,1833,410053,15.46,462,2988,328079,325433,992,108266,545369,1551,119,1019
Assam,Barpeta,2193,564542,3546,5515,8926,845182,11.83,912,7708,704545,704994,1001,354837,1054887,8578,287,3894
Assam,Darrang,1353,290931,1220,3371,2807,422359,12.62,596,4724,361370,351819,974,146702,566588,2288,167,1738
Assam,Kamrup Metropolitan,837,735440,1546,2974,5372,1285079,5.75,219,3811,1127037,893108,792,789021,1231498,1339,74,5579
Assam,Kamrup Rural,1619,597277,1156,4142,3345,773067,9.88,569,5761,700785,669392,955,324199,1046145,2715,164,1786
Assam,Karbi-Anglong,988,122461,806,3127,2413,211184,6.93,285,4115,175648,157948,899,79449,254196,2382,67,836
Assam,Nalbari,916,250978,705,2229,1803,348728,13.2,415,3145,300494,299141,995,130473,469233,1650,89,858
Assam,Golaghat,630,344866,1112,1997,3070,569749,1.64,43,2627,466633,447820,960,213361,701254,945,71,3236
Assam,Jorhat,894,364028,996,1924,2199,498129,9.3,262,2818,434836,427193,982,219956,642201,488,69,2706
Assam,Morigaon,1451,291799,1031,4027,2669,441914,8.62,472,5478,360785,372851,1033,153810,579903,1312,144,2388
Assam,Nagaon,2677,592062,3421,6893,8877,925502,7.84,750,9570,736919,780430,1059,352841,1164723,8327,182,3970
Assam,Bongaigaon,773,240315,1020,1993,2768,392343,16.41,454,2766,317506,315044,992,147396,485262,1882,121,1905
Assam,Chirang,442,132148,538,1121,1360,231275,32.44,507,1563,189530,173849,917,82229,281194,1010,160,887
Assam,Dhubri,2784,403443,3006,7517,7866,687684,2.62,270,10310,552920,538071,973,183721,907406,9145,145,1728
Assam,Goalpara,417,284158,1092,1026,2667,511656,22.66,327,1443,396836,398834,1005,144848,650966,2087,98,1671
Assam,Kokrajhar,1071,239686,998,2886,2641,409109,17.77,703,3957,332884,315841,949,123993,524802,2541,148,1098
Assam,Dhemaji,935,216025,722,2192,2013,359263,15.09,472,3128,282451,292743,1036,152749,422539,1186,105,1549
Assam,Lakhimpur,3494,358669,1919,7294,4264,524972,2.34,252,10788,440618,442897,1005,217166,666475,2662,99,3520
Assam,Sonitpur,1541,399661,1412,3530,3763,682478,13.0,659,5071,533189,548788,1029,332704,749435,1934,167,3241
Assam,Udalguri,2573,214396,2062,5656,4581,363080,8.15,671,8229,290429,286975,988,105077,472399,5510,176,1133
Assam,Cachar,5038,545321,5516,10610,11379,858715,3.14,492,15648,713167,690685,968,358658,1045378,12969,181,3925
Assam,Dima Hasao,339,59425,440,901,1266,104904,14.52,180,1240,91891,72385,788,53618,110711,1036,48,669
Assam,Hailakandi,888,208081,582,2387,1312,332725,10.53,345,3275,281885,258815,918,124141,416665,952,102,942
Assam,Karimganj,837,307886,2118,2570,6053,523849,15.94,543,3407,414319,417320,1007,166254,665481,6617,198,1554
Bihar,Madhepura,770,435773,3625,1523,8375,644412,9.03,207,2293,527524,552445,1047,182343,897842,8511,95,3488
Bihar,Saharsa,1671,451349,2147,4147,5118,595896,3.3,192,5818,505455,541600,1072,227535,819710,4714,240,2551
Bihar,Supaul,480,530361,2685,1094,6098,696839,9.28,146,1574,596064,630872,1058,241958,985242,5221,196,3561
Bihar,Purnia,1515,847268,4879,3590,13056,1181338,4.73,242,5118,1056186,971857,920,578877,1449729,8855,541,9080
Bihar,Araria,631,586281,2568,1519,6097,768114,8.84,190,2150,688655,665355,966,274649,1079746,5617,92,3049
Bihar,Katihar,2054,599348,5081,4426,11360,1002239,2.93,190,6480,809199,792064,979,269944,1331643,11479,80,4961
Bihar,Kishanganj,113,345171,2898,232,5787,515515,18.84,65,345,443237,417318,942,155895,704791,5535,27,3150
Bihar,Aurangabad,134,551850,3328,282,7627,813594,15.38,64,416,701748,663272,945,291873,1073571,5488,49,5467
Bihar,Arwal,104,169041,811,191,1663,244484,5.08,15,295,204682,208747,1020,76656,336869,836,12,1637
Bihar,Gaya,207,917078,5423,853,12595,1423964,5.66,60,1060,1177290,1163180,988,545281,1795761,8615,172,9402
Bihar,Kaimur,199,377768,1870,391,2766,519297,5.08,30,590,468875,427937,913,157441,739624,2465,47,2171
Bihar,Rohtas,507,692012,3097,1398,7459,1034087,14.96,285,1905,901630,824027,914,327652,1398447,6951,80,3604
Bihar,Bhagalpur,5000,729372,3894,12063,9913,1150476,2.7,461,17099,971892,907661,934,486976,1392872,5465,469,8342
Bihar,Banka,872,471479,3136,1281,5602,664757,1.72,37,2153,560386,575612,1027,263185,873051,4166,33,4572
Bihar,Lakhisarai,125,220769,1099,94,2315,319796,5.02,11,219,265578,274897,1035,101619,438946,2154,10,1260
Bihar,Munger,1878,347352,1678,2987,3461,533359,4.21,205,4865,453797,426732,940,193739,686972,1619,210,3519
Bihar,Muzaffarpur,1910,1071672,7032,3054,14576,1629704,6.16,306,4964,1332665,1368196,1027,548435,2152941,13492,99,8115
Bihar,Sheohar,18,183336,1011,32,2149,193827,20.0,10,50,182583,194520,1065,88043,289120,1460,3,1701
Bihar,Sitamarhi,476,775017,3052,1126,6080,944397,9.24,148,1602,819534,899617,1098,297079,1422335,5090,82,4042
Bihar,Vaishali,325,823329,4216,757,9168,1110683,4.44,48,1082,953262,980229,1028,362733,1571279,8877,24,4507
Bihar,Nalanda,204,832484,3532,639,7055,977781,10.32,87,843,913716,896157,981,493592,1316673,5922,82,4665
Bihar,Jehanabad,253,253737,943,547,2246,349475,5.0,40,800,298588,304478,1020,132151,471061,1556,56,1633
Bihar,Nawada,2949,471006,3009,7742,7366,683395,5.88,629,10691,573431,580767,1013,199249,955152,7185,406,3189
Bihar,Sheikhpura,99,147276,647,341,1609,200776,0.0,0,440,173247,174750,1009,72837,275215,1071,16,1184
Bihar,Darbhanga,2230,1019132,4304,5366,9225,1321490,3.21,244,7596,1106282,1233905,1115,565517,1775105,6118,65,7410
Bihar,Madhubani,392,1076823,4490,707,8612,1333190,1.91,21,1099,1089789,1319677,1211,517416,1892597,6669,6,6433
Bihar,Samastipur,617,909245,4364,1263,10320,1376387,13.3,250,1880,1099878,1185310,1078,419248,1866384,9629,106,5055
Bihar,Patna,53,1992436,7453,202,19202,3255687,9.8,25,255,2848755,2398204,842,1943336,3304787,7211,94,19444
Bihar,Begusarai,344,657031,2675,446,6155,1022345,2.53,20,790,828585,850488,1026,330226,1349150,5243,18,3586
Bihar,Bhojpur,513,620802,3146,1060,7306,870318,9.35,147,1573,774274,716523,925,272337,1218783,6869,83,3583
