state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,17,28719,3,0,5,48,3711,81.82,18,22,17206,15222,885
Andaman & Nicobar,South Andaman,0,56,55120,60,25,398,409,15767,3.52,16,454,38578,32305,837
Andaman & Nicobar,Nicobar,0,0,7651,1,0,0,0,998,0.0,0,0,4553,4096,900
Andhra Pradesh,Krishna,0,4143,631537,9813,0,2960,2538,129020,2.37,168,7102,396499,364157,918
Andhra Pradesh,Guntur,0,8842,606943,9701,0,2953,1991,135777,3.43,405,11795,390765,352040,901
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,4581,490082,8793,0,434,351,56692,4.89,245,5015,270642,276109,1020
Andhra Pradesh,Kurnool,0,6471,500290,8187,0,583,726,70060,3.63,256,7054,280063,290304,1037
Andhra Pradesh,Visakhapatnam,24,5008,589753,10199,0,7710,6691,193569,2.37,302,12718,410196,373329,910
Andhra Pradesh,Anantapur,4,1800,554467,7960,0,293,734,74514,5.59,117,2093,319896,308901,966
Andhra Pradesh,Chittoor,50,5539,634321,9335,100,976,1014,109899,2.53,165,6515,368554,375710,1019
Andhra Pradesh,East Godavari,0,5282,658448,11071,0,652,612,121973,2.97,176,5934,414412,366058,883
Andhra Pradesh,Prakasam,0,3000,494018,7990,0,589,724,74817,4.76,171,3589,290696,278109,957
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,4140,493660,7312,0,1441,647,76197,2.83,158,5582,285846,284016,994
Andhra Pradesh,Srikakulam,0,4655,442557,8283,0,481,472,55914,4.75,244,5136,241025,257443,1068
Andhra Pradesh,Vizianagaram,0,3331,357238,6387,0,2904,1364,52492,1.36,85,6235,199080,210640,1058
Andhra Pradesh,West Godavari,0,6898,554897,12542,0,1226,858,68056,1.67,136,8124,311682,311341,999
Arunachal Pradesh,Itanagar Capital Complex,0,263,17986,146,0,2076,2521,34519,1.33,31,2339,30096,22409,745
Arunachal Pradesh,Lower Siang,20,0,3910,1,0,337,74,1678,0.89,3,337,2931,2657,907
Arunachal Pradesh,Pakke Kessang,0,0,2966,8,0,19,35,1391,5.26,1,19,2279,2075,910
Arunachal Pradesh,Changlang,126,60,15933,88,0,1095,450,10814,2.16,25,1155,15376,11371,740
Arunachal Pradesh,Kurung Kumey,0,32,2476,5,40,46,17,2206,2.56,2,78,2218,2402,1083
Arunachal Pradesh,Anjaw,0,80,2365,44,0,3,3,1472,8.43,7,83,2068,1772,857
Arunachal Pradesh,East Kameng,0,54,6208,62,0,230,86,3149,2.11,6,284,4866,4489,923
Arunachal Pradesh,Kamle,0,9,1536,1,0,7,1,749,25.0,4,16,1237,1049,848
Arunachal Pradesh,Dibang Valley,0,27,868,19,0,4,3,1052,29.03,9,31,1138,782,687
Arunachal Pradesh,Tirap,0,30,4084,32,0,212,75,3642,7.44,18,242,4824,2901,601
Arunachal Pradesh,Kra Daadi,0,27,1546,14,0,1,15,1406,7.14,2,28,1542,1411,915
Arunachal Pradesh,West Kameng,0,54,12165,20,0,209,77,6607,6.46,17,263,10865,7908,728
Arunachal Pradesh,Lohit,0,7,5694,19,0,198,99,3456,2.44,5,205,5504,3643,662
Arunachal Pradesh,Tawang,0,66,7680,64,0,341,58,4472,3.19,13,407,6598,5549,841
Arunachal Pradesh,Lower Dibang Valley,20,9,6653,7,0,546,162,4365,4.5,25,555,5913,5104,863
Arunachal Pradesh,Lower Subansiri,0,0,6732,7,0,514,220,4799,1.17,6,514,5815,5716,983
Arunachal Pradesh,Lepa Rada,0,3,3779,3,0,106,37,1890,0.92,1,109,3093,2576,833
Arunachal Pradesh,Upper Siang,0,57,5644,10,0,126,42,2541,9.29,17,183,4273,3912,916
Arunachal Pradesh,Shi Yomi,0,0,1962,2,0,0,1,706,0.0,0,0,1320,1348,1021
Arunachal Pradesh,Namsai,0,64,13955,67,0,680,231,5445,3.49,26,744,10475,8930,853
Arunachal Pradesh,Siang,0,0,4222,7,0,0,45,1509,0.0,0,0,2898,2832,977
Arunachal Pradesh,West Siang,0,6,10117,5,0,416,172,4550,4.27,18,422,7728,6939,898
Arunachal Pradesh,Papum Pare,0,27,7163,26,0,495,169,7392,3.45,18,522,9217,5339,579
Arunachal Pradesh,Longding,0,35,2228,17,37,145,21,3152,5.56,10,180,3710,1672,451
Arunachal Pradesh,Upper Subansiri,0,94,8579,76,0,18,28,3446,16.07,18,112,6193,5832,942
Arunachal Pradesh,East Siang,17,24,13875,32,0,747,227,7244,2.46,19,771,10882,10236,941
Assam,Dibrugarh,0,579,132253,975,0,2289,1072,63710,2.86,82,2868,105055,90899,865
Assam,Sivasagar,0,541,70101,335,0,362,367,17188,7.42,67,903,47305,39978,845
Assam,Tinsukia,0,2185,87432,1030,0,3120,1276,33524,2.73,145,5305,65998,54946,833
Assam,Baksa,0,203,48693,219,0,9,181,15857,22.64,48,212,35198,29348,834
Assam,Barpeta,0,290,129726,554,0,30,61,31055,28.12,90,320,84144,76624,911
Assam,Darrang,0,866,70067,486,0,54,113,24450,3.26,30,920,52357,42148,805
Assam,Kamrup Metropolitan,0,1823,248128,1690,0,4035,3521,227760,5.16,302,5858,268382,207613,774
Assam,Kamrup Rural,186,2523,180545,2510,10,292,216,52370,3.73,105,2815,124978,107903,863
Assam,Karbi-Anglong,0,161,37681,170,0,164,113,18910,20.0,65,325,32135,24456,761
Assam,Nalbari,0,667,57440,362,0,44,65,17527,11.11,79,711,41838,33117,792
Assam,Golaghat,0,1627,82202,566,0,133,142,25671,0.0,0,1760,59689,48171,807
Assam,Jorhat,4,1282,92742,927,0,143,378,31460,3.86,55,1425,67354,56840,844
Assam,Morigaon,0,588,67499,470,0,9,402,17671,7.2,43,597,43152,42009,974
Assam,Nagaon,19,1035,130393,542,0,1602,1189,43855,3.53,93,2637,89621,84612,944
Assam,Bongaigaon,0,347,58499,346,0,67,92,24768,23.19,96,414,44388,38871,876
Assam,Chirang,164,214,27125,133,0,45,58,14417,15.83,41,259,24420,17119,701
Assam,Dhubri,10,129,75029,174,0,33,138,22990,4.94,8,162,53864,44144,820
Assam,Goalpara,593,182,55549,131,0,27,67,27710,29.19,61,209,43637,39586,907
Assam,Kokrajhar,10,143,48419,272,0,112,146,24258,9.8,25,255,41477,31198,752
Assam,Dhemaji,0,141,64611,445,0,210,127,21282,5.41,19,351,43468,42411,976
Assam,Lakhimpur,0,1762,79891,712,0,18,29,24507,0.56,10,1780,54861,49528,903
Assam,Sonitpur,107,370,102402,522,0,2429,848,40970,7.9,221,2799,76267,67098,880
Assam,Udalguri,0,293,47299,318,0,45,82,19029,18.34,62,338,36279,30038,828
Assam,Cachar,49,511,102673,1142,0,1795,1094,42080,6.24,144,2306,77275,67480,873
Assam,Dima Hasao,240,0,19685,19,0,11,7,10065,81.82,9,11,17750,11994,676
Assam,Hailakandi,0,209,49757,398,0,16,210,20304,24.44,55,225,38588,31469,816
Assam,Karimganj,0,697,64422,448,0,57,439,26377,11.41,86,754,49981,40808,816
Bihar,Madhepura,100,291,121013,265,363,962,481,42473,6.15,77,1253,90071,73410,815
Bihar,Saharsa,0,635,128264,539,157,1899,632,42504,2.56,65,2535,90930,79817,878
Bihar,Supaul,0,623,132695,1245,1,1629,890,48290,4.35,98,2252,101011,79992,792
Bihar,Purnia,95,1998,239316,2342,2280,3144,1371,88738,5.66,292,5158,175835,152189,866
Bihar,Araria,128,805,145576,1004,1991,1962,896,55587,4.08,113,2767,111138,90038,810
Bihar,Katihar,916,1285,123808,1106,53,3231,1101,72145,2.3,104,4516,107478,88494,823
Bihar,Kishanganj,0,666,81207,616,0,1265,789,39106,5.13,99,1931,66484,53849,810
Bihar,Aurangabad,0,1605,114199,1729,106,1370,1167,53607,5.55,165,2975,97420,70374,722
Bihar,Arwal,0,177,35231,154,0,468,244,15022,2.33,15,645,27529,22725,825
Bihar,Gaya,5956,1628,228116,1017,488,3690,2044,115855,6.24,332,5318,190363,153675,807
Bihar,Kaimur,1152,603,98109,728,189,1485,856,37469,2.49,52,2088,75215,60355,802
Bihar,Rohtas,985,1855,174945,1434,97,2140,1237,68685,2.13,85,3995,138783,104880,756
Bihar,Bhagalpur,0,1049,219126,809,547,4476,2175,94119,1.0,55,5525,170069,143158,842
Bihar,Banka,172,480,127702,433,19,779,1109,44641,2.46,31,1259,90046,82304,914
Bihar,Lakhisarai,10,311,47534,291,0,1063,375,22123,1.16,16,1374,38332,31317,817
Bihar,Munger,0,445,86105,431,22,1260,589,37908,0.88,15,1705,70837,53170,751
