state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Bihar,Muzaffarpur,0,2064,246826,1239,425,3427,2730,132352,3.64,199,5471,215344,163865,761
Bihar,Sheohar,0,87,57035,179,12,709,246,14866,3.02,24,796,38194,33709,883
Bihar,Sitamarhi,9,659,182655,707,0,1684,830,67266,6.7,157,2343,135539,114410,844
Bihar,Vaishali,0,832,223355,736,0,1228,1033,70516,5.34,110,2060,156272,137735,881
Bihar,Nalanda,1127,487,227792,582,593,2558,1568,83546,2.79,85,3045,165031,146339,887
Bihar,Jehanabad,0,266,63629,227,22,730,504,31557,5.42,54,996,52226,42974,823
Bihar,Nawada,65,693,135087,614,557,1561,787,49935,7.36,166,2254,97837,87199,891
Bihar,Sheikhpura,0,74,41798,73,23,466,178,14682,1.85,10,540,29962,26521,885
Bihar,Darbhanga,0,2108,275918,2435,0,2652,2212,104218,2.1,100,4760,202167,177989,880
Bihar,Madhubani,0,1720,268192,1894,41,2120,2451,98359,2.6,100,3840,194748,171889,883
Bihar,Samastipur,100,675,253978,768,76,2293,1547,98400,0.74,22,2968,189454,162950,860
Bihar,Patna,396,5609,514634,2653,27,20929,9274,284364,2.57,682,26538,465768,333482,716
Bihar,Begusarai,0,933,205434,853,14,2601,1565,78795,3.28,116,3534,153135,131130,856
Bihar,Bhojpur,0,753,151369,906,38,1398,1360,65509,4.14,89,2151,123510,93491,757
Bihar,Buxar,1401,665,113704,638,0,503,694,37113,7.02,82,1168,84314,66506,789
Bihar,Khagaria,469,289,89735,260,486,1332,643,35540,2.41,39,1621,66984,58315,871
Bihar,Saran,0,1138,289513,1312,0,1808,2047,109431,7.94,234,2946,216128,182905,846
Bihar,Siwan,12087,1445,291805,1563,0,3473,2010,84631,6.75,332,4918,198853,177644,893
Bihar,Gopalganj,0,2028,154736,1683,0,1850,963,52319,4.44,172,3878,117368,89735,765
Bihar,East Champaran,0,3238,271701,3121,37,2759,2864,122683,3.22,193,5997,228425,165827,726
Bihar,West Champaran,453,1702,169222,1482,124,4758,1632,83497,2.63,170,6460,148629,104130,701
Bihar,Jamui,87,837,107054,615,227,1137,701,40002,3.34,66,1974,80489,66601,827
Chandigarh,Chandigarh,130,849,199139,573,669,4778,4854,103496,3.25,183,5627,170283,132412,778
Chhattisgarh,Raipur,242,670,324913,278,0,517,135,63414,12.89,153,1187,206092,182256,884
Chhattisgarh,Balod,5200,216,165140,216,0,11,0,9627,5.73,13,227,83291,91460,1098
Chhattisgarh,Baloda bazar,138,69,184161,44,0,0,2,9950,1.45,1,69,91395,102815,1125
Chhattisgarh,Balrampur,3670,25,126591,98,0,11,4,12176,11.11,4,36,69050,69705,1009
Chhattisgarh,Bastar,690,71,137956,124,0,40,20,22408,17.12,19,111,76339,84027,1101
Chhattisgarh,Bemetara,12300,17,92134,11,0,1,0,6255,11.11,2,18,48185,50197,1042
Chhattisgarh,Bijapur,900,16,36168,14,0,25,7,17198,21.95,9,41,30923,22436,726
Chhattisgarh,Bilaspur,138,453,313675,140,0,111,20,30393,8.16,46,564,167691,176356,1052
Chhattisgarh,Dantewada,179,25,56506,9,0,5,2,13659,0.0,0,30,34651,35503,1025
Chhattisgarh,Dhamtari,206,42,168123,20,0,26,5,10415,2.94,2,68,84337,94180,1117
Chhattisgarh,Durg,1354,258,335012,164,0,156,52,36014,18.36,76,414,188739,182272,966
Chhattisgarh,Gariaband,580,20,99009,18,0,0,0,6786,0.0,0,20,49257,56532,1148
Chhattisgarh,Janjgir-Champa,0,86,261181,56,0,14,10,14884,10.0,10,100,131826,144234,1094
Chhattisgarh,Jashpur,2785,122,155829,163,0,5,1,14844,2.36,3,127,78460,92193,1175
Chhattisgarh,Kanker,3596,87,134551,54,0,4,1,21218,9.89,9,91,78231,77528,991
Chhattisgarh,Kondagaon,970,150,106410,179,0,1,2,10093,5.96,9,151,53509,62981,1177
Chhattisgarh,Korba,1448,552,268293,527,0,52,21,18394,10.93,66,604,139441,147230,1056
Chhattisgarh,Koriya,6256,180,104444,275,0,6,17,10646,23.66,44,186,56685,58401,1030
Chhattisgarh,Mahasamund,0,57,237241,28,0,9,4,10415,6.06,4,66,116467,131162,1126
Chhattisgarh,Mungeli,220,52,124317,7,0,2,1,6040,11.11,6,54,62120,68236,1098
Chhattisgarh,Narayanpur,0,29,15801,8,0,23,3,7056,15.38,8,52,12808,10049,785
Chhattisgarh,Raigarh,630,139,351293,65,0,45,7,25852,3.26,6,184,184182,192948,1048
Chhattisgarh,Rajnandgaon,867,168,278373,54,0,35,11,20543,3.45,7,203,142946,155954,1091
Chhattisgarh,Sukma,0,11,49302,6,0,9,12,21289,0.0,0,20,39770,30816,775
Chhattisgarh,Surajpur,0,72,162324,16,0,9,4,12937,35.8,29,81,85632,89603,1046
Chhattisgarh,Surguja,0,223,212208,110,0,123,6,16540,9.83,34,346,109759,118957,1084
Chhattisgarh,Kawardha,4950,728,120208,286,0,800,57,12400,7.33,112,1528,64781,67807,1047
Chhattisgarh,Gaurela Pendra Marwahi ,470,33,64204,61,0,0,0,4041,21.21,7,33,32097,36138,1126
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0,145,35210,102,0,2586,2121,55815,3.26,89,2731,61712,29312,475
Daman and Diu,Daman,0,168,29164,130,0,3980,2285,50326,0.77,32,4148,51815,27737,535
Daman and Diu,Diu,0,69,11540,82,0,282,465,14824,2.56,9,351,12721,13646,1073
Delhi,New Delhi,238,2335,244306,1157,77,2182,1342,114929,4.49,203,4517,218368,141244,647
Delhi,Central Delhi,891,3483,274757,843,1047,4320,2651,202196,2.1,164,7806,281903,195282,693
Delhi,West Delhi,243,1355,353131,641,0,189,-4,133236,4.92,76,1544,271165,215266,794
Delhi,North West Delhi,1353,1363,331421,775,0,3426,1832,185181,3.57,171,4789,288305,228531,793
Delhi,South East Delhi,32,4004,231629,1183,0,4679,3507,189970,2.04,177,8683,254375,167369,658
Delhi,East Delhi,0,2158,190392,755,0,2429,1612,96690,0.72,33,4587,159809,127336,797
Delhi,North Delhi,95,2299,184478,940,0,767,135,121681,4.37,134,3066,178041,128112,720
Delhi,North East Delhi,89,1917,149317,1254,0,204,94,105746,2.78,59,2121,151445,103759,685
Delhi,Shahdara,0,1418,191771,264,0,82,-30,113020,3.33,50,1500,172574,132352,767
Delhi,South Delhi,493,2056,248362,1119,15,7934,6257,236483,3.1,310,9990,292439,192961,660
Delhi,South West Delhi,105,3584,319009,1345,0,5616,4069,149821,1.63,150,9200,267757,201506,753
Goa,North Goa,93,637,155101,1093,0,4451,2125,66921,2.99,152,5088,116945,105097,899
Goa,South Goa,18,587,186394,799,0,5891,1832,58987,2.96,192,6478,122976,122399,995
Gujarat,Gandhinagar,0,1077,191264,1426,0,3295,1112,37222,6.13,268,4372,119871,108619,906
Gujarat,Ahmedabad,0,993,356498,987,0,6462,2115,41189,3.42,255,7455,217073,180599,832
Gujarat,Vadodara,1,1581,282984,1643,30,5618,2037,70771,2.79,201,7199,193953,159848,824
Gujarat,Kheda,0,1037,327315,2412,2,4597,1500,67879,4.19,236,5634,207966,187261,900
Gujarat,Surendranagar,0,1363,173913,1588,0,4755,1369,27425,2.65,162,6118,105627,95690,906
Gujarat,Aravalli,115,1373,225439,390,0,2786,829,27388,2.67,111,4159,127697,125111,980
Gujarat,Banaskantha,0,968,629953,1055,29,3750,1031,58712,4.28,202,4718,373142,315657,846
Gujarat,Mehsana,0,2531,382322,2153,0,5551,5567,136327,3.44,278,8082,268860,249774,929
Gujarat,Patan,0,900,190557,1213,16,4353,1341,38839,4.51,237,5253,119035,110465,928
Gujarat,Sabarkantha,20,1666,277678,1723,0,3745,1047,39576,3.49,189,5411,164775,152445,925
Gujarat,Dang,0,29,30865,80,115,402,103,6117,4.41,19,431,19121,17858,934
Gujarat,Navsari,0,1022,260006,473,0,3960,1106,36940,3.57,178,4982,143896,153099,1064
Gujarat,Surat,7,1458,199800,1397,1,4197,1287,45329,4.69,265,5655,134822,110364,819
Gujarat,Tapi,0,1928,143602,1766,0,2099,566,18806,3.05,123,4027,83001,79397,957
Gujarat,Valsad,111,1016,251360,938,0,5077,2380,55445,3.56,217,6093,166671,140140,841
Gujarat,Devbhumi Dwaraka,0,658,108589,295,1,2390,771,22498,3.02,92,3048,70609,60480,857
Gujarat,Jamnagar,0,312,163127,369,4,3982,1178,51334,2.93,126,4294,121872,92628,760
Gujarat,Kutch,931,1614,266338,907,0,5625,4981,124129,3.05,221,7239,217910,172648,792
Gujarat,Morbi,14,1035,119292,591,0,2962,945,18183,4.33,173,3997,72800,64670,888
Gujarat,Porbandar,47,181,133920,94,0,1864,557,21657,5.13,105,2045,79797,75784,950
Gujarat,Rajkot,393,1266,252782,1019,0,4947,1516,34176,5.59,347,6213,149587,137384,918
Gujarat,Amreli,0,1123,240235,666,0,2912,787,25295,3.1,125,4035,134622,130924,973
Gujarat,Bhavnagar,0,1334,233112,1381,177,3909,1156,53106,3.95,207,5243,156907,129337,824
Gujarat,Botad,362,579,62798,448,0,1680,505,12094,5.8,131,2259,39523,35368,895
Gujarat,Gir Somnath,61,1046,176808,1127,70,3416,982,27176,3.32,148,4462,110681,93246,842
Gujarat,Junagadh,0,870,198214,1032,0,2767,842,25476,5.03,183,3637,116211,107469,925
Gujarat,Anand,16,1870,386292,1383,0,6300,1763,50501,2.94,240,8170,219173,217621,993
Gujarat,Bharuch,0,3511,236750,2945,0,4403,3804,115191,3.11,246,7914,196288,155678,793
Gujarat,Chhotaudepur,60,910,162811,893,378,1297,358,16758,5.57,123,2207,92817,86727,934
Gujarat,Dahod,8,2457,327111,1043,1850,2521,680,35599,2.85,142,4978,181490,181221,999
Gujarat,Mahisagar,0,1648,244117,278,128,2575,724,20268,2.77,117,4223,134764,129654,962
Gujarat,Narmada,0,682,125467,99,11,1541,415,16036,1.66,37,2223,72061,69432,964
Gujarat,Panchmahal,0,1635,289294,661,305,4246,1032,33348,3.21,189,5881,163826,158803,969
Haryana,Kurukshetra,0,692,137708,563,0,830,1240,43174,5.12,78,1522,95091,85809,902
Haryana,Panchkula,0,469,117836,319,95,635,1159,64035,6.88,76,1104,98183,83799,853
Haryana,Gurgaon,75,2973,395511,1918,196,19572,14092,340310,2.15,485,22545,438930,298148,679
Haryana,Jhajjar,0,812,137083,917,0,445,726,44105,9.79,123,1257,94945,86245,908
Haryana,Kaithal,0,395,108056,484,0,1077,1151,49781,6.66,98,1472,82975,74972,904
Haryana,Hisar,0,375,162206,380,0,655,792,61296,7.77,80,1030,120454,103080,856
Haryana,Rohtak,0,650,135909,619,0,609,1030,52921,8.02,101,1259,101427,88148,869
Haryana,Ambala,0,473,220382,703,0,1811,3071,120577,5.52,126,2284,181566,159597,879
Haryana,Sirsa,9,1193,175684,431,0,182,902,48382,11.27,155,1375,116146,107916,929
Haryana,Panipat,249,655,132470,406,0,1151,1141,54672,5.76,104,1806,103709,83483,805
Haryana,Fatehabad,0,328,100829,521,0,135,963,42843,16.63,77,463,75670,68028,899
Haryana,Yamunanagar,0,581,171979,400,0,557,799,51210,5.45,62,1138,118266,104913,887
Haryana,Sonipat,550,696,214581,787,0,749,1938,85460,8.65,125,1445,161679,138474,856
Haryana,Faridabad,0,1680,324888,1342,50,3121,4846,162307,5.19,249,4801,280159,207976,742
Haryana,Bhiwani,0,299,147802,309,0,644,981,48012,10.29,97,943,102894,92936,903
Haryana,Charkhi Dadri,0,58,99208,448,0,1840,918,31865,2.74,52,1898,67462,63628,943
Haryana,Rewari,0,907,146013,798,0,210,1254,50754,11.01,123,1117,106175,90635,854
Haryana,Karnal,261,190,213765,335,0,951,1272,74447,4.29,49,1141,151981,136288,897
Haryana,Jind,0,539,125578,364,0,699,752,42784,6.62,82,1238,87923,80446,915
Haryana,Nuh,0,12,42197,391,0,363,600,31163,9.33,35,375,41898,31507,752
Haryana,Mahendragarh,0,822,143724,884,0,627,790,44575,4.9,71,1449,97524,90802,931
Haryana,Palwal,0,533,140330,346,0,54,1416,61729,12.44,73,587,111279,90849,816
Himachal Pradesh,Shimla,0,574,217293,353,0,1609,1701,44054,5.36,117,2183,137317,124014,903
Himachal Pradesh,Solan,56,815,135178,539,0,2064,1529,36626,2.47,71,2879,100163,71656,715
Himachal Pradesh,Lahaul Spiti,0,8,8189,13,0,213,116,2022,4.07,9,221,5246,4964,946
Himachal Pradesh,Kullu,0,67,106264,93,0,92,469,15888,6.92,11,159,62111,60037,967
Himachal Pradesh,Sirmaur,0,365,89395,215,0,454,782,22603,8.67,71,819,61399,50604,824
Himachal Pradesh,Kangra,578,2203,398946,1510,0,859,1352,50770,6.47,198,3062,217194,232499,1070
Himachal Pradesh,Chamba,0,861,116866,662,0,509,484,19087,5.84,80,1370,67448,68495,1016
Himachal Pradesh,Mandi,0,517,279378,387,0,433,1046,35821,8.42,80,950,149076,166146,1115
Himachal Pradesh,Kinnaur,0,64,23952,26,0,636,269,6176,4.29,30,700,15950,14179,889
Himachal Pradesh,Hamirpur,26,79,159627,90,0,379,471,16136,2.62,12,458,81716,94036,1151
Himachal Pradesh,Una,0,181,149364,286,0,64,460,17815,14.29,35,245,83591,83579,1000
Himachal Pradesh,Bilaspur,158,117,123654,84,0,311,315,13582,5.14,22,428,67128,70102,1044
Jammu & Kashmir,Srinagar,146,1555,145738,1584,396,2333,2306,90788,4.68,182,3888,159746,76781,481
Jammu & Kashmir,Kulgam,0,432,92002,773,0,1,6,7606,27.02,117,433,57412,42182,735
Jammu & Kashmir,Shopian,0,9,64141,14,0,12,5,4446,42.86,9,21,39095,29489,754
Jammu & Kashmir,Bandipore,0,429,79243,813,0,16,12,7642,25.84,115,445,52504,34375,655
Jammu & Kashmir,Anantnag,299,2896,160672,1996,0,583,2711,39150,9.64,334,3466,117812,81991,696
Jammu & Kashmir,Baramulla,110,947,207477,1813,0,240,1067,43873,6.99,83,1187,146712,104534,713
Jammu & Kashmir,Kupwara,0,1840,83032,1213,0,82,56,13212,8.74,168,1922,60043,36196,603
Jammu & Kashmir,Pulwama,0,4265,105207,1049,0,246,62,15624,2.42,109,4511,72936,47894,657
Jammu & Kashmir,Ganderbal,0,81,71548,39,9,590,429,9003,8.79,59,671,46905,33639,717
Jammu & Kashmir,Budgam,260,845,146491,500,38,787,2607,47342,13.36,218,1632,116360,77464,666
Jammu & Kashmir,Jammu,989,398,392302,334,0,3836,1569,110467,3.92,166,4234,280242,222615,794
Jammu & Kashmir,Kishtwar,90,95,44255,129,0,40,39,8419,18.52,25,135,31179,21488,689
Jammu & Kashmir,Doda,0,1026,81229,1469,0,97,38,8757,4.98,56,1124,49885,40092,804
Jammu & Kashmir,Udhampur,0,573,115705,597,0,326,733,41032,9.01,81,899,88278,68448,775
Jammu & Kashmir,Kathua,1988,743,131726,687,0,109,166,33980,4.46,38,852,90865,74829,824
Jammu & Kashmir,Ramban,100,22,62473,41,0,71,26,7702,7.53,7,93,42015,28157,670
Jammu & Kashmir,Samba,0,21,83912,41,0,89,87,11079,9.09,10,110,53010,41963,792
Jammu & Kashmir,Rajouri,4149,1097,106155,965,0,117,478,35970,6.26,76,1214,82410,59713,725
Jammu & Kashmir,Poonch,6196,182,97993,705,0,21,34,8760,18.23,37,203,59736,47012,787
Jammu & Kashmir,Reasi,0,371,66338,332,0,39,152,10708,7.32,30,410,45628,31415,689
Jharkhand,Ranchi,858,2646,243863,903,1253,9916,5882,143810,2.77,348,12562,217389,170359,784
Jharkhand,Koderma,0,862,64037,406,0,1129,694,23227,11.5,229,1991,44009,43266,983
Jharkhand,Bokaro,0,2082,151016,648,0,2374,1081,58264,0.99,44,4456,119639,89677,750
Jharkhand,Garhwa,1124,1257,88151,927,4920,2344,1863,46102,3.97,144,3626,74644,59604,799
Jharkhand,Latehar,857,198,49294,100,1411,1285,633,27738,7.22,107,1483,43195,33851,784
Jharkhand,Chatra,0,417,77760,382,38,1141,234,25046,5.91,92,1558,55003,47796,869
Jharkhand,Palamu,41,1304,175703,1067,727,1489,534,49116,7.41,207,2793,121770,103065,846
Jharkhand,East Singhbhum,46,2047,272474,1491,0,6414,2707,89889,1.64,139,8461,202370,160063,791
Jharkhand,Seraikela Kharsawan,119,576,92621,426,1,2167,721,31812,3.9,107,2743,68824,55623,808
Jharkhand,Simdega,5332,622,48105,264,5248,2510,1395,26575,4.66,146,3134,36083,38609,1070
Jharkhand,Lohardaga,198,74,44833,86,54,729,604,17994,9.59,77,803,31610,31210,987
Jharkhand,Gumla,1017,336,88932,471,541,1094,724,27225,5.59,80,1430,54776,61432,1122
Jharkhand,Khunti,1955,154,53442,121,290,861,321,26312,8.37,85,1015,41703,38052,912
Jharkhand,Deoghar,1799,977,92479,1344,532,3763,1289,56261,3.38,160,4740,86059,62767,729
Jharkhand,Ramgarh,426,600,80478,355,0,1396,1101,39688,2.71,54,1996,68835,51318,746
Jharkhand,Hazaribagh,506,2292,143835,1187,6,2756,1584,63641,3.41,172,5048,112027,95445,852
Jharkhand,Giridih,1453,1006,157635,575,33,1315,582,53629,5.56,129,2321,109211,102084,935
Jharkhand,Dhanbad,0,1274,230190,669,0,6359,1720,72750,2.97,227,7633,170115,132832,781
Jharkhand,Dumka,27,975,109419,572,713,1751,681,39670,2.35,64,2726,75342,73769,979
Jharkhand,Jamtara,1526,1211,66443,469,229,964,518,26960,5.75,125,2175,49999,43418,868
Jharkhand,Sahebganj,291,650,53773,646,78,1017,863,30086,6.18,103,1667,43761,40108,917
Jharkhand,Pakur,2678,886,65110,509,664,1225,571,27352,3.27,69,2111,45343,47148,1040
Jharkhand,Godda,782,1597,80314,942,435,3646,1134,36775,7.0,367,5243,62534,54601,873
Jharkhand,West Singhbhum,2449,806,113227,243,42,1774,1057,43256,6.2,160,2580,80382,76113,947
Karnataka,Belgaum,1826,5842,547822,2851,0,1837,2061,89064,8.87,681,7679,314069,322856,1028
Karnataka,Bangalore Urban,0,4797,225501,2546,0,6405,8271,142668,2.84,318,11202,204125,164198,804
Karnataka,Mysore,0,1999,646734,1691,0,9478,7642,136137,3.86,443,11477,388156,394882,1017
Karnataka,Gulbarga,0,889,209682,1023,0,3176,2652,68545,10.21,415,4065,146780,131433,895
Karnataka,Chitradurga,0,2636,282922,2235,0,1229,1419,36170,7.89,305,3865,158622,160441,1011
Karnataka,Dakshina Kannada,0,7809,286495,3369,0,6566,4836,101181,3.51,505,14375,186786,201264,1078
Karnataka,Bagalkot,195,4361,260982,1984,0,2302,1417,46011,8.51,567,6663,150286,156703,1043
Karnataka,Chamarajanagar,0,1268,154841,1118,0,2308,1551,27736,7.1,254,3576,87942,94618,1076
Karnataka,Bidar,0,1559,207747,1110,0,5220,5468,77113,6.21,421,6779,149290,135569,908
Karnataka,Chikamagalur,0,120,203099,1380,0,1820,1023,28007,3.61,70,1940,114044,117091,1027
Karnataka,Bellary,0,3027,397658,2231,0,4893,3834,72664,5.18,410,7920,240699,229612,954
Karnataka,Davanagere,0,14138,233770,3907,0,2358,1524,42467,3.12,514,16496,143135,133093,930
Karnataka,Bangalore Rural,0,2860,155565,1501,0,3655,2761,51772,4.07,265,6515,115712,91587,792
