state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,10,28741,3,0,0,299,170,4898,0.32,1,309,17809,15829,889,3292
Andaman & Nicobar,South Andaman,0,70,55530,49,0,0,494,349,18677,4.61,26,564,40292,33911,842,10174
Andaman & Nicobar,Nicobar,0,0,7664,2,0,0,63,17,1118,11.11,7,63,4634,4148,895,1906
Andhra Pradesh,Krishna,0,3288,734967,11178,0,0,4036,9036,200700,5.13,376,7324,463715,472061,1018,257428
Andhra Pradesh,Guntur,68,23374,683242,9681,0,0,11624,6081,182488,1.75,612,34998,437130,428682,981,230320
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,15664,541648,7304,0,0,17423,2798,76755,1.28,423,33087,297147,321224,1081,182517
Andhra Pradesh,Kurnool,848,7805,528039,3429,0,0,11794,7423,122553,2.4,471,19599,295634,354964,1201,179535
Andhra Pradesh,Visakhapatnam,693,14446,662094,6959,352,352,21960,12594,299034,1.66,604,36406,494604,466774,944,232721
Andhra Pradesh,Anantapur,0,11985,599764,6364,0,0,9308,3733,100691,2.43,517,21293,344762,355466,1031,203070
Andhra Pradesh,Chittoor,0,10653,665705,4258,0,0,10305,5646,150254,2.54,532,20958,387195,428808,1107,236990
Andhra Pradesh,East Godavari,10,9597,746473,8349,0,0,32541,11075,200605,1.77,746,42164,467836,479289,1024,254967
Andhra Pradesh,Prakasam,0,591,554548,5438,0,0,2033,4992,111495,4.04,106,2624,320553,345449,1078,195666
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,4029,537969,5060,0,0,4089,5073,113606,2.24,182,8118,314378,337202,1073,201331
Andhra Pradesh,Srikakulam,0,25866,495554,6526,0,0,18888,5433,94570,2.02,906,44754,267122,322991,1209,131870
Andhra Pradesh,Vizianagaram,0,12182,383946,3681,0,0,12163,6012,94835,1.13,275,24345,217344,261423,1203,111578
