state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,7,63143,8,41,34,91931,25.0,12,48,80707,74344,921,75541,79533,6,10,35,78628
Andaman & Nicobar,South Andaman,44,143862,58,304,333,241756,17.82,62,348,207752,177796,856,191030,194588,55,13,335,187320
Andaman & Nicobar,Nicobar,0,22519,1,0,5,29993,0.0,0,0,28491,24017,843,27009,25503,1,0,5,25289
Andhra Pradesh,Krishna,3135,3186013,9137,6516,22707,3427447,8.59,829,9651,3173791,3438434,1083,2895239,3718221,17376,278,14467,2619900
Andhra Pradesh,Guntur,6086,3012194,7129,13145,25486,3540281,7.38,1419,19231,3084043,3467414,1124,2558791,3993684,19935,473,12680,2712105
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",5918,2002596,4485,15966,11375,1938542,2.49,547,21933,1850511,2089893,1129,1664858,2276280,5453,127,10406,1604081
Andhra Pradesh,Kurnool,7845,2154760,4709,36528,22594,3171769,0.99,438,44402,2507851,2817841,1124,2319595,3006934,716,120,26586,2187519
Andhra Pradesh,Visakhapatnam,2915,2649609,5695,7459,13368,3344392,6.23,646,10374,2935426,3057660,1042,2542544,3451457,11465,157,7598,2802737
Andhra Pradesh,Anantapur,5233,2650631,3533,20124,13938,3034581,2.26,573,25357,2682332,2999831,1118,2438080,3247132,669,147,16801,2290196
Andhra Pradesh,Chittoor,7797,2943069,6747,18834,15991,3268246,2.7,719,26631,2967677,3242605,1093,2815226,3396089,5635,150,17102,2455798
Andhra Pradesh,East Godavari,7066,3675475,21434,17866,48696,3757598,3.08,769,24941,3572440,3859319,1080,3239270,4193803,16986,219,53143,3323837
Andhra Pradesh,Prakasam,4562,2339583,3930,12373,10784,2509917,2.79,475,16995,2311907,2536824,1097,2146883,2702617,501,163,14212,1859925
Andhra Pradesh,Sri Potti Sriramulu Nellore,5361,2073466,3614,17279,12984,2282399,1.47,333,22667,2094289,2260760,1079,1962326,2393539,510,96,16087,1803037
Andhra Pradesh,Srikakulam,7102,1969040,8701,21185,18659,1691741,2.34,663,28287,1689412,1970923,1167,1483012,2177769,12827,165,14532,1545939
Andhra Pradesh,Vizianagaram,3168,1660043,4270,5747,7960,1626254,4.32,385,8915,1546719,1739034,1124,1379945,1906352,571,109,11659,1275797
Andhra Pradesh,West Godavari,3959,2748628,6291,10319,16304,2948487,4.42,632,14288,2714488,2981823,1098,2462425,3234690,686,212,21909,2306440
Arunachal Pradesh,Itanagar Capital Complex,10,45345,16,76,180,166446,27.91,24,86,121036,90734,750,95913,115878,52,6,144,106878
Arunachal Pradesh,Lower Siang,0,10019,1,3,11,18067,233.33,7,3,15120,12965,857,11237,16849,3,1,9,16375
Arunachal Pradesh,Pakke Kessang,1,7046,1,9,7,8164,0.0,0,10,7959,7243,910,6753,8457,1,2,7,7957
Arunachal Pradesh,Changlang,15,53222,31,59,120,114824,35.14,26,74,92538,75487,816,73940,94106,29,5,121,87669
Arunachal Pradesh,Kurung Kumey,0,6750,1,6,11,10489,233.33,14,6,8482,8651,1020,6999,10240,5,2,7,9046
Arunachal Pradesh,Anjaw,1,7153,1,6,9,14612,42.86,3,7,12227,9536,780,9634,12131,1,2,9,11587
Arunachal Pradesh,East Kameng,12,18766,4,19,14,23784,29.03,9,31,22438,20105,896,18968,23582,2,1,16,22712
Arunachal Pradesh,Kamle,0,4499,0,0,1,7786,0.0,0,0,7037,5248,746,4810,7475,0,0,0,6694
Arunachal Pradesh,Dibang Valley,0,1990,0,0,3,5072,0.0,0,0,4554,2508,551,2865,4197,1,1,2,4127
Arunachal Pradesh,Tirap,0,18756,3,0,14,38831,0.0,0,0,32076,25495,795,25616,31971,2,0,15,31402
Arunachal Pradesh,Kra Daadi,0,4290,0,0,1,6394,0.0,0,0,5679,5005,881,4193,6491,0,1,0,6258
Arunachal Pradesh,West Kameng,2,30590,7,19,35,73945,42.86,9,21,58106,46392,798,47483,57052,9,7,32,55057
Arunachal Pradesh,Lohit,0,17082,8,8,34,43517,25.0,2,8,33048,27536,833,27531,33068,9,2,32,30578
Arunachal Pradesh,Tawang,1,16623,1,16,10,39491,17.65,3,17,30894,25201,816,26179,29935,1,3,10,29339
Arunachal Pradesh,Lower Dibang Valley,2,19350,8,13,32,40241,100.0,15,15,32702,26883,822,25866,33725,9,6,30,32147
Arunachal Pradesh,Lower Subansiri,2,16499,4,26,27,34789,7.14,2,28,28419,22866,805,23068,28220,6,1,24,26660
Arunachal Pradesh,Lepa Rada,0,8543,0,0,7,16238,0.0,0,0,14193,10584,746,11241,13540,0,2,6,13261
Arunachal Pradesh,Upper Siang,0,14222,1,9,13,21202,122.22,11,9,19152,16270,850,16084,19340,3,2,11,18361
Arunachal Pradesh,Shi Yomi,0,4648,0,0,1,8468,0.0,0,0,6827,6289,921,6121,6995,0,1,1,6894
Arunachal Pradesh,Namsai,14,40584,15,60,90,85077,35.14,26,74,67300,58357,867,58925,66736,29,5,76,62813
Arunachal Pradesh,Siang,0,10389,0,0,6,15240,0.0,0,0,13568,12053,888,10822,14807,1,0,4,14325
Arunachal Pradesh,West Siang,0,22751,1,0,18,42253,0.0,0,0,34779,30218,869,30450,34554,7,1,11,33616
Arunachal Pradesh,Papum Pare,0,17808,10,0,44,45036,0.0,0,0,36869,25965,704,28648,34196,12,2,42,31467
Arunachal Pradesh,Longding,0,11342,4,0,15,19760,0.0,0,0,18886,12216,647,10810,20292,3,0,15,18984
Arunachal Pradesh,Upper Subansiri,0,22073,7,0,27,23134,0.0,0,0,23986,21214,884,19880,25327,6,0,28,24606
Arunachal Pradesh,East Siang,1,31866,8,6,45,70812,185.71,13,7,53384,49273,923,46500,56178,17,5,36,53239
Assam,Dibrugarh,624,608048,865,1872,2585,1121413,12.58,314,2496,851318,877925,1031,752121,977340,214,74,3235,886362
Assam,Sivasagar,360,343161,449,759,994,532951,17.07,191,1119,433055,442920,1023,378332,497780,80,51,1363,472738
Assam,Tinsukia,933,499983,1493,835,2274,930811,9.16,162,1768,702326,728228,1037,552805,877989,201,76,3565,712559
Assam,Baksa,879,356012,1152,1976,2624,667850,14.19,405,2855,496442,527228,1062,417740,606122,200,97,3576,540162
Assam,Barpeta,1176,775842,1232,3143,3280,1331249,18.55,801,4319,1030569,1076243,1044,953948,1153143,103,276,4409,1038399
Assam,Darrang,911,407734,1007,2053,2380,669739,18.08,536,2964,528504,548821,1038,436021,641452,90,165,3297,559323
Assam,Kamrup Metropolitan,419,832274,643,1492,2432,1604243,10.36,198,1912,1354529,1081529,798,1134530,1301987,399,63,2675,1228599
Assam,Kamrup Rural,1138,790221,1419,3624,4129,1287902,10.04,478,4762,1030732,1047130,1016,898742,1179381,286,115,5261,1037660
Assam,Karbi-Anglong,540,198879,714,1528,2155,434601,11.65,241,2069,317668,315729,994,247589,385891,747,66,2121,247100
Assam,Nalbari,465,344402,563,1194,1415,560136,19.95,331,1659,439083,465340,1060,385922,518616,79,71,1898,464061
Assam,Golaghat,361,465007,600,865,1548,877628,0.33,4,1226,664027,678375,1022,568198,774437,107,41,2041,699306
Assam,Jorhat,119,486889,440,338,1088,781682,26.91,123,457,622428,645954,1038,560353,708218,105,36,1423,640694
Assam,Morigaon,361,393843,542,1094,1514,679669,13.4,195,1455,510902,562496,1101,425578,647934,65,145,1991,574964
Assam,Nagaon,1464,796136,1942,4075,4821,1377039,8.14,451,5539,1027347,1145520,1115,905136,1268039,172,113,6591,1145196
Assam,Bongaigaon,607,325123,755,1847,2113,601005,16.14,396,2454,456025,469950,1031,408615,517513,78,110,2789,481338
Assam,Chirang,294,176230,267,671,740,337781,25.39,245,965,259494,254455,981,205624,308387,57,69,950,278482
Assam,Dhubri,5197,599961,5383,12899,12529,1150440,2.79,504,18096,868617,881578,1015,722457,1027944,392,161,17520,885619
Assam,Goalpara,922,409230,1169,2727,3226,802512,16.47,601,3649,591191,620364,1049,503784,707958,134,152,4261,648060
Assam,Kokrajhar,650,323443,656,1393,1655,602980,12.09,247,2043,461017,465309,1009,361970,564453,135,60,2175,517816
Assam,Dhemaji,345,278129,499,739,1134,518019,25.46,276,1084,384359,411656,1071,332838,463310,78,86,1554,419380
Assam,Lakhimpur,1117,488967,1304,2764,2846,813298,8.73,339,3881,635907,666181,1048,566159,736106,144,124,4005,654004
Assam,Sonitpur,667,516607,651,1527,1697,977974,21.7,476,2194,716660,777687,1085,679369,815212,143,148,2205,743332
Assam,Udalguri,1024,310404,824,2231,1894,570633,12.44,405,3255,429411,451528,1052,317807,563230,140,120,2578,457859
Assam,Cachar,3165,718520,3228,7413,7565,1247206,3.89,412,10578,974759,990700,1016,799415,1166311,389,184,10404,1011870
Assam,Dima Hasao,58,74997,94,169,289,147827,14.54,33,227,121614,101148,832,88313,134511,35,15,348,107761
Assam,Hailakandi,449,269185,420,1536,1208,491148,8.82,175,1985,385301,374869,973,315109,445224,28,67,1599,412482
Assam,Karimganj,920,424345,1169,2830,3099,801172,10.13,380,3750,592242,633118,1069,504393,721124,161,101,4107,656972
Bihar,Madhepura,3887,675971,3031,10934,8159,1164974,5.59,829,14821,867442,973126,1122,767646,1073299,1381,295,9809,885524
Bihar,Saharsa,2478,702404,2416,6857,6516,1197002,4.45,415,9335,918175,980896,1068,763488,1135918,841,263,8091,810748
Bihar,Supaul,3266,813497,2846,8233,7121,1285712,2.82,326,11574,994379,1104342,1111,859856,1239353,1472,93,8494,979960
Bihar,Purnia,4976,1139651,3064,17476,10765,2149128,2.4,540,22530,1741960,1545915,887,1356939,1931840,2105,386,11723,1414233
Bihar,Araria,1239,893473,3503,3255,8122,1480993,5.93,267,4503,1201291,1172343,976,918722,1455744,2102,215,9522,1072421
Bihar,Katihar,4147,969005,5128,9745,11985,1823964,6.54,908,13892,1389604,1402787,1009,1089637,1703332,2534,261,14579,1314910
Bihar,Kishanganj,3230,544717,2455,7042,5204,893486,5.92,608,10272,718857,719107,1000,588218,849985,1610,180,6048,693843
Bihar,Aurangabad,8229,888388,3539,24167,10431,1655240,1.57,511,32549,1308554,1234238,943,1037876,1505752,3183,251,10788,1060818
Bihar,Arwal,3178,247550,1624,4429,2605,402409,3.85,293,7607,312225,337601,1081,267244,382715,726,67,3503,335879
Bihar,Gaya,8207,1446206,6487,18532,14850,2669190,2.39,640,26740,2055435,2058837,1002,1550435,2564961,2029,288,19307,1776106
Bihar,Kaimur,1713,614870,3266,3879,7532,979764,2.28,128,5602,810245,783880,967,709780,884854,1109,61,9687,738225
Bihar,Rohtas,7222,1018369,5560,14898,12288,1762297,5.27,1165,22125,1396689,1383203,990,1141617,1639049,1406,461,16442,1390983
Bihar,Bhagalpur,111,1030427,3987,362,9061,1868837,3.59,17,473,1467393,1431401,975,1217548,1681716,2169,14,10879,1377091
Bihar,Banka,2366,747958,2479,5661,5666,1202008,3.4,273,8027,958443,991077,1034,819357,1130609,731,93,7414,866139
Bihar,Lakhisarai,2316,351380,2045,4850,4435,575237,8.99,644,7166,446574,479899,1075,399477,527140,1307,208,5172,436914
