state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,36,60961,37,872,498,67093,6.83,62,908,66777,61260,917,49343,78711,23,10,512
Andaman & Nicobar,South Andaman,147,129954,153,594,737,161311,6.61,49,741,156697,134521,858,103414,187851,161,13,729
Andaman & Nicobar,Nicobar,35,18973,23,170,277,23554,7.32,15,205,22990,19534,850,17222,25305,4,4,296
Andhra Pradesh,Krishna,18552,2288795,12485,32147,20105,1827399,1.97,1001,50699,1926521,2188943,1136,1426885,2689309,16567,279,16023
Andhra Pradesh,Guntur,19118,2396329,19114,31764,32485,1909062,1.21,617,50883,1993127,2311587,1160,1477855,2827536,26391,155,25208
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",12503,1654975,7968,25316,15249,1110181,1.21,456,37824,1258819,1505866,1196,1124474,1640682,8654,111,14562
Andhra Pradesh,Kurnool,10340,1758826,7037,53943,28184,1647508,0.79,506,64324,1534086,1871732,1220,1121345,2284989,23205,121,12016
Andhra Pradesh,Visakhapatnam,5935,2103129,10898,11395,16168,2165906,3.52,610,17330,2082474,2185949,1050,1437683,2831352,7185,150,19881
Andhra Pradesh,Anantapur,2144,2067330,7145,6197,23520,1573115,2.87,239,8341,1666836,1971580,1183,1284761,2355684,18249,60,12416
Andhra Pradesh,Chittoor,41234,2239140,9289,82294,19795,1767198,0.54,669,123971,1859372,2146338,1154,1478887,2527451,13650,160,15433
Andhra Pradesh,East Godavari,13274,2640853,17964,14727,20270,2143373,3.25,909,28001,2243309,2540143,1132,1422773,3361453,11037,222,27196
Andhra Pradesh,Prakasam,4996,1857981,14094,8781,28356,1345979,1.99,276,13874,1482807,1720693,1160,1252121,1951839,20691,103,21759
Andhra Pradesh,Sri Potti Sriramulu Nellore,6770,1682092,6511,14790,12588,1298752,1.44,310,21560,1395588,1584699,1136,1141158,1839686,8305,94,10794
Andhra Pradesh,Srikakulam,1790,1464908,3922,2738,4969,892967,22.35,1012,4528,1045746,1311879,1254,790653,1567222,3689,624,5202
Andhra Pradesh,Vizianagaram,1778,1160357,3608,2558,4951,819889,3.78,164,4336,897473,1082466,1206,692542,1287704,2561,69,5998
Andhra Pradesh,West Godavari,22617,2096320,12369,34515,19002,1556178,1.02,584,57136,1663544,1988461,1195,1308329,2344169,8617,266,22753
Arunachal Pradesh,Itanagar Capital Complex,41,42188,46,703,666,135308,4.84,36,744,101394,76083,750,69935,107561,152,7,560
Arunachal Pradesh,Lower Siang,21,9588,16,191,95,15700,3.77,8,212,13548,11739,866,8882,16406,8,1,103
Arunachal Pradesh,Pakke Kessang,0,6144,1,0,12,6189,0.0,0,0,6479,5847,902,4368,7965,2,0,10
Arunachal Pradesh,Changlang,41,46275,113,226,459,89828,8.61,23,267,75435,60654,804,48153,87950,117,12,454
Arunachal Pradesh,Kurung Kumey,21,6010,33,48,77,8112,1.45,1,69,6932,7084,1022,5067,9055,9,3,101
Arunachal Pradesh,Anjaw,8,6684,11,57,60,11780,23.08,15,65,10161,8301,817,6857,11607,6,3,64
