state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses
Andaman & Nicobar,North and Middle Andaman,0,0,28704,8,0,33,146,3652,21.21,7,33
Andaman & Nicobar,South Andaman,0,48,54833,52,0,428,445,13874,7.14,34,476
Andaman & Nicobar,Nicobar,0,0,7642,1,0,0,3,997,0.0,0,0
Andhra Pradesh,Krishna,0,18027,581194,12995,0,4696,1804,116006,1.28,292,22728
Andhra Pradesh,Guntur,22,6031,556880,21078,19,1410,2034,125492,3.21,239,7441
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,17854,449594,18137,0,621,439,54889,2.41,445,18475
Andhra Pradesh,Kurnool,0,6748,464606,17702,0,745,1034,67261,5.11,383,7497
Andhra Pradesh,Visakhapatnam,0,7229,530312,16131,0,5103,4989,154767,3.07,378,12332
Andhra Pradesh,Anantapur,0,14358,517772,18097,0,1485,1171,71575,2.44,387,15843
Andhra Pradesh,Chittoor,50,9351,583489,20333,50,712,1106,104126,2.84,286,10064
Andhra Pradesh,East Godavari,0,19431,600353,26777,0,313,398,118243,1.5,296,19744
Andhra Pradesh,Prakasam,50,11170,451782,11720,0,947,796,71244,2.42,293,12117
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,15292,458660,17400,0,721,704,72642,2.1,337,16013
Andhra Pradesh,Srikakulam,0,19891,407490,19501,0,240,221,52829,2.38,479,20131
Andhra Pradesh,Vizianagaram,0,4227,323360,13768,0,105,278,43175,4.11,178,4332
Andhra Pradesh,West Godavari,0,18179,486502,19296,0,409,284,62804,1.3,242,18588
Arunachal Pradesh,Itanagar Capital Complex,71,60,17041,17,0,1549,275,18423,1.31,21,1609
Arunachal Pradesh,Lower Siang,0,1,3902,9,0,12,5,1169,53.85,7,13
Arunachal Pradesh,Pakke Kessang,60,0,2909,5,0,0,0,1143,0.0,0,0
Arunachal Pradesh,Changlang,100,95,15613,70,0,65,26,7756,6.25,10,160
Arunachal Pradesh,Kurung Kumey,0,0,2444,8,0,0,27,2089,0.0,0,0
Arunachal Pradesh,Anjaw,0,0,2058,3,0,0,7,1451,0.0,0,0
Arunachal Pradesh,East Kameng,0,24,5832,16,0,1,4,2552,20.0,5,25
Arunachal Pradesh,Kamle,0,0,1527,3,0,0,2,742,0.0,0,0
Arunachal Pradesh,Dibang Valley,0,14,802,10,0,0,0,1028,42.86,6,14
Arunachal Pradesh,Tirap,0,100,3961,43,0,23,5,3139,5.69,7,123
Arunachal Pradesh,Kra Daadi,0,0,1451,13,0,0,14,1340,0.0,0,0
Arunachal Pradesh,West Kameng,0,3,12039,7,0,19,66,6204,81.82,18,22
Arunachal Pradesh,Lohit,0,1,5571,13,0,21,11,2798,36.36,8,22
Arunachal Pradesh,Tawang,0,43,7398,45,0,7,29,4111,20.0,10,50
Arunachal Pradesh,Lower Dibang Valley,99,27,6630,11,0,12,12,3250,28.21,11,39
Arunachal Pradesh,Lower Subansiri,0,0,6714,12,0,0,2,3267,0.0,0,0
Arunachal Pradesh,Lepa Rada,0,2,3765,2,0,8,7,1655,0.0,0,10
Arunachal Pradesh,Upper Siang,0,0,5571,2,0,0,7,2250,0.0,0,0
Arunachal Pradesh,Shi Yomi,0,0,1957,6,0,0,0,702,0.0,0,0
Arunachal Pradesh,Namsai,0,80,13616,87,0,7,3,3838,14.94,13,87
Arunachal Pradesh,Siang,0,0,4222,25,0,0,1,1195,0.0,0,0
Arunachal Pradesh,West Siang,0,0,10087,3,0,0,11,3388,0.0,0,0
Arunachal Pradesh,Papum Pare,0,0,7013,23,0,0,24,6226,0.0,0,0
Arunachal Pradesh,Longding,0,0,2112,4,0,0,1,3005,0.0,0,0
Arunachal Pradesh,Upper Subansiri,0,12,8071,13,0,0,7,3250,66.67,8,12
Arunachal Pradesh,East Siang,40,7,13697,27,0,1,16,5683,25.0,2,8
Assam,Dibrugarh,0,1669,129608,945,0,1379,858,59745,3.35,102,3048
Assam,Sivasagar,0,295,68751,463,0,243,230,15351,5.95,32,538
Assam,Tinsukia,0,1157,84441,881,0,521,578,28034,4.29,72,1678
Assam,Baksa,0,415,47906,339,79,506,315,15760,12.92,119,921
Assam,Barpeta,11,641,127840,808,0,67,262,30948,15.82,112,708
Assam,Darrang,0,464,67959,659,0,159,315,24199,4.33,27,623
Assam,Kamrup Metropolitan,0,3319,241632,2186,0,1362,3496,206265,4.46,209,4681
Assam,Kamrup Rural,348,2443,167708,1727,0,377,255,51379,7.45,210,2820
Assam,Karbi-Anglong,0,153,36925,232,0,11,230,18462,21.95,36,164
Assam,Nalbari,0,331,55540,550,0,87,476,17368,14.83,62,418
Assam,Golaghat,0,235,79143,577,0,87,444,25278,0.0,0,320
Assam,Jorhat,4,1428,89035,597,0,904,338,30907,3.77,88,2332
Assam,Morigaon,0,351,65005,606,0,115,410,17589,9.44,44,466
Assam,Nagaon,0,490,127879,582,0,1298,630,38345,5.15,92,1788
Assam,Bongaigaon,0,534,57065,311,0,173,449,24465,18.81,133,707
Assam,Chirang,18,117,26462,105,0,320,302,14337,5.26,23,437
Assam,Dhubri,26,332,74458,228,0,45,454,22852,8.75,33,377
Assam,Goalpara,738,306,55028,167,0,111,407,27644,15.11,63,417
Assam,Kokrajhar,31,667,47247,196,0,298,536,23845,13.99,135,965
Assam,Dhemaji,0,803,64269,698,0,11,421,21102,14.25,116,814
Assam,Lakhimpur,0,298,75639,576,0,16,320,24466,1.91,6,314
Assam,Sonitpur,138,854,99983,377,0,251,331,35559,12.22,135,1105
Assam,Udalguri,0,614,45767,326,0,165,439,18651,6.55,51,779
Assam,Cachar,25,1009,96709,698,0,1052,1034,36638,6.26,129,2061
Assam,Dima Hasao,177,40,19684,31,0,3,176,10034,39.53,17,43
Assam,Hailakandi,0,296,48856,567,0,189,309,20044,5.62,25,445
Assam,Karimganj,0,316,63118,554,0,175,526,25646,18.13,89,491
Bihar,Madhepura,0,277,120021,225,0,518,455,40097,5.66,45,795
Bihar,Saharsa,0,366,125380,284,0,48,363,38157,3.86,16,414
Bihar,Supaul,0,499,126112,487,0,9,995,42634,6.3,32,508
Bihar,Purnia,0,1016,228853,1457,0,185,290,79756,9.08,109,1201
Bihar,Araria,140,976,141528,867,0,44,503,50160,4.9,50,1020
Bihar,Katihar,1238,1172,119446,621,0,160,1263,65313,5.86,78,1332
Bihar,Kishanganj,0,407,78230,343,0,75,867,35126,14.11,68,482
Bihar,Aurangabad,0,1719,106500,1119,0,481,164,45867,6.36,140,2200
Bihar,Arwal,0,170,34579,127,0,46,138,13501,6.48,14,216
Bihar,Gaya,5854,2026,223858,857,0,295,245,101811,7.71,179,2321
Bihar,Kaimur,1717,373,94750,575,0,203,218,32203,2.43,14,576
Bihar,Rohtas,930,1113,168411,1127,0,43,156,60143,5.54,64,1156
Bihar,Bhagalpur,0,810,215827,785,0,355,555,79741,3.86,45,1165
Bihar,Banka,227,196,125604,281,61,581,654,38901,1.67,13,777
Bihar,Lakhisarai,5,273,46135,216,0,28,237,19569,2.99,9,301
Bihar,Munger,0,592,84424,390,0,68,499,34203,1.52,10,660
Bihar,Muzaffarpur,0,973,240760,728,0,300,738,114267,5.26,67,1273
Bihar,Sheohar,0,148,56383,204,0,0,112,13143,1.35,2,148
Bihar,Sitamarhi,0,561,179290,409,0,100,442,61643,8.93,59,661
Bihar,Vaishali,0,1452,220384,691,0,75,1050,64008,6.09,93,1527
Bihar,Nalanda,1872,520,225533,550,0,227,463,73706,5.76,43,747
