state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,0,416,31936,451,7,0,1814,1264,15527,1.79,40,2230,24860,22597,909,4181,43282,1118,10
Andaman & Nicobar,South Andaman,1,566,64072,1146,0,0,1954,2934,42922,2.78,70,2520,58935,48049,815,11950,95044,2373,18
Andaman & Nicobar,Nicobar,2,331,9720,286,2,0,416,611,7403,3.08,23,747,9108,8014,880,2411,14712,553,4
Andhra Pradesh,Krishna,585,4385,1087973,36323,389,389,12187,18742,394939,5.78,958,16572,692811,789885,1140,301204,1181708,12036,282
Andhra Pradesh,Guntur,1039,9948,1052126,39167,1400,1400,9387,17002,353179,2.15,415,19335,683408,721749,1056,277198,1128107,16570,150
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",50,12678,800263,29434,0,0,13165,9791,197733,1.57,406,25844,448841,548987,1223,209326,788670,9321,120
Andhra Pradesh,Kurnool,98,23615,774471,29018,58,58,17679,10806,243841,1.27,524,41356,441969,576225,1304,200554,817758,11173,126
Andhra Pradesh,Visakhapatnam,462,8016,974686,33018,1555,1555,12150,18869,521247,2.94,593,20167,745746,750001,1006,271501,1224432,13101,155
Andhra Pradesh,Anantapur,80,5220,864679,31077,0,0,11151,10139,219526,2.91,477,16373,501603,582125,1161,237728,846477,7255,124
Andhra Pradesh,Chittoor,3085,23560,988730,37111,293,293,20112,15352,313609,1.56,683,43677,592405,709771,1198,279478,1022861,12537,147
Andhra Pradesh,East Godavari,474,7080,1073096,33820,618,16,39989,21312,433710,1.87,879,47071,678375,828260,1221,278932,1227874,15285,219
Andhra Pradesh,Prakasam,3354,16279,856137,33034,7,0,8300,9297,216005,1.47,361,24579,494324,577681,1169,220683,851459,10805,104
Andhra Pradesh,Sri Potti Sriramulu Nellore,282,5090,821275,33733,182,182,2136,13045,246945,2.27,164,7226,498356,569652,1143,254187,814033,10466,48
Andhra Pradesh,Srikakulam,14,2063,715238,22160,0,0,3052,9096,193710,7.33,375,5115,393281,515586,1311,163234,745714,7937,95
Andhra Pradesh,Vizianagaram,824,5618,557622,17642,0,0,5280,6889,188417,2.04,222,10898,329418,416533,1264,122291,623748,7061,89
Andhra Pradesh,West Godavari,28032,8245,1016904,35481,0,0,3089,11658,281195,1.02,116,11334,562909,735030,1306,225494,1072605,14925,138
Arunachal Pradesh,Itanagar Capital Complex,0,180,24903,766,0,0,650,1296,56838,4.82,40,830,46638,35092,752,8049,73692,913,8
Arunachal Pradesh,Lower Siang,10,47,4915,118,0,0,124,238,5396,5.26,9,171,5531,4780,864,1183,9128,188,3
Arunachal Pradesh,Pakke Kessang,0,0,4249,154,0,0,0,85,2498,0.0,0,0,3504,3240,925,1509,5238,24,0
Arunachal Pradesh,Changlang,891,2,23110,369,888,0,35,492,34078,35.14,13,37,32471,24712,761,4738,52450,184,11
Arunachal Pradesh,Kurung Kumey,0,6,3755,182,0,0,62,209,3801,17.65,12,68,3534,3920,1109,1992,5564,106,2
Arunachal Pradesh,Anjaw,0,12,4279,123,0,0,254,331,5061,5.26,14,266,5056,4283,847,1438,7902,249,4
Arunachal Pradesh,East Kameng,0,30,9835,208,0,0,180,401,7188,14.29,30,210,8989,8031,893,1905,15118,336,6
Arunachal Pradesh,Kamle,0,10,1972,51,0,0,30,69,1709,0.0,0,40,2088,1593,763,537,3144,44,1
