state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,0,57289,148,0,0,0,840,34173,0.0,0,0,47776,43674,914,28222,63240,872,0
Andaman & Nicobar,South Andaman,0,114464,855,0,0,34,1023,65849,17.65,6,34,97049,83240,858,55496,124817,1308,1
Andaman & Nicobar,Nicobar,0,16668,104,0,0,0,106,12924,0.0,0,0,15947,13643,856,7912,21680,171,0
Andhra Pradesh,Krishna,7924,1437827,18684,1691,1691,3064,10163,629218,6.93,762,10988,968391,1098332,1134,508359,1558686,21812,338
Andhra Pradesh,Guntur,89,1430723,18575,116,116,356,12099,609388,3.37,15,445,954531,1085336,1137,489352,1550759,21423,4
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",126,1034169,11290,0,0,54,5645,316504,0.0,0,180,608163,742291,1221,362530,988143,8173,1
Andhra Pradesh,Kurnool,358,1068603,16309,436,436,92,7422,425780,6.67,30,450,639778,854426,1336,401060,1093323,12406,6
Andhra Pradesh,Visakhapatnam,140,1259779,11392,2394,2394,577,13566,826042,10.18,73,717,1018843,1066711,1047,486814,1599007,17352,13
Andhra Pradesh,Anantapur,1,1243102,16518,48,48,15,8159,404579,25.0,4,16,746424,900530,1206,473503,1174178,15215,1
Andhra Pradesh,Chittoor,4,1312375,22764,386,386,8,12407,552230,66.67,8,12,852288,1012059,1187,557850,1306755,13801,2
Andhra Pradesh,East Godavari,530,1531795,26651,345,0,371,9206,669534,1.0,9,901,984776,1216292,1235,502502,1698827,27617,22
Andhra Pradesh,Prakasam,2293,1121847,18412,143,143,1088,9380,421778,5.59,189,3381,707204,836222,1182,430176,1113449,10110,126
Andhra Pradesh,Sri Potti Sriramulu Nellore,3101,1138032,17296,185,185,2684,11193,411578,3.12,181,5809,720579,828714,1150,488031,1061579,16997,92
Andhra Pradesh,Srikakulam,0,962478,11632,172,172,10,4784,282885,0.0,0,10,539205,706045,1309,301985,943378,10121,1
Andhra Pradesh,Vizianagaram,0,683762,3910,0,0,0,3961,287963,0.0,0,0,430863,540730,1255,196540,775185,5659,0
Andhra Pradesh,West Godavari,1,1322064,15526,0,0,22,13927,502946,30.43,7,23,786202,1038571,1321,387341,1437669,17529,29
Arunachal Pradesh,Itanagar Capital Complex,30,36598,167,0,0,152,528,80064,15.38,28,182,66724,49926,748,24795,91867,310,7
Arunachal Pradesh,Lower Siang,0,8266,104,0,0,0,39,9658,0.0,0,0,9642,8281,859,3912,14012,46,0
Arunachal Pradesh,Pakke Kessang,0,5438,23,30,0,0,49,4262,0.0,0,0,5113,4583,896,2686,7014,45,2
Arunachal Pradesh,Changlang,0,35374,254,66,0,0,360,51766,0.0,0,0,49483,37647,761,14572,72568,398,2
