state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,435,55557,346,130,0,1303,391,25345,2.42,42,1738,42344,38548,910,26755,54147,397,10
Andaman & Nicobar,South Andaman,1571,106160,1219,0,0,1025,439,55994,3.62,94,2596,87838,74296,846,49406,112748,497,19
Andaman & Nicobar,Nicobar,216,15735,138,3,0,360,254,11873,2.43,14,576,14882,12725,855,7497,20111,283,4
Andhra Pradesh,Krishna,12031,1292294,10821,405,405,13951,8181,546829,3.84,998,25982,862021,976820,1133,448350,1390773,11095,243
Andhra Pradesh,Guntur,6983,1282918,10551,478,478,3245,5388,512016,4.9,501,10229,844471,950264,1125,409078,1385856,7109,164
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",5560,950320,4977,57,0,4394,3047,272895,4.04,402,9958,547788,675230,1233,296578,926637,4175,133
Andhra Pradesh,Kurnool,10328,938119,6903,441,438,6986,5906,362983,2.69,466,17314,555410,745537,1342,304823,996279,6738,132
Andhra Pradesh,Visakhapatnam,10089,1167546,8148,2962,2936,16283,8961,715535,2.34,618,26372,920703,962142,1045,415714,1467367,6874,167
Andhra Pradesh,Anantapur,7643,1114998,11683,109,109,5342,3406,336363,3.18,413,12997,656998,793711,1208,392287,1059074,3161,124
Andhra Pradesh,Chittoor,2996,1137650,7558,742,741,3445,6311,445037,4.49,289,6441,722737,859731,1190,375549,1207138,6273,110
Andhra Pradesh,East Godavari,7465,1333752,12052,99,0,8148,7738,591601,3.82,597,15613,856687,1068443,1247,432088,1493265,11332,170
Andhra Pradesh,Prakasam,819,989228,3831,146,146,1423,7558,342389,6.51,146,2244,610083,721357,1182,291646,1039971,7102,65
Andhra Pradesh,Sri Potti Sriramulu Nellore,6966,1015402,7326,0,0,7122,3994,330666,2.43,342,14088,621801,723995,1164,405481,940587,3571,95
Andhra Pradesh,Srikakulam,10389,876222,4555,131,0,4926,1719,245357,2.97,455,15315,486498,634979,1305,254187,867392,1497,110
Andhra Pradesh,Vizianagaram,4444,651564,3141,118,0,3630,2650,255782,3.54,286,8074,401370,505850,1260,177270,730076,3359,89
Andhra Pradesh,West Godavari,1163,1212350,6032,94,94,1138,8074,403899,4.74,109,2301,686542,929504,1354,302559,1313690,9957,143
Arunachal Pradesh,Itanagar Capital Complex,399,34611,443,0,0,831,941,74267,2.44,30,1230,62409,46457,744,20274,88604,622,8
Arunachal Pradesh,Lower Siang,170,7478,100,0,0,101,126,9245,3.32,9,271,9000,7722,858,3191,13532,145,2
Arunachal Pradesh,Pakke Kessang,55,5127,46,0,0,89,49,3789,11.11,16,144,4655,4258,915,2337,6579,43,4
Arunachal Pradesh,Changlang,462,32509,326,329,0,397,329,47347,4.77,41,859,45328,34520,762,12196,67660,336,13
Arunachal Pradesh,Kurung Kumey,16,4783,22,0,0,77,53,5172,7.53,7,93,4763,5090,1069,2518,7437,49,2
Arunachal Pradesh,Anjaw,49,4768,32,0,0,28,68,7318,3.9,3,77,6618,5467,826,1844,10242,67,3
Arunachal Pradesh,East Kameng,43,12334,123,0,0,19,229,11052,12.9,8,62,12338,11045,895,4134,19252,244,1
Arunachal Pradesh,Kamle,52,2808,38,20,0,86,66,3471,15.94,22,138,3633,2646,728,976,5303,80,3
Arunachal Pradesh,Dibang Valley,1,1524,9,100,0,6,9,3117,42.86,3,7,2882,1759,610,1081,3560,11,1
Arunachal Pradesh,Tirap,116,11727,96,0,0,216,173,19994,2.41,8,332,18368,13347,727,4219,27502,183,4
Arunachal Pradesh,Kra Daadi,11,2862,31,0,0,10,23,3551,42.86,9,21,3399,3014,887,1206,5207,15,1
Arunachal Pradesh,West Kameng,220,23751,182,2,0,447,407,33098,4.95,33,667,31650,25184,796,11424,45425,429,8
Arunachal Pradesh,Lohit,191,11492,140,0,0,179,185,18657,5.41,20,370,16981,13158,775,4837,25312,209,5
Arunachal Pradesh,Tawang,135,13507,129,0,0,67,66,19320,8.91,18,202,17680,15135,856,7246,25581,56,3
Arunachal Pradesh,Lower Dibang Valley,125,14298,126,386,0,184,199,20008,10.03,31,309,18824,15478,822,6793,27513,184,6
