state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Gujarat,Gandhinagar Corporation,33,487,59509,488,16,4425,4515,92469,2.61,128,4912,87064,64908,746
Gujarat,Jamnagar Corporation,70,859,97320,595,384,3368,4647,108677,4.8,203,4227,111987,94079,840
Gujarat,Junagadh Corporation,0,177,55094,132,0,1978,344,14012,3.02,65,2155,36524,32597,892
Gujarat,Rajkot Corporation,0,1043,250554,1067,0,6947,12847,329058,7.76,620,7990,323731,255918,791
Gujarat,Surat Corporation,9,2645,633045,1751,7,20167,19059,519073,2.84,648,22812,678290,473996,699
Gujarat,Vadodara Corporation,43,2027,363714,2093,1335,11352,16645,394210,4.04,541,13379,406482,351532,865
Tamil Nadu,Cheyyar,0,801,28226,400,0,1269,1693,23828,3.86,80,2070,29567,22492,761
Tamil Nadu,Aranthangi,0,270,36308,446,0,187,742,17425,13.79,63,457,28922,24804,858
Tamil Nadu,Kovilpatti,0,20,38789,664,0,46,1177,21695,21.21,14,66,30871,29611,959
Tamil Nadu,Ranipet,2960,1218,45582,715,0,2858,1915,35091,5.99,244,4076,47995,32671,681
West Bengal,COOCHBEHAR,0,1267,213225,1404,0,1829,3595,80055,4.01,124,3096,170202,123064,723
