state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Telangana,Warangal(Rural),0,191212,612,0,898,187454,0.0,0,0,175949,202608,1152,81816,296850,1112,0,397
Telangana,Warangal(Urban),13,439574,641,32,1274,503167,33.33,15,45,458890,483692,1054,295413,647328,882,2,1033
Telangana,Yadadri Bhuvanagiri,0,352740,327,0,998,227624,0.0,0,0,278076,302135,1087,173838,406526,875,0,449
Telangana,Mulugu,0,127454,639,0,630,105702,0.0,0,0,111115,121993,1098,55461,177695,781,0,488
Telangana,Narayanpet,7,129293,552,6,924,172989,53.85,7,13,144179,158056,1096,41127,261155,1060,3,416
Tripura,Dhalai,55,175894,44,332,206,225957,39.53,153,387,213114,188687,885,143971,257880,14,136,235
Tripura,Gomati,192,222734,74,167,115,204708,11.42,41,359,217802,209590,962,148798,278644,12,20,176
Tripura,Khowai,66,143748,23,387,131,157025,21.41,97,453,152814,147913,968,99470,201303,20,34,134
Tripura,North Tripura,59,208387,18,605,172,255175,12.95,86,664,236143,227328,963,180569,282993,15,46,175
Tripura,Sepahijala,36,245418,23,379,235,279524,20.48,85,415,267003,257851,966,194753,330189,17,163,241
Tripura,South Tripura,13,276506,16,56,138,228471,30.43,21,69,254273,250636,986,201466,303511,7,3,148
Tripura,Unakoti,1,124784,12,40,79,134847,21.95,9,41,130577,129025,988,87234,172397,6,1,85
Tripura,West Tripura,142,562511,45,976,357,552942,15.38,172,1118,560873,554400,988,441051,674402,35,113,367
Uttar Pradesh,Agra,1579,1000942,2184,4667,5973,1731903,2.47,154,6246,1477524,1253546,848,641182,2091663,3742,69,4415
Uttar Pradesh,Aligarh,1083,711617,1830,3348,4334,1203044,3.59,159,4431,1016371,897804,883,397420,1517241,3291,47,2872
Uttar Pradesh,Prayagraj,2725,1157619,5169,8593,13037,2019124,2.14,242,11318,1717669,1457620,849,698150,2478593,12063,175,6143
Uttar Pradesh,Ambedkar Nagar,1606,572450,2347,3961,4321,763674,2.21,123,5567,674567,660533,979,268058,1068066,3030,39,3637
Uttar Pradesh,Amethi,1094,543958,1384,2849,2980,714445,1.95,77,3943,618358,639676,1034,295301,963102,1774,63,2589
Uttar Pradesh,Amroha,395,403431,844,1645,2351,641198,2.94,60,2040,562974,481224,855,214409,830220,1657,18,1538
Uttar Pradesh,Auraiya,621,321863,779,1694,1548,413349,7.56,175,2315,396727,338226,853,141726,593486,994,40,1332
Uttar Pradesh,Azamgarh,2397,1017350,3188,5646,6723,1535780,3.82,307,8043,1301533,1250095,960,500836,2052294,4892,59,5019
Uttar Pradesh,Badaun,730,648343,2002,2118,3972,897733,4.99,142,2848,835279,710492,851,268995,1277081,3401,58,2572
Uttar Pradesh,Baghpat,397,474243,926,1431,2010,456579,2.3,42,1828,497171,433352,872,271574,659248,913,25,2022
Uttar Pradesh,Bahraich,562,969703,2617,1593,4487,1103423,9.05,195,2155,1098281,974521,887,449110,1624016,2934,78,4169
Uttar Pradesh,Balarampur,1306,673975,2222,2224,2439,608819,7.08,250,3530,680699,601851,884,333984,948810,1300,115,3362
Uttar Pradesh,Ballia,2595,749660,2251,4573,4729,909696,2.68,192,7168,845842,812170,960,298072,1361284,3797,43,3182
Uttar Pradesh,Banda,643,370179,903,975,1369,518815,6.3,102,1618,483325,405381,839,167899,721095,924,35,1347
Uttar Pradesh,Barabanki,1654,755347,2225,4494,4640,1021396,1.82,112,6148,958396,817265,853,316094,1460649,3723,33,3142
Uttar Pradesh,Bareilly,3453,1003684,3061,9485,7714,1680217,5.5,712,12938,1461697,1221270,836,618374,2065527,5646,229,5128
Uttar Pradesh,Basti,1161,626769,1348,3175,3038,815668,5.4,234,4336,739572,702488,950,313435,1129002,1906,58,2479
Uttar Pradesh,Bijnour,2554,900473,3424,7111,7549,1270743,3.16,305,9665,1117503,1052891,942,489980,1681236,5412,74,5560
Uttar Pradesh,Bulandshahr,1493,981767,2019,4674,4706,1148321,5.72,353,6167,1123111,1006458,896,535277,1594811,2506,99,4219
Uttar Pradesh,Chandauli,1097,446420,1060,2936,2471,613484,1.91,77,4033,556621,503032,904,175457,884447,1756,31,1775
Uttar Pradesh,Chitrakoot,209,209657,581,623,949,293908,21.39,178,832,268925,234550,872,89421,414144,658,51,872
Uttar Pradesh,Deoria,1461,806727,2162,4815,5170,1106930,3.25,204,6276,959031,952761,993,407303,1506354,4099,99,3232
Uttar Pradesh,Etah,390,371350,896,1130,1813,540999,5.92,90,1520,496193,415884,838,158225,754124,1300,23,1409
Uttar Pradesh,Etawah,1351,364874,938,1787,1565,444517,4.53,142,3138,441607,367548,832,179317,630074,964,35,1539
Uttar Pradesh,Ayodhya,1378,562116,2110,3772,4497,951514,3.88,200,5150,776822,735464,947,334242,1179388,3568,53,3038
Uttar Pradesh,Farrukhabad,449,399812,819,1386,1864,562261,4.09,75,1835,518983,442792,853,171732,790341,1276,160,1407
Uttar Pradesh,Fatehpur,839,664262,1401,2128,2668,851795,5.49,163,2967,780306,735465,943,309734,1206323,1483,71,2585
Uttar Pradesh,Firozabad,1536,444541,2316,2957,4589,653312,3.72,167,4493,594699,502856,846,226075,871778,4058,43,2846
Uttar Pradesh,Gautam Buddha Nagar,1206,799036,1391,7042,7499,1833836,2.69,222,8248,1615134,1016683,629,884098,1748774,2896,52,5994
Uttar Pradesh,Ghaziabad,2215,1043565,2423,10115,9132,2001938,2.19,270,12330,1716975,1327244,773,916806,2128697,4766,72,6788
Uttar Pradesh,Ghazipur,1738,873002,2806,4555,5582,1154174,2.97,187,6293,1049982,975437,929,400942,1626234,3772,48,4615
Uttar Pradesh,Gonda,1481,954315,2096,3307,3563,1042313,2.97,142,4788,1041924,954018,916,448520,1548108,2237,87,3422
