state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,21,61570,23,193,639,81714,12.15,26,214,74422,68841,925,64230,79054,13,10,649,68862
Andaman & Nicobar,South Andaman,265,133835,138,861,1498,190512,3.91,44,1126,173869,150420,865,133877,190470,81,14,1554,145735
Andaman & Nicobar,Nicobar,10,19923,6,56,47,26352,21.21,14,66,25053,21218,847,20849,25426,3,4,49,22129
Andhra Pradesh,Krishna,9816,2723147,10033,16423,17148,2461068,3.89,1021,26239,2443126,2740138,1122,2144354,3039861,5914,279,21267,1789051
Andhra Pradesh,Guntur,4708,2777589,7098,8740,15015,2781365,3.81,512,13448,2594243,2963873,1142,2028514,3530440,8353,153,13759,1829980
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",1609,1808433,3098,3821,7789,1458176,8.08,439,5431,1509690,1756340,1163,1398044,1868565,4236,124,6651,1060125
Andhra Pradesh,Kurnool,4455,1917095,6540,7529,12800,2223408,4.03,485,12025,1888091,2251774,1193,1417152,2723351,5107,141,14233,1311381
Andhra Pradesh,Visakhapatnam,6996,2367601,4303,14235,10077,2640685,2.89,613,21237,2431240,2576313,1060,1972598,3035688,3127,147,11253,2040183
Andhra Pradesh,Anantapur,4017,2346405,7218,7002,11837,2142130,4.18,461,11019,2078881,2407168,1158,1746721,2741814,4561,122,14494,1460604
Andhra Pradesh,Chittoor,6074,2559357,11593,8325,10073,2291756,3.4,490,14400,2264452,2585878,1142,1978614,2872499,3354,154,18311,1661308
Andhra Pradesh,East Godavari,7085,3152191,10472,7278,8502,2586375,7.22,1037,14363,2688242,3049398,1134,2178117,3560449,2379,255,16596,1935909
Andhra Pradesh,Prakasam,2368,2107356,4942,6193,10828,1920042,3.38,289,8561,1890508,2136288,1130,1622383,2405015,6464,162,9305,1259063
Andhra Pradesh,Sri Potti Sriramulu Nellore,903,1908812,3420,2576,9473,1796712,6.29,219,3481,1755750,1949085,1110,1500473,2205051,4444,95,8448,1185173
Andhra Pradesh,Srikakulam,5074,1649630,3782,3707,2971,1040019,6.71,589,8781,1193750,1495606,1253,1046469,1643180,1157,141,5596,1037152
Andhra Pradesh,Vizianagaram,4027,1388873,5594,7297,9265,1165825,3.23,366,11324,1173564,1380730,1177,1102860,1451838,4216,95,10643,964364
Andhra Pradesh,West Godavari,3584,2404606,4704,7696,12055,2081199,5.41,610,11280,2075391,2409789,1161,1923929,2561876,3491,253,13268,1700851
Arunachal Pradesh,Itanagar Capital Complex,61,43522,46,410,431,149067,6.16,29,471,109949,82620,751,82411,110178,81,7,396,96013
Arunachal Pradesh,Lower Siang,6,9852,5,17,36,17132,30.43,7,23,14485,12498,863,10363,16621,4,1,36,15795
Arunachal Pradesh,Pakke Kessang,3,6370,12,19,30,7044,36.36,8,22,7061,6346,899,5388,8026,2,1,40,7717
Arunachal Pradesh,Changlang,73,49495,101,289,342,101600,16.02,58,362,83643,67433,806,60802,90293,82,12,361,76437
Arunachal Pradesh,Kurung Kumey,0,6217,2,8,22,8986,25.0,2,8,7483,7614,1018,6021,9182,2,1,22,8589
Arunachal Pradesh,Anjaw,1,6851,5,10,20,13069,81.82,9,11,11072,8846,799,8189,11731,2,1,22,10986
Arunachal Pradesh,East Kameng,13,18011,16,61,71,21538,21.62,16,74,20824,18718,899,16500,23049,9,2,77,20847
Arunachal Pradesh,Kamle,1,4269,11,30,27,6878,29.03,9,31,6352,4795,755,4176,6971,3,2,35,6235
Arunachal Pradesh,Dibang Valley,0,1959,0,0,1,4810,0.0,0,0,4316,2453,568,2613,4156,0,1,1,3926
Arunachal Pradesh,Tirap,6,17832,30,64,88,36324,28.57,20,70,30280,23863,788,22510,31646,8,3,109,29183
Arunachal Pradesh,Kra Daadi,0,4007,6,3,10,5675,233.33,7,3,5151,4531,880,3395,6287,1,1,14,6000
Arunachal Pradesh,West Kameng,13,29723,18,123,126,68348,17.65,24,136,54352,43685,804,42064,56007,17,7,127,50910
Arunachal Pradesh,Lohit,45,16017,18,230,114,38578,9.09,25,275,29782,24800,833,23226,31369,25,7,106,28235
Arunachal Pradesh,Tawang,13,16311,8,99,59,37291,7.14,8,112,29291,24293,829,23969,29633,7,3,60,27846
Arunachal Pradesh,Lower Dibang Valley,25,18586,16,162,86,37246,22.99,43,187,30543,25283,828,22987,32845,17,8,84,30066
Arunachal Pradesh,Lower Subansiri,15,15962,8,151,75,30920,20.48,34,166,25664,21216,827,19759,27123,12,8,71,24947
Arunachal Pradesh,Lepa Rada,0,8437,5,11,23,15404,81.82,9,11,13550,10287,759,10490,13351,1,2,27,12970
Arunachal Pradesh,Upper Siang,3,13797,18,36,52,19477,2.56,1,39,17865,15407,862,14581,18693,6,2,63,17555
Arunachal Pradesh,Shi Yomi,9,4591,3,31,19,8216,50.0,20,40,6660,6147,923,5845,6962,6,3,15,6737
Arunachal Pradesh,Namsai,114,38713,68,481,276,75781,14.29,85,595,61292,53198,868,50462,64032,59,21,285,58240
Arunachal Pradesh,Siang,19,9953,11,37,25,13920,42.86,24,56,12570,11295,899,9412,14461,7,4,28,13937
Arunachal Pradesh,West Siang,22,22441,16,129,95,40252,5.96,9,151,33446,29240,874,28844,33849,8,5,103,32722
Arunachal Pradesh,Papum Pare,32,16859,24,198,121,39472,13.04,30,230,33234,23087,695,24146,32185,22,7,122,28602
Arunachal Pradesh,Longding,3,10478,24,11,35,17566,114.29,16,14,17176,10868,633,8624,19420,10,4,48,18025
Arunachal Pradesh,Upper Subansiri,30,21302,25,90,80,21086,0.0,0,120,22313,20068,899,17450,24938,9,3,96,23271
Arunachal Pradesh,East Siang,54,31148,49,311,285,65445,12.33,45,365,50016,46557,931,42138,54455,45,12,288,51439
Assam,Dibrugarh,2415,517235,1668,6282,4680,894210,4.74,412,8698,704291,706976,1004,490538,920907,496,95,5852,618186
Assam,Sivasagar,1961,300340,1167,4427,2587,439062,4.41,282,6388,371735,367555,989,258584,480818,178,94,3575,372498
Assam,Tinsukia,1754,412978,1104,5326,3225,717959,4.51,319,7081,564058,566685,1005,313692,817245,1313,106,3016,446982
Assam,Baksa,1129,262992,867,2915,2271,460094,5.84,236,4044,360537,362404,1005,166187,556899,255,67,2882,304402
Assam,Barpeta,4214,637701,3704,9198,8227,1015832,7.81,1048,13412,816488,836828,1025,547375,1106158,1092,301,10837,561566
Assam,Darrang,2391,329216,1552,4484,3011,502211,5.31,365,6875,414866,416451,1004,222145,609282,775,124,3787,321823
Assam,Kamrup Metropolitan,1520,772611,1188,5137,3804,1401811,4.1,273,6657,1211071,962951,795,921891,1252531,557,77,4435,1048109
Assam,Kamrup Rural,2350,648794,2242,5950,6088,920410,5.42,450,8300,793043,775949,978,480971,1088233,845,112,7484,662438
Assam,Karbi-Anglong,1074,144904,832,3081,2489,278175,5.66,235,4155,216755,206259,952,124369,298710,1223,68,2098,159228
Assam,Nalbari,2005,282740,1543,4482,3331,418858,4.05,263,6487,346012,355501,1027,210392,491206,685,70,4188,302161
Assam,Golaghat,2754,386838,1399,6748,3526,681149,0.61,58,9502,538860,528935,982,351691,716296,447,95,4478,524859
Assam,Jorhat,2388,409559,1741,5514,4056,598882,3.39,268,7902,502560,505728,1006,354927,653514,354,67,5442,555583
Assam,Morigaon,2846,327270,1467,6214,3336,526081,5.3,480,9060,413255,440010,1065,251777,601574,984,142,3819,376901
Assam,Nagaon,2939,658626,2406,6297,5310,1076349,6.0,554,9236,836574,898155,1074,520013,1214962,833,139,6882,665694
Assam,Bongaigaon,2491,270751,1595,5624,3479,462386,5.11,415,8115,363773,369243,1015,235716,497421,374,104,4699,308770
Assam,Chirang,650,145435,538,1469,1266,263856,12.32,261,2119,211207,198036,938,118271,291020,211,64,1592,168945
Assam,Dhubri,1991,441961,1601,4625,3720,786342,4.75,314,6616,621452,606696,976,274132,954171,756,122,4565,374479
Assam,Goalpara,2299,317416,1406,5287,3147,586520,8.36,634,7586,447739,456043,1019,237971,665965,341,149,4211,327558
Assam,Kokrajhar,2231,265184,1206,4841,2668,469527,6.33,448,7072,373012,361618,969,192526,542185,273,104,3601,293694
Assam,Dhemaji,1152,234733,788,3359,2328,412164,8.4,379,4511,314490,332302,1057,211184,435713,333,82,2783,316141
Assam,Lakhimpur,1990,406901,1708,4077,3635,632255,2.69,163,6067,513606,525407,1023,351933,687223,562,77,4780,481409
Assam,Sonitpur,2859,450154,1751,6847,4380,811929,7.77,754,9706,614032,647863,1055,485120,776963,948,192,5183,606138
Assam,Udalguri,1863,244117,1049,4009,2314,430122,8.82,518,5872,334606,339555,1015,160670,513569,762,134,2601,250122
Assam,Cachar,1337,588837,1085,3174,2694,955904,5.3,239,4511,778219,766310,985,429972,1114769,1013,68,2766,542662
Assam,Dima Hasao,171,64997,161,554,487,120844,20.0,145,725,102896,82887,806,66568,119273,271,57,377,84467
Assam,Hailakandi,696,220953,514,1746,1349,366372,6.06,148,2442,303633,283574,934,163097,424228,184,57,1679,264376
Assam,Karimganj,675,330671,912,1577,2282,585720,10.12,228,2252,455097,461185,1013,231821,684570,289,55,2905,320931
Bihar,Madhepura,26,516292,3056,74,4324,789992,17.65,18,102,627799,678227,1080,323004,983280,1425,30,5954,440308
Bihar,Saharsa,83,576714,1454,240,3535,864256,4.82,17,353,702573,738120,1051,405062,1035908,1624,126,3364,452283
Bihar,Supaul,43,630063,2407,128,4479,877562,28.65,49,171,721479,785821,1089,418430,1089195,1926,129,4960,487888
Bihar,Purnia,256,950513,3281,706,11608,1507231,9.15,88,962,1291841,1165195,902,799321,1658423,6110,195,8779,874065
Bihar,Araria,107,699436,4187,254,7268,985013,16.34,59,361,849634,834295,982,452490,1231959,4939,210,6515,614589
Bihar,Katihar,152,711783,2850,342,5778,1221477,13.73,70,510,966297,966561,1000,446853,1486407,3580,58,5048,671550
Bihar,Kishanganj,14,388108,933,53,1962,604507,64.18,43,67,502566,489891,975,223102,769513,1063,43,1832,368567
Bihar,Aurangabad,640,644676,4338,3069,11259,1028136,2.16,80,3710,857804,814472,949,458577,1214235,10198,46,5399,573586
Bihar,Arwal,52,190137,422,143,894,284952,12.82,25,195,233159,241827,1037,127504,347585,250,10,1065,234217
Bihar,Gaya,1251,1087617,8956,3109,16596,1783755,7.09,309,4361,1440319,1430324,993,793577,2077795,18293,526,7258,1019129
Bihar,Kaimur,45,440809,1598,182,2801,629838,8.7,20,230,552474,517866,937,255830,814817,1336,20,3062,360723
Bihar,Rohtas,217,787453,2674,696,5899,1250700,7.73,71,919,1050680,986938,939,516474,1521679,2690,46,5883,718701
Bihar,Bhagalpur,64,826055,2046,220,5296,1389412,8.01,23,287,1137150,1077956,948,695226,1520241,2494,69,4847,932029
Bihar,Banka,68,538456,1464,271,2736,794136,9.14,31,339,653984,678332,1037,379004,953588,1546,22,2653,527381
Bihar,Lakhisarai,90,244957,334,82,707,368622,26.44,46,174,300135,313345,1044,147260,466319,274,21,765,236694
Bihar,Munger,342,393512,1609,942,3060,625763,1.39,18,1292,524806,494266,942,291584,727691,1969,67,2700,402937
Bihar,Muzaffarpur,55,1194749,3722,119,7171,1885885,14.94,26,174,1508981,1571031,1041,795715,2284919,2590,25,8303,1143034
Bihar,Sheohar,2,198512,249,11,650,224507,130.77,17,13,202540,220407,1088,118005,305014,256,10,642,180136
Bihar,Sitamarhi,252,875598,1865,457,3346,1117671,14.97,112,748,935144,1057812,1131,464654,1528615,1480,72,3730,773245
Bihar,Vaishali,79,911930,2217,172,5038,1301129,9.59,28,292,1088577,1123844,1032,520161,1692898,2438,20,4817,852926
Bihar,Nalanda,115,948941,4488,389,8702,1189914,10.89,55,505,1078362,1060012,983,709212,1429643,4235,79,8955,806568
Bihar,Jehanabad,158,293926,1329,540,2762,428673,5.71,40,700,353319,369112,1045,214427,508172,1046,23,3044,301130
Bihar,Nawada,299,590294,5441,749,4373,845585,10.59,114,1076,701014,734600,1048,322661,1113218,4339,38,5474,517538
Bihar,Sheikhpura,43,160748,198,149,548,232018,5.26,12,228,194117,198587,1023,102572,290194,191,12,554,175466
Bihar,Darbhanga,684,1157490,5507,1897,12774,1618142,3.55,92,2588,1298408,1476678,1137,808642,1966990,12076,57,6205,1049024
Bihar,Madhubani,27,1199284,3593,130,7199,1564614,14.65,23,157,1233634,1529639,1240,755203,2008695,3397,13,7395,1049978
Bihar,Samastipur,27,1009117,2180,117,6054,1625354,16.28,28,172,1253402,1380534,1101,614895,2019576,2482,35,5751,1037535
Bihar,Patna,795,2182037,3515,2955,9010,3735225,6.86,258,3762,3190957,2724975,854,2471548,3445714,2173,130,10351,2595019
Bihar,Begusarai,59,753342,1902,212,4496,1218968,14.39,39,271,963317,1008628,1047,521931,1450379,1837,20,4561,756599
Bihar,Bhojpur,313,699839,2243,902,4590,1038392,20.62,253,1227,892169,845678,948,422774,1315457,2638,68,4195,644434
Bihar,Buxar,89,522139,2216,280,4028,765960,21.65,89,411,656281,631572,962,366191,921908,1483,26,4760,440878
Bihar,Khagaria,87,392576,1275,285,2990,643732,13.58,55,405,496896,539147,1085,248389,787919,1369,36,2896,397304
Bihar,Saran,286,1107186,2725,877,6231,1590279,14.33,168,1172,1310763,1385947,1057,797254,1900211,2902,67,6053,1093737
Bihar,Siwan,181,1015089,3546,722,7534,1438817,14.06,127,903,1210883,1242227,1026,760248,1693658,2669,60,8411,965919
Bihar,Gopalganj,163,722766,2667,755,5312,1126880,5.66,52,918,908606,940613,1035,545297,1304349,1352,22,6626,572799
Bihar,East Champaran,508,1423906,2315,1230,5725,2166189,13.55,241,1779,1779161,1810100,1017,1072434,2517661,1632,146,6408,1284037
Bihar,West Champaran,67,899814,3009,168,5369,1449679,39.83,94,236,1191287,1157703,972,529967,1819526,2416,107,5961,876444
Bihar,Jamui,12,406639,683,82,1880,639977,17.02,16,94,521392,525042,1007,236283,810333,1002,14,1561,411733
Chandigarh,Chandigarh,696,550638,654,2832,2575,951249,3.74,132,3528,857168,644486,752,571879,930008,439,48,2791,763758
Chhattisgarh,Raipur,2088,903944,1186,10204,5746,1628790,6.17,758,12292,1321346,1211099,917,964830,1567904,1133,265,5800,1183295
Chhattisgarh,Balod,1141,393325,476,4238,2063,436981,5.22,281,5379,393948,436218,1107,285213,545093,911,116,1627,358303
