state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,23,61541,19,284,610,81509,14.01,43,307,74288,68741,925,64014,79036,10,10,618,68860
Andaman & Nicobar,South Andaman,115,133561,99,1406,1366,189583,4.54,69,1521,173215,149872,865,132744,190400,71,16,1394,145667
Andaman & Nicobar,Nicobar,6,19913,5,18,36,26281,66.67,16,24,25009,21181,847,20768,25426,3,4,37,22129
Andhra Pradesh,Krishna,7797,2713249,8645,14179,14815,2444462,3.98,874,21976,2430006,2726759,1122,2123002,3034709,5189,250,18271,1786008
Andhra Pradesh,Guntur,3789,2772796,6496,7869,14031,2772322,5.16,602,11658,2587557,2956724,1143,2019011,3526107,7963,154,12564,1809660
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2644,1806730,2929,6923,7391,1454168,5.1,488,9572,1506713,1753607,1164,1394108,1866790,4047,124,6272,1057192
Andhra Pradesh,Kurnool,4982,1912568,5929,6717,11778,2215524,3.82,448,11722,1882227,2245229,1193,1407783,2720309,4749,153,12958,1297959
Andhra Pradesh,Visakhapatnam,4594,2360382,3428,11418,8226,2625803,3.6,577,16013,2421013,2564444,1059,1954009,3032176,2800,151,8854,2005242
Andhra Pradesh,Anantapur,5722,2342352,6651,8203,10878,2134954,3.69,514,13946,2073146,2401675,1158,1738066,2739240,4221,122,13308,1456494
Andhra Pradesh,Chittoor,5779,2553098,10721,6358,8876,2283023,4.33,526,12144,2257320,2578022,1142,1965280,2870841,3147,155,16450,1635534
Andhra Pradesh,East Godavari,10942,3145114,9460,8527,7463,2579081,5.45,1061,19469,2680951,3042321,1135,2165817,3558378,2083,259,14840,1934746
Andhra Pradesh,Prakasam,2285,2104806,5394,5086,11715,1913445,5.01,369,7371,1886003,2131646,1130,1617128,2401123,7352,162,9755,1255074
Andhra Pradesh,Sri Potti Sriramulu Nellore,1457,1907795,3668,4465,9920,1793778,5.08,301,5929,1753741,1947145,1110,1498007,2203566,4899,95,8689,1183576
Andhra Pradesh,Srikakulam,4574,1644556,3057,3585,2442,1036312,7.6,620,8160,1189910,1490667,1253,1038853,1642015,990,141,4508,1036147
Andhra Pradesh,Vizianagaram,4754,1384566,5059,8369,8219,1158008,2.34,307,13123,1167523,1374650,1177,1094306,1448268,3792,91,9485,957330
Andhra Pradesh,West Godavari,5925,2400651,4362,14728,11346,2072218,3.9,806,20664,2068622,2403623,1162,1913983,2558886,3249,266,12458,1695910
Arunachal Pradesh,Itanagar Capital Complex,59,43461,41,465,418,148657,8.78,46,524,109670,82428,752,82032,110086,74,7,384,95779
Arunachal Pradesh,Lower Siang,2,9846,4,27,33,17115,3.45,1,29,14472,12488,863,10343,16618,3,1,34,15788
Arunachal Pradesh,Pakke Kessang,5,6367,13,23,30,7025,7.14,2,28,7042,6343,901,5367,8025,2,1,41,7711
Arunachal Pradesh,Changlang,115,49398,87,409,297,101277,8.78,46,524,83424,67232,806,60484,90191,67,13,316,76264
Arunachal Pradesh,Kurung Kumey,0,6217,3,4,22,8978,150.0,6,4,7481,7608,1017,6018,9177,2,1,23,8587
Arunachal Pradesh,Anjaw,2,6850,5,20,18,13059,36.36,8,22,11061,8846,800,8178,11731,2,2,20,10978
Arunachal Pradesh,East Kameng,11,17998,15,98,65,21477,0.92,1,109,20785,18683,899,16437,23038,8,1,72,20770
Arunachal Pradesh,Kamle,0,4268,11,19,24,6848,5.26,1,19,6324,4792,758,4151,6965,2,6,33,6235
Arunachal Pradesh,Dibang Valley,0,1959,0,0,1,4810,0.0,0,0,4316,2453,568,2613,4156,0,1,1,3925
Arunachal Pradesh,Tirap,15,17826,29,102,83,36260,11.11,13,117,30243,23830,788,22447,31639,7,3,105,29102
Arunachal Pradesh,Kra Daadi,43,4007,6,45,9,5672,13.64,12,88,5148,4531,880,3394,6285,1,3,14,5942
Arunachal Pradesh,West Kameng,35,29710,19,153,118,68225,22.34,42,188,54270,43631,804,41950,55985,14,8,123,50807
Arunachal Pradesh,Lohit,27,15972,12,140,81,38348,13.77,23,167,29638,24669,832,23002,31318,18,5,74,28087
Arunachal Pradesh,Tawang,15,16298,7,73,45,37192,13.64,12,88,29212,24260,830,23881,29609,3,3,47,27830
Arunachal Pradesh,Lower Dibang Valley,23,18561,13,94,66,37084,11.11,13,117,30430,25209,828,22834,32811,13,8,66,30033
Arunachal Pradesh,Lower Subansiri,7,15947,7,46,60,30769,32.08,17,53,25564,21150,827,19606,27110,10,2,56,24917
Arunachal Pradesh,Lepa Rada,3,8437,5,17,23,15393,0.0,0,20,13545,10281,759,10480,13350,1,2,26,12969
Arunachal Pradesh,Upper Siang,7,13794,19,44,56,19441,17.65,9,51,17843,15390,863,14553,18682,6,2,68,17548
Arunachal Pradesh,Shi Yomi,6,4582,2,22,15,8185,42.86,12,28,6641,6126,922,5824,6943,4,2,12,6737
Arunachal Pradesh,Namsai,33,38599,51,201,207,75295,32.48,76,234,60965,52925,868,50024,63870,35,16,222,58168
Arunachal Pradesh,Siang,10,9934,9,37,21,13883,27.66,13,47,12541,11268,898,9374,14443,5,3,25,13931
Arunachal Pradesh,West Siang,25,22419,13,106,78,40123,14.5,19,131,33358,29177,875,28702,33840,7,3,84,32714
Arunachal Pradesh,Papum Pare,55,16824,19,171,96,39273,15.04,34,226,33095,22992,695,23960,32137,16,7,98,28508
Arunachal Pradesh,Longding,14,10475,26,31,42,17555,11.11,5,45,17168,10862,633,8613,19417,12,2,56,18012
Arunachal Pradesh,Upper Subansiri,46,21272,21,101,67,20996,8.84,13,147,22250,20012,899,17342,24926,7,6,81,23228
Arunachal Pradesh,East Siang,61,31094,41,312,241,65134,16.71,63,377,49796,46412,932,41848,54380,35,12,247,51417
Assam,Dibrugarh,1330,514815,1464,4479,4082,887922,5.01,291,5809,700238,702322,1003,482563,920174,433,76,5112,614349
Assam,Sivasagar,338,298377,937,879,2063,434621,5.18,63,1217,368860,364026,987,252552,480446,133,17,2867,364786
Assam,Tinsukia,831,411124,883,2444,2528,712254,5.04,165,3275,560618,562566,1003,307892,815486,1186,44,2225,440142
Assam,Baksa,628,261842,765,1540,1985,457119,7.93,172,2168,358725,360091,1004,162383,556578,225,43,2523,298416
Assam,Barpeta,3334,633364,3184,7610,7089,1006363,7.72,845,10945,810355,829158,1023,535015,1104712,927,291,9345,550364
Assam,Darrang,1703,326825,1405,3459,2852,497727,5.39,278,5162,411939,412504,1001,216191,608361,878,75,3379,317080
Assam,Kamrup Metropolitan,911,771082,1020,2976,3253,1396661,3.94,153,3887,1207482,959862,795,915995,1251748,476,43,3796,1043071
Assam,Kamrup Rural,1577,646419,1947,4621,5352,914397,5.03,312,6198,789275,771332,977,473545,1087271,736,74,6563,658828
Assam,Karbi-Anglong,830,143679,717,2417,2149,274637,7.48,243,3247,214646,203606,949,121312,297004,1078,66,1789,156491
Assam,Nalbari,1530,280735,1393,3226,3000,414376,3.24,154,4756,343171,351857,1025,204806,490305,680,42,3713,293794
Assam,Golaghat,701,384084,1055,1689,2673,674401,0.0,0,2390,534663,523634,979,343377,715108,294,36,3434,522058
Assam,Jorhat,1439,407169,1471,3288,3432,593368,4.08,193,4727,498944,501441,1005,347532,653005,301,47,4602,553443
Assam,Morigaon,93,324421,1226,264,2853,519866,6.44,23,357,409586,434615,1061,245384,598903,676,7,3403,370143
Assam,Nagaon,1988,655678,1985,4804,4410,1070034,5.57,378,6792,832502,892965,1073,511797,1213915,685,87,5710,659383
Assam,Bongaigaon,566,268260,1290,1239,2813,456762,5.82,105,1805,360188,364715,1013,228536,496486,253,29,3850,299428
