state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,12,28763,3,0,0,0,144,5904,66.67,8,12,18340,16326,890,3297
Andaman & Nicobar,South Andaman,172,88,55942,59,0,0,354,348,21110,6.33,28,442,41763,35285,845,10327
Andaman & Nicobar,Nicobar,0,0,7670,1,172,0,329,208,2571,3.34,11,329,5490,4751,865,1907
Andhra Pradesh,Krishna,595,1336,830635,13691,65,0,1776,8319,259086,5.33,166,3114,519125,570707,1099,268772
Andhra Pradesh,Guntur,192,1370,768311,12108,0,0,1306,6400,227616,2.39,64,2676,485453,510582,1052,247555
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",5048,8220,593416,7343,0,0,5981,7209,127959,1.96,279,14201,323616,397720,1229,192755
Andhra Pradesh,Kurnool,0,861,571367,6183,0,0,1034,6427,167830,4.49,85,1895,317901,421291,1325,183819
Andhra Pradesh,Visakhapatnam,3313,1124,741026,11228,1306,1306,4934,11799,382186,1.85,112,6058,556287,567189,1020,244521
Andhra Pradesh,Anantapur,0,757,647018,6719,0,0,764,6757,148237,4.54,69,1521,370769,424186,1144,210508
Andhra Pradesh,Chittoor,99,1282,728923,9020,244,244,1700,7750,204688,3.62,108,2982,422962,510687,1207,249891
Andhra Pradesh,East Godavari,164,182,836265,12803,326,126,818,11671,283583,4.0,40,1000,514922,604957,1175,259327
Andhra Pradesh,Prakasam,1400,1511,624529,10010,4,0,633,5536,150590,3.08,66,2144,354055,421016,1189,203378
Andhra Pradesh,Sri Potti Sriramulu Nellore,150,1800,584896,6700,0,0,1613,5831,154865,1.38,47,3413,344498,395277,1147,212394
Andhra Pradesh,Srikakulam,0,25,560124,9186,0,0,277,4959,129526,2.65,8,302,297615,392024,1317,139569
Andhra Pradesh,Vizianagaram,148,3361,433431,6913,123,0,3400,6248,139734,1.91,129,6761,250012,323135,1292,113851
Andhra Pradesh,West Godavari,872,640,768339,14884,0,0,1799,10243,198773,1.68,41,2439,416455,550730,1322,219459
Arunachal Pradesh,Itanagar Capital Complex,0,49,19507,74,0,0,770,1018,46842,6.23,51,819,37565,28783,766,7723
Arunachal Pradesh,Lower Siang,0,7,4079,11,0,0,366,185,3645,4.56,17,373,4085,3641,891,1107
Arunachal Pradesh,Pakke Kessang,100,50,3170,16,92,0,83,42,1895,20.3,27,133,2650,2412,910,1448
Arunachal Pradesh,Changlang,89,64,20488,429,100,0,357,2580,30300,6.89,29,421,28492,22303,783,4684
Arunachal Pradesh,Kurung Kumey,0,5,2485,1,0,0,16,8,2341,42.86,9,21,2291,2473,1079,1949
Arunachal Pradesh,Anjaw,0,44,3373,47,0,0,152,59,2734,7.14,14,196,3284,2829,861,1347
Arunachal Pradesh,East Kameng,0,41,8368,61,39,0,111,51,4164,11.84,18,152,6415,6115,953,1893
Arunachal Pradesh,Kamle,50,8,1616,3,50,0,30,15,1107,31.58,12,38,1546,1178,762,537
Arunachal Pradesh,Dibang Valley,0,0,946,1,0,0,0,66,1560,0.0,0,0,1458,1048,719,889
Arunachal Pradesh,Tirap,0,199,6824,119,0,0,310,281,7172,2.16,11,509,8155,5842,716,2638
Arunachal Pradesh,Kra Daadi,0,0,1773,11,0,0,10,11,1710,0.0,0,10,1816,1669,919,731
Arunachal Pradesh,West Kameng,1,109,13435,52,1,0,1299,357,12681,2.27,32,1408,14555,11562,794,6848
Arunachal Pradesh,Lohit,0,50,6628,82,0,0,476,207,6406,4.56,24,526,7474,5560,744,2054
Arunachal Pradesh,Tawang,0,18,7824,8,0,0,906,522,11558,2.81,26,924,10161,9212,907,4300
Arunachal Pradesh,Lower Dibang Valley,139,280,7669,104,8,0,713,549,9313,4.73,47,993,9136,7848,859,2592
Arunachal Pradesh,Lower Subansiri,199,62,7380,34,96,0,454,181,7467,10.47,54,516,7569,7279,962,4075
Arunachal Pradesh,Lepa Rada,0,8,4008,12,0,0,301,99,3254,0.32,1,309,3877,3384,873,2531
Arunachal Pradesh,Upper Siang,0,13,6349,49,0,0,593,97,4256,3.96,24,606,5535,5072,916,2681
Arunachal Pradesh,Shi Yomi,50,0,2060,7,100,0,265,62,1411,5.66,15,265,1716,1755,1023,1436
Arunachal Pradesh,Namsai,39,35,16092,24,0,0,674,617,10561,4.37,31,709,14458,12199,844,4565
Arunachal Pradesh,Siang,100,22,4314,11,1,0,187,91,2172,14.83,31,209,3291,3194,971,1602
Arunachal Pradesh,West Siang,0,51,10683,52,0,0,1082,654,10601,3.27,37,1133,11230,10053,895,4206
Arunachal Pradesh,Papum Pare,70,58,8068,24,0,0,647,347,11819,6.38,45,705,12034,7853,653,4537
Arunachal Pradesh,Longding,174,91,4904,111,46,0,182,77,4332,9.89,27,273,5799,3440,593,1722
Arunachal Pradesh,Upper Subansiri,225,78,9823,32,130,0,68,48,4867,9.59,14,146,7571,7118,940,3154
Arunachal Pradesh,East Siang,46,20,14290,14,0,0,1743,731,13819,2.67,47,1763,14420,13685,949,8514
Assam,Dibrugarh,314,3475,150692,1408,879,0,20184,5792,130264,1.69,401,23659,149328,131607,881,48266
Assam,Sivasagar,238,1945,78580,807,172,0,7311,1655,34608,1.45,134,9256,61719,51462,834,27946
Assam,Tinsukia,445,4737,114899,1809,1000,0,14758,3967,83954,1.72,335,19495,106630,92194,865,28913
Assam,Baksa,9367,1925,54503,480,7726,0,6803,1424,29366,2.77,242,8728,45117,38743,859,18735
Assam,Barpeta,1673,2612,138049,731,838,0,10470,1982,49804,3.23,420,12990,98388,89451,909,98495
Assam,Darrang,23,2054,77330,601,0,0,7355,1986,42898,2.14,201,9409,65973,54239,822,27523
Assam,Kamrup Metropolitan,11425,6342,279277,2780,13082,0,19749,10462,378114,3.37,878,26092,367384,290195,790,123124
Assam,Kamrup Rural,1282,2554,201500,993,8621,53,11373,2025,75660,2.82,393,13927,147580,129546,878,57444
Assam,Karbi-Anglong,326,537,41475,202,327,0,2314,988,26394,7.68,219,2851,37936,29933,789,16722
Assam,Nalbari,250,2424,66580,577,33,0,7060,1309,31023,1.75,166,9484,54014,43575,807,19163
Assam,Golaghat,51,2307,91451,886,1,0,9947,2022,43879,0.37,45,12255,74115,61197,826,30803
Assam,Jorhat,3039,2986,105510,1045,3227,0,8141,1723,49969,3.08,343,11127,83659,71808,858,37132
Assam,Morigaon,3572,2503,76398,880,3057,0,6397,1249,30185,2.02,180,8900,53587,52988,989,22296
Assam,Nagaon,968,5105,152553,1534,2247,0,12357,4096,104850,1.65,288,17462,131868,125514,952,54202
Assam,Bongaigaon,89,1671,61913,320,16,0,6425,2047,43141,2.4,194,8096,55198,49844,903,28187
Assam,Chirang,994,709,31963,250,868,0,3092,520,20132,4.45,169,3801,29929,22161,740,17043
Assam,Dhubri,2430,3161,81629,598,2497,0,10707,1771,39845,1.88,261,13869,66934,54527,815,35763
Assam,Goalpara,4067,1675,57901,260,3839,0,7796,1487,40074,4.0,379,9471,51739,46198,893,25358
Assam,Kokrajhar,509,931,54225,377,385,0,4923,1226,37173,4.87,285,5855,51655,39743,769,22557
Assam,Dhemaji,826,1536,69156,443,312,0,7157,2263,41813,2.38,207,8693,56712,54237,956,23790
Assam,Lakhimpur,312,1873,91303,1114,0,0,9412,1451,38724,1.11,125,11285,68417,61603,900,33401
Assam,Sonitpur,398,6773,113191,1139,72,0,13071,4652,93540,2.2,436,19844,107937,98792,915,75199
Assam,Udalguri,399,904,51083,255,392,0,5060,1438,32427,2.95,176,5964,45087,38409,852,18153
Assam,Cachar,2200,5889,138176,2411,992,0,16454,4409,118064,1.42,317,22343,136726,119505,874,43361
Assam,Dima Hasao,4870,434,20775,108,5239,0,2647,942,18201,5.81,179,3081,22582,16383,725,11083
Assam,Hailakandi,8700,2014,57454,596,5293,0,7470,1932,37197,2.49,236,9484,52392,42255,807,21430
Assam,Karimganj,1134,1220,70723,454,3091,0,7264,1306,39528,3.84,326,8484,60883,49358,811,27741
Bihar,Madhepura,9720,1894,134810,1082,11980,0,6050,3140,75953,4.48,356,7944,114630,96126,839,29509
Bihar,Saharsa,0,2000,147547,1175,74,0,7950,4818,87793,3.22,320,9950,123900,111414,899,33017
Bihar,Supaul,9762,1080,164104,2353,13676,0,4247,3991,85869,1.18,63,5327,136599,113399,830,24836
Bihar,Purnia,45,3940,277734,2029,11839,0,22782,9004,178950,1.45,388,26722,241793,214848,889,63432
Bihar,Araria,14873,454,152858,424,79935,0,1416,1198,75246,6.42,120,1870,126587,101553,802,31092
Bihar,Katihar,2863,2204,151663,1808,2922,0,6221,5639,133181,1.96,165,8425,152244,132622,871,40168
Bihar,Kishanganj,2677,533,90894,585,4984,0,2058,3066,69693,6.14,159,2591,89205,71398,800,27770
Bihar,Aurangabad,9287,1252,138087,1385,8393,0,4327,3999,96015,3.6,201,5579,135403,98714,729,31420
Bihar,Arwal,800,1261,40198,482,598,0,2540,1282,28144,3.39,129,3801,37897,30447,803,13238
Bihar,Gaya,40,4138,252382,1727,11690,39,11629,6908,193267,2.37,373,15767,247795,198004,799,110798
Bihar,Kaimur,1815,439,109256,1020,1113,0,2189,1941,60368,3.5,92,2628,95062,74556,784,22989
Bihar,Rohtas,4314,3322,199572,1767,5579,0,11521,7386,135912,1.46,217,14843,192951,142573,739,47322
Bihar,Bhagalpur,0,10579,246730,2841,0,0,33325,10460,192551,1.04,455,43905,238140,201133,845,70164
Bihar,Banka,28834,3466,144311,1483,26153,0,9678,4180,82535,1.57,206,13144,120032,106834,890,41828
Bihar,Lakhisarai,729,546,53446,385,273,0,2069,1431,36539,1.34,35,2615,49715,40260,810,13710
Bihar,Munger,638,1468,95497,830,166,0,5226,2926,69456,1.43,96,6694,94202,70756,751,29429
Bihar,Muzaffarpur,18449,6040,281194,2178,19652,0,24555,11464,241135,2.37,724,30596,292064,230366,789,70871
Bihar,Sheohar,3274,787,66613,1127,3870,0,1917,1352,28672,2.81,76,2704,50627,44656,882,15953
Bihar,Sitamarhi,5267,2376,201080,1497,7273,0,6043,4460,111044,3.1,261,8419,169668,142506,840,45121
