state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,3,63045,25,35,118,91487,5.26,2,38,80426,74083,921,75072,79460,5,11,138,78289
Andaman & Nicobar,South Andaman,119,143108,282,794,842,237126,9.53,87,913,204778,175387,856,186308,193926,89,18,1034,185333
Andaman & Nicobar,Nicobar,2,22501,75,9,142,29937,81.82,9,11,28450,23984,843,26945,25493,0,2,216,25255
Andhra Pradesh,Krishna,10096,3091129,5745,23446,13380,3199147,3.33,1117,33543,3007054,3282057,1091,2718141,3572135,4483,274,14642,2444105
Andhra Pradesh,Guntur,1665,2945060,2022,5495,6391,3294636,15.08,1080,7160,2931700,3307036,1128,2433848,3805848,2901,437,5512,2463937
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2389,1961435,2294,6435,5875,1836636,5.51,486,8824,1777923,2019447,1136,1578447,2219624,4472,126,3696,1526824
Andhra Pradesh,Kurnool,3248,2108659,4019,17747,20943,2934261,2.12,445,20995,2355736,2686397,1140,2071032,2971888,7916,120,17046,1891623
Andhra Pradesh,Visakhapatnam,10837,2586090,4373,25644,11433,3191465,1.61,588,36482,2823738,2952938,1046,2453583,3323972,7583,155,8223,2710757
Andhra Pradesh,Anantapur,6436,2598199,4890,19785,14565,2854492,2.59,679,26221,2563706,2886029,1126,2276073,3176618,9624,145,9830,2017766
Andhra Pradesh,Chittoor,7615,2858052,6612,18996,16580,3067360,2.17,579,26621,2820868,3103556,1100,2639508,3285904,9778,150,13413,2340074
Andhra Pradesh,East Godavari,5184,3477696,9969,14596,20202,3300273,4.44,880,19800,3221928,3554887,1103,2722722,4055247,21169,232,9002,2840560
Andhra Pradesh,Prakasam,2264,2301649,3615,7182,9586,2404581,4.81,454,9446,2236655,2468842,1104,2010549,2695681,6994,163,6205,1704306
Andhra Pradesh,Sri Potti Sriramulu Nellore,2539,2037720,1758,7950,5216,2157855,3.06,321,10489,2011175,2183616,1086,1808794,2386781,922,94,6052,1715797
Andhra Pradesh,Srikakulam,4574,1882092,2564,16439,6177,1486639,3.08,647,21013,1538280,1830047,1190,1305801,2062930,4374,156,4366,1517135
Andhra Pradesh,Vizianagaram,1706,1623085,3496,2675,5463,1557459,6.8,298,4382,1493290,1686731,1130,1282027,1898517,5814,84,3144,1233137
Andhra Pradesh,West Godavari,19719,2689870,6506,57545,17113,2792300,1.07,836,77864,2596272,2885128,1111,2279471,3202699,16241,227,7378,2230171
Arunachal Pradesh,Itanagar Capital Complex,32,45137,25,335,231,164255,3.54,13,367,119603,89768,751,94087,115305,53,6,202,105459
Arunachal Pradesh,Lower Siang,0,10004,2,3,10,17954,233.33,7,3,15040,12917,859,11139,16819,3,1,9,16317
Arunachal Pradesh,Pakke Kessang,13,7029,3,46,10,8089,18.64,11,59,7906,7204,911,6684,8434,7,2,6,7930
Arunachal Pradesh,Changlang,48,52785,56,219,180,113295,19.85,53,267,91522,74538,814,72277,93803,17,10,219,84936
Arunachal Pradesh,Kurung Kumey,11,6716,12,7,28,10301,66.67,12,18,8344,8567,1027,6869,10148,19,3,21,8924
Arunachal Pradesh,Anjaw,0,7142,2,11,10,14513,81.82,9,11,12164,9489,780,9543,12112,3,2,9,11529
Arunachal Pradesh,East Kameng,4,18717,9,37,42,23518,21.95,9,41,22271,19957,896,18681,23554,3,1,48,22490
Arunachal Pradesh,Kamle,1,4489,0,4,3,7758,100.0,5,5,7012,5235,747,4786,7461,1,1,2,6524
Arunachal Pradesh,Dibang Valley,0,1988,1,0,4,5043,0.0,0,0,4532,2499,551,2842,4189,0,1,4,4083
Arunachal Pradesh,Tirap,4,18724,7,41,31,38681,33.33,15,45,31960,25429,796,25454,31951,4,3,32,31193
Arunachal Pradesh,Kra Daadi,0,4289,0,1,4,6387,900.0,9,1,5673,5003,882,4187,6489,1,3,3,6221
Arunachal Pradesh,West Kameng,28,30505,13,184,84,73520,17.92,38,212,57812,46176,799,47068,56957,18,8,79,54668
