state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,0,28719,2,0,0,0,13,3711,0.0,0,0,17206,15222,885
Andaman & Nicobar,South Andaman,0,72,55190,59,0,0,464,413,16235,6.34,34,536,38830,32591,839
Andaman & Nicobar,Nicobar,0,0,7651,1,0,0,0,0,998,0.0,0,0,4553,4096,900
Andhra Pradesh,Krishna,0,12783,656561,13228,0,0,4865,3713,137438,1.57,278,17682,412983,381120,923
Andhra Pradesh,Guntur,0,6862,615430,8927,0,0,3236,2254,139898,2.59,262,10098,397082,358329,902
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,342,490492,8258,0,0,475,397,57166,8.94,73,817,271228,276407,1019
Andhra Pradesh,Kurnool,0,3444,503877,6539,0,0,402,569,70556,2.7,104,3846,282001,292449,1037
Andhra Pradesh,Visakhapatnam,0,23376,612836,12596,0,0,16218,8655,210866,1.45,574,39596,432425,391485,905
Andhra Pradesh,Anantapur,0,1188,555179,7225,0,0,247,604,74561,5.23,75,1435,320344,309212,965
Andhra Pradesh,Chittoor,19,1345,635893,8629,20,20,698,1019,110741,5.24,107,2043,369821,376857,1019
Andhra Pradesh,East Godavari,0,29400,687885,15261,0,0,1101,729,123051,1.13,344,30526,428806,382180,891
Andhra Pradesh,Prakasam,950,7826,515878,10622,0,0,953,881,76479,2.75,241,8779,301420,290904,965
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,3337,502316,8327,0,0,1626,871,78106,2.56,127,4963,291299,289125,993
Andhra Pradesh,Srikakulam,0,7544,449866,8777,0,0,645,559,56541,2.58,211,8189,244809,261596,1069
Andhra Pradesh,Vizianagaram,0,554,358084,5489,0,0,92,1380,52743,6.81,44,646,199630,211186,1058
Andhra Pradesh,West Godavari,0,7874,584222,16533,0,0,568,939,68975,2.58,218,8442,326018,327251,1004
Arunachal Pradesh,Itanagar Capital Complex,9,121,18308,190,0,0,87,2529,34686,10.58,22,208,30385,22609,744
Arunachal Pradesh,Lower Siang,16,0,3910,1,0,0,354,125,2032,1.69,6,354,3130,2812,898
Arunachal Pradesh,Pakke Kessang,40,9,2988,11,0,0,46,48,1476,27.27,15,55,2329,2132,915
Arunachal Pradesh,Changlang,112,157,16087,80,0,0,554,541,11529,4.08,29,711,15853,11763,742
Arunachal Pradesh,Kurung Kumey,0,0,2476,5,0,0,29,21,2235,3.45,1,29,2232,2417,1083
Arunachal Pradesh,Anjaw,0,11,2482,61,0,0,8,6,1495,57.89,11,19,2133,1847,866
Arunachal Pradesh,East Kameng,0,55,6463,94,0,0,258,149,3593,2.24,7,313,5239,4815,919
Arunachal Pradesh,Kamle,0,0,1536,1,0,0,36,6,785,11.11,4,36,1258,1064,846
Arunachal Pradesh,Dibang Valley,0,1,876,13,0,0,12,6,1070,53.85,7,13,1148,798,695
Arunachal Pradesh,Tirap,0,161,4332,67,0,0,254,113,3911,6.02,25,415,5101,3141,616
Arunachal Pradesh,Kra Daadi,0,13,1558,15,0,0,75,20,1481,2.27,2,88,1579,1462,926
Arunachal Pradesh,West Kameng,0,141,12306,39,0,0,649,200,7585,5.06,40,790,11403,8489,744
Arunachal Pradesh,Lohit,0,28,5722,22,0,0,486,166,3942,7.0,36,514,5762,3899,677
Arunachal Pradesh,Tawang,0,31,7729,53,0,0,671,315,6311,2.56,18,702,7484,6550,875
Arunachal Pradesh,Lower Dibang Valley,91,20,6673,10,0,0,14,163,4380,47.06,16,34,5935,5117,862
Arunachal Pradesh,Lower Subansiri,0,73,6811,14,0,0,184,289,5287,5.06,13,257,6139,5959,971
Arunachal Pradesh,Lepa Rada,0,32,3811,7,0,0,108,64,2098,0.0,0,140,3202,2707,845
Arunachal Pradesh,Upper Siang,0,0,5644,10,0,0,381,96,2922,2.36,9,381,4462,4104,920
Arunachal Pradesh,Shi Yomi,0,0,1962,1,0,0,93,14,799,7.53,7,93,1367,1394,1020
Arunachal Pradesh,Namsai,0,64,14019,69,0,0,384,285,5829,4.91,22,448,10702,9151,855
Arunachal Pradesh,Siang,10,1,4223,0,0,0,20,48,1529,42.86,9,21,2909,2842,977
Arunachal Pradesh,West Siang,0,56,10175,13,0,0,402,290,5415,4.8,22,458,8193,7397,903
Arunachal Pradesh,Papum Pare,0,94,7317,43,0,0,423,251,7982,6.38,33,517,9599,5701,594
Arunachal Pradesh,Longding,0,97,2465,50,0,0,79,43,3304,13.64,24,176,3939,1833,465
Arunachal Pradesh,Upper Subansiri,0,48,8845,112,143,0,142,54,3629,10.53,20,190,6432,6042,939
Arunachal Pradesh,East Siang,16,95,13969,40,0,0,600,309,7843,6.47,45,695,11239,10573,941
Assam,Dibrugarh,0,444,132832,694,0,0,2268,1414,68275,5.83,158,2712,107926,93172,863
Assam,Sivasagar,0,1172,70851,339,0,0,238,359,17620,2.84,40,1410,47896,40569,847
Assam,Tinsukia,0,2901,92551,1327,0,0,3001,1743,39669,4.37,258,5902,71956,60246,837
Assam,Baksa,0,169,49008,215,0,0,25,89,15881,28.87,56,194,35375,29510,834
Assam,Barpeta,0,458,130371,452,0,0,15,24,31063,14.16,67,473,84553,76868,909
Assam,Darrang,0,629,70904,468,0,0,18,57,24469,3.55,23,647,52766,42594,807
Assam,Kamrup Metropolitan,5,1343,249811,1464,1,1,1884,3648,230646,8.15,263,3227,271054,209512,773
Assam,Kamrup Rural,329,3254,184611,2765,10,10,181,218,52540,4.8,165,3435,127151,109966,865
Assam,Karbi-Anglong,0,169,38073,186,0,0,139,79,19013,13.64,42,308,32301,24785,767
Assam,Nalbari,0,839,58489,461,0,0,32,38,17559,6.77,59,871,42452,33583,791
Assam,Golaghat,0,767,83253,620,0,0,72,100,25893,0.12,1,839,60339,48794,809
Assam,Jorhat,4,328,93608,857,0,0,212,240,31692,3.7,20,540,67911,57381,845
Assam,Morigaon,0,288,68023,469,0,0,113,45,17776,9.73,39,401,43454,42336,974
