state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Assam,Nagaon,22,922,132010,655,1,0,2719,1478,47409,3.82,139,3641,92286,87121,944
Assam,Bongaigaon,2,220,58795,318,0,0,65,77,24862,22.81,65,285,44585,39064,876
Assam,Chirang,118,564,27891,218,0,0,150,86,14622,7.84,56,714,24863,17646,710
Assam,Dhubri,17,163,75153,138,0,0,49,29,23040,3.77,8,212,53973,44209,819
Assam,Goalpara,543,124,55629,105,0,0,15,24,27725,43.88,61,139,43684,39634,907
Assam,Kokrajhar,0,598,49066,324,0,0,17,103,24318,17.07,105,615,41846,31536,754
Assam,Dhemaji,0,447,65089,231,0,0,120,38,21371,9.35,53,567,43724,42722,977
Assam,Lakhimpur,0,1115,80969,787,0,0,23,8,24513,0.18,2,1138,55429,50044,903
Assam,Sonitpur,0,411,102714,506,0,0,2540,1508,45869,6.74,199,2951,78940,69634,882
Assam,Udalguri,9,250,47804,374,0,0,85,92,19148,13.43,45,335,36501,30440,834
Assam,Cachar,0,2454,105659,1403,0,0,6759,2217,51125,2.46,227,9213,83193,73593,885
Assam,Dima Hasao,219,341,19754,13,0,0,58,8,10087,7.77,31,399,17799,12036,676
Assam,Hailakandi,0,447,50656,298,0,0,17,59,20316,14.22,66,464,39125,31843,814
Assam,Karimganj,0,386,65188,353,0,0,63,150,26441,15.81,71,449,50415,41204,817
Bihar,Madhepura,0,257,121522,251,475,0,679,644,44104,4.7,44,936,91319,74304,814
Bihar,Saharsa,0,616,130082,724,0,0,384,888,44334,5.0,50,1000,92806,81588,879
Bihar,Supaul,0,668,135784,1484,0,0,19,890,48434,3.35,23,687,102659,81577,795
Bihar,Purnia,0,1315,244792,2514,1490,0,2233,1997,93623,7.38,262,3548,181817,156570,861
Bihar,Araria,116,777,146754,938,1504,0,735,999,57077,3.84,58,1512,112790,91054,807
Bihar,Katihar,1042,1450,126735,1206,326,0,1181,1517,75797,1.86,49,2631,110957,91600,826
Bihar,Kishanganj,0,309,82370,655,0,0,324,781,40531,9.0,57,633,68165,54756,803
Bihar,Aurangabad,0,1222,117505,1862,0,0,258,1234,54191,8.7,128,1472,99455,72228,726
Bihar,Arwal,0,139,35556,162,0,0,369,324,15740,2.36,12,508,28201,23096,819
Bihar,Gaya,5529,2021,230480,1094,83,0,2435,2762,121045,7.72,344,4456,194847,156747,804
Bihar,Kaimur,603,316,98850,678,71,0,511,989,38921,2.78,23,827,76609,61153,798
Bihar,Rohtas,751,1631,178084,1558,0,0,380,1401,69893,2.93,59,2011,141132,106878,757
Bihar,Bhagalpur,0,854,220744,815,29,0,1793,2737,98661,3.51,93,2647,173644,145740,839
Bihar,Banka,17,551,129077,523,29,0,246,996,45290,2.89,23,797,91151,83226,913
Bihar,Lakhisarai,22,364,48226,337,0,0,168,432,22570,1.5,8,532,38997,31791,815
Bihar,Munger,0,389,86827,427,36,0,989,820,39869,0.87,12,1378,72439,54251,749
Bihar,Muzaffarpur,0,1915,250772,1570,0,0,1861,3142,136050,3.81,144,3776,219734,167122,761
Bihar,Sheohar,0,202,57394,168,53,0,349,398,15925,7.08,39,551,39110,34215,875
Bihar,Sitamarhi,38,664,184130,772,0,0,21,1003,68551,9.49,65,685,137238,115472,841
Bihar,Vaishali,11,908,225057,784,0,0,238,1015,71013,7.33,84,1146,157446,138760,881
Bihar,Nalanda,1417,666,228784,549,364,0,1054,1830,86269,1.16,20,1720,167323,147765,883
Bihar,Jehanabad,0,297,64089,237,0,0,464,601,32323,5.12,39,761,52883,43544,823
Bihar,Nawada,125,814,136768,682,190,0,379,828,51145,10.65,127,1193,99487,88439,889
Bihar,Sheikhpura,0,54,41914,78,0,0,267,256,15280,5.92,19,321,30432,26765,880
Bihar,Darbhanga,0,2513,281722,2724,0,0,713,2492,106578,1.67,54,3226,206177,182146,883
Bihar,Madhubani,0,1480,272062,1866,0,0,136,2478,98630,2.1,34,1616,196706,174068,885
Bihar,Samastipur,0,793,255718,872,0,0,45,1601,98886,1.43,12,838,190566,164065,861
Bihar,Patna,381,6839,521616,3026,1048,0,24307,15303,330015,2.1,654,31146,496312,355617,717
Bihar,Begusarai,0,813,207218,893,0,0,799,1758,80352,4.22,68,1612,155178,132430,853
Bihar,Bhojpur,0,862,153294,940,0,0,378,1443,66455,4.84,60,1240,125073,94798,758
Bihar,Buxar,1199,693,115062,707,0,0,282,765,37905,5.64,55,975,85522,67448,789
Bihar,Khagaria,293,282,90408,281,0,0,289,777,36620,3.33,19,571,67996,59057,869
Bihar,Saran,160,1375,291902,1263,0,0,441,2099,110363,10.13,184,1816,217717,184635,848
Bihar,Siwan,10296,1296,294320,1445,0,0,328,2090,85599,14.53,236,1624,200815,179168,892
Bihar,Gopalganj,0,1258,157897,1759,0,0,444,1247,54610,9.28,158,1702,120600,91954,762
Bihar,East Champaran,0,2507,278088,3116,0,0,377,3044,124137,4.37,126,2884,232801,169290,727
Bihar,West Champaran,477,1737,173336,1856,23,0,2126,2461,90152,2.77,107,3863,155553,107991,694
Bihar,Jamui,81,599,108298,745,105,0,1008,802,41812,3.3,53,1607,82411,67733,822
Chandigarh,Chandigarh,65,880,200137,571,0,0,2425,4218,107868,4.99,165,3305,173421,134662,777
Chhattisgarh,Raipur,263,811,325433,265,1,1,428,137,63645,12.19,151,1239,206459,182639,885
Chhattisgarh,Balod,6299,171,165262,178,0,0,21,0,9630,4.17,8,192,83344,91532,1098
Chhattisgarh,Baloda bazar,126,36,184180,28,0,0,4,1,9954,25.0,10,40,91400,102833,1125
Chhattisgarh,Balrampur,3820,38,126790,39,0,0,2,2,12177,25.0,10,40,69145,69810,1010
Chhattisgarh,Bastar,919,118,138014,81,0,0,56,17,22415,20.69,36,174,76372,84060,1101
Chhattisgarh,Bemetara,11197,40,92145,9,0,0,0,0,6254,0.0,0,40,48188,50204,1042
Chhattisgarh,Bijapur,940,18,36184,8,0,0,42,7,17214,16.67,10,60,30946,22445,725
Chhattisgarh,Bilaspur,119,292,313911,121,0,0,58,23,30437,17.14,60,350,167831,176496,1052
Chhattisgarh,Dantewada,180,20,56534,12,0,0,10,2,13668,0.0,0,30,34668,35523,1025
Chhattisgarh,Dhamtari,219,86,168186,22,0,0,19,3,10420,4.76,5,105,84381,94204,1116
Chhattisgarh,Durg,1308,412,335394,151,0,0,113,49,36088,12.38,65,525,188954,182512,966
Chhattisgarh,Gariaband,779,16,99020,12,18,0,4,0,6787,0.0,0,20,49262,56539,1148
Chhattisgarh,Janjgir-Champa,0,70,261227,37,0,0,1,2,14884,26.76,19,71,131849,144257,1094
Chhattisgarh,Jashpur,2714,108,155933,86,0,0,4,1,14844,16.07,18,112,78516,92241,1175
Chhattisgarh,Kanker,4496,24,134564,42,0,0,11,1,21218,42.86,15,35,78235,77537,991
Chhattisgarh,Kondagaon,1080,182,106625,137,0,0,13,2,10096,17.95,35,195,53628,63080,1176
Chhattisgarh,Korba,1218,232,268589,504,0,0,34,18,18409,9.02,24,266,139648,147334,1055
Chhattisgarh,Koriya,2068,130,104653,179,0,0,20,14,10663,6.67,10,150,56815,58497,1030
Chhattisgarh,Mahasamund,0,111,237400,48,0,0,9,5,10422,0.0,0,120,116525,131270,1127
Chhattisgarh,Mungeli,210,29,124322,6,0,0,30,2,6050,1.69,1,59,62133,68238,1098
Chhattisgarh,Narayanpur,10,10,15801,8,0,0,10,3,7058,0.0,0,20,12810,10049,784
Chhattisgarh,Raigarh,629,303,351367,64,0,0,43,18,25870,12.72,44,346,184235,192987,1048
Chhattisgarh,Rajnandgaon,379,116,278485,59,0,0,13,9,20549,0.78,1,129,142991,156027,1091
Chhattisgarh,Sukma,0,9,49310,6,0,0,1,11,21289,0.0,0,10,39777,30817,775
Chhattisgarh,Surajpur,0,108,162362,20,0,0,7,3,12940,21.74,25,115,85656,89620,1046
Chhattisgarh,Surguja,40,142,212355,114,0,0,12,6,16547,16.88,26,154,109853,119017,1083
Chhattisgarh,Kawardha,900,73,120462,257,0,0,36,43,12416,10.09,11,109,64893,67965,1047
Chhattisgarh,Gaurela Pendra Marwahi ,0,39,64290,54,0,0,3,0,4042,42.86,18,42,32143,36179,1126
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0,155,35359,99,0,0,2659,2022,58473,4.83,136,2814,63763,30068,472
Daman and Diu,Daman,0,200,29405,133,0,0,2285,1921,52612,1.01,25,2485,53408,28675,537
Daman and Diu,Diu,0,66,11657,82,0,0,364,467,15560,0.0,0,430,13119,14102,1075
Delhi,New Delhi,100,3236,245989,1077,49,49,1735,1168,115848,5.21,259,4971,219870,142347,647
Delhi,Central Delhi,1152,2365,275776,840,5454,5454,4399,2999,208038,2.75,186,6764,286031,198036,692
Delhi,West Delhi,142,4441,354902,712,0,0,648,-219,131839,2.97,151,5089,271216,215593,795
Delhi,North West Delhi,1072,3842,332867,722,0,0,6028,2337,190234,2.43,240,9870,291928,231412,793
Delhi,South East Delhi,4,2601,233195,1189,1,0,6795,3424,195418,1.96,184,9396,259156,169618,655
Delhi,East Delhi,99,2133,191934,835,0,0,3694,2025,101993,2.8,163,5827,163650,130352,797
Delhi,North Delhi,185,1513,185172,783,0,0,1380,17,121059,5.08,147,2893,178029,128198,720
Delhi,North East Delhi,28,2046,150945,1223,0,0,1632,168,106554,3.59,132,3678,152808,104836,686
Delhi,Shahdara,0,1631,192572,340,0,0,244,-129,112423,2.93,55,1875,172561,132575,768
Delhi,South Delhi,353,2626,249941,1089,685,685,6816,6000,244525,3.58,338,9442,298439,196639,659
Delhi,South West Delhi,350,2626,320671,1276,152,152,3488,4176,153978,2.06,126,6114,270990,204173,753
Goa,North Goa,143,546,155929,807,78,78,4654,2891,73974,2.69,140,5200,121011,108916,900
Goa,South Goa,119,675,187336,682,0,0,5301,2950,67866,2.74,164,5976,127223,127972,1006
Gujarat,Gandhinagar,0,1218,192778,1145,0,0,3100,1953,43133,4.68,202,4318,124241,111674,899
Gujarat,Ahmedabad,22,1335,357336,629,0,0,6200,3779,53012,3.65,275,7535,225314,185019,821
Gujarat,Vadodara,21,1490,285569,1488,135,0,5458,3300,80739,2.48,172,6948,201535,164823,818
Gujarat,Kheda,101,3207,331245,1951,1,0,4639,2733,76990,3.36,264,7846,215371,192896,896
Gujarat,Surendranagar,0,2301,176250,1420,51,0,6037,2949,38676,2.66,222,8338,113312,101596,897
Gujarat,Aravalli,112,1726,226563,416,6,0,2885,1621,33015,2.36,109,4611,131589,127970,972
Gujarat,Banaskantha,0,1669,631383,950,374,0,5301,2292,67617,3.44,240,6970,379216,319915,844
Gujarat,Mehsana,0,2001,385596,1872,0,0,5563,5561,147392,3.78,286,7564,276581,256389,927
Gujarat,Patan,0,1281,191851,997,114,0,4607,2550,47456,4.96,292,5888,124607,114804,921
Gujarat,Sabarkantha,4,1297,279655,1359,0,0,3742,2099,47038,4.19,211,5039,170054,156604,921
Gujarat,Dang,0,38,31018,76,293,0,437,230,7011,5.26,25,475,19694,18334,931
Gujarat,Navsari,0,741,260716,437,0,0,3897,2170,44524,3.49,162,4638,148607,156683,1054
Gujarat,Surat,64,1379,201986,1288,1,0,5179,2697,55494,5.22,342,6558,141877,115671,815
Gujarat,Tapi,0,1673,146039,1620,161,0,2452,1149,22937,2.55,105,4125,86592,82376,951
Gujarat,Valsad,86,1061,252490,842,0,0,5227,3582,65584,2.74,172,6288,173411,144669,834
Gujarat,Devbhumi Dwaraka,0,505,108969,257,9,0,2922,1572,28179,3.01,103,3427,74200,62951,848
Gujarat,Jamnagar,0,394,163675,333,45,0,3739,2246,59051,2.35,97,4133,126400,96367,762
Gujarat,Kutch,972,1214,267652,830,0,0,5790,5301,135576,3.66,256,7004,226128,177188,784
Gujarat,Morbi,29,1237,120359,609,0,0,2941,1755,23975,3.16,132,4178,77022,67306,874
Gujarat,Porbandar,0,133,134012,79,0,0,1896,1099,25509,3.99,81,2029,82017,77507,945
Gujarat,Rajkot,198,1046,254129,901,184,0,5073,2892,44104,4.59,281,6119,155631,142613,916
Gujarat,Amreli,0,1266,241282,635,99,0,2541,1501,30312,3.49,133,3807,138035,133573,968
Gujarat,Bhavnagar,0,871,235126,1314,898,0,3570,2166,60217,4.48,199,4441,161688,133682,827
Gujarat,Botad,0,590,63472,406,2,0,1844,1044,15885,6.0,146,2434,42167,37189,882
Gujarat,Gir Somnath,180,999,177717,980,13,0,3207,1819,33159,3.66,154,4206,114726,96093,838
Gujarat,Junagadh,0,1285,199537,908,0,0,3075,1640,31236,4.36,190,4360,120210,110554,920
Gujarat,Anand,0,1686,387902,1220,0,0,5782,3377,61886,3.37,252,7468,226637,223154,985
Gujarat,Bharuch,0,3833,242248,2872,0,0,4528,3927,123273,2.14,179,8361,203792,161756,794
Gujarat,Chhotaudepur,178,2347,163610,745,228,0,936,612,18557,4.17,137,3283,94300,87842,932
Gujarat,Dahod,1,2080,328201,809,2188,0,2457,1313,40106,3.59,163,4537,184515,183794,996
Gujarat,Mahisagar,0,445,244469,246,482,0,2142,1314,24461,3.21,83,2587,137362,131600,958
Gujarat,Narmada,0,635,126137,155,173,0,991,749,18380,4.55,74,1626,73788,70722,958
Gujarat,Panchmahal,0,1995,289878,521,321,0,4195,2148,41236,3.07,190,6190,169049,162051,959
Haryana,Kurukshetra,0,1354,139263,628,0,0,1150,1207,44438,3.83,96,2504,96597,87130,902
Haryana,Panchkula,0,450,118157,291,294,294,540,980,64917,8.08,80,990,98849,84333,853
Haryana,Gurgaon,122,2444,398472,2112,483,483,16568,14185,364497,2.51,478,19012,457767,306614,670
Haryana,Jhajjar,0,623,137854,893,0,0,383,697,44731,12.33,124,1006,95792,86800,906
Haryana,Kaithal,0,515,108544,410,0,0,558,1172,50674,12.77,137,1073,83718,75616,903
Haryana,Hisar,0,574,162801,408,0,0,48,820,61612,17.36,108,622,120974,103471,855
Haryana,Rohtak,47,497,136571,492,0,0,368,926,53442,8.67,75,865,102090,88669,869
Haryana,Ambala,0,379,221064,693,0,0,1042,2544,122915,5.56,79,1421,183260,160930,878
Haryana,Sirsa,0,1005,176720,509,0,0,1055,976,49467,10.19,210,2060,117344,108839,928
Haryana,Panipat,131,876,133292,388,0,0,1065,1243,55829,5.1,99,1941,104820,84352,805
Haryana,Fatehabad,0,451,101448,441,0,0,516,842,43993,7.55,73,967,76697,68769,897
Haryana,Yamunanagar,0,671,172448,360,0,0,1726,956,52911,5.55,133,2397,119462,105887,886
Haryana,Sonipat,351,827,215629,679,0,0,810,1849,87356,7.51,123,1637,163317,139793,856
Haryana,Faridabad,0,2294,327773,1498,2,2,4414,5082,168961,3.61,242,6708,286323,211379,738
Haryana,Bhiwani,0,362,148476,305,0,0,767,973,48976,5.4,61,1129,103748,93723,903
Haryana,Charkhi Dadri,0,595,99763,431,0,0,83,886,32119,10.62,72,678,67844,64055,944
Haryana,Rewari,0,1092,147135,708,0,0,932,1238,51746,4.25,86,2024,107302,91619,854
Haryana,Karnal,510,768,214203,299,0,0,564,1202,75235,6.61,88,1332,152649,136850,897
Haryana,Jind,0,630,126523,447,0,0,711,813,43519,9.62,129,1341,88798,81252,915
Haryana,Nuh,0,76,42367,237,0,0,381,576,31727,13.79,63,457,42430,31710,747
Haryana,Mahendragarh,0,942,144742,840,0,0,848,884,45474,4.47,80,1790,98512,91737,931
Haryana,Palwal,0,476,140812,309,0,0,166,1199,61995,12.15,78,642,111692,91182,816
Himachal Pradesh,Shimla,0,381,217675,401,0,0,1615,1472,45683,6.11,122,1998,138481,124861,902
Himachal Pradesh,Solan,0,549,135769,590,0,0,1199,1289,38023,3.55,62,1748,101591,72216,711
Himachal Pradesh,Lahaul Spiti,0,0,8189,13,0,0,0,96,2022,0.0,0,0,5246,4964,946
Himachal Pradesh,Kullu,0,50,106310,100,0,0,243,246,16129,16.04,47,293,62302,60133,965
Himachal Pradesh,Sirmaur,0,132,89568,234,0,0,413,626,23641,10.09,55,545,62313,50901,817
Himachal Pradesh,Kangra,687,1859,400771,1771,0,0,1617,982,52382,5.58,194,3476,218961,234170,1069
Himachal Pradesh,Chamba,0,896,117723,694,0,0,409,301,19485,10.34,135,1305,68134,69064,1014
Himachal Pradesh,Mandi,0,203,279565,409,0,0,847,640,36698,10.48,110,1050,149655,166631,1113
Himachal Pradesh,Kinnaur,0,49,23995,32,0,0,457,308,6718,2.77,14,506,16273,14441,887
Himachal Pradesh,Hamirpur,28,149,159880,125,0,0,362,275,16522,9.59,49,511,82054,94337,1150
Himachal Pradesh,Una,0,260,149635,305,0,0,233,245,18055,13.59,67,493,83879,83802,999
Himachal Pradesh,Bilaspur,0,28,123678,83,0,0,23,110,13604,17.65,9,51,67163,70113,1044
Jammu & Kashmir,Srinagar,371,1607,148211,1505,597,546,2346,2128,93937,4.98,197,3953,163647,78496,480
Jammu & Kashmir,Kulgam,0,649,93116,687,0,0,20,6,7624,19.58,131,669,58079,42647,734
Jammu & Kashmir,Shopian,0,29,64163,15,0,0,2,5,4447,29.03,9,31,39107,29500,754
Jammu & Kashmir,Bandipore,0,780,80493,611,0,0,21,12,7682,19.85,159,801,53254,34915,656
Jammu & Kashmir,Anantnag,200,2202,165716,2090,0,0,104,1639,39559,11.45,264,2306,120602,84654,702
Jammu & Kashmir,Baramulla,419,1503,211142,2005,0,0,158,567,44026,7.16,119,1661,148609,106455,716
Jammu & Kashmir,Kupwara,0,2304,87348,1542,0,0,98,56,13328,6.58,158,2402,62486,38185,611
Jammu & Kashmir,Pulwama,0,1476,108929,1382,0,0,101,82,15872,4.63,73,1577,75071,49728,662
Jammu & Kashmir,Ganderbal,0,31,71584,40,0,0,437,501,9698,4.7,22,468,47489,33787,711
Jammu & Kashmir,Budgam,378,833,147683,604,0,0,62,1994,47531,15.08,135,895,117135,78070,666
Jammu & Kashmir,Jammu,794,723,392921,331,1,0,2842,1627,111602,4.91,175,3565,281007,223606,796
Jammu & Kashmir,Kishtwar,200,106,44418,116,0,0,41,39,8479,8.84,13,147,31318,21572,689
Jammu & Kashmir,Doda,847,274,82321,1428,0,0,24,49,8858,7.38,22,298,50477,40693,806
Jammu & Kashmir,Udhampur,0,491,116464,635,0,0,192,341,41349,15.67,107,683,88713,69089,779
Jammu & Kashmir,Kathua,2650,680,132534,648,0,0,90,93,34088,9.09,70,770,91352,75258,824
Jammu & Kashmir,Ramban,890,47,62487,23,0,0,29,29,7738,18.42,14,76,42034,28188,671
Jammu & Kashmir,Samba,0,59,83970,34,0,0,88,97,11233,8.84,13,147,53134,42051,791
Jammu & Kashmir,Rajouri,3349,1139,108392,1045,0,0,90,196,36203,10.66,131,1229,83642,60951,729
Jammu & Kashmir,Poonch,5199,230,98287,465,0,0,19,26,8779,16.47,41,249,59894,47167,788
Jammu & Kashmir,Reasi,0,186,66691,268,0,0,28,65,10738,12.15,26,214,45842,31584,689
Jharkhand,Ranchi,855,1627,246063,1065,1334,1334,3590,6195,154060,4.47,233,5217,224034,176180,786
Jharkhand,Koderma,0,389,65731,521,3,0,898,711,25198,6.45,83,1287,46219,44725,968
Jharkhand,Bokaro,0,938,152929,802,0,0,2686,1666,62664,1.55,56,3624,123454,92176,747
Jharkhand,Garhwa,942,565,90874,1065,0,0,308,1555,48563,4.24,37,873,77803,61629,792
Jharkhand,Latehar,530,130,49596,127,733,0,901,771,29821,5.57,57,1023,44736,34696,776
Jharkhand,Chatra,0,359,78805,421,95,0,1070,526,27141,5.67,81,1429,57018,48919,858
Jharkhand,Palamu,20,879,179326,1455,856,29,1646,930,52660,5.74,145,2525,125889,106107,843
Jharkhand,East Singhbhum,28,3166,277161,1767,0,0,5186,3719,99650,2.61,218,8352,209980,166918,795
Jharkhand,Seraikela Kharsawan,117,413,93607,415,1,0,1764,1195,35478,3.81,83,2177,71670,57428,801
Jharkhand,Simdega,5658,444,49501,423,6117,0,1166,1354,28639,8.7,140,1610,38114,40039,1051
Jharkhand,Lohardaga,0,110,45114,116,229,0,697,776,20315,10.29,83,807,33345,32078,962
Jharkhand,Gumla,598,630,91380,719,329,0,1177,1080,31261,7.36,133,1807,58217,64479,1108
Jharkhand,Khunti,1462,74,53641,121,246,0,610,511,27969,9.65,66,684,42749,38866,909
Jharkhand,Deoghar,1390,2278,97391,1675,15,0,1253,1741,60050,5.92,209,3531,91080,66451,730
Jharkhand,Ramgarh,409,627,81731,447,0,0,439,1373,42005,5.07,54,1066,71087,52635,740
Jharkhand,Hazaribagh,290,1234,147040,1391,40,0,1518,1994,68560,3.2,88,2752,116776,98819,846
Jharkhand,Giridih,2187,698,160021,804,61,0,1802,1007,56630,6.8,170,2500,112629,104056,924
Jharkhand,Dhanbad,0,1472,232576,870,0,0,116,1946,74979,4.53,72,1588,172776,134788,780
Jharkhand,Dumka,0,789,111041,739,308,0,1529,1053,43482,3.97,92,2318,78130,76423,978
Jharkhand,Jamtara,192,301,68151,634,23,0,759,653,28957,7.55,80,1060,52333,44789,856
Jharkhand,Sahebganj,246,461,54708,645,282,0,1237,986,32575,5.42,92,1698,45752,41538,908
Jharkhand,Pakur,2869,896,66680,618,337,0,866,717,29903,3.86,68,1762,47437,49177,1037
Jharkhand,Godda,815,537,83117,1138,264,0,819,1731,41416,9.14,124,1356,66699,57887,868
Jharkhand,West Singhbhum,2085,531,114400,371,48,0,1999,1279,47219,5.14,130,2530,83427,78216,938
Karnataka,Belgaum,1593,5289,554060,3176,0,0,2766,1984,92127,9.37,755,8055,319443,326785,1023
Karnataka,Bangalore Urban,0,3648,230762,2708,0,0,8823,8447,157514,2.96,369,12471,214542,173913,811
Karnataka,Mysore,0,2163,649042,1646,0,0,4673,7187,140987,5.32,364,6836,391799,398403,1017
Karnataka,Gulbarga,0,1641,211773,1039,0,0,3298,2944,74747,8.93,441,4939,151551,134954,890
