state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,0,28704,8,0,0,89,3711,0.0,0,0,17196,15217,885
Andaman & Nicobar,South Andaman,0,68,54999,66,0,519,469,14929,3.92,23,587,38081,31843,836
Andaman & Nicobar,Nicobar,0,0,7651,2,0,0,0,998,0.0,0,0,4553,4096,900
Andhra Pradesh,Krishna,0,5459,597233,7018,0,1633,1493,119659,1.52,108,7092,374201,342792,916
Andhra Pradesh,Guntur,0,992,566944,12192,0,674,1624,128385,5.64,94,1666,367523,327889,892
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,2787,461729,10127,0,258,348,55524,3.45,105,3045,256725,260510,1015
Andhra Pradesh,Kurnool,0,3213,475208,14493,0,1010,1094,68150,3.24,137,4223,267517,275860,1031
Andhra Pradesh,Visakhapatnam,48,1688,552665,12340,0,5164,5386,173541,1.12,77,6853,382037,344356,901
Andhra Pradesh,Anantapur,0,903,525837,8116,0,66,948,72986,8.36,81,969,305120,293564,962
Andhra Pradesh,Chittoor,49,2060,599890,14444,100,1167,1064,106596,3.81,123,3227,350876,355663,1014
Andhra Pradesh,East Godavari,0,3818,616282,15292,0,496,370,119534,2.92,126,4314,393229,342639,871
Andhra Pradesh,Prakasam,0,17572,476825,8084,0,592,652,73153,1.74,316,18164,281946,268002,951
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,3587,470187,8684,0,464,524,73747,1.95,79,4051,272854,271086,994
Andhra Pradesh,Srikakulam,0,3865,414366,16208,0,666,419,54805,2.18,99,4531,227554,241618,1062
Andhra Pradesh,Vizianagaram,0,1601,340733,9293,0,766,736,47312,3.08,73,2367,188512,199528,1058
Andhra Pradesh,West Godavari,0,25857,526410,11142,0,1346,396,64481,1.39,377,27203,296009,294950,996
Arunachal Pradesh,Itanagar Capital Complex,69,230,17412,68,0,4016,1643,28232,0.8,34,4246,26187,19458,743
Arunachal Pradesh,Lower Siang,0,11,3910,2,0,39,9,1206,20.0,10,50,2720,2396,881
Arunachal Pradesh,Pakke Kessang,130,0,2924,3,9,98,23,1304,2.04,2,98,2213,2013,910
Arunachal Pradesh,Changlang,19,69,15786,83,0,783,132,8567,4.46,38,852,14184,10170,717
Arunachal Pradesh,Kurung Kumey,0,0,2444,8,46,0,24,2098,0.0,0,0,2152,2328,1082
Arunachal Pradesh,Anjaw,0,43,2186,21,0,7,8,1460,0.0,0,50,1983,1666,840
Arunachal Pradesh,East Kameng,0,34,5951,31,0,188,30,2743,3.6,8,222,4534,4158,917
Arunachal Pradesh,Kamle,0,0,1527,2,0,0,1,742,0.0,0,0,1230,1040,846
Arunachal Pradesh,Dibang Valley,0,0,802,10,0,0,2,1039,0.0,0,0,1098,743,677
Arunachal Pradesh,Tirap,0,7,4014,27,0,32,11,3186,28.21,11,39,4558,2641,579
Arunachal Pradesh,Kra Daadi,0,20,1480,5,0,2,12,1364,36.36,8,22,1504,1341,892
Arunachal Pradesh,West Kameng,0,40,12088,13,0,32,70,6347,52.78,38,72,10714,7723,721
Arunachal Pradesh,Lohit,0,42,5650,20,0,150,29,2956,9.38,18,192,5234,3369,644
Arunachal Pradesh,Tawang,0,59,7484,52,0,8,14,4120,19.4,13,67,6317,5282,836
Arunachal Pradesh,Lower Dibang Valley,87,4,6634,11,0,5,12,3265,11.11,1,9,5397,4501,834
Arunachal Pradesh,Lower Subansiri,0,7,6720,8,0,493,73,3771,2.0,10,500,5241,5250,1002
Arunachal Pradesh,Lepa Rada,0,3,3774,2,0,17,9,1676,0.0,0,20,2976,2474,831
Arunachal Pradesh,Upper Siang,0,9,5587,4,0,24,6,2276,21.21,7,33,4118,3745,909
Arunachal Pradesh,Shi Yomi,0,0,1962,6,0,0,1,706,0.0,0,0,1320,1348,1021
Arunachal Pradesh,Namsai,58,96,13819,99,0,284,48,4158,5.26,20,380,9689,8293,856
Arunachal Pradesh,Siang,0,0,4222,18,0,0,1,1195,0.0,0,0,2739,2677,977
Arunachal Pradesh,West Siang,0,12,10100,4,0,329,57,3732,2.64,9,341,7325,6507,888
Arunachal Pradesh,Papum Pare,0,14,7066,30,0,199,51,6453,7.98,17,213,8647,4873,564
Arunachal Pradesh,Longding,0,46,2162,7,0,0,0,3006,8.7,4,46,3586,1584,442
Arunachal Pradesh,Upper Subansiri,0,52,8412,56,0,3,6,3292,27.27,15,55,6084,5620,924
Arunachal Pradesh,East Siang,36,20,13757,18,0,93,23,5779,15.04,17,113,10085,9451,937
Assam,Dibrugarh,0,1202,131382,1086,0,222,944,61239,5.34,76,1424,103200,89412,866
Assam,Sivasagar,0,288,69428,516,0,171,363,16307,6.75,31,459,46330,39399,850
Assam,Tinsukia,0,226,84893,852,0,852,793,29700,2.04,22,1078,62176,52408,843
Assam,Baksa,0,216,48238,291,0,36,319,15846,19.05,48,252,34963,29116,833
Assam,Barpeta,0,448,128694,737,0,28,99,30992,21.85,104,476,83598,76075,910
Assam,Darrang,0,418,68434,542,0,130,269,24335,7.66,42,548,51478,41279,802
Assam,Kamrup Metropolitan,30,2355,244973,1929,9,7461,2638,214896,5.13,504,9816,259359,200598,773
Assam,Kamrup Rural,262,3975,173474,1944,9,284,201,51915,3.78,161,4259,121152,104205,860
Assam,Karbi-Anglong,0,194,37224,188,0,20,122,18690,21.5,46,214,31800,24114,758
Assam,Nalbari,0,197,55969,382,0,31,334,17463,14.04,32,228,41088,32333,787
Assam,Golaghat,0,5,79238,468,0,25,334,25436,0.0,0,30,58056,46605,803
Assam,Jorhat,0,722,91007,748,0,16,345,31226,2.98,22,738,66298,55927,844
Assam,Morigaon,0,366,65437,417,0,72,420,17687,9.59,42,438,42102,41013,974
Assam,Nagaon,0,576,128983,522,0,1166,970,41057,4.12,72,1748,87392,82633,946
Assam,Bongaigaon,3,497,57805,335,0,146,169,24667,21.31,137,643,43973,38491,875
Assam,Chirang,73,197,26662,103,0,20,211,14361,10.6,23,217,24163,16857,698
Assam,Dhubri,16,198,74855,210,0,36,359,22967,11.11,26,234,53759,44052,819
Assam,Goalpara,496,260,55265,141,0,26,211,27676,25.87,74,286,43463,39442,907
Assam,Kokrajhar,36,384,47928,238,0,128,278,23978,19.14,98,512,41035,30869,752
Assam,Dhemaji,0,127,64528,629,0,5,397,21109,13.64,18,132,43455,42168,970
Assam,Lakhimpur,0,227,76067,413,0,13,296,24483,0.0,0,240,52919,47624,900
Assam,Sonitpur,9,693,101353,464,0,516,374,36518,14.14,171,1209,73468,64397,877
Assam,Udalguri,0,477,46465,294,0,111,450,18805,12.24,72,588,35836,29423,821
Assam,Cachar,48,1917,101045,1118,0,1215,1045,39360,7.28,228,3132,75061,65346,871
Assam,Dima Hasao,139,3,19683,25,0,8,10,10054,81.82,9,11,17738,11994,676
Assam,Hailakandi,37,544,49328,536,0,83,315,20165,6.86,43,627,38258,31231,816
Assam,Karimganj,0,259,63578,449,0,249,572,26113,10.24,52,508,49323,40358,818
Bihar,Madhepura,100,217,120482,260,0,132,244,40308,8.88,31,349,88429,72355,818
Bihar,Saharsa,0,582,126682,374,0,196,93,38397,6.68,52,778,87601,77459,884
Bihar,Supaul,0,807,129144,840,0,265,369,42920,3.54,38,1072,95654,76416,799
Bihar,Purnia,0,1290,234866,2048,0,575,300,80744,5.63,105,1865,168557,147029,872
Bihar,Araria,117,925,143898,1001,286,571,334,50763,2.27,34,1496,107120,87553,817
Bihar,Katihar,2450,886,121357,844,0,338,591,65833,3.76,46,1224,102734,84471,822
Bihar,Kishanganj,0,482,79722,481,3,1202,717,36436,5.7,96,1684,63838,52343,820
Bihar,Aurangabad,0,1483,110744,1609,1331,3745,618,49687,5.2,272,5228,92851,67571,728
Bihar,Arwal,0,155,34888,137,0,512,101,14021,4.95,33,667,26680,22235,833
Bihar,Gaya,5395,1701,225876,952,618,5326,993,107640,5.31,373,7027,184046,149535,812
Bihar,Kaimur,1638,471,96432,665,235,1885,419,34098,1.44,34,2356,72056,58469,811
Bihar,Rohtas,959,1698,171620,1353,249,2711,444,62918,1.38,61,4409,133250,101319,760
Bihar,Bhagalpur,0,711,217355,762,363,4120,1093,84274,0.81,39,4831,163109,138502,849
Bihar,Banka,195,362,126358,330,257,1365,727,40614,3.07,53,1727,86849,80127,923
Bihar,Lakhisarai,25,338,46799,246,18,535,121,20110,1.95,17,873,36611,30291,827
Bihar,Munger,0,398,85200,440,0,1110,371,35392,0.8,12,1508,68692,51893,755
Bihar,Muzaffarpur,0,1008,242817,769,47,6350,1286,121034,2.47,182,7358,206328,157547,764
Bihar,Sheohar,0,79,56772,170,10,150,21,13293,4.8,11,229,36990,33076,894
Bihar,Sitamarhi,0,807,181126,545,0,97,44,61759,8.41,76,904,131075,111827,853
Bihar,Vaishali,0,632,221666,668,0,2798,685,66844,4.37,150,3430,153069,135567,886
Bihar,Nalanda,1410,381,226659,571,362,3689,820,77559,1.23,50,4070,160532,143716,895
Bihar,Jehanabad,0,191,63154,190,1349,1019,195,29212,6.61,80,1210,50603,41773,826
Bihar,Nawada,200,823,133775,580,262,748,558,46921,7.57,119,1571,95217,85492,898
Bihar,Sheikhpura,0,105,41651,79,283,315,99,13828,2.38,10,420,29319,26164,892
Bihar,Darbhanga,0,2345,270653,1973,246,5739,998,95334,1.43,116,8084,194245,171761,884
Bihar,Madhubani,0,1974,264919,1543,755,8065,1317,90422,0.61,61,10039,187831,167597,892
Bihar,Samastipur,0,1037,252433,608,319,550,176,88707,1.45,23,1587,182448,158713,870
Bihar,Patna,331,4844,508183,2226,14,17353,3906,243431,2.4,532,22198,438194,313635,716
Bihar,Begusarai,0,663,203408,782,10,2515,529,71255,2.89,92,3178,147156,127528,867
Bihar,Bhojpur,0,849,149649,801,28,3152,639,60359,1.97,79,4001,119098,91007,764
Bihar,Buxar,1112,862,112303,635,0,3340,574,36100,2.33,98,4202,83058,65348,787
Bihar,Khagaria,488,269,89191,297,142,963,218,32342,2.27,28,1232,64701,56847,879
Bihar,Saran,0,1353,287169,1221,5,5937,1059,102212,4.25,310,7290,210263,179195,852
Bihar,Siwan,9697,1416,288669,1472,1,5861,1012,77322,4.03,293,7277,192146,173899,905
Bihar,Gopalganj,0,1128,150264,1213,0,1523,339,47752,3.73,99,2651,111937,86123,769
Bihar,East Champaran,0,3153,265721,2673,218,10386,1559,113304,1.93,261,13539,219157,159738,729
Bihar,West Champaran,528,1419,165520,1044,0,778,298,73903,4.69,103,2197,140152,99293,708
Bihar,Jamui,103,613,104897,391,205,1044,611,37559,6.22,103,1657,77599,64888,836
Chandigarh,Chandigarh,68,521,197648,631,109,5384,4602,93970,3.47,205,5905,163951,127723,779
Chhattisgarh,Raipur,217,600,324413,346,0,449,128,63130,14.39,151,1049,205671,181890,884
Chhattisgarh,Balod,5200,230,164792,257,0,15,-1,9624,6.12,15,245,83140,91260,1098
Chhattisgarh,Baloda bazar,78,20,184078,90,0,0,4,9947,0.0,0,20,91340,102784,1125
Chhattisgarh,Balrampur,3930,17,126586,205,0,1,4,12168,11.11,2,18,69042,69700,1010
Chhattisgarh,Bastar,670,119,137813,174,0,36,22,22371,22.58,35,155,76246,83940,1101
Chhattisgarh,Bemetara,11750,28,92109,25,0,2,1,6255,0.0,0,30,48176,50181,1042
Chhattisgarh,Bijapur,920,2,36148,18,0,8,7,17180,0.0,0,10,30900,22421,726
Chhattisgarh,Bilaspur,120,558,313426,174,0,305,23,30352,6.6,57,863,167564,176193,1051
Chhattisgarh,Dantewada,258,41,56490,16,0,10,4,13660,17.65,9,51,34644,35495,1025
Chhattisgarh,Dhamtari,416,55,168096,23,0,5,6,10405,0.0,0,60,84309,94171,1117
Chhattisgarh,Durg,1762,281,334780,241,0,119,55,35914,12.5,50,400,188586,182092,966
Chhattisgarh,Gariaband,770,20,98989,30,0,0,0,6786,0.0,0,20,49243,56526,1148
Chhattisgarh,Janjgir-Champa,0,167,261124,197,0,24,11,14882,4.71,9,191,131788,144213,1094
Chhattisgarh,Jashpur,3675,119,155682,187,0,20,1,14843,0.72,1,139,78374,92131,1176
Chhattisgarh,Kanker,3700,79,134431,70,0,1,5,21218,0.0,0,80,78180,77459,991
Chhattisgarh,Kondagaon,900,85,106101,165,0,0,3,10093,41.18,35,85,53347,62834,1178
Chhattisgarh,Korba,1359,330,267702,780,0,92,24,18358,4.27,18,422,139081,146964,1057
Chhattisgarh,Koriya,5459,320,104195,461,0,81,20,10636,17.21,69,401,56563,58264,1030
Chhattisgarh,Mahasamund,0,93,237195,28,0,8,3,10403,8.91,9,101,116443,131128,1126
Chhattisgarh,Mungeli,240,35,124293,7,0,14,1,6039,2.04,1,49,62112,68219,1098
Chhattisgarh,Narayanpur,0,43,15781,15,0,17,4,7052,0.0,0,60,12790,10043,785
Chhattisgarh,Raigarh,630,433,351202,78,0,137,7,25843,7.02,40,570,184139,192891,1048
Chhattisgarh,Rajnandgaon,968,58,278211,64,0,10,10,20507,2.94,2,68,142844,155858,1091
Chhattisgarh,Sukma,0,9,49297,20,0,51,8,21262,0.0,0,60,39740,30814,775
Chhattisgarh,Surajpur,0,86,162293,26,0,13,4,12927,1.01,1,99,85609,89585,1046
Chhattisgarh,Surguja,0,464,212027,104,0,471,4,16520,3.74,35,935,109668,118847,1084
Chhattisgarh,Kawardha,4000,271,119604,286,0,73,87,12323,4.65,16,344,64498,67409,1045
Chhattisgarh,Gaurela Pendra Marwahi ,100,33,64006,52,0,6,0,4040,28.21,11,39,31992,36044,1127
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0,69,34968,121,0,2271,2097,50678,4.7,110,2340,57545,28101,488
Daman and Diu,Daman,0,126,28867,123,0,933,2320,45436,2.93,31,1059,48399,25957,536
Daman and Diu,Diu,30,103,11410,92,122,624,564,14337,0.41,3,727,12431,13319,1071
Delhi,New Delhi,189,3395,242414,1309,79,1994,1407,111711,4.29,231,5389,215173,139305,647
Delhi,Central Delhi,2113,1880,272116,783,1395,4146,2419,194915,2.72,164,6026,275969,191273,693
Delhi,West Delhi,298,2141,351835,602,0,183,31,133320,4.56,106,2324,270576,214640,793
Delhi,North West Delhi,1842,2900,330247,913,0,2256,1326,179719,3.96,204,5156,284788,225404,791
Delhi,South East Delhi,4,2620,228592,1138,0,3851,3936,182352,2.46,159,6471,246970,164085,664
Delhi,East Delhi,172,1626,188304,697,1,1990,1285,92953,1.49,54,3616,156628,124686,796
Delhi,North Delhi,337,1985,182160,902,0,386,124,121264,7.55,179,2371,176643,126772,718
Delhi,North East Delhi,91,2142,146315,1132,0,254,153,105647,3.51,84,2396,149778,102320,683
Delhi,Shahdara,216,869,191060,320,0,77,28,113179,3.59,34,946,172313,132055,766
Delhi,South Delhi,215,2272,246048,1082,7,7353,6088,222369,3.9,375,9625,282069,186849,662
Delhi,South West Delhi,436,2941,315916,1334,209,5110,3445,139023,2.22,179,8051,258728,196504,760
Goa,North Goa,218,884,153570,1433,77,2172,1428,59082,5.04,154,3056,111825,100845,902
Goa,South Goa,47,1019,185277,1071,0,1694,925,50125,7.63,207,2713,118889,116506,980
Gujarat,Gandhinagar,0,1667,189155,1722,1,675,195,30706,5.04,118,2342,114654,105209,918
Gujarat,Ahmedabad,0,1554,355361,1315,0,963,340,28289,4.09,103,2517,206729,176901,856
Gujarat,Vadodara,56,1917,280196,2093,0,1433,781,60577,2.99,100,3350,185836,154984,834
Gujarat,Kheda,0,2126,324177,2936,0,252,241,58587,9.34,222,2378,200582,182214,908
Gujarat,Surendranagar,0,2396,171019,1838,0,97,133,18380,6.7,167,2493,98533,90836,922
Gujarat,Aravalli,110,1722,224667,399,0,61,45,21852,3.2,57,1783,123852,122641,990
Gujarat,Banaskantha,0,2365,628404,2148,0,310,78,51888,5.05,135,2675,368148,312273,848
Gujarat,Mehsana,0,1933,378619,2215,0,5651,5591,125272,3.38,256,7584,260809,243069,932
Gujarat,Patan,0,1937,188371,1385,0,333,125,30129,12.78,290,2270,112766,105835,939
