state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,95,57499,118,5,0,1,655,34227,35.42,34,96,47917,43797,914,28384,63342,689,11
Andaman & Nicobar,South Andaman,319,115289,689,0,0,819,863,67423,6.33,72,1138,98250,84438,859,56247,126465,1133,15
Andaman & Nicobar,Nicobar,6,16721,83,1,0,12,61,12983,11.11,2,18,16018,13684,854,7950,21754,117,2
Andhra Pradesh,Krishna,4620,1452402,12414,1590,1590,4127,5875,639883,9.29,813,8747,980390,1111571,1134,514271,1578014,12954,284
Andhra Pradesh,Guntur,3801,1461674,13282,1109,1099,5002,9204,633933,4.51,397,8803,978361,1116989,1142,507185,1588422,15487,154
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",4968,1050489,7521,94,0,3197,4598,328830,4.84,395,8165,621537,757555,1219,373879,1005440,6784,138
Andhra Pradesh,Kurnool,7287,1096396,11258,354,341,3016,5028,439349,4.24,437,10303,658230,877330,1333,423531,1112214,8019,121
Andhra Pradesh,Visakhapatnam,5230,1282947,7099,2659,2605,4500,6703,844956,4.92,479,9731,1037840,1089787,1050,514063,1613840,7107,157
Andhra Pradesh,Anantapur,7041,1281554,11237,148,148,3672,4848,424925,3.8,407,10713,774682,931042,1202,497920,1208559,8393,124
Andhra Pradesh,Chittoor,6190,1361125,18841,952,952,4027,9936,588215,4.34,443,10217,890407,1058665,1189,595917,1353423,9405,148
Andhra Pradesh,East Godavari,15739,1615430,16982,696,268,3198,3268,677127,2.27,430,18950,1031070,1261214,1223,519221,1773336,12768,152
Andhra Pradesh,Prakasam,3516,1138687,10191,0,0,2894,5689,434784,4.52,290,6410,720553,852711,1183,443517,1129954,6793,125
Andhra Pradesh,Sri Potti Sriramulu Nellore,3267,1144138,9007,289,289,8038,7077,424371,3.14,355,11305,728175,840017,1154,494801,1073708,9476,94
Andhra Pradesh,Srikakulam,20888,1008606,12206,89,89,5537,3995,295267,1.68,445,26425,562426,741329,1318,317070,986803,11176,113
Andhra Pradesh,Vizianagaram,1055,687976,2922,119,74,1398,3390,294764,6.81,167,2453,435982,546626,1254,198951,783789,4823,86
Andhra Pradesh,West Godavari,6702,1341432,12417,0,0,9318,6160,526879,3.31,530,16020,805636,1062433,1319,399662,1468649,7792,267
Arunachal Pradesh,Itanagar Capital Complex,120,36772,136,0,0,481,445,80772,4.83,29,601,67278,50254,747,25131,92413,286,7
Arunachal Pradesh,Lower Siang,130,8446,110,0,0,148,76,9945,4.32,12,278,9878,8512,862,4029,14362,88,3
Arunachal Pradesh,Pakke Kessang,4,5513,20,0,0,6,45,4379,0.0,0,10,5219,4669,895,2752,7140,44,1
Arunachal Pradesh,Changlang,137,35759,209,257,0,243,304,52480,7.89,30,380,50131,38098,760,14878,73361,334,11
Arunachal Pradesh,Kurung Kumey,36,5078,23,0,0,42,45,5840,2.56,2,78,5264,5551,1055,2713,8205,51,2
Arunachal Pradesh,Anjaw,8,5099,24,0,0,70,37,7799,28.21,22,78,7083,5814,821,2191,10707,37,3
Arunachal Pradesh,East Kameng,45,13328,56,0,0,27,37,11512,11.11,8,72,13126,11712,892,5174,19666,29,2
Arunachal Pradesh,Kamle,4,3091,23,0,0,6,18,3793,0.0,0,10,3977,2907,731,1180,5704,24,1
Arunachal Pradesh,Dibang Valley,7,1640,12,199,0,15,25,3363,36.36,8,22,3124,1879,601,1154,3849,28,1
Arunachal Pradesh,Tirap,29,12506,53,65,0,48,77,20888,16.88,13,77,19270,14116,733,4910,28484,86,2
Arunachal Pradesh,Kra Daadi,0,3257,29,0,0,0,47,4009,0.0,0,0,3838,3428,893,1460,5806,59,2
Arunachal Pradesh,West Kameng,68,24975,104,2,0,122,171,35331,15.79,30,190,33612,26678,794,12532,47774,191,8
Arunachal Pradesh,Lohit,22,12425,52,0,0,50,112,20241,11.11,8,72,18370,14287,778,5736,26930,108,1
Arunachal Pradesh,Tawang,10,14312,66,0,0,30,53,20015,0.0,0,40,18469,15846,858,8135,26192,42,1
Arunachal Pradesh,Lower Dibang Valley,20,15047,49,589,0,70,72,21228,11.11,10,90,19957,16314,817,7444,28831,88,8
Arunachal Pradesh,Lower Subansiri,38,13810,56,0,0,46,96,17659,30.95,26,84,16817,14650,871,7242,24227,80,6
Arunachal Pradesh,Lepa Rada,21,7860,24,0,0,55,55,9528,18.42,14,76,9848,7537,765,4559,12829,50,2
Arunachal Pradesh,Upper Siang,43,11820,60,0,0,21,70,10965,9.38,6,64,12132,10651,878,5803,16982,57,2
Arunachal Pradesh,Shi Yomi,10,3914,26,1,0,12,29,4528,36.36,8,22,4295,4147,966,2047,6395,31,2
Arunachal Pradesh,Namsai,91,28522,129,0,0,167,162,38973,8.53,22,258,36464,31028,851,11067,56428,190,9
Arunachal Pradesh,Siang,21,8674,49,1,0,21,41,8881,19.05,8,42,9249,8303,898,3953,13602,52,3
Arunachal Pradesh,West Siang,56,20622,69,0,0,67,71,22480,13.82,17,123,23013,20084,873,11433,31669,48,3
Arunachal Pradesh,Papum Pare,13,13618,24,1,0,52,164,21829,38.46,25,65,21448,13994,652,8498,26949,85,4
Arunachal Pradesh,Longding,28,8196,36,5,0,68,84,11722,25.0,24,96,12567,7351,585,2933,16985,81,6
Arunachal Pradesh,Upper Subansiri,67,16343,83,98,0,134,153,11657,3.45,7,203,14641,13354,912,6097,21903,166,5
Arunachal Pradesh,East Siang,42,27631,82,0,0,84,118,38163,34.92,44,126,34193,31591,924,14922,50872,55,9
Assam,Dibrugarh,3032,286224,2477,1,0,4389,3679,293793,3.22,239,7421,303122,276822,913,113858,466159,4806,56
Assam,Sivasagar,3037,174602,2093,4,0,5341,3298,175317,1.93,162,8378,184043,165822,901,56771,293148,4798,44
Assam,Tinsukia,3729,204437,2916,177,0,7473,3772,201124,1.86,208,11202,212655,192836,907,65731,339830,5255,56
Assam,Baksa,2391,110335,2037,24,0,4795,3368,116699,2.28,164,7186,122926,104063,847,37178,189856,4715,38
Assam,Barpeta,5644,289974,2107,0,0,14159,5292,216307,2.11,417,19803,267974,238241,889,122492,383789,7127,110
Assam,Darrang,3083,142770,1723,6,0,4583,2264,125326,1.62,124,7666,144059,124001,861,47667,220429,3219,37
Assam,Kamrup Metropolitan,5336,532869,4843,48,48,6794,4968,670322,3.38,410,12130,673304,529674,787,241672,961519,6429,112
Assam,Kamrup Rural,5471,354309,4103,525,212,10169,6507,252751,2.69,420,15640,319546,287421,899,118704,488356,8870,105
Assam,Karbi-Anglong,1203,78007,795,11,0,2658,1504,82829,3.6,139,3861,89518,71299,796,33422,127414,1887,33
Assam,Nalbari,4208,129982,1935,0,0,7598,3189,107396,1.73,204,11806,125768,111579,887,42378,195000,4518,45
