state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses
Andaman & Nicobar,North and Middle Andaman,0,0,28695,9,0,195,175,3573,2.56,5,195
Andaman & Nicobar,South Andaman,0,0,54698,39,0,43,408,12951,16.28,7,43
Andaman & Nicobar,Nicobar,0,0,7642,3,0,0,20,997,0.0,0,0
Andhra Pradesh,Krishna,0,0,562849,22360,0,0,1729,111288,0.0,0,0
Andhra Pradesh,Guntur,0,1536,540162,19694,0,211,2234,121989,3.61,63,1747
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,0,428533,15201,0,0,351,54244,0.0,0,0
Andhra Pradesh,Kurnool,0,0,443147,14815,0,0,749,65028,0.0,0,0
Andhra Pradesh,Visakhapatnam,0,1620,519985,16504,0,555,4648,147247,5.29,115,2175
Andhra Pradesh,Anantapur,0,0,499094,15901,0,0,920,69378,0.0,0,0
Andhra Pradesh,Chittoor,22,0,569034,18942,50,33,1331,102813,0.0,0,0
Andhra Pradesh,East Godavari,0,0,580949,27587,0,0,478,117696,0.0,0,0
Andhra Pradesh,Prakasam,0,603,438655,15676,0,17,753,69756,6.45,40,620
Andhra Pradesh,Sri Potti Sriramulu Nellore,1,603,443169,15863,0,27,658,71701,4.76,30,630
Andhra Pradesh,Srikakulam,0,3852,388427,17091,0,12,219,52628,1.71,66,3864
Andhra Pradesh,Vizianagaram,0,1028,313777,12513,0,5,255,42959,2.61,27,1033
Andhra Pradesh,West Godavari,0,1299,467898,19038,0,338,283,62406,1.41,23,1637
Arunachal Pradesh,Itanagar Capital Complex,0,5,16968,15,0,50,96,16922,45.45,25,55
Arunachal Pradesh,Lower Siang,0,0,3901,10,0,0,3,1157,0.0,0,0
Arunachal Pradesh,Pakke Kessang,0,0,2909,9,0,0,1,1143,0.0,0,0
Arunachal Pradesh,Changlang,260,122,15439,68,0,1,110,7666,5.69,7,123
Arunachal Pradesh,Kurung Kumey,0,0,2444,17,0,0,37,2090,0.0,0,0
Arunachal Pradesh,Anjaw,0,0,2058,4,0,0,8,1451,0.0,0,0
Arunachal Pradesh,East Kameng,0,0,5777,11,0,0,50,2547,0.0,0,0
Arunachal Pradesh,Kamle,0,0,1527,4,0,0,8,742,0.0,0,0
Arunachal Pradesh,Dibang Valley,0,0,788,11,0,0,1,1028,0.0,0,0
Arunachal Pradesh,Tirap,0,0,3862,38,0,0,12,3117,0.0,0,0
Arunachal Pradesh,Kra Daadi,0,0,1451,24,95,0,21,1325,0.0,0,0
Arunachal Pradesh,West Kameng,0,0,12026,10,0,0,113,6071,0.0,0,0
Arunachal Pradesh,Lohit,0,0,5559,16,0,0,10,2762,0.0,0,0
Arunachal Pradesh,Tawang,0,29,7251,28,0,0,60,4065,3.45,1,29
Arunachal Pradesh,Lower Dibang Valley,0,0,6601,9,0,0,14,3230,0.0,0,0
Arunachal Pradesh,Lower Subansiri,0,25,6704,18,0,5,10,3263,33.33,10,30
Arunachal Pradesh,Lepa Rada,0,0,3761,1,0,0,7,1629,0.0,0,0
Arunachal Pradesh,Upper Siang,0,0,5571,4,0,0,21,2250,0.0,0,0
Arunachal Pradesh,Shi Yomi,0,9,1957,6,0,2,3,702,81.82,9,11
Arunachal Pradesh,Namsai,0,0,13486,85,0,0,10,3827,0.0,0,0
Arunachal Pradesh,Siang,0,0,4173,25,0,0,2,1191,0.0,0,0
Arunachal Pradesh,West Siang,0,0,10080,5,0,0,14,3344,0.0,0,0
Arunachal Pradesh,Papum Pare,7,10,6988,28,0,0,44,6207,0.0,0,10
Arunachal Pradesh,Longding,0,0,2112,6,0,0,11,3005,0.0,0,0
Arunachal Pradesh,Upper Subansiri,0,11,8059,27,0,0,70,3250,81.82,9,11
Arunachal Pradesh,East Siang,0,2,13653,27,0,0,17,5656,400.0,8,2
Assam,Dibrugarh,0,1004,126392,848,0,772,1188,56979,3.04,54,1776
