state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,0,28732,2,0,0,0,127,4599,0.0,0,0,17650,15680,888,3291
Andaman & Nicobar,South Andaman,0,0,55468,49,0,0,0,345,18189,0.0,0,0,39987,33666,842,10155
Andaman & Nicobar,Nicobar,0,0,7664,2,0,0,0,8,1055,0.0,0,0,4600,4119,895,1906
Andhra Pradesh,Krishna,0,26401,731320,12455,0,0,13156,9074,196096,2.84,1123,39557,460494,467030,1014,256952
Andhra Pradesh,Guntur,0,207,660498,7331,36,36,313,4849,170971,9.62,50,520,424709,406840,958,227574
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,0,526780,5230,0,0,0,434,59732,0.0,0,0,289475,297009,1026,180201
Andhra Pradesh,Kurnool,138,7,520487,2841,50,50,137,5798,110774,4.17,6,144,291241,340029,1168,179257
Andhra Pradesh,Visakhapatnam,442,239,648464,8300,337,337,1323,11798,277358,1.79,28,1562,480794,445281,926,231394
Andhra Pradesh,Anantapur,0,0,588158,4795,0,0,1,2416,91439,900.0,9,1,338447,340924,1007,202587
Andhra Pradesh,Chittoor,0,0,656340,3109,0,0,10,4283,140024,0.0,0,10,382002,414407,1085,234965
Andhra Pradesh,East Godavari,0,38,737079,11203,0,0,721,6624,168331,1.32,10,760,459876,445583,969,254772
Andhra Pradesh,Prakasam,0,953,553902,6641,0,0,18229,4259,105343,1.35,258,19182,320097,339108,1059,195352
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,5634,533262,4882,0,0,6918,4568,108462,2.48,312,12558,311268,330460,1062,201042
Andhra Pradesh,Srikakulam,0,27,470159,3943,0,0,0,2845,75821,11.11,3,27,255968,290006,1133,129926
Andhra Pradesh,Vizianagaram,0,0,372688,2163,0,0,0,4341,83038,0.0,0,0,210675,245039,1163,111310
Andhra Pradesh,West Godavari,0,0,639016,8974,0,0,2,4744,101621,400.0,8,2,352704,388009,1100,217376
Arunachal Pradesh,Itanagar Capital Complex,8,52,18908,103,0,0,1186,584,38686,2.58,32,1238,32849,24745,753,7666
Arunachal Pradesh,Lower Siang,0,0,3962,7,0,0,96,95,2345,4.17,4,96,3323,2984,898,1105
Arunachal Pradesh,Pakke Kessang,40,10,3020,5,20,0,47,20,1568,22.81,13,57,2393,2192,916,1387
Arunachal Pradesh,Changlang,0,10,17390,207,0,0,2,121,11863,66.67,8,12,16780,12473,743,4634
Arunachal Pradesh,Kurung Kumey,0,0,2480,1,0,0,0,6,2250,0.0,0,0,2242,2426,1082,1949
Arunachal Pradesh,Anjaw,0,0,2948,68,0,0,36,119,2317,11.11,4,36,2822,2449,868,1258
Arunachal Pradesh,East Kameng,0,45,7710,194,0,0,53,51,3690,12.24,12,98,5866,5532,943,1855
Arunachal Pradesh,Kamle,0,0,1581,6,0,0,0,23,909,0.0,0,0,1376,1115,810,537
Arunachal Pradesh,Dibang Valley,0,0,929,8,0,0,0,5,1096,0.0,0,0,1192,833,699,887
Arunachal Pradesh,Tirap,0,345,5763,227,0,0,26,177,4897,2.43,9,371,6371,4288,673,2598
Arunachal Pradesh,Kra Daadi,0,20,1566,3,0,0,43,30,1612,11.11,7,63,1659,1521,917,728
Arunachal Pradesh,West Kameng,0,73,12966,114,0,0,321,435,9977,4.06,16,394,12945,10000,772,6768
Arunachal Pradesh,Lohit,0,0,5950,37,0,0,0,202,4868,0.0,0,0,6347,4468,704,2035
Arunachal Pradesh,Tawang,0,7,7755,8,0,0,519,334,7900,2.66,14,526,8201,7448,908,4256
Arunachal Pradesh,Lower Dibang Valley,17,0,6905,36,0,0,0,155,5450,0.0,0,0,6581,5775,878,2581
Arunachal Pradesh,Lower Subansiri,0,8,7045,44,0,0,385,116,5917,4.33,17,393,6562,6400,975,4063
Arunachal Pradesh,Lepa Rada,0,0,3917,20,0,0,0,66,2450,0.0,0,0,3445,2922,848,2520
Arunachal Pradesh,Upper Siang,0,7,5890,35,0,0,1,111,3313,25.0,2,8,4771,4434,929,2677
Arunachal Pradesh,Shi Yomi,0,18,2002,6,0,0,0,39,976,11.11,2,18,1479,1499,1014,1435
Arunachal Pradesh,Namsai,0,25,15623,238,0,0,0,63,5886,48.15,13,27,11629,9885,850,4534
Arunachal Pradesh,Siang,0,0,4241,3,0,0,0,3,1533,0.0,0,0,2925,2848,974,1577
