state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,197,56615,213,267,0,1310,795,29607,2.19,33,1507,45183,41028,908,27742,58480,807,10
Andaman & Nicobar,South Andaman,689,110444,844,0,0,1151,907,61318,3.8,70,1840,92690,79050,853,53297,118465,977,19
Andaman & Nicobar,Nicobar,21,16139,89,2,0,23,149,12556,13.64,6,44,15503,13190,851,7758,20937,177,3
Andhra Pradesh,Krishna,3494,1365402,16161,1886,1886,1303,12665,598715,13.2,633,4797,918776,1045035,1137,476799,1487318,23058,331
Andhra Pradesh,Guntur,7629,1367795,14231,926,926,6542,9181,568668,3.52,499,14171,907123,1029119,1134,457523,1478940,14237,130
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",14589,995728,7782,54,0,5524,4250,296179,2.27,457,20113,580358,711336,1226,334577,957330,5452,138
Andhra Pradesh,Kurnool,20840,1014088,12541,293,245,8860,6840,403028,1.78,530,29700,605853,811091,1339,363545,1053571,9335,136
Andhra Pradesh,Visakhapatnam,4753,1232869,11567,2333,2304,6793,14605,797393,4.28,494,11546,990007,1039996,1050,467026,1563236,14706,126
Andhra Pradesh,Anantapur,3204,1202563,15436,89,89,3063,9551,390635,2.6,163,6267,720547,871935,1210,443960,1149238,15619,56
Andhra Pradesh,Chittoor,4639,1228808,13850,1152,1152,3920,11476,518371,4.69,401,8559,796385,950553,1194,460048,1287131,11881,149
Andhra Pradesh,East Godavari,5589,1496054,24278,3,0,2151,10259,654140,4.73,366,7744,958584,1191357,1243,466576,1683618,28775,128
Andhra Pradesh,Prakasam,12008,1065085,11294,145,145,4594,7947,394287,1.79,298,16622,667757,791429,1185,377594,1081778,6298,86
Andhra Pradesh,Sri Potti Sriramulu Nellore,3600,1080425,10439,190,190,2287,7426,374475,1.92,113,5887,676208,778396,1151,448040,1006860,10029,26
Andhra Pradesh,Srikakulam,4729,922897,8160,25,0,2926,3937,267210,5.16,395,7655,516312,673683,1305,281846,908261,7031,105
Andhra Pradesh,Vizianagaram,5970,666910,2995,34,0,5860,2719,270115,2.7,320,11830,415120,521777,1257,188171,748854,3547,96
