state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,12,60974,31,212,385,67306,16.07,36,224,66900,61363,917,49560,78720,20,10,396
Andaman & Nicobar,South Andaman,99,130055,138,453,640,161766,12.32,68,552,157001,134773,858,103782,188039,151,13,627
Andaman & Nicobar,Nicobar,7,18997,25,45,264,23668,15.38,8,52,23064,19598,850,17358,25307,4,3,285
Andhra Pradesh,Krishna,15101,2304300,14348,21218,22497,1849138,2.37,861,36319,1944273,2208427,1136,1447530,2705908,18328,259,18517
Andhra Pradesh,Guntur,10269,2407227,20294,19756,34870,1930047,1.58,475,30045,2008405,2328189,1159,1492439,2844835,28469,155,26695
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",4430,1659594,8287,8217,15869,1118798,2.86,362,12658,1265326,1512592,1195,1132114,1646278,8999,110,15156
Andhra Pradesh,Kurnool,2607,1761629,7174,15700,29551,1664010,1.02,187,18313,1543402,1881720,1219,1126163,2299476,24415,56,12310
Andhra Pradesh,Visakhapatnam,5027,2108343,11404,5689,16470,2172098,4.42,474,10716,2087846,2191978,1050,1445832,2834609,7350,149,20524
Andhra Pradesh,Anantapur,21350,2088878,9318,56253,29492,1629845,0.65,507,78003,1704495,2012168,1181,1316369,2402354,23713,123,15098
Andhra Pradesh,Chittoor,10655,2251060,10979,19202,22918,1789364,1.51,452,29898,1876214,2163575,1153,1496346,2544078,15991,157,17906
Andhra Pradesh,East Godavari,28112,2668981,20501,25927,22056,2169327,1.61,870,54050,2264105,2573419,1137,1465803,3372505,11358,233,31199
Andhra Pradesh,Prakasam,7268,1865691,15141,13947,30329,1360891,1.7,360,21220,1493762,1732356,1160,1263299,1963283,22202,107,23268
Andhra Pradesh,Sri Potti Sriramulu Nellore,9051,1691531,7816,20911,15529,1320265,1.2,361,29969,1410750,1600480,1134,1152471,1859325,11019,98,12325
Andhra Pradesh,Srikakulam,0,1464926,3707,0,4666,892973,0.0,0,0,1045757,1311892,1254,790671,1567228,3469,2,4903
Andhra Pradesh,Vizianagaram,11126,1171791,5003,13287,6602,833628,1.71,417,24413,908682,1096423,1207,712519,1292900,3080,107,8524
Andhra Pradesh,West Godavari,19379,2116144,13476,27250,20592,1584357,1.01,471,46629,1685784,2014218,1195,1343179,2357322,9429,144,24639
Arunachal Pradesh,Itanagar Capital Complex,49,42237,44,506,644,135814,8.11,45,555,101697,76335,751,70417,107634,143,7,545
Arunachal Pradesh,Lower Siang,53,9641,22,243,123,15943,4.73,14,296,13690,11893,869,9124,16460,15,2,129
Arunachal Pradesh,Pakke Kessang,1,6145,1,5,9,6194,66.67,4,6,6482,5850,902,4374,7965,2,1,8
Arunachal Pradesh,Changlang,26,46322,94,147,378,90027,21.39,37,173,75571,60764,804,48373,87976,97,12,376
Arunachal Pradesh,Kurung Kumey,15,6025,35,80,88,8192,15.79,15,95,6976,7135,1023,5158,9059,9,3,113
Arunachal Pradesh,Anjaw,9,6693,10,110,59,11890,9.24,11,119,10228,8353,817,6971,11612,6,2,62
Arunachal Pradesh,East Kameng,15,17488,26,153,156,19712,1.19,2,168,19517,17677,906,14427,22773,17,1,164
Arunachal Pradesh,Kamle,13,3989,26,101,76,6052,5.26,6,114,5746,4295,747,3243,6798,22,3,79
Arunachal Pradesh,Dibang Valley,0,1944,9,0,46,4674,0.0,0,0,4201,2417,575,2481,4137,5,1,50
Arunachal Pradesh,Tirap,48,17171,80,166,288,33729,12.15,26,214,28490,22398,786,19428,31472,15,5,352
Arunachal Pradesh,Kra Daadi,1,3935,7,4,13,5477,100.0,5,5,5014,4398,877,3150,6262,1,1,19
