state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,1,609,34030,420,0,0,3,761,17382,6.21,38,612,26848,24557,915,6174,45238,792,10
Andaman & Nicobar,South Andaman,0,1211,67769,718,0,0,564,1074,45674,3.66,65,1775,62326,51106,820,15063,98380,1197,18
Andaman & Nicobar,Nicobar,2,207,10837,236,1,0,246,274,8320,3.75,17,453,10161,8995,885,3467,15690,294,4
Andhra Pradesh,Krishna,167,5714,1142908,9739,459,459,5076,10443,435326,4.62,499,10791,730014,847986,1162,328612,1249622,14244,121
Andhra Pradesh,Guntur,77,3359,1096229,11864,2,2,4118,10079,393857,3.38,253,7477,713056,776872,1089,294034,1196052,17814,89
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",25,4268,842234,8237,0,0,1369,5758,222305,4.67,263,5637,474822,589541,1242,227708,836831,10263,70
Andhra Pradesh,Kurnool,3,2567,809684,9002,0,0,3276,7424,275072,5.08,297,5843,465213,619416,1331,212030,872726,13449,81
Andhra Pradesh,Visakhapatnam,312,3634,1042883,11812,1381,1381,7489,13472,592131,2.94,327,11123,805540,829268,1029,299083,1335931,19404,94
Andhra Pradesh,Anantapur,0,2700,921550,9771,0,0,2435,9319,265016,4.77,245,5135,535707,650294,1214,253540,933026,15014,58
Andhra Pradesh,Chittoor,470,3401,1022936,8658,370,366,5230,9954,360383,4.16,359,8631,627731,755401,1203,292082,1091237,15174,149
Andhra Pradesh,East Godavari,270,3415,1124820,8493,0,0,3278,16582,479655,3.39,227,6693,711263,893025,1256,295625,1308850,21816,67
Andhra Pradesh,Prakasam,225,6948,895903,8950,77,74,2891,4619,236161,3.87,381,9839,517399,614519,1188,229614,902450,11246,107
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,2321,858501,11185,0,0,1496,4519,261007,1.65,63,3817,520291,598995,1151,282257,837251,7904,16
Andhra Pradesh,Srikakulam,38,8888,762277,7990,1,0,3093,4385,213690,3.25,389,11981,419223,556657,1328,177278,798689,8970,95
Andhra Pradesh,Vizianagaram,513,2955,587956,5844,0,0,2072,4727,212534,3.44,173,5027,352239,448152,1272,133944,666546,8520,88
Andhra Pradesh,West Godavari,17254,8211,1089802,13653,0,0,1024,3948,295716,2.21,204,9236,599704,785636,1310,242417,1143101,14948,224
Arunachal Pradesh,Itanagar Capital Complex,0,361,25929,200,0,0,692,646,59391,3.51,37,1053,48637,36672,754,8906,76414,695,8
Arunachal Pradesh,Lower Siang,0,33,5031,37,0,0,169,124,5977,3.96,8,202,5932,5076,856,1226,9782,144,2
Arunachal Pradesh,Pakke Kessang,0,5,4291,15,0,0,33,38,2662,5.26,2,38,3616,3334,922,1533,5420,43,1
Arunachal Pradesh,Changlang,599,129,24092,145,289,0,307,550,37819,5.5,24,436,35119,26787,763,5178,56733,629,10
Arunachal Pradesh,Kurung Kumey,0,135,4054,62,0,0,46,98,4131,10.5,19,181,3865,4218,1091,2100,6085,140,3
Arunachal Pradesh,Anjaw,0,24,4342,17,0,0,248,234,5836,2.94,8,272,5544,4633,836,1452,8726,246,3
Arunachal Pradesh,East Kameng,0,50,9930,29,0,0,123,221,7611,9.83,17,173,9320,8218,882,1969,15572,240,4
Arunachal Pradesh,Kamle,0,24,2063,17,0,0,162,95,2300,2.15,4,186,2560,1803,704,544,3819,111,5
