state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Karnataka,Bagalkot,8,842297,975,26,2562,964441,47.06,16,34,874948,931598,1065,615983,1190755,2773,149,765,661773
Karnataka,Chamarajanagar,707,517833,793,1079,1228,488965,14.78,264,1786,467014,539573,1155,358439,648359,124,123,1896,392760
Karnataka,Bidar,576,671068,951,1567,2093,785344,12.46,267,2143,709943,746283,1051,522867,933545,1102,148,1942,592846
Karnataka,Chikamagalur,442,607182,400,837,812,481256,11.81,151,1279,523223,565092,1080,350227,738211,235,79,977,379492
Karnataka,Bellary,112,1150648,2658,597,6686,1498757,18.48,131,709,1314073,1334798,1016,877933,1771472,4730,62,4613,959692
Karnataka,Davanagere,166,749552,809,453,1691,770215,17.93,111,619,739794,779675,1054,501233,1018534,536,40,1964,607965
Karnataka,Bangalore Rural,444,432244,463,2004,2044,664127,6.21,152,2448,604772,491364,812,394275,702096,344,64,2163,436974
Karnataka,Kolar,245,709735,861,594,1898,916711,21.57,181,839,824828,801372,972,631675,994771,930,160,1829,677450
Karnataka,Dharwad,149,779472,1190,365,2571,1007620,20.62,106,514,899237,887588,987,570200,1216892,1430,51,2331,716989
Karnataka,Haveri,0,624813,593,0,1145,762825,0.0,0,0,678389,709090,1045,387630,1000008,319,0,1419,450691
Karnataka,Gadag,376,491345,1080,1613,2999,546281,5.71,114,1996,497771,539692,1084,335632,701994,2426,228,1652,367242
Karnataka,Uttar Kannada,107,762140,1031,521,2098,729272,17.83,112,628,749159,742079,991,510347,981065,323,31,2806,552126
Karnataka,Koppal,366,538811,1374,395,3078,701237,14.32,109,761,592226,647615,1094,422666,817382,1138,153,3314,481875
Karnataka,Kodagu,186,309543,825,617,1605,300348,13.33,107,803,297137,312666,1052,223001,386890,262,57,2168,233417
Karnataka,Raichur,245,618401,1688,647,3953,869737,18.83,168,892,709835,778124,1096,461109,1027029,1847,334,3793,563313
Karnataka,Yadgir,17,448430,113,375,1121,613702,22.45,88,392,516060,545940,1058,348980,713152,880,158,353,353620
Karnataka,Udupi,259,765972,458,782,1269,689050,14.31,149,1041,691602,763225,1104,535339,919683,169,57,1558,599805
Karnataka,Shimoga,270,853722,1600,810,2966,851552,15.74,170,1080,828627,876477,1058,541477,1163797,1308,144,3258,646900
Karnataka,Tumkur,2893,1332926,3872,5142,6117,1257541,6.53,525,8035,1253324,1336737,1067,905715,1684752,3536,172,6453,1001126
Karnataka,Hassan,366,945284,499,882,1263,900385,20.99,262,1248,877283,968087,1104,620026,1225643,300,121,1462,669311
Karnataka,Mandya,1081,1022332,572,2193,1448,835913,14.23,466,3274,852990,1004934,1178,667558,1190687,284,149,1736,724158
Karnataka,Chikkaballapur,37,666206,157,116,533,686743,17.65,27,153,661899,690867,1044,499922,853027,149,30,541,506152
Karnataka,Ramanagara,428,619430,416,1260,1034,609636,17.3,292,1688,596732,632135,1059,473295,755771,330,105,1119,478062
Karnataka,Vijayapura,482,957198,2202,1124,4975,1237001,8.34,134,1606,1115061,1078764,967,649667,1544532,3323,286,3852,713434
Karnataka,BBMP,1909,4466567,3608,9702,17971,8741271,15.06,1749,11611,7236745,5968136,825,5213598,7994240,3213,563,18366,6192678
Kerala,Kasaragod,402,784063,627,1630,3014,662581,7.28,148,2032,700154,746143,1066,533862,912782,622,40,3018,612761
Kerala,Thiruvananthapuram,1029,2344253,3194,2009,8793,1835284,16.19,492,3038,1976667,2201919,1114,1596990,2582547,1171,146,10816,1841466
Kerala,Kannur,516,1638709,2928,546,4306,1242689,9.23,98,1062,1373571,1507019,1097,986880,1894518,820,26,6413,1141711
Kerala,Kollam,4688,1796144,2893,5492,5242,1239125,3.05,310,10180,1396456,1637988,1173,1080169,1955100,876,69,7259,1228763
Kerala,Wayanad,131,576859,538,928,4048,537198,3.87,41,1059,541964,571831,1055,453361,660696,306,8,4279,573399
Kerala,Pathanamthitta,1115,1097410,898,3153,2754,643163,3.56,152,4268,815794,924471,1133,690930,1049643,313,71,3339,850188
Kerala,Alappuzha,1830,1489341,3033,1368,3529,912630,4.13,132,3198,1130112,1271330,1125,881041,1520930,652,74,5910,942658
Kerala,Malappuram,1288,1926608,3333,3076,7679,2056942,4.26,186,4364,1960860,2021403,1031,1135357,2848193,3386,48,7626,1304170
Kerala,Thrissur,3178,2150038,5379,3876,6877,1504652,3.35,236,7054,1714885,1938959,1131,1353063,2301627,1272,57,10984,1504710
Kerala,Kottayam,1176,1422917,2871,1321,3377,920127,7.33,183,2497,1147487,1195002,1041,863319,1479725,595,36,5652,1022253
Kerala,Kozhikode,3117,2000848,4599,3717,4706,1528398,5.36,366,6834,1707690,1820568,1066,1182802,2346444,1436,74,7869,1425993
Kerala,Idukki,451,781443,850,1251,2020,572617,5.76,98,1702,674549,679180,1007,493875,860185,246,24,2623,595512
Kerala,Ernakulam,1012,2609561,4275,2240,6792,2144510,9.16,298,3252,2404652,2348532,977,1794956,2959115,1478,66,9589,2147367
Kerala,Palakkad,701,1643361,5161,1361,6959,1341509,5.67,117,2063,1424813,1559340,1094,989141,1995729,1731,48,10389,1146188
Ladakh,Kargil,0,59223,32,0,186,93575,0.0,0,0,81600,71177,872,65429,87369,28,0,189,82719
Ladakh,Leh,0,74501,40,0,136,135955,0.0,0,0,127914,82522,645,88709,121747,35,0,140,106541
Lakshadweep,Lakshadweep,3,44378,44,3,83,57247,66.67,4,6,54140,47479,877,46483,55142,9,9,117,51543
Madhya Pradesh,Bhopal,0,1144544,1111,3,3740,2050940,233.33,7,3,1744156,1450603,832,1181417,2014067,371,1,4480,1611176
Madhya Pradesh,Gwalior,0,826953,1521,0,3393,1365806,0.0,0,0,1191501,1000779,840,738279,1454480,1216,1,3698,1013793
Madhya Pradesh,Indore,4,1656633,642,18,2846,3030868,36.36,8,22,2522888,2163571,858,1735594,2951907,332,5,3155,2561856
Madhya Pradesh,Jabalpur,1,1239935,5900,0,10719,1850029,900.0,9,1,1588632,1500641,945,1131634,1958330,558,1,16060,1282621
Madhya Pradesh,Rewa,5,999812,5141,20,6089,1325171,180.0,45,25,1210616,1113965,920,684014,1640969,559,17,10670,843501
Madhya Pradesh,Sagar,0,946964,2628,0,5038,1405434,0.0,0,0,1262201,1089751,863,787584,1564814,519,63,7146,1024155
Madhya Pradesh,Ujjain,10,900079,1748,14,4627,1401433,25.0,6,24,1184492,1116531,943,848625,1452887,295,7,6080,1098995
Madhya Pradesh,Mandsaur,0,480911,843,0,1621,804442,0.0,0,0,665121,619812,932,336961,948392,123,0,2340,525955
Madhya Pradesh,Agar,22,214215,984,11,1841,352524,51.52,17,33,301807,264668,877,141312,425427,132,8,2692,257826
Madhya Pradesh,Shajapur,1,360590,1637,4,3270,547762,100.0,5,5,471053,436933,928,287527,620825,210,5,4696,405488
Madhya Pradesh,Ratlam,3,562109,1750,14,4428,943764,17.65,3,17,777849,727612,935,478785,1027088,215,2,5963,619835
Madhya Pradesh,Neemuch,2,316977,388,15,938,495286,135.29,23,17,421529,390535,926,232625,579638,68,5,1258,377279
Madhya Pradesh,Dewas,7,555581,537,2,1118,932058,344.44,31,9,775808,711220,917,482032,1005607,112,13,1543,660559
Madhya Pradesh,Tikamgarh,0,472078,947,0,2123,753697,0.0,0,0,669590,555946,830,304702,921073,368,1,2702,522075
Madhya Pradesh,Panna,112,308045,2053,203,3784,490664,2.49,9,361,436226,362355,831,194858,603851,621,8,5216,379204
Madhya Pradesh,Damoh,0,460482,1501,0,3279,716135,0.0,0,0,617224,559209,906,331689,844928,297,9,4482,502232
Madhya Pradesh,Chhatarpur,0,552755,995,0,2018,886443,0.0,0,0,787786,650887,826,344520,1094678,299,7,2715,610722
Madhya Pradesh,Umaria,0,250408,845,1,1921,408132,900.0,9,1,341910,316511,926,202881,455659,64,59,2702,243276
Madhya Pradesh,Singrauli,0,324783,840,0,2411,649706,0.0,0,0,556638,417687,750,232779,741710,467,5,2783,402009
Madhya Pradesh,Sidhi,0,356502,673,0,1415,557679,0.0,0,0,476909,437159,917,233809,680372,146,0,1942,383295
Madhya Pradesh,Shahdol,5,415383,572,15,945,649067,0.0,0,20,555669,508675,915,341064,723386,65,33,1451,503546
Madhya Pradesh,Satna,0,815278,1052,0,2456,1214439,0.0,0,0,1081556,947771,876,496254,1533463,221,0,3287,720364
Madhya Pradesh,Anuppur,0,238534,495,0,1275,412124,0.0,0,0,327660,322920,986,169162,481496,92,0,1677,293936
Madhya Pradesh,Mandla,0,378893,1965,0,3173,565179,0.0,0,0,462461,481499,1041,258468,685604,211,11,4927,365288
Madhya Pradesh,Dindori,0,271775,817,0,1266,402281,0.0,0,0,332170,341808,1029,192250,481806,129,0,1954,298526
Madhya Pradesh,Chhindwara,0,837923,2918,0,6545,1406462,0.0,0,0,1159785,1084026,935,618810,1625575,422,0,9040,791435
Madhya Pradesh,Balaghat,0,773947,2540,0,5414,1076410,0.0,0,0,911710,938359,1029,569510,1280847,1208,0,6745,649863
Madhya Pradesh,Khandwa,0,462755,501,0,1077,721006,0.0,0,0,607825,575760,947,320226,863535,96,0,1481,562678
Madhya Pradesh,Jhabua,0,256603,779,0,2041,545535,0.0,0,0,407396,394674,969,193123,609015,435,5,2385,338285
Madhya Pradesh,Dhar,0,636293,931,0,2440,1280294,0.0,0,0,1006924,909190,903,544770,1371817,201,0,3170,772473
Madhya Pradesh,Burhanpur,0,283734,87,0,250,432476,0.0,0,0,375945,340135,905,222358,493852,53,0,283,320561
Madhya Pradesh,Barwani,0,339706,551,0,1340,682054,0.0,0,0,530066,491531,927,232293,789467,171,5,1719,449993
Madhya Pradesh,Khargone,0,569693,1331,0,2761,1011055,0.0,0,0,815877,764512,937,431585,1149163,382,5,3709,677285
Madhya Pradesh,Shivpuri,3,515802,1572,2,3069,986155,100.0,5,5,807708,694023,859,391959,1109998,305,2,4335,569639
Madhya Pradesh,Sheopur,0,187462,438,0,1074,369626,0.0,0,0,295279,261705,886,143458,413630,153,0,1359,193309
Madhya Pradesh,Morena,16,692802,2754,42,7351,1207965,3.45,2,58,1042142,858292,824,604337,1296430,256,2,9848,675806
Madhya Pradesh,Guna,0,392770,1320,0,3796,727866,0.0,0,0,601949,518473,861,297949,822687,472,1,4644,467000
Madhya Pradesh,Seoni,0,507239,1665,0,3355,793942,0.0,0,0,652473,648514,994,354814,946367,272,0,4747,525815
Madhya Pradesh,Datia,0,348899,1782,0,3075,514734,0.0,0,0,464499,398944,859,303122,560511,213,0,4644,340693
Madhya Pradesh,Bhind,0,571383,828,0,1948,824068,0.0,0,0,759963,635132,836,360442,1035009,155,1,2621,591883
Madhya Pradesh,Narsinghpur,0,457964,1114,0,1935,673324,0.0,0,0,593127,537967,907,327748,803540,98,0,2951,466152
