state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,0,61889,37,0,395,84890,0.0,0,0,76280,70478,924,67616,79163,9,0,422,72542
Andaman & Nicobar,South Andaman,13,135260,158,89,1503,204238,7.84,8,102,182074,157363,864,148264,191234,81,1,1580,159705
Andaman & Nicobar,Nicobar,0,20589,92,0,108,27321,0.0,0,0,25957,21949,846,22474,25436,1,0,198,22212
Andhra Pradesh,Krishna,4,2778377,5530,74,10654,2565369,28.21,22,78,2524357,2818404,1116,2273103,3070643,3014,9,13169,1951781
Andhra Pradesh,Guntur,4,2812391,3359,15,7825,2860055,110.53,21,19,2650394,3021198,1140,2112616,3559830,2773,119,8410,1941880
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",122,1819005,1071,602,3106,1487532,11.88,86,724,1531111,1774834,1159,1424500,1882037,1414,119,2763,1151801
Andhra Pradesh,Kurnool,0,1973855,4773,0,9799,2328189,0.0,0,0,1966109,2335269,1188,1551626,2750418,2239,1,12332,1428741
Andhra Pradesh,Visakhapatnam,311,2401096,3316,661,9046,2725017,19.34,188,972,2490381,2634980,1058,2067975,3058138,2355,141,10006,2209967
Andhra Pradesh,Anantapur,0,2382344,3342,0,7771,2221985,0.0,0,0,2136609,2465125,1154,1836423,2767906,2433,120,8680,1584352
Andhra Pradesh,Chittoor,55,2601469,4075,42,9976,2382390,23.71,23,97,2332503,2650558,1136,2097914,2885945,1353,10,12697,1813428
Andhra Pradesh,East Godavari,6,3198347,4966,30,10561,2673950,38.89,14,36,2760375,3110975,1127,2299108,3573189,1332,11,14194,2089650
Andhra Pradesh,Prakasam,1096,2152162,4213,2849,9303,2018337,3.54,140,3960,1962366,2207500,1125,1717570,2452929,4045,162,9470,1352731
Andhra Pradesh,Sri Potti Sriramulu Nellore,303,1929032,1867,1094,6148,1861466,7.37,103,1397,1800066,1989728,1105,1557924,2232574,2232,93,5783,1292190
