state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Rajasthan,Churu,0,7007,339798,5745,0,0,44,66,58437,4.81,339,7051,200872,197351,982
Rajasthan,Sirohi,0,730,158909,270,0,0,433,208,36332,16.94,197,1163,101704,93543,920
Rajasthan,Nagaur,94,504,708977,2418,0,0,432,177,92794,8.97,84,936,398337,403531,1013
Rajasthan,Jalore,0,2791,246351,1605,0,0,33,73,41867,8.0,226,2824,154389,133835,867
Rajasthan,Sawai Madhopur,0,1385,192476,935,1584,0,5253,754,54830,4.56,302,6618,133743,113667,850
Sikkim,East Sikkim,0,140,70750,45,0,0,182,111,22882,5.59,18,322,49750,43876,882
Sikkim,West Sikkim,0,0,31235,0,0,0,0,0,3975,0.0,0,0,19121,16087,841
Sikkim,North Sikkim,0,0,8592,3,0,0,0,6,2319,0.0,0,0,6173,4738,768
Sikkim,South Sikkim,0,72,37540,12,0,0,279,51,3666,2.56,9,351,22255,18946,851
Tamil Nadu,Coimbatore,0,1328,389875,6164,0,0,3195,3818,161919,4.36,197,4523,308283,243643,790
Tamil Nadu,Madurai,0,104,197249,1622,0,0,1121,2902,124619,4.49,55,1225,176911,144970,819
Tamil Nadu,Thanjavur,0,83,119373,1448,0,0,13,1392,66616,45.83,44,96,105511,80532,763
Tamil Nadu,Viluppuram,7,81,97816,737,0,0,450,1365,53768,20.53,109,531,83283,68269,820
Tamil Nadu,Vellore,46,102,115539,692,0,0,289,1589,71974,9.97,39,391,100213,87341,872
Tamil Nadu,Kanyakumari,0,0,100254,1316,0,0,0,1460,66729,0.0,0,0,88794,78208,881
Tamil Nadu,Salem,0,119,155810,1370,0,0,292,1397,91235,9.49,39,411,137324,109742,799
Tamil Nadu,Pudukkottai,41,27,52243,428,0,0,92,886,26292,0.84,1,119,42251,36280,859
Tamil Nadu,Cuddalore,0,264,125039,822,0,0,424,1997,58295,6.1,42,688,108817,74515,685
Tamil Nadu,Tirunelveli,0,30,65149,643,0,0,48,1359,64949,15.38,12,78,76159,53971,709
Tamil Nadu,Virudhunagar,0,20,75098,612,0,0,70,1147,36443,11.11,10,90,53434,58117,1088
Tamil Nadu,Tirupattur,0,11,63295,460,0,0,11,1004,44818,36.36,8,22,55583,52527,945
Tamil Nadu,Tenkasi,25,6,51733,608,0,0,11,1043,47324,76.47,13,17,53723,45339,844
Tamil Nadu,Kallakurichi,344,20,49443,342,0,0,52,671,35694,38.89,28,72,46864,38290,817
Tamil Nadu,Tiruvannamalai,0,8,49691,619,0,0,44,1078,37393,53.85,28,52,48750,38349,787
Tamil Nadu,Thoothukudi (Tuticorin),0,34,45226,491,0,0,24,1013,40902,3.45,2,58,49647,36484,735
Tamil Nadu,Ariyalur,0,0,39058,263,0,0,0,648,28521,0.0,0,0,39807,27794,698
Tamil Nadu,Dindigul,0,0,64179,282,0,0,0,796,39504,0.0,0,0,55001,48687,885
Tamil Nadu,Kanchipuram,31,206,57374,825,0,0,701,2787,62584,3.64,33,907,75031,44936,599
Tamil Nadu,Namakkal,0,123,130161,1160,0,0,72,1316,63218,12.82,25,195,104205,89171,856
