state,district,slots,today,Total doses til date,avgdaily
Andaman and Nicobar Islands,North and Middle Andaman,483,10,28645,13
Andaman and Nicobar Islands,South Andaman,42,27,54471,72
Andaman and Nicobar Islands,Nicobar,132,10,7634,3
Andhra Pradesh,Krishna,0,43096,486817,11870
Andhra Pradesh,Guntur,0,4591,408763,1324
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,74,322617,167
Andhra Pradesh,Kurnool,0,1142,340620,509
Andhra Pradesh,Visakhapatnam,0,9041,417067,2592
Andhra Pradesh,Anantapur,0,1729,390964,778
Andhra Pradesh,Chittoor,0,2076,441118,1063
Andhra Pradesh,East Godavari,0,19408,412552,3735
Andhra Pradesh,Prakasam,0,13887,366714,7045
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,3018,336612,1033
Andhra Pradesh,Srikakulam,0,2362,270972,562
Andhra Pradesh,Vizianagaram,0,825,226970,173
Andhra Pradesh,West Godavari,0,8577,351171,2461
Arunachal Pradesh,Itanagar Capital Complex,37,23,16923,44
Arunachal Pradesh,Lower Siang,20,0,3837,8
Arunachal Pradesh,Pakke Kessang,0,16,2873,12
Arunachal Pradesh,Changlang,187,45,15083,85
Arunachal Pradesh,Kurung Kumey,0,6,2386,22
Arunachal Pradesh,Anjaw,0,12,2040,9
Arunachal Pradesh,East Kameng,0,5,5719,16
Arunachal Pradesh,Kamle,0,12,1508,13
Arunachal Pradesh,Dibang Valley,20,0,735,6
Arunachal Pradesh,Tirap,0,29,3663,31
Arunachal Pradesh,Kra Daadi,0,0,1363,27
Arunachal Pradesh,West Kameng,0,13,11989,14
Arunachal Pradesh,Lohit,0,23,5478,19
Arunachal Pradesh,Tawang,0,2,7083,10
Arunachal Pradesh,Lower Dibang Valley,140,2,6552,6
Arunachal Pradesh,Lower Subansiri,0,48,6629,38
Arunachal Pradesh,Lepa Rada,0,1,3753,5
Arunachal Pradesh,Upper Siang,0,0,5555,8
Arunachal Pradesh,Shi Yomi,0,0,1918,9
Arunachal Pradesh,Namsai,65,31,13007,62
Arunachal Pradesh,Siang,30,0,4047,12
Arunachal Pradesh,West Siang,0,2,10067,12
Arunachal Pradesh,Papum Pare,0,0,6850,36
Arunachal Pradesh,Longding,0,0,2083,6
Arunachal Pradesh,Upper Subansiri,0,18,7971,54
Arunachal Pradesh,East Siang,56,25,13510,35
Assam,Dibrugarh,0,1117,122989,984
Assam,Sivasagar,0,889,65407,505
Assam,Tinsukia,0,1604,78200,844
Assam,Baksa,0,741,45399,403
Assam,Barpeta,24,2788,122179,1036
Assam,Darrang,2,1599,63343,630
Assam,Kamrup Metropolitan,0,2790,226315,1818
Assam,Kamrup Rural,127,2361,155349,1201
Assam,Karbi-Anglong,0,274,35120,131
Assam,Nalbari,0,356,51687,493
Assam,Golaghat,0,1826,75090,709
Assam,Jorhat,0,1401,84773,521
Assam,Morigaon,0,191,60691,746
Assam,Nagaon,0,1415,123629,396
Assam,Bongaigaon,0,609,54880,338
Assam,Chirang,15,228,25699,141
Assam,Dhubri,20,643,72860,670
Assam,Goalpara,765,697,53832,377
Assam,Kokrajhar,22,623,45869,312
Assam,Dhemaji,0,678,59284,333
Assam,Lakhimpur,0,1953,71458,575
Assam,Sonitpur,97,3304,97330,645
Assam,Udalguri,19,633,43483,286
Assam,Cachar,49,1601,91751,719
Assam,Dima Hasao,120,179,19464,51
Assam,Hailakandi,0,690,44698,356
Assam,Karimganj,0,688,58919,448
Bihar,Madhepura,1729,33,118446,103
Bihar,Saharsa,172,78,123392,187
Bihar,Supaul,0,124,122706,469
Bihar,Purnia,0,151,218624,537
Bihar,Araria,0,84,135393,841
Bihar,Katihar,0,122,115102,203
