state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,31,61971,38,352,401,85823,4.44,17,383,76817,70956,924,68599,79195,10,10,428,73299
Andaman & Nicobar,South Andaman,195,135638,158,1697,1506,207918,3.07,58,1892,184321,159174,864,152126,191430,76,16,1587,161926
Andaman & Nicobar,Nicobar,10,20631,92,19,86,27377,3.45,1,29,26015,21989,845,22568,25440,1,2,177,22227
Andhra Pradesh,Krishna,8054,2799502,6384,15825,12355,2605447,4.63,1107,23893,2556080,2847869,1114,2323148,3081801,3286,280,15453,2088122
Andhra Pradesh,Guntur,4471,2821604,3344,12552,8863,2886628,7.1,1194,16826,2668370,3038999,1139,2138742,3569490,3104,666,9103,2042976
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2400,1824808,1424,7108,4138,1504070,5.7,542,9508,1542992,1785292,1157,1437688,1891190,2142,125,3420,1233045
Andhra Pradesh,Kurnool,5765,1985823,3862,15920,10217,2362415,2.04,443,21687,1989397,2358168,1185,1581569,2766669,3674,120,10405,1513956
Andhra Pradesh,Visakhapatnam,2580,2407766,2910,8084,8429,2744115,5.02,535,10665,2503766,2647356,1057,2088984,3062897,2142,147,9197,2278473
Andhra Pradesh,Anantapur,6818,2397297,3763,20520,10092,2263121,2.24,612,27338,2165006,2492789,1151,1880841,2779577,2989,145,10866,1644283
Andhra Pradesh,Chittoor,7460,2615765,4598,28347,13896,2429708,1.57,563,35807,2365709,2678956,1132,2155509,2889964,1344,153,17150,1928908
Andhra Pradesh,East Godavari,4175,3207345,4366,12771,11349,2700767,4.98,844,16946,2779940,3127218,1125,2332031,3576081,1246,230,14469,2164268
Andhra Pradesh,Prakasam,7661,2167748,4875,16808,10538,2050874,2.23,547,24573,1986692,2231288,1123,1750443,2468179,4639,162,10773,1422383
Andhra Pradesh,Sri Potti Sriramulu Nellore,1441,1931726,1702,4432,5604,1869665,5.25,309,5891,1805845,1994839,1105,1566888,2234503,1520,94,5786,1391038
Andhra Pradesh,Srikakulam,4602,1683433,2847,15524,6704,1101371,3.63,731,20129,1240346,1544152,1245,1127973,1656831,1456,151,8095,1220942
Andhra Pradesh,Vizianagaram,3638,1424106,2941,7506,5744,1234147,4.0,446,11144,1227214,1430601,1166,1179564,1478689,2275,109,6409,1075466
Andhra Pradesh,West Godavari,3861,2437606,3352,10238,9070,2170021,5.1,720,14110,2143434,2463550,1149,2028052,2579575,1595,230,10827,1977261
Arunachal Pradesh,Itanagar Capital Complex,5,44154,54,25,496,155079,0.0,0,30,113582,85630,754,86623,112610,212,7,337,99322
Arunachal Pradesh,Lower Siang,18,9911,6,81,33,17489,11.11,11,99,14723,12676,861,10692,16708,10,3,29,16042
Arunachal Pradesh,Pakke Kessang,0,6565,21,0,59,7593,0.0,0,0,7410,6741,910,5972,8186,20,0,59,7786
Arunachal Pradesh,Changlang,83,50596,93,284,376,105674,14.44,53,367,86322,69929,810,64171,92099,163,12,306,80811
Arunachal Pradesh,Kurung Kumey,4,6366,15,46,30,9321,20.0,10,50,7721,7860,1018,6281,9406,23,3,20,8672
Arunachal Pradesh,Anjaw,16,6907,5,143,35,13472,6.92,11,159,11360,9017,794,8573,11806,8,3,31,11147
Arunachal Pradesh,East Kameng,15,18319,12,86,48,22235,8.91,9,101,21378,19169,897,17319,23235,6,2,53,21695
