state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,1,430,31520,394,0,0,5,1115,13713,8.05,35,435,23744,21483,905,3823,41410,963,7
Andaman & Nicobar,South Andaman,0,743,63494,1079,0,0,2608,2812,40793,2.06,69,3351,57548,46729,812,11503,92784,2247,18
Andaman & Nicobar,Nicobar,1,205,9389,246,1,0,582,631,6987,1.65,13,787,8743,7632,873,2109,14267,575,3
Andhra Pradesh,Krishna,582,8725,1083475,36121,368,368,19292,17618,382715,4.12,1153,28017,689430,776547,1126,296361,1169829,11402,288
Andhra Pradesh,Guntur,771,28592,1042074,39110,911,911,19684,16547,343683,1.27,614,48276,676459,709152,1048,273439,1112318,16594,148
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",141,2868,787544,27730,0,0,2426,8064,184530,4.14,220,5310,441466,530445,1202,202659,769415,6843,83
Andhra Pradesh,Kurnool,138,3963,750742,25624,58,58,2742,8308,226079,3.95,265,6705,429337,547376,1275,192994,783827,6362,71
Andhra Pradesh,Visakhapatnam,705,6037,966497,32211,303,303,9476,17999,508607,3.01,467,15513,738796,736130,996,262136,1212968,12761,128
Andhra Pradesh,Anantapur,0,4671,859367,30335,0,0,8001,8560,208239,3.38,428,12672,498443,568694,1141,231947,835659,5760,115
Andhra Pradesh,Chittoor,1155,2784,965182,33752,457,457,2434,12666,293521,3.68,192,5218,576411,682137,1183,269239,989464,7956,152
Andhra Pradesh,East Godavari,243,269,1066003,32820,145,144,1709,15696,393636,3.13,62,1978,673621,785850,1167,273127,1186512,9497,12
Andhra Pradesh,Prakasam,1301,3357,839132,30652,203,0,2290,8076,207219,2.89,163,5647,484943,561275,1157,215279,831072,7974,60
Andhra Pradesh,Sri Potti Sriramulu Nellore,8,33872,815137,32890,0,0,13709,12750,244297,1.01,479,47581,494386,564836,1142,250562,808872,9845,97
Andhra Pradesh,Srikakulam,15,6788,713134,21859,0,0,7645,8723,190650,2.96,427,14433,391557,512146,1308,160756,743028,7617,99
