state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,24,60917,41,242,504,66152,9.02,24,266,66264,60788,917,48394,78675,24,10,520
Andaman & Nicobar,South Andaman,184,129767,156,807,800,160571,5.95,59,991,156206,134085,858,102678,187660,164,14,791
Andaman & Nicobar,Nicobar,43,18934,19,249,258,23384,2.74,8,292,22854,19461,852,17018,25300,3,4,273
Andhra Pradesh,Krishna,5617,2270083,10296,10197,16478,1795014,3.71,586,15814,1902335,2162042,1137,1399404,2665693,14035,147,12738
Andhra Pradesh,Guntur,17535,2376343,16622,28136,28341,1876037,1.41,645,45675,1967941,2283769,1160,1451619,2800761,23006,158,21956
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",15871,1642307,6434,29719,12086,1084528,1.07,489,45591,1240130,1486242,1198,1102206,1624629,6659,116,11860
Andhra Pradesh,Kurnool,11859,1748415,6313,44540,22774,1593146,0.89,501,56529,1502495,1838559,1224,1103756,2237805,18385,136,10702
Andhra Pradesh,Visakhapatnam,20408,2096919,10220,29155,15035,2153931,1.32,652,49568,2073839,2176401,1049,1425572,2825278,6543,152,18712
Andhra Pradesh,Anantapur,4932,2065165,9104,11838,27135,1566767,2.03,340,16770,1662513,1967393,1183,1282449,2349483,19721,84,16517
Andhra Pradesh,Chittoor,4959,2197157,3456,11423,8140,1683063,2.55,418,16382,1799322,2080282,1156,1415894,2464326,4871,158,6725
Andhra Pradesh,East Godavari,23154,2627567,18078,24219,21042,2128598,2.23,1057,47373,2231195,2524200,1131,1401802,3354363,12398,255,26721
Andhra Pradesh,Prakasam,8129,1851355,13200,17627,26774,1333964,1.86,480,25800,1473757,1711104,1161,1243274,1942045,19367,141,20607
Andhra Pradesh,Sri Potti Sriramulu Nellore,16718,1674533,5520,29161,10477,1281899,0.79,363,45987,1383760,1572120,1136,1131377,1825055,6383,98,9613
Andhra Pradesh,Srikakulam,6904,1463071,3966,8319,4994,890138,13.23,2014,15226,1043534,1309427,1255,787970,1565239,3695,618,5265
Andhra Pradesh,Vizianagaram,3863,1157815,3735,5111,4960,816247,2.74,246,8974,894410,1079345,1207,687944,1286118,2623,72,6072
Andhra Pradesh,West Godavari,2031,2073258,10309,3483,15668,1520701,6.82,376,5514,1637396,1956075,1195,1265140,2328819,7194,267,18783
Arunachal Pradesh,Itanagar Capital Complex,61,42147,48,1052,664,134605,3.32,37,1113,100984,75750,750,69350,107402,149,7,563
Arunachal Pradesh,Lower Siang,5,9567,14,28,73,15509,21.21,7,33,13454,11621,864,8683,16393,7,1,80
Arunachal Pradesh,Pakke Kessang,1,6144,1,15,13,6189,25.0,4,16,6479,5847,902,4368,7965,2,2,11
Arunachal Pradesh,Changlang,76,46140,130,470,551,89531,6.23,34,546,75204,60453,804,47807,87864,137,12,543
Arunachal Pradesh,Kurung Kumey,34,5989,30,79,73,8064,6.19,7,113,6893,7054,1023,4999,9054,10,4,93
Arunachal Pradesh,Anjaw,17,6676,11,60,56,11723,29.87,23,77,10120,8277,818,6805,11594,4,4,62
Arunachal Pradesh,East Kameng,72,17440,26,324,121,19353,1.01,4,396,19309,17478,905,14065,22728,15,3,131
Arunachal Pradesh,Kamle,57,3939,27,89,76,5846,9.59,14,146,5611,4174,744,3029,6756,27,3,75
Arunachal Pradesh,Dibang Valley,8,1935,9,18,45,4629,15.38,4,26,4161,2403,578,2435,4129,4,2,50
Arunachal Pradesh,Tirap,164,17094,86,546,312,33429,5.63,40,710,28296,22215,785,19070,31453,17,8,380
Arunachal Pradesh,Kra Daadi,0,3933,9,19,27,5464,5.26,1,19,5002,4395,879,3135,6262,4,2,33
Arunachal Pradesh,West Kameng,47,28714,55,513,401,60903,7.14,40,560,49646,39940,804,34451,55166,39,8,417
Arunachal Pradesh,Lohit,90,15248,43,446,271,33817,4.48,24,536,26823,22231,829,18394,30671,36,7,277
Arunachal Pradesh,Tawang,31,16060,13,338,159,35228,5.69,21,369,27832,23438,842,21901,29387,18,5,154
Arunachal Pradesh,Lower Dibang Valley,57,17886,57,267,267,33847,11.11,36,324,28166,23562,837,19513,32220,39,8,284
Arunachal Pradesh,Lower Subansiri,29,15611,13,280,126,27848,13.27,41,309,23655,19802,837,16746,26713,18,10,121
Arunachal Pradesh,Lepa Rada,3,8318,5,40,46,14365,16.28,7,43,12813,9866,770,9420,13263,2,2,49
Arunachal Pradesh,Upper Siang,69,13378,42,298,193,17276,3.54,13,367,16351,14301,875,12220,18434,28,3,207
Arunachal Pradesh,Shi Yomi,2,4534,1,20,19,7678,36.36,8,22,6318,5894,933,5315,6897,1,2,18
Arunachal Pradesh,Namsai,87,36717,104,516,640,66642,7.79,47,603,55315,48040,868,40411,62948,86,15,658
Arunachal Pradesh,Siang,55,9692,17,242,85,12939,4.38,13,297,11909,10715,900,8292,14339,4,5,98
Arunachal Pradesh,West Siang,29,22155,17,308,192,37799,3.86,13,337,31868,28080,881,26318,33636,13,3,196
Arunachal Pradesh,Papum Pare,30,16328,36,231,193,36047,11.11,29,261,31037,21329,687,20828,31547,33,8,195
Arunachal Pradesh,Longding,65,9781,48,123,89,15865,6.38,12,188,15776,9870,626,6554,19092,25,8,112
Arunachal Pradesh,Upper Subansiri,53,20240,22,176,111,18313,9.17,21,229,20275,18272,901,13929,24624,11,6,122
Arunachal Pradesh,East Siang,51,30161,32,526,337,58165,5.72,33,577,45507,42801,941,35008,53318,35,10,333
Assam,Dibrugarh,1764,472406,1535,4013,3884,776342,10.78,623,5777,626926,621665,992,350184,898564,3130,147,2288
Assam,Sivasagar,1204,271636,849,2779,2088,370740,8.96,357,3983,325645,316638,972,167550,474826,570,115,2366
Assam,Tinsukia,2109,374171,2051,7312,6437,610773,8.91,839,9421,495614,489164,987,246699,738245,6332,237,2156
Assam,Baksa,1093,244706,791,2765,1988,412888,12.49,482,3858,330037,327434,992,109974,547620,1696,113,1083
