state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,21,60995,26,851,410,68159,5.5,48,872,67332,61805,918,50422,78732,17,10,418
Andaman & Nicobar,South Andaman,144,130205,138,494,603,162291,9.72,62,638,157354,135094,859,104335,188161,145,12,596
Andaman & Nicobar,Nicobar,15,19016,25,94,223,23772,10.09,11,109,23154,19631,848,17479,25309,3,2,244
Andhra Pradesh,Krishna,23092,2327576,15292,34901,23720,1884323,1.68,976,57994,1972241,2238906,1135,1482279,2729620,18508,279,20503
Andhra Pradesh,Guntur,20725,2428295,23009,31011,37540,1961671,1.32,684,51746,2033244,2356036,1159,1522039,2867927,30019,155,30529
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2865,1662501,8540,6670,16501,1125718,3.93,375,9535,1270239,1517504,1195,1137911,1650308,9354,107,15686
Andhra Pradesh,Kurnool,3081,1764840,7512,17202,31620,1681434,1.86,377,20283,1553608,1892144,1218,1131983,2314291,26181,127,12950
Andhra Pradesh,Visakhapatnam,20422,2128934,14122,29987,20241,2202458,1.23,620,50450,2111015,2219753,1052,1483764,2847628,8936,154,25427
Andhra Pradesh,Anantapur,8552,2097723,10083,20628,31505,1651363,1.4,409,29211,1719311,2027692,1179,1328412,2420674,25629,107,15958
Andhra Pradesh,Chittoor,9982,2261616,12437,21765,26090,1812414,1.58,503,31747,1892609,2180783,1152,1511624,2562406,18492,156,20034
Andhra Pradesh,East Godavari,19049,2688067,22223,20105,23563,2189490,2.23,874,39156,2280172,2596595,1139,1495541,3382016,11893,215,33892
Andhra Pradesh,Prakasam,13636,1880394,16462,31422,33605,1394410,0.98,444,45116,1517468,1756863,1158,1284758,1990046,25099,125,24967
Andhra Pradesh,Sri Potti Sriramulu Nellore,8714,1700793,7249,22227,15393,1343708,1.31,406,31094,1426393,1617536,1134,1164497,1880004,11846,97,10796
Andhra Pradesh,Srikakulam,7156,1472084,4460,9761,5677,902735,13.43,2272,16918,1053592,1320976,1254,801048,1573771,4124,629,6012
Andhra Pradesh,Vizianagaram,10877,1183444,6588,13782,8541,848159,1.5,371,24659,920426,1110858,1207,732497,1299106,3856,107,11273
Andhra Pradesh,West Godavari,13727,2130239,13913,21345,21295,1606497,1.59,558,35072,1703508,2032727,1193,1367707,2369029,9876,191,25331
Arunachal Pradesh,Itanagar Capital Complex,0,42237,38,0,552,135814,0.0,0,0,101697,76335,751,70417,107634,122,7,467
Arunachal Pradesh,Lower Siang,12,9653,20,71,107,16014,8.43,7,83,13732,11934,869,9196,16471,14,2,112
Arunachal Pradesh,Pakke Kessang,2,6147,1,22,10,6216,25.0,6,24,6495,5861,902,4398,7965,2,1,10
Arunachal Pradesh,Changlang,0,46322,60,5,259,90049,100.0,5,5,75584,60773,804,48388,87983,60,10,259
Arunachal Pradesh,Kurung Kumey,13,6038,37,47,94,8239,16.67,10,60,7014,7157,1020,5191,9086,13,4,118
Arunachal Pradesh,Anjaw,0,6693,9,0,53,11890,0.0,0,0,10228,8353,817,6971,11612,4,0,57
Arunachal Pradesh,East Kameng,103,17592,39,15,146,19731,1.69,2,118,19591,17726,905,14542,22781,16,2,169
Arunachal Pradesh,Kamle,0,4019,27,0,74,6153,0.0,0,0,5811,4361,750,3357,6815,20,0,81
Arunachal Pradesh,Dibang Valley,0,1944,7,0,27,4675,0.0,0,0,4202,2417,575,2482,4137,3,0,30
Arunachal Pradesh,Tirap,0,17171,68,11,250,33740,81.82,9,11,28495,22404,786,19439,31472,13,1,305
Arunachal Pradesh,Kra Daadi,0,3947,9,0,16,5501,0.0,0,0,5033,4415,877,3185,6263,1,1,23
Arunachal Pradesh,West Kameng,40,28824,40,252,341,61808,2.74,8,292,50178,40423,806,35413,55219,27,7,353
Arunachal Pradesh,Lohit,0,15278,23,0,155,34030,0.0,0,0,26949,22348,829,18614,30694,21,0,156
Arunachal Pradesh,Tawang,0,16075,8,0,83,35345,0.0,0,0,27920,23482,841,22008,29412,12,0,78
Arunachal Pradesh,Lower Dibang Valley,0,17977,38,10,140,34111,0.0,0,10,28387,23696,835,19841,32247,19,1,157
Arunachal Pradesh,Lower Subansiri,12,15646,11,153,124,28200,15.15,25,165,23876,19968,836,17105,26741,14,8,121
Arunachal Pradesh,Lepa Rada,1,8327,2,9,32,14460,0.0,0,10,12881,9902,769,9515,13272,2,2,32
Arunachal Pradesh,Upper Siang,0,13397,25,0,126,17452,0.0,0,0,16469,14378,873,12402,18447,16,0,134
Arunachal Pradesh,Shi Yomi,1,4536,1,19,19,7728,50.0,10,20,6347,5917,932,5366,6898,1,2,19
Arunachal Pradesh,Namsai,0,36798,50,0,338,67216,0.0,0,0,55672,48338,868,40992,63022,40,0,347
Arunachal Pradesh,Siang,0,9696,15,0,71,12976,0.0,0,0,11933,10732,899,8330,14342,3,0,83
Arunachal Pradesh,West Siang,0,22175,12,0,116,37989,0.0,0,0,31976,28182,881,26517,33647,6,0,121
Arunachal Pradesh,Papum Pare,20,16387,22,86,143,36397,13.21,14,106,31280,21495,687,21174,31610,23,3,142
Arunachal Pradesh,Longding,0,9944,54,0,103,16197,0.0,0,0,16075,10066,626,6998,19143,24,2,133
Arunachal Pradesh,Upper Subansiri,4,20336,26,36,79,18565,0.0,0,40,20439,18456,903,14243,24658,10,3,94
Arunachal Pradesh,East Siang,0,30214,23,0,214,58599,0.0,0,0,45771,43024,940,35433,53380,25,0,211
Assam,Dibrugarh,56,472796,1206,146,2864,777183,38.61,78,202,627560,622262,992,350986,898993,2356,21,1713
Assam,Sivasagar,146,272095,557,366,1451,372110,7.42,38,512,326613,317499,972,169143,475062,404,20,1604
Assam,Tinsukia,0,374297,1324,0,4216,611211,0.0,0,0,495866,489476,987,246771,738737,4199,0,1341
Assam,Baksa,68,245045,579,219,1447,413899,28.92,83,287,330749,328072,992,110848,548096,1206,35,819
Assam,Barpeta,203,570560,2268,551,5814,860223,12.73,96,754,714032,716566,1004,361761,1069022,5810,232,2271
Assam,Darrang,38,292826,936,111,2173,426767,20.81,31,149,364231,355260,975,148843,570750,1985,8,1123
Assam,Kamrup Metropolitan,199,737660,1008,760,3457,1292976,6.36,61,959,1133028,897232,792,797245,1233391,904,16,3560
Assam,Kamrup Rural,77,600494,1105,280,3130,782378,20.45,73,357,706669,676023,957,327912,1054960,2875,14,1359
Assam,Karbi-Anglong,0,124239,710,0,2132,216408,0.0,0,0,179061,161535,902,80885,259762,2214,1,627
Assam,Nalbari,0,252201,561,0,1411,351819,0.0,0,0,302466,301483,997,131706,472314,1442,0,529
Assam,Golaghat,28,346107,623,72,1738,572890,0.0,0,100,468844,449991,960,216883,702114,569,7,1793
Assam,Jorhat,97,366008,734,222,1579,502331,28.53,91,319,437960,430249,982,225089,643250,427,31,1887
Assam,Morigaon,19,293728,904,32,2373,446823,17.65,9,51,363884,376589,1035,157983,582568,1271,1,2006
Assam,Nagaon,438,596624,2342,900,5558,935317,10.61,142,1338,743477,788248,1060,359821,1172120,4952,31,2947
Assam,Bongaigaon,0,241705,736,10,1919,395746,0.0,0,10,319815,317527,993,150136,487315,1269,27,1386
Assam,Chirang,68,133321,459,225,1124,234129,33.11,97,293,191600,175806,918,84175,283275,877,31,705
Assam,Dhubri,0,407328,2014,0,5464,698876,0.0,0,0,560671,545393,973,185863,920341,6491,0,986
Assam,Goalpara,2,285668,603,4,1442,515125,66.67,4,6,399236,401412,1005,147672,653121,1056,1,989
Assam,Kokrajhar,0,240648,660,0,1743,411576,0.0,0,0,334562,317592,949,125094,527130,1764,0,638
Assam,Dhemaji,6,217661,606,14,1482,362657,0.0,0,20,284773,295451,1037,155651,424667,909,1,1179
Assam,Lakhimpur,5,362108,1749,6,3937,533417,81.82,9,11,446830,448566,1004,224173,671352,2699,8,2986
Assam,Sonitpur,18,401681,921,58,2223,687454,5.26,4,76,536185,552788,1031,335992,753143,1575,3,1568
Assam,Udalguri,0,217324,1459,0,3187,368957,0.0,0,0,294607,291601,990,106660,479621,3807,0,839
