state,district,slots,today,Total doses til date,avgdaily
Andaman & Nicobar,North and Middle Andaman,441,0,28645,11
Andaman & Nicobar,South Andaman,100,39,54540,44
Andaman & Nicobar,Nicobar,0,0,7634,1
Andhra Pradesh,Krishna,0,18709,547198,20237
Andhra Pradesh,Guntur,0,49704,470796,9978
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,36666,388283,9459
Andhra Pradesh,Kurnool,0,18941,371922,4701
Andhra Pradesh,Visakhapatnam,0,25639,462257,8756
Andhra Pradesh,Anantapur,183,44574,461415,10818
Andhra Pradesh,Chittoor,10,46282,494834,8601
Andhra Pradesh,East Godavari,0,55937,506525,17165
Andhra Pradesh,Prakasam,49,29296,413981,13041
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,41303,400629,10020
Andhra Pradesh,Srikakulam,0,28835,300187,4565
Andhra Pradesh,Vizianagaram,0,39868,270024,6279
Andhra Pradesh,West Godavari,0,62756,440637,15188
Arunachal Pradesh,Itanagar Capital Complex,0,8,16939,30
Arunachal Pradesh,Lower Siang,0,18,3899,13
Arunachal Pradesh,Pakke Kessang,20,10,2900,9
Arunachal Pradesh,Changlang,134,40,15182,76
Arunachal Pradesh,Kurung Kumey,0,0,2386,20
Arunachal Pradesh,Anjaw,0,0,2040,3
Arunachal Pradesh,East Kameng,0,3,5731,9
Arunachal Pradesh,Kamle,0,8,1516,4
Arunachal Pradesh,Dibang Valley,0,0,735,4
Arunachal Pradesh,Tirap,0,88,3824,48
Arunachal Pradesh,Kra Daadi,0,0,1445,36
Arunachal Pradesh,West Kameng,0,6,11995,9
Arunachal Pradesh,Lohit,0,15,5512,12
Arunachal Pradesh,Tawang,0,6,7118,10
Arunachal Pradesh,Lower Dibang Valley,140,5,6560,5
Arunachal Pradesh,Lower Subansiri,0,0,6666,39
Arunachal Pradesh,Lepa Rada,0,5,3758,1
Arunachal Pradesh,Upper Siang,0,6,5561,5
Arunachal Pradesh,Shi Yomi,0,0,1918,9
Arunachal Pradesh,Namsai,39,117,13124,42
Arunachal Pradesh,Siang,0,0,4098,16
Arunachal Pradesh,West Siang,0,0,10070,7
Arunachal Pradesh,Papum Pare,0,8,6859,20
Arunachal Pradesh,Longding,0,27,2110,7
Arunachal Pradesh,Upper Subansiri,0,0,8020,40
Arunachal Pradesh,East Siang,40,106,13633,37
Assam,Dibrugarh,0,421,123636,850
Assam,Sivasagar,0,0,65813,556
Assam,Tinsukia,0,608,78809,918
Assam,Baksa,0,268,46171,492
Assam,Barpeta,29,1051,123532,875
Assam,Darrang,0,544,64639,751
Assam,Kamrup Metropolitan,0,3188,231352,2339
Assam,Kamrup Rural,134,2808,159784,1726
Assam,Karbi-Anglong,0,218,35723,179
Assam,Nalbari,0,1496,53294,679
Assam,Golaghat,0,573,75892,794
Assam,Jorhat,0,256,85774,659
Assam,Morigaon,0,1139,62176,872
Assam,Nagaon,0,678,125329,618
Assam,Bongaigaon,0,374,55461,388
Assam,Chirang,0,202,25937,141
Assam,Dhubri,6,235,73373,739
Assam,Goalpara,472,309,54273,372
Assam,Kokrajhar,6,213,46260,359
Assam,Dhemaji,0,454,60038,375
Assam,Lakhimpur,0,1192,73061,784
Assam,Sonitpur,203,1236,98080,576
Assam,Udalguri,5,515,44408,368
Assam,Cachar,50,1591,92955,689
Assam,Dima Hasao,226,140,19506,32
Assam,Hailakandi,0,462,45427,355
Assam,Karimganj,0,598,60249,531
Bihar,Madhepura,1431,114,118658,93
Bihar,Saharsa,0,235,124036,208
Bihar,Supaul,0,290,123127,338
Bihar,Purnia,0,503,220454,534
Bihar,Araria,0,666,136809,671
Bihar,Katihar,0,115,115443,206
Bihar,Kishanganj,0,342,76309,113
Bihar,Aurangabad,0,282,99468,407
Bihar,Arwal,0,58,33917,77
Bihar,Gaya,9013,1004,219178,913
Bihar,Kaimur,1588,281,91727,217
Bihar,Rohtas,1119,534,162118,420
Bihar,Bhagalpur,50,380,212005,860
Bihar,Banka,443,80,124029,174
Bihar,Lakhisarai,0,207,45079,139
Bihar,Munger,0,188,82122,144
Bihar,Muzaffarpur,0,847,237363,835
Bihar,Sheohar,0,162,55447,74
Bihar,Sitamarhi,0,431,177279,146
Bihar,Vaishali,13,505,216967,1026
Bihar,Nalanda,1261,345,222643,213
Bihar,Jehanabad,5,11,61815,105
Bihar,Nawada,6171,286,129706,105
Bihar,Sheikhpura,4,53,41089,78
Bihar,Darbhanga,0,1146,256459,1357
Bihar,Madhubani,0,494,253930,1124
Bihar,Samastipur,0,510,248146,911
Bihar,Patna,316,3077,492488,2074
Bihar,Begusarai,0,456,197885,265
Bihar,Bhojpur,0,418,144034,445
Bihar,Buxar,1307,691,107793,274
Bihar,Khagaria,322,234,87087,132
Bihar,Saran,0,977,278598,541
Bihar,Siwan,392,881,278294,452
Bihar,Gopalganj,1,783,141738,311
Bihar,East Champaran,15,1916,246936,1662
Bihar,West Champaran,324,721,158180,896
Bihar,Jamui,119,138,102141,78
Chandigarh,Chandigarh,0,1012,193232,1124
Chhattisgarh,Raipur,492,365,321981,364
Chhattisgarh,Balod,7250,188,162992,180
Chhattisgarh,Baloda bazar,68,75,183447,104
Chhattisgarh,Balrampur,4100,1,125154,81
Chhattisgarh,Bastar,917,141,136593,175
Chhattisgarh,Bemetara,1514,30,91934,24
Chhattisgarh,Bijapur,1009,36,36023,26
Chhattisgarh,Bilaspur,58,210,312203,224
Chhattisgarh,Dantewada,120,29,56381,21
Chhattisgarh,Dhamtari,651,45,167938,57
Chhattisgarh,Durg,2656,222,333095,394
Chhattisgarh,Gariaband,698,69,98769,63
Chhattisgarh,Janjgir-Champa,0,54,259744,106
Chhattisgarh,Jashpur,1662,54,154371,31
Chhattisgarh,Kanker,4034,82,133941,55
Chhattisgarh,Kondagaon,1040,52,104934,122
Chhattisgarh,Korba,2149,387,262232,1152
Chhattisgarh,Koriya,2408,164,100945,168
Chhattisgarh,Mahasamund,0,43,237001,49
Chhattisgarh,Mungeli,621,8,124242,7
Chhattisgarh,Narayanpur,10,12,15679,11
Chhattisgarh,Raigarh,2081,10,350657,50
Chhattisgarh,Rajnandgaon,2204,57,277765,64
Chhattisgarh,Sukma,0,68,49158,35
Chhattisgarh,Surajpur,20,102,162109,43
Chhattisgarh,Surguja,299,29,211290,63
Chhattisgarh,Kawardha,4400,158,117432,271
Chhattisgarh,Gaurela Pendra Marwahi ,1300,76,63622,61
Dadra and Nagar Haveli,Dadra and Nagar Haveli,249,141,34124,100
Daman and Diu,Daman,0,94,28006,66
Daman and Diu,Diu,0,106,10769,48
Delhi,New Delhi,263,1833,233207,1293
Delhi,Central Delhi,3635,1727,266627,1549
Delhi,West Delhi,444,1243,347619,1086
Delhi,North West Delhi,2452,2141,323842,1512
Delhi,South East Delhi,5,1704,220617,1191
Delhi,East Delhi,40,1780,183422,985
Delhi,North Delhi,80,979,175850,501
Delhi,North East Delhi,722,955,138386,1055
Delhi,Shahdara,0,730,188796,686
Delhi,South Delhi,142,1644,238454,1469
Delhi,South West Delhi,287,2575,306550,1320
Goa,North Goa,115,1485,143538,940
Goa,South Goa,212,2202,177779,1875
Gujarat,Gandhinagar,0,2035,177095,1585
Gujarat,Ahmedabad,0,1624,346129,982
Gujarat,Vadodara,0,2052,265397,1889
Gujarat,Kheda,60,4603,303359,2400
Gujarat,Surendranagar,31,2379,157748,1955
Gujarat,Aravalli,218,1065,221840,272
Gujarat,Banaskantha,0,2182,613354,4772
Gujarat,Mehsana,0,2637,362990,2203
Gujarat,Patan,0,1316,178455,1761
Gujarat,Sabarkantha,16,2298,260863,1909
Gujarat,Dang,0,34,30174,41
Gujarat,Navsari,15,1252,254949,1067
Gujarat,Surat,84,1465,187122,891
Gujarat,Tapi,0,1619,126839,1165
Gujarat,Valsad,0,1203,242777,1247
Gujarat,Devbhumi Dwaraka,0,766,105437,299
Gujarat,Jamnagar,0,715,159443,616
Gujarat,Kutch,759,1049,257281,980
Gujarat,Morbi,56,913,113901,666
Gujarat,Porbandar,0,475,133001,106
Gujarat,Rajkot,430,1429,242608,1628
Gujarat,Amreli,0,1773,233656,201
Gujarat,Bhavnagar,0,1150,220487,619
Gujarat,Botad,391,623,57916,491
Gujarat,Gir Somnath,180,1284,165289,417
Gujarat,Junagadh,0,1828,187729,1909
Gujarat,Anand,69,3203,372260,1444
Gujarat,Bharuch,0,1839,209335,1254
Gujarat,Chhotaudepur,2,2524,155243,401
Gujarat,Dahod,311,1677,315850,829
Gujarat,Mahisagar,0,1766,241744,146
Gujarat,Narmada,0,796,124472,280
Gujarat,Panchmahal,0,2212,282070,1596
Haryana,Kurukshetra,0,1575,132302,627
Haryana,Panchkula,0,699,114297,629
Haryana,Gurgaon,16,2718,378165,2389
Haryana,Jhajjar,0,621,129232,666
Haryana,Kaithal,85,1401,102852,711
Haryana,Hisar,0,393,158751,875
Haryana,Rohtak,8,1167,129836,595
Haryana,Ambala,0,1025,214101,870
Haryana,Sirsa,0,1935,170844,565
Haryana,Panipat,317,1241,128861,578
Haryana,Fatehabad,0,929,96036,684
Haryana,Yamunanagar,0,963,166954,1002
Haryana,Sonipat,180,1797,206519,1950
Haryana,Faridabad,0,1235,312884,2247
Haryana,Bhiwani,0,1066,144038,875
Haryana,Charkhi Dadri,0,1381,93930,909
Haryana,Rewari,0,1815,137705,1014
Haryana,Karnal,377,3866,207757,843
Haryana,Jind,0,1259,121271,772
Haryana,Nuh,0,751,38562,416
Haryana,Mahendragarh,0,1418,135101,1138
Haryana,Palwal,0,307,136637,2657
Himachal Pradesh,Shimla,0,0,213103,395
Himachal Pradesh,Solan,0,0,128651,662
Himachal Pradesh,Lahaul Spiti,0,0,8073,1
Himachal Pradesh,Kullu,0,0,104918,267
Himachal Pradesh,Sirmaur,0,2,86787,364
Himachal Pradesh,Kangra,0,0,383488,1979
Himachal Pradesh,Chamba,0,806,111033,673
Himachal Pradesh,Mandi,0,44,275199,641
Himachal Pradesh,Kinnaur,0,138,23567,91
Himachal Pradesh,Hamirpur,0,0,158483,166
Himachal Pradesh,Una,157,326,146068,573
Himachal Pradesh,Bilaspur,27,21,122663,187
Jammu & Kashmir,Srinagar,413,1979,130261,2303
Jammu & Kashmir,Kulgam,0,891,85098,1038
Jammu & Kashmir,Shopian,0,49,64015,61
