state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Odisha,Ganjam,0,23,758894,22408,0,0,62,13814,388736,41.18,35,85,593673,553743,933,162701,984929,12979,4
Odisha,Kandhamal,0,0,134048,3227,0,0,0,2181,50408,0.0,0,0,88937,95483,1074,27776,156680,1440,0
Odisha,Koraput,0,0,281840,7550,0,0,0,4887,113464,0.0,0,0,191715,203499,1061,65424,329880,3091,0
Odisha,Sambalpur,5,233,239880,7789,8,0,428,5507,211965,13.46,89,661,248639,203127,817,58316,393529,4965,20
Odisha,Sundargarh,0,150,326462,8544,0,0,312,5212,281947,1.73,8,462,322234,286067,888,67402,541007,4127,3
Odisha,Bhadrak,0,79,290725,9377,0,0,192,2844,85708,3.32,9,271,207643,168709,812,64589,311844,2993,1
Odisha,Kendujhar,0,1,294353,7341,0,0,410,3972,97899,2.19,9,411,212089,180103,849,58907,333345,2898,2
Odisha,Mayurbhanj,0,604,350438,10403,1,0,634,6514,141275,2.58,32,1238,251325,240325,956,80289,411424,5447,7
Odisha,Cuttack,0,26,535165,16334,0,0,147,7411,329770,4.05,7,173,487622,377093,773,130052,734883,5166,2
Odisha,Dhenkanal,0,190,195631,4861,0,0,836,4208,88591,1.36,14,1026,163039,121139,743,35632,248590,3979,3
Odisha,Jagatsinghpur,0,213,229332,7905,0,0,343,1801,58007,2.52,14,556,159406,127890,802,60047,227292,1128,2
Odisha,Jajpur,0,44,303319,8793,0,0,781,4056,92231,0.61,5,825,224938,170544,758,65590,329960,3479,1
Odisha,Kendrapara,0,0,282868,8142,0,0,0,3225,80335,0.0,0,0,195785,167375,855,60298,302905,2753,0
Odisha,Nayagarh,0,118,190380,5784,0,0,149,2287,45478,1.12,3,267,127105,108730,855,40875,194983,2232,2
Odisha,Puri,0,112,379586,9809,0,0,180,4296,154155,2.74,8,292,290415,243203,837,75619,458122,3302,3
Odisha,Kalahandi,0,2,253064,6978,0,0,20,3492,96544,36.36,8,22,186602,162962,873,55818,293790,2495,1
Odisha,Nuapada,0,145,94180,3137,0,0,79,3342,49444,7.14,16,224,74485,69116,928,21301,122323,3436,10
Odisha,Subarnapur,0,0,108225,3107,0,0,0,1874,39951,0.0,0,0,78171,69988,895,25159,123017,1387,0
Odisha,Gajapati,166,429,105587,3284,3,0,126,2709,48720,8.11,45,555,74112,80152,1081,24844,129463,2444,10
Odisha,Boudh,0,32,77248,2181,0,0,21,709,20549,13.21,7,53,53965,43817,812,16157,81640,582,1
Odisha,Malkangiri,0,120,89618,2320,216,0,50,2072,45445,17.65,30,170,68997,66035,957,21012,114051,1391,4
Odisha,Nabarangpur,0,0,158169,4300,0,0,0,2776,67724,0.0,0,0,107829,118035,1095,35470,190423,2009,0
Odisha,Rayagada,0,23,156369,4783,0,0,255,2557,73375,11.51,32,278,116092,113603,979,39976,189768,1630,6
Odisha,Bargarh,43,30,252204,6956,44,44,14,2856,93915,13.64,6,44,184148,161904,879,56159,289960,1789,1
Odisha,Deogarh,0,0,54150,1644,0,0,0,833,23850,0.0,0,0,43186,34810,806,13329,64671,573,0
Odisha,Jharsuguda,0,34,117156,3878,0,0,70,1951,72311,5.77,6,104,108109,81326,752,29962,159505,1549,2
Puducherry,Puducherry,844,2009,195158,6491,412,0,2502,6089,199490,3.95,178,4512,202598,191955,947,55760,338888,4614,40
Puducherry,Karaikal,643,388,36475,964,605,0,428,895,33957,7.84,64,816,34921,35496,1016,6159,64273,979,13
Puducherry,Mahe,0,38,17547,536,0,0,157,310,11849,7.69,15,195,13212,16183,1225,4544,24852,197,3
Puducherry,Yanam,0,108,8825,289,0,0,262,356,10201,0.0,0,370,9902,9122,921,1919,17107,371,4
Punjab,Kapurthala,0,26,135336,3132,0,0,14,1328,33950,0.0,0,40,92211,77051,836,25031,144255,884,8
Punjab,Ferozpur,0,9,89822,2277,60,0,82,1684,43055,9.89,9,91,76976,55888,726,19512,113365,1174,4
Punjab,Hoshiarpur,0,1064,365204,11469,0,0,2205,6677,147043,7.37,241,3269,274064,238122,869,83411,428836,6230,69
Punjab,Mansa,2039,13,53377,1435,2929,0,70,1247,34100,32.53,27,83,52839,34631,655,10064,77413,1245,9
Punjab,Barnala,499,54,67663,1848,787,0,194,1380,32552,8.87,22,248,58371,41837,717,14713,85502,1126,12
Punjab,Fatehgarh Sahib,8778,909,69781,2602,7982,0,1198,2086,37437,7.26,153,2107,59822,47389,792,13967,93251,2692,90
Punjab,Amritsar,1181,472,334857,10340,778,778,1142,6546,160212,7.19,116,1614,276319,218708,792,90724,404345,3926,53
Punjab,Pathankot,0,5,165649,4533,0,0,108,2057,52495,6.19,7,113,115631,102485,886,36212,181932,1417,2
Punjab,Fazilka,0,8,90677,2293,0,0,0,1794,40041,25.0,2,8,76782,53926,702,19100,111618,1358,2
Punjab,Ludhiana,547,342,643036,18730,1066,1066,452,11177,293440,12.09,96,794,553631,382736,691,170111,766365,5606,39
Punjab,Gurdaspur,4750,13,344191,10520,6928,0,22,3966,88599,42.86,15,35,229263,203480,888,92445,340345,1279,37
Punjab,Sri Muktsar Sahib,5199,1,95350,2730,5892,0,6,2636,56146,42.86,3,7,90539,60932,673,17181,134315,2911,49
Punjab,Moga,0,0,115157,2971,0,0,0,1966,53298,0.0,0,0,93929,74512,793,21198,147257,1909,16
Punjab,Jalandhar,2,389,478783,12580,119,119,1279,5753,162373,0.72,12,1668,347060,294021,847,107164,533992,3023,12
