state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,33,62907,47,203,143,90894,10.17,24,236,80022,73756,922,74364,79437,11,10,178,78084
Andaman & Nicobar,South Andaman,162,141332,289,850,1207,232298,6.72,68,1012,201099,172463,858,180234,193396,88,16,1408,183889
Andaman & Nicobar,Nicobar,0,21978,5,0,14,28947,0.0,0,0,27686,23235,839,25435,25490,2,0,16,25210
Andhra Pradesh,Krishna,6771,3057793,10941,16438,20576,3122092,4.53,1051,23209,2950680,3228058,1094,2632591,3547294,20553,279,10964,2383085
Andhra Pradesh,Guntur,3117,2934382,4321,9757,14299,3260782,14.26,1836,12874,2908991,3285223,1129,2404370,3790794,8697,1479,9923,2333725
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2684,1948185,5728,7222,14019,1803111,4.48,444,9906,1754204,1996402,1138,1558213,2193083,15096,128,4650,1494612
Andhra Pradesh,Kurnool,2329,2083011,3848,14238,22420,2802851,2.37,393,16567,2272527,2612576,1150,1966093,2919769,3672,116,22596,1844891
Andhra Pradesh,Visakhapatnam,5571,2561287,11273,14744,25671,3126653,2.91,592,20318,2777206,2909864,1048,2407315,3280625,21736,155,15207,2689741
Andhra Pradesh,Anantapur,7140,2571613,5445,20211,16149,2773964,2.23,609,27351,2509801,2832897,1129,2225554,3120023,11413,145,10181,1960189
Andhra Pradesh,Chittoor,11411,2823634,14162,27603,34567,2980066,1.6,625,39065,2757518,3045217,1104,2563566,3240134,30380,149,18348,2328260
Andhra Pradesh,East Godavari,39870,3448152,21278,70749,40744,3230400,0.83,914,110636,3171038,3506386,1106,2667867,4010685,50298,231,11724,2650340
Andhra Pradesh,Prakasam,5006,2282075,6421,12481,17952,2351859,3.05,535,17535,2199415,2433808,1107,1977011,2656923,8080,164,16293,1669015
Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,2027652,6237,6124,15279,2128109,3.46,281,8129,1990176,2164814,1088,1773712,2382049,11380,94,10136,1684023
Andhra Pradesh,Srikakulam,10872,1875045,14429,18813,25940,1462300,1.91,567,29693,1521786,1815158,1193,1280421,2056924,32338,148,8031,1499321
Andhra Pradesh,Vizianagaram,4654,1603695,6918,7297,10525,1527174,2.83,338,11952,1468347,1662006,1132,1262457,1868412,14950,102,2493,1210219
Andhra Pradesh,West Godavari,3816,2648514,7257,9465,16364,2682906,3.68,489,13281,2519534,2811137,1116,2237707,3093713,18673,141,4948,2207454
Arunachal Pradesh,Itanagar Capital Complex,37,44999,28,266,262,162906,8.91,27,303,118667,89217,752,92913,114992,66,6,224,104584
Arunachal Pradesh,Lower Siang,6,9998,2,37,12,17918,16.28,7,43,15017,12898,859,11106,16810,4,2,10,16264
Arunachal Pradesh,Pakke Kessang,0,7006,4,0,8,8021,0.0,0,0,7861,7158,911,6636,8391,6,0,5,7908
Arunachal Pradesh,Changlang,52,52452,119,169,396,112247,4.07,9,221,90821,73858,813,70992,93707,48,9,466,83277
Arunachal Pradesh,Kurung Kumey,26,6655,23,67,49,10173,18.28,17,93,8239,8483,1030,6752,10076,42,3,30,8851
Arunachal Pradesh,Anjaw,6,7134,2,21,20,14463,11.11,3,27,12124,9471,781,9495,12102,7,2,15,11435
Arunachal Pradesh,East Kameng,18,18672,18,45,49,23268,11.11,7,63,22120,19813,896,18405,23535,7,1,60,22328
Arunachal Pradesh,Kamle,0,4487,2,0,8,7739,0.0,0,0,7000,5226,747,4772,7454,3,0,7,6468
Arunachal Pradesh,Dibang Valley,6,1988,2,6,14,5019,66.67,8,12,4509,2498,554,2820,4187,2,1,13,4074
Arunachal Pradesh,Tirap,1,18688,21,30,57,38513,29.03,9,31,31860,25325,795,25273,31928,7,2,70,31063
Arunachal Pradesh,Kra Daadi,0,4286,0,0,1,6357,0.0,0,0,5648,4995,884,4162,6481,0,1,0,6210
Arunachal Pradesh,West Kameng,31,30443,17,108,90,73038,29.5,41,139,57482,45962,800,46642,56839,17,5,90,54376
Arunachal Pradesh,Lohit,12,16887,18,62,82,42641,8.11,6,74,32442,27072,834,26708,32820,26,2,73,29883
Arunachal Pradesh,Tawang,2,16586,4,27,31,39074,3.45,1,29,30582,25059,819,25782,29878,4,1,30,28990
Arunachal Pradesh,Lower Dibang Valley,10,19130,11,45,53,39638,9.09,5,55,32178,26584,826,25185,33583,13,7,51,31490
Arunachal Pradesh,Lower Subansiri,3,16423,9,28,54,34198,29.03,9,31,27990,22628,808,22542,28079,18,1,44,26246
Arunachal Pradesh,Lepa Rada,4,8538,1,26,18,16100,0.0,0,30,14096,10538,748,11109,13529,4,2,14,13152
Arunachal Pradesh,Upper Siang,1,14149,9,7,29,20811,25.0,2,8,18878,16080,852,15714,19246,17,1,21,18001
Arunachal Pradesh,Shi Yomi,0,4644,0,2,3,8453,400.0,8,2,6815,6282,922,6104,6993,0,1,3,6853
Arunachal Pradesh,Namsai,69,40114,43,286,246,82837,18.31,65,355,65883,57064,866,56959,65992,63,17,226,61015
Arunachal Pradesh,Siang,0,10381,1,3,7,15157,233.33,7,3,13509,12021,890,10742,14796,2,1,5,14215
Arunachal Pradesh,West Siang,9,22707,3,47,26,41867,7.14,4,56,34542,30025,869,30141,34433,6,2,22,33311
Arunachal Pradesh,Papum Pare,35,17652,15,151,90,44166,12.9,24,186,36292,25516,703,27869,33949,24,5,81,30759
Arunachal Pradesh,Longding,0,11246,10,7,31,19484,42.86,3,7,18665,12065,646,10545,20185,11,1,29,18795
Arunachal Pradesh,Upper Subansiri,2,21929,6,38,25,22592,25.0,10,40,23562,20952,889,19275,25246,6,2,24,24355
Arunachal Pradesh,East Siang,12,31716,7,67,68,69960,39.24,31,79,52875,48780,923,45756,55920,20,12,55,52534
Assam,Dibrugarh,1725,587843,2019,4620,5578,1064730,7.64,485,6345,816495,835866,1024,680505,972068,660,99,6937,832635
Assam,Sivasagar,609,333599,732,1564,1751,511207,10.45,227,2173,419576,425098,1013,349063,495743,214,55,2269,464139
Assam,Tinsukia,1264,474152,1512,3497,4193,873032,8.38,399,4761,664594,682366,1027,474640,872544,675,135,5030,642782
Assam,Baksa,1887,327120,2263,4246,4999,603818,7.45,457,6133,453188,477577,1054,329399,601539,526,113,6734,490352
Assam,Barpeta,2301,747918,3258,5517,7488,1261106,12.94,1012,7818,981222,1027535,1047,858416,1150608,378,305,10367,917504
Assam,Darrang,1376,388118,1318,2973,2896,624994,11.98,521,4349,497131,515845,1038,373533,639579,184,141,4030,498371
Assam,Kamrup Metropolitan,903,820056,1006,3273,3534,1557725,6.08,254,4176,1321433,1055902,799,1083163,1294618,748,72,3792,1198269
Assam,Kamrup Rural,1796,759338,3381,5058,8433,1203501,8.11,556,6854,973012,989577,1017,789389,1173450,792,118,11021,984911
Assam,Karbi-Anglong,692,184414,1073,2104,3166,392699,7.65,214,2796,290618,286420,986,208993,368120,1385,64,2853,215158
Assam,Nalbari,789,331864,967,1881,2250,529675,11.24,300,2670,418686,442743,1057,344621,516918,191,89,3026,431872
Assam,Golaghat,990,450281,1226,2695,3460,839486,1.76,65,3685,641061,648481,1012,518117,771650,324,88,4362,671301
Assam,Jorhat,720,475924,723,1949,2023,754075,13.15,351,2669,604608,625210,1034,524398,705601,288,78,2457,630846
Assam,Morigaon,1052,383619,1001,2568,2471,651959,10.22,370,3620,493319,542149,1099,389013,646565,163,135,3309,549744
Assam,Nagaon,2830,754237,3320,6339,7082,1277615,5.36,491,9169,965727,1065835,1104,767546,1264306,447,122,9955,980553
