state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,4,28756,5,0,0,89,237,5904,7.53,7,93,18336,16323,890,3292
Andaman & Nicobar,South Andaman,0,52,55803,55,1,0,414,382,20416,5.15,24,466,41341,34874,844,10269
Andaman & Nicobar,Nicobar,0,0,7671,1,0,0,279,110,1824,0.36,1,279,5120,4375,854,1907
Andhra Pradesh,Krishna,0,298,736475,4603,0,0,1488,3956,207742,3.02,54,1786,468604,475726,1015,259058
Andhra Pradesh,Guntur,0,1663,694149,7282,0,0,1653,4394,191946,3.74,124,3316,445380,440805,990,234695
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,202,546426,5000,0,0,200,3530,83662,1.99,8,402,300519,329533,1097,183600
Andhra Pradesh,Kurnool,0,8,530735,2356,0,0,62,4266,128317,0.0,0,70,297869,361184,1213,179653
Andhra Pradesh,Visakhapatnam,262,4536,673333,5290,260,260,9080,10350,329954,2.31,314,13616,515022,488514,949,236200
Andhra Pradesh,Anantapur,0,18,601712,3564,0,0,48,2814,103430,21.21,14,66,346284,358631,1036,203303
Andhra Pradesh,Chittoor,42,172,670684,3000,77,77,597,4152,158011,9.23,71,769,391877,436863,1115,237894
Andhra Pradesh,East Godavari,0,111,748952,1900,0,0,548,8228,215312,4.7,31,659,473265,491043,1038,255293
Andhra Pradesh,Prakasam,0,0,554293,273,0,0,0,3507,112350,0.0,0,0,320591,346010,1079,195721
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,70,538699,1769,0,0,771,2748,118576,2.26,19,841,317042,340251,1073,201626
Andhra Pradesh,Srikakulam,0,0,502054,5132,0,0,0,4130,99764,0.0,0,0,270474,331333,1225,132244
Andhra Pradesh,Vizianagaram,0,209,392012,3414,0,0,298,4167,104423,4.54,23,507,223032,273387,1226,111881
Andhra Pradesh,West Godavari,0,93,664632,3700,364,364,561,3988,129044,2.45,16,654,365494,428254,1172,217751
Arunachal Pradesh,Itanagar Capital Complex,0,61,19357,85,0,0,1259,1115,44039,3.03,40,1320,35937,27459,764,7693
Arunachal Pradesh,Lower Siang,0,5,4058,14,0,0,150,142,3111,3.23,5,155,3802,3367,886,1106
Arunachal Pradesh,Pakke Kessang,0,2,3095,13,0,0,13,30,1716,100.0,15,15,2506,2302,919,1412
Arunachal Pradesh,Changlang,1019,679,20114,432,1859,0,4857,2453,28989,0.98,54,5536,27580,21522,780,4682
Arunachal Pradesh,Kurung Kumey,0,0,2480,0,0,0,30,11,2314,33.33,10,30,2273,2459,1082,1949
Arunachal Pradesh,Anjaw,0,100,3250,49,0,0,97,61,2584,11.68,23,197,3135,2705,863,1296
Arunachal Pradesh,East Kameng,0,12,8279,166,0,0,39,58,4024,37.25,19,51,6305,5996,951,1879
Arunachal Pradesh,Kamle,0,7,1608,5,0,0,2,33,1049,11.11,1,9,1507,1151,764,537
Arunachal Pradesh,Dibang Valley,0,0,946,3,0,0,86,32,1317,4.65,4,86,1319,944,716,889
Arunachal Pradesh,Tirap,0,110,6437,185,0,0,300,247,6576,7.32,30,410,7625,5389,707,2630
Arunachal Pradesh,Kra Daadi,0,15,1748,26,48,0,2,19,1700,76.47,13,17,1797,1653,920,731
Arunachal Pradesh,West Kameng,0,55,13306,66,0,0,336,231,11012,7.42,29,391,13665,10654,780,6822
Arunachal Pradesh,Lohit,0,136,6523,93,0,0,346,108,5616,3.73,18,482,7019,5117,729,2042
Arunachal Pradesh,Tawang,0,6,7795,7,0,0,578,386,9662,2.74,16,584,9153,8297,906,4291
Arunachal Pradesh,Lower Dibang Valley,0,84,7240,50,0,0,771,269,7324,2.92,25,855,7721,6845,887,2588
Arunachal Pradesh,Lower Subansiri,0,9,7275,35,0,0,241,209,6804,0.0,0,250,7148,6931,970,4070
Arunachal Pradesh,Lepa Rada,0,6,3980,13,0,0,97,75,2953,6.8,7,103,3709,3224,869,2530
Arunachal Pradesh,Upper Siang,0,41,6303,77,0,0,2,53,3664,16.28,7,43,5170,4799,928,2681
Arunachal Pradesh,Shi Yomi,0,0,2041,10,0,0,0,0,975,0.0,0,0,1497,1519,1015,1435
Arunachal Pradesh,Namsai,0,6,16053,106,0,0,850,455,9066,3.97,34,856,13592,11531,848,4551
Arunachal Pradesh,Siang,0,5,4257,2,35,0,151,51,1889,8.97,14,156,3098,3047,984,1583
Arunachal Pradesh,West Siang,86,79,10543,44,0,0,619,358,8263,1.72,12,698,9856,8949,908,4199
Arunachal Pradesh,Papum Pare,0,27,7974,46,0,0,459,249,10801,7.0,34,486,11436,7340,642,4536
Arunachal Pradesh,Longding,0,35,4693,174,0,0,105,70,4059,7.14,10,140,5582,3173,568,1720
Arunachal Pradesh,Upper Subansiri,0,6,9739,67,0,0,27,61,4776,51.52,17,33,7496,7018,936,3146
Arunachal Pradesh,East Siang,0,4,14229,9,0,0,1013,392,11429,6.19,63,1017,13188,12466,945,8506
Assam,Dibrugarh,0,1177,145302,983,0,0,6496,3027,103017,3.35,257,7673,132742,115558,871,44189
Assam,Sivasagar,0,943,76203,602,0,0,655,712,25462,5.13,82,1598,55374,46286,836,26373
Assam,Tinsukia,0,1020,108489,1382,0,0,3089,1548,62924,3.19,131,4109,92791,78599,847,26626
Assam,Baksa,0,384,52717,374,0,0,3119,501,22364,4.77,167,3503,40450,34625,856,17016
Assam,Barpeta,0,1503,135803,535,0,0,1140,601,39134,8.97,237,2643,91555,83369,911,96854
Assam,Darrang,0,270,75334,426,0,0,4230,975,33921,2.22,100,4500,60328,48913,811,25890
Assam,Kamrup Metropolitan,96,3394,268972,2077,1265,80,15731,12184,341673,2.59,495,19125,342494,268304,783,116542
Assam,Kamrup Rural,17,1115,198738,1011,51,51,2253,1023,63207,4.81,162,3368,139870,122041,873,55839
Assam,Karbi-Anglong,0,182,40696,220,0,0,575,478,22585,7.0,53,757,35450,27831,785,16085
Assam,Nalbari,0,91,64274,640,0,0,1077,488,23854,6.16,72,1168,48998,39116,798,18473
Assam,Golaghat,0,126,89117,799,0,0,2805,412,32058,0.31,9,2931,66628,54533,818,29461
Assam,Jorhat,0,728,103151,977,0,0,102,425,38406,2.41,20,830,76553,64993,849,34298
Assam,Morigaon,0,1204,74094,775,0,0,251,145,21871,3.78,55,1455,48541,47415,977,21169
Assam,Nagaon,0,1620,147206,1217,0,0,5072,3363,90112,2.5,167,6693,121514,115782,953,51174
Assam,Bongaigaon,0,50,60231,113,0,0,5493,700,33605,2.65,147,5543,49939,43886,879,27156
Assam,Chirang,9,451,31157,270,0,0,624,247,17264,3.26,35,1075,27943,20473,733,16146
Assam,Dhubri,0,727,78965,363,0,0,934,505,28972,1.14,19,1661,59472,48451,815,32632
Assam,Goalpara,494,102,56389,64,0,0,1600,517,32154,5.76,98,1702,46572,41934,900,23626
Assam,Kokrajhar,0,423,53071,326,33,0,1366,753,30156,6.2,111,1789,47022,36202,770,20813
Assam,Dhemaji,29,213,67638,312,0,0,1128,1039,31185,7.38,99,1341,50703,48101,949,21805
Assam,Lakhimpur,0,1170,88795,836,0,0,1124,496,29322,0.7,16,2294,62217,55888,898,31843
Assam,Sonitpur,0,643,108322,636,0,0,8787,2537,71124,3.18,300,9430,94665,84779,896,70218
Assam,Udalguri,0,70,50195,222,0,0,2312,358,24266,2.02,48,2382,40363,34085,844,17849
Assam,Cachar,0,2607,128760,1557,7,0,7025,2143,96236,2.06,198,9632,119348,105642,885,42008
Assam,Dima Hasao,0,91,20281,53,0,0,1237,457,14096,6.93,92,1328,20182,14186,703,10936
Assam,Hailakandi,34,748,54917,323,0,0,3493,772,27509,4.22,179,4241,45714,36708,803,20165
Assam,Karimganj,0,309,69093,327,0,0,1907,452,31494,4.69,104,2216,55458,45120,814,27197
Bihar,Madhepura,0,942,131991,1182,0,0,511,2586,67317,6.68,97,1453,109045,90249,828,29087
Bihar,Saharsa,0,824,143264,1127,0,0,82,2383,68025,4.86,44,906,112330,98929,881,32566
Bihar,Supaul,0,2704,158369,2320,0,0,3011,2947,74286,2.01,115,5725,128355,104329,813,24140
Bihar,Purnia,0,1290,270174,2074,1979,0,3089,4551,141241,5.5,241,4379,219181,192195,877,61268
Bihar,Araria,0,293,151985,442,7582,0,1120,1374,72919,6.16,87,1413,124987,99953,800,30689
Bihar,Katihar,78,1236,145489,1686,0,0,1622,3826,114435,2.52,72,2858,139899,120048,858,39827
Bihar,Kishanganj,0,508,88501,567,0,0,684,1781,59473,7.38,88,1192,82544,65449,793,27607
Bihar,Aurangabad,0,1413,134467,1544,71,0,2443,2841,82455,4.68,180,3850,125255,91673,732,31120
Bihar,Arwal,0,186,38267,281,0,0,500,833,23363,0.58,4,686,34143,27491,805,12964
Bihar,Gaya,3353,1463,246957,1523,3185,0,6136,5621,171836,3.95,300,7600,232433,186488,802,106982
Bihar,Kaimur,0,715,106876,885,0,0,1639,1553,54541,3.65,86,2354,90288,71121,788,22461
Bihar,Rohtas,471,2339,193402,1594,11,0,538,3191,104617,3.23,93,2877,170384,127673,749,46793
Bihar,Bhagalpur,0,1184,235857,1651,0,0,3687,6234,156486,2.44,119,4871,213326,179006,839,66260
Bihar,Banka,0,671,138832,954,319,0,1409,2301,67696,2.4,50,2080,108980,97568,895,40517
Bihar,Lakhisarai,15,385,52444,370,102,0,1104,1033,32617,1.41,21,1489,46970,38081,811,13564
Bihar,Munger,0,748,92912,641,0,0,826,2097,60012,1.02,16,1574,87388,65533,750,29140
Bihar,Muzaffarpur,0,997,272559,2044,1912,0,2345,6189,200280,4.73,158,3342,266230,206691,776,67994
Bihar,Sheohar,0,737,63685,815,323,0,1145,937,23980,3.08,58,1882,46943,40724,868,14130
Bihar,Sitamarhi,0,1180,196342,1187,779,0,4207,3166,98080,3.03,163,5387,160414,134053,836,44678
Bihar,Vaishali,0,1373,237201,1193,1,0,1656,3791,106676,5.32,161,3029,185012,159089,860,64963
Bihar,Nalanda,1995,2609,240028,1216,679,0,6131,3633,122993,2.4,210,8740,193174,169897,880,64281
Bihar,Jehanabad,0,697,74076,717,1998,0,2033,1773,48871,2.56,70,2730,67165,55820,831,19191
Bihar,Nawada,762,399,142876,519,1920,0,3983,1581,69587,4.29,188,4382,113381,99104,874,42051
Bihar,Sheikhpura,0,265,45185,346,0,0,1080,842,22937,1.86,25,1345,36464,31662,868,13872
Bihar,Darbhanga,0,2282,309442,2614,16,0,3807,4519,153001,1.82,111,6089,244524,217952,891,83591
Bihar,Madhubani,0,1703,290215,1843,0,0,31,4716,148128,3.23,56,1734,233902,204560,875,79003
Bihar,Samastipur,0,1402,268305,1131,458,0,5303,4707,147758,0.37,25,6705,223724,192399,860,84099
Bihar,Patna,529,6226,559912,3257,2035,0,13915,12381,496187,3.62,729,20141,614599,442012,719,321213
Bihar,Begusarai,0,1138,218581,1028,0,0,1060,3515,118437,4.64,102,2198,184059,153021,831,50990
Bihar,Bhojpur,0,483,163103,957,0,0,262,3719,99702,11.41,85,745,150619,112326,746,45128
Bihar,Buxar,759,1154,127059,1133,0,0,1251,2220,62029,4.37,105,2405,106599,82503,774,33132
Bihar,Khagaria,0,443,96211,590,0,0,408,2111,56251,6.93,59,851,81107,71383,880,23843
Bihar,Saran,494,2944,321878,2967,4388,0,14192,6251,171624,3.11,533,17137,270009,223662,828,92468
Bihar,Siwan,1614,1421,307019,1202,0,0,733,3420,125981,5.85,126,2154,235293,197832,841,87492
Bihar,Gopalganj,0,1669,172700,1281,0,0,421,2904,85259,5.26,110,2090,149624,108446,725,41381
Bihar,East Champaran,0,4262,324780,4448,0,0,949,6663,181002,2.67,139,5211,291764,213885,733,61942
Bihar,West Champaran,8,1359,187169,1271,1031,0,4669,4230,131261,3.02,182,6028,190010,128497,676,36718
Bihar,Jamui,0,543,117235,767,0,0,101,2034,63473,8.7,56,644,99631,81120,814,28524
Chandigarh,Chandigarh,109,911,206115,586,744,744,6976,5689,157467,2.95,233,7887,205950,157807,766,76772
Chhattisgarh,Raipur,0,1066,328664,321,0,0,351,156,65411,13.62,193,1417,209113,184984,885,133930
