state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,27,61207,24,746,831,75267,6.08,47,773,70944,65511,923,57621,78853,15,10,840,63113
Andaman & Nicobar,South Andaman,193,131484,156,1406,926,169554,5.69,91,1599,161728,139258,861,112118,188920,95,16,986,122853
Andaman & Nicobar,Nicobar,39,19587,66,183,170,25228,8.11,18,222,24224,20588,850,19483,25332,2,4,234,21453
Andhra Pradesh,Krishna,13309,2454269,16436,21221,26066,2085165,2.46,852,34568,2130211,2408401,1131,1658375,2881059,19887,249,22615,1532337
Andhra Pradesh,Guntur,17672,2569973,18153,51010,36423,2241249,1.1,758,68682,2234964,2575520,1152,1711446,3099776,30848,166,23728,1527349
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",4396,1724587,7374,10231,17136,1267581,2.73,400,14630,1371096,1620553,1182,1235915,1756253,13347,125,11163,977382
Andhra Pradesh,Kurnool,3640,1816215,7321,17555,30452,1894794,2.13,451,21199,1679979,2030465,1209,1217024,2493985,25657,127,12115,1081472
Andhra Pradesh,Visakhapatnam,21306,2217320,11539,33589,20325,2356566,1.17,643,55037,2223030,2350187,1057,1642233,2931653,11382,155,20481,1581544
Andhra Pradesh,Anantapur,5353,2198993,13619,14083,27757,1863611,2.44,474,19436,1870323,2190059,1171,1467839,2594765,23223,124,18153,1151955
Andhra Pradesh,Chittoor,13289,2384279,14587,28940,28221,2055527,1.45,613,42297,2067490,2371602,1147,1679613,2760193,23012,157,19795,1289780
Andhra Pradesh,East Godavari,21159,2860132,21726,18927,20868,2362831,3.13,1255,40105,2438751,2783367,1141,1733274,3489689,13876,292,28719,1688133
Andhra Pradesh,Prakasam,7388,1965391,11300,17091,25772,1590951,1.75,429,24501,1656462,1899353,1147,1382287,2174055,24578,130,12493,1095000
Andhra Pradesh,Sri Potti Sriramulu Nellore,7673,1792542,12508,13599,24696,1525439,1.44,307,21363,1561120,1756238,1125,1279241,2038740,21482,96,15721,1039913
Andhra Pradesh,Srikakulam,1736,1506143,4334,2519,6025,950289,13.98,595,4255,1093705,1362461,1246,845097,1611335,4835,179,5523,931522
Andhra Pradesh,Vizianagaram,9638,1256236,9886,17050,14540,954225,1.73,461,26709,1003975,1206132,1201,865670,1344791,6161,113,18264,770978
Andhra Pradesh,West Godavari,19163,2236867,14365,25949,22904,1777243,1.87,847,45303,1837234,2176329,1185,1566349,2447761,10490,266,26779,1429436
Arunachal Pradesh,Itanagar Capital Complex,46,42630,49,668,541,140186,3.64,26,714,104330,78467,752,74440,108376,93,7,497,91656
Arunachal Pradesh,Lower Siang,1,9727,8,19,52,16474,0.0,0,20,14033,12167,867,9673,16528,5,1,56,13938
Arunachal Pradesh,Pakke Kessang,0,6179,4,10,25,6400,0.0,0,10,6628,5944,897,4603,7976,2,1,27,7011
Arunachal Pradesh,Changlang,37,46971,91,178,433,93135,6.98,15,215,77616,62473,805,51548,88558,80,9,443,72392
Arunachal Pradesh,Kurung Kumey,0,6054,1,17,16,8386,17.65,3,17,7085,7249,1023,5346,9094,1,2,16,8046
Arunachal Pradesh,Anjaw,15,6758,9,124,67,12383,7.91,11,139,10519,8620,819,7492,11649,5,3,71,10560
Arunachal Pradesh,East Kameng,2,17729,20,16,90,20363,11.11,2,18,20012,18074,903,15237,22855,11,1,99,19558
