state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,0,55122,374,0,0,0,269,24042,0.0,0,0,41420,37734,911,26333,52831,274,0
Andaman & Nicobar,South Andaman,0,104589,1279,0,0,0,383,54969,0.0,0,0,86471,73067,845,47930,111628,434,0
Andaman & Nicobar,Nicobar,0,15519,132,0,0,0,290,11513,0.0,0,0,14540,12491,859,7331,19701,314,0
Andhra Pradesh,Krishna,27919,1280115,9501,1754,1753,22533,6640,532402,2.47,1248,50452,848381,963872,1136,444111,1368406,8202,302
Andhra Pradesh,Guntur,7490,1275814,9997,0,0,4254,5361,508730,4.22,496,11744,839411,944935,1126,402227,1382317,7272,165
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",3455,944710,4568,102,0,2000,2744,268459,6.14,335,5455,543480,669494,1232,291371,921798,3959,130
Andhra Pradesh,Kurnool,1262,927822,7207,150,145,759,6406,356006,3.91,79,2021,548172,735502,1342,294515,989313,7741,17
Andhra Pradesh,Visakhapatnam,5356,1157390,7056,3175,3160,4012,7082,699251,3.97,372,9368,909597,946813,1041,393668,1462973,6753,108
Andhra Pradesh,Anantapur,12581,1107132,11275,64,64,7090,3122,330918,2.47,487,19693,650977,786423,1208,387157,1050893,2642,122
Andhra Pradesh,Chittoor,2521,1134535,7264,678,678,2880,6136,441268,6.46,349,5401,719013,856572,1191,370668,1205135,6383,140
Andhra Pradesh,East Godavari,173,1326282,11950,0,0,1121,7379,583453,4.33,56,1294,850990,1058523,1244,426580,1483155,10645,14
Andhra Pradesh,Prakasam,1611,987985,3917,140,140,1424,7959,340529,6.1,185,3035,608986,719352,1181,289263,1039251,7381,82
Andhra Pradesh,Sri Potti Sriramulu Nellore,848,1008340,6666,9,0,821,3158,323381,4.25,71,1669,617043,714414,1158,394014,937707,3507,22
Andhra Pradesh,Srikakulam,65,865837,3202,0,0,777,1388,240440,0.95,8,842,479460,626717,1307,246823,859454,740,3
Andhra Pradesh,Vizianagaram,1001,647099,2764,13,0,876,2402,252162,3.89,73,1877,397533,501602,1262,173811,725450,3024,25
Andhra Pradesh,West Godavari,680,1211148,5923,4,0,1310,8055,402744,8.04,160,1990,685397,928292,1354,301039,1312853,9978,182
Arunachal Pradesh,Itanagar Capital Complex,378,34212,455,0,0,1025,947,73436,2.64,37,1403,61745,45891,743,19419,88229,666,8
Arunachal Pradesh,Lower Siang,123,7301,127,1,0,132,146,9097,5.88,15,255,8843,7554,854,3016,13382,171,2
Arunachal Pradesh,Pakke Kessang,17,5072,45,20,0,29,41,3700,8.7,4,46,4583,4186,913,2286,6486,33,3
Arunachal Pradesh,Changlang,624,32031,312,316,0,641,321,46944,4.35,55,1265,44837,34130,761,11680,67295,330,12
Arunachal Pradesh,Kurung Kumey,25,4767,23,0,0,57,52,5095,9.76,8,82,4720,5040,1068,2494,7368,48,2
Arunachal Pradesh,Anjaw,65,4719,28,0,0,25,68,7290,11.11,10,90,6579,5429,825,1792,10217,68,2
Arunachal Pradesh,East Kameng,17,12236,133,0,0,17,298,10993,17.65,6,34,12257,10969,895,4026,19203,320,2
Arunachal Pradesh,Kamle,27,2756,31,0,0,71,53,3385,12.24,12,98,3559,2582,725,949,5192,64,3
Arunachal Pradesh,Dibang Valley,0,1523,9,199,0,0,10,3111,0.0,0,0,2879,1755,610,1080,3554,11,1
Arunachal Pradesh,Tirap,106,11611,112,0,0,116,193,19778,12.61,28,222,18157,13226,728,4080,27309,216,6
Arunachal Pradesh,Kra Daadi,24,2851,33,0,0,19,24,3541,39.53,17,43,3387,3005,887,1186,5206,17,2
Arunachal Pradesh,West Kameng,214,23531,189,0,0,628,403,32651,3.33,28,842,31302,24865,794,11206,44976,431,8
Arunachal Pradesh,Lohit,160,11301,152,0,0,192,221,18478,5.11,18,352,16763,13006,776,4667,25112,250,5
Arunachal Pradesh,Tawang,51,13372,120,0,0,58,65,19253,19.27,21,109,17578,15035,855,7105,25520,52,3
Arunachal Pradesh,Lower Dibang Valley,130,14171,136,583,0,153,203,19810,13.07,37,283,18629,15348,824,6660,27321,182,7
Arunachal Pradesh,Lower Subansiri,90,12676,97,0,0,191,166,16051,10.32,29,281,15294,13431,878,6020,22707,169,9
Arunachal Pradesh,Lepa Rada,44,7511,66,0,0,46,67,9010,0.0,0,90,9251,7267,786,4152,12369,69,2
Arunachal Pradesh,Upper Siang,203,11094,102,0,0,178,138,9850,3.27,13,397,11118,9824,884,4960,15984,148,5
Arunachal Pradesh,Shi Yomi,20,3610,21,0,0,11,22,4230,29.03,9,31,3957,3883,981,1762,6078,22,2
Arunachal Pradesh,Namsai,212,26193,349,0,0,223,292,36919,12.64,55,435,34148,28961,848,9042,54070,328,12
Arunachal Pradesh,Siang,24,8050,53,0,0,29,94,8256,13.21,7,53,8593,7710,897,3387,12919,107,2
Arunachal Pradesh,West Siang,98,19606,201,0,0,81,163,21415,0.56,1,179,21804,19213,881,10179,30842,145,1
Arunachal Pradesh,Papum Pare,81,12944,111,1,0,141,146,19872,12.61,28,222,19813,12998,656,7123,25693,139,5
Arunachal Pradesh,Longding,28,7687,56,1,0,37,69,10792,23.08,15,65,11690,6789,581,2348,16131,83,4
Arunachal Pradesh,Upper Subansiri,0,14951,164,98,0,3,140,9420,233.33,7,3,12730,11637,914,4950,19421,169,3
