state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Telangana,Nagarkurnool,760,145628,608,0,0,64,115,46436,5.58,46,824,92537,99451,1075,50392,141672,71,31,652
Telangana,Nalgonda,2900,228467,2346,677,0,3552,2377,162247,2.6,168,6452,198447,192220,969,76461,314253,3525,45,1198
Telangana,Nirmal,1506,192682,1523,0,0,174,281,43925,6.55,110,1680,112637,123934,1100,72573,164034,248,23,1556
Telangana,Nizamabad,1608,255431,1627,0,0,264,661,141805,7.37,138,1872,204358,192830,944,110533,286703,634,39,1653
Telangana,Peddapalli,3508,187941,2114,0,0,2204,1267,139646,2.59,148,5712,169482,158061,933,64509,263078,1653,38,1728
Telangana,Rajanna Sircilla,3751,155384,2570,0,0,103,79,48487,1.97,76,3854,97068,106748,1100,52474,151397,18,16,2630
Telangana,Rangareddy,3935,800722,4520,6160,6160,7088,7384,1228627,3.87,427,11023,1114935,914095,820,479398,1549951,5351,148,6553
Telangana,Sangareddy,1537,238353,1249,140,140,1200,1470,203950,8.51,233,2737,233996,208235,890,107799,334504,928,57,1791
Telangana,Siddipet,4553,293207,2860,0,0,257,387,96513,1.87,90,4810,181266,208369,1150,97470,292250,440,39,2807
Telangana,Suryapet,2113,215065,1679,0,0,1720,1311,100757,4.88,187,3833,152816,162927,1066,73302,242520,1704,40,1286
Telangana,Vikarabad,482,100214,545,0,0,95,135,57902,9.19,53,577,80544,77545,963,39164,118952,270,27,410
Telangana,Wanaparthy,394,84655,349,0,0,31,44,36986,8.24,35,425,60251,61367,1019,32567,89074,80,20,312
Telangana,Warangal(Rural),1647,100130,953,0,0,1393,813,62369,2.63,80,3040,78356,84093,1073,31141,131358,1118,20,647
Telangana,Warangal(Urban),1828,334013,1653,331,331,2488,2160,267416,3.34,144,4316,301357,299964,995,131734,469695,2608,33,1204
Telangana,Yadadri Bhuvanagiri,2970,287030,2570,0,0,197,429,72544,3.25,103,3167,168026,191449,1139,115245,244329,567,23,2432
Telangana,Mulugu,563,83547,777,0,0,403,385,32868,8.7,84,966,55221,61170,1108,25824,90591,760,16,401
Telangana,Narayanpet,288,49169,281,0,0,353,259,26660,6.08,39,641,37949,37866,998,16273,59556,400,14,139
Tripura,Dhalai,293,155532,557,18089,0,503,1386,152129,30.27,244,806,163805,143814,878,62446,245215,1731,143,212
Tripura,Gomati,192,197074,722,4241,0,282,920,140334,30.8,146,474,173003,164368,950,76262,261146,1486,83,155
Tripura,Khowai,294,130051,644,838,0,319,870,107568,58.24,357,613,121599,115983,954,56935,180684,1244,104,269
Tripura,North Tripura,344,197908,420,20,0,501,568,160867,10.06,85,845,184610,174102,943,87833,270942,757,101,230
