state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,134,56947,199,330,0,1461,1039,32621,3.45,55,1595,46810,42747,913,28023,61545,1057,10
Andaman & Nicobar,South Andaman,424,111597,777,0,0,1109,1133,63923,5.02,77,1533,94588,80909,855,54341,121179,1204,17
Andaman & Nicobar,Nicobar,20,16352,88,2,0,25,126,12758,33.33,15,45,15700,13408,854,7859,21251,163,3
Andhra Pradesh,Krishna,5581,1373343,11564,431,411,1796,7840,601915,5.87,433,7377,924786,1050166,1136,486963,1488295,13889,148
Andhra Pradesh,Guntur,22714,1396483,16213,756,756,13772,10909,588385,1.74,634,36486,928479,1056161,1138,476714,1508154,17469,162
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",3052,1007291,8138,121,0,1489,3987,300810,6.58,299,4541,588248,719636,1223,345576,962525,5126,136
Andhra Pradesh,Kurnool,5458,1032441,13463,290,282,3003,6862,411069,3.3,279,8461,617273,826063,1338,377175,1066335,9999,72
Andhra Pradesh,Visakhapatnam,4769,1242404,10692,5618,5091,6214,13490,810029,3.8,417,10983,1001723,1050451,1049,477067,1575366,15426,134
Andhra Pradesh,Anantapur,1038,1208758,13388,197,197,723,8610,396649,9.6,169,1761,724946,879743,1214,455104,1150303,13027,91
Andhra Pradesh,Chittoor,0,1230969,13324,0,0,0,10950,521692,0.0,0,0,799154,953265,1193,464517,1288144,11571,6
Andhra Pradesh,East Godavari,9167,1510321,25223,136,0,3407,9704,659563,4.82,606,12574,969146,1200481,1239,484455,1685429,27446,189
Andhra Pradesh,Prakasam,5859,1082235,13283,144,144,1660,8089,399017,1.61,121,7519,678928,802134,1181,396380,1084872,6414,50
Andhra Pradesh,Sri Potti Sriramulu Nellore,18083,1100545,12156,0,0,4763,7074,380245,1.02,234,22846,688035,792453,1152,471017,1009773,9882,92
Andhra Pradesh,Srikakulam,1197,925894,7096,32,0,1424,3445,269481,14.46,379,2621,518665,676598,1304,285853,909522,6018,96
Andhra Pradesh,Vizianagaram,3285,674993,3334,283,0,3579,3390,279596,4.31,296,6864,423086,531374,1256,193325,761264,4440,89
Andhra Pradesh,West Godavari,20610,1278861,9501,0,0,2105,11938,487463,2.62,595,22715,757391,1008710,1332,350515,1415809,14588,265
Arunachal Pradesh,Itanagar Capital Complex,126,36123,216,191,0,553,661,78896,4.57,31,679,65860,49147,746,23976,91043,348,8
Arunachal Pradesh,Lower Siang,49,8076,85,4,0,29,40,9524,2.56,2,78,9483,8116,856,3767,13833,43,1
Arunachal Pradesh,Pakke Kessang,22,5422,42,18,0,29,51,4149,17.65,9,51,5042,4525,897,2642,6929,50,2
