state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,460,54356,986,61,0,84,599,22841,6.62,36,544,40352,36835,913,25612,51585,699,10
Andaman & Nicobar,South Andaman,1612,101051,2356,0,0,472,560,53881,4.61,96,2084,84066,70848,843,44613,110319,1005,20
Andaman & Nicobar,Nicobar,111,15029,248,0,0,147,292,10713,8.53,22,258,13751,11990,872,6973,18769,378,4
Andhra Pradesh,Krishna,4997,1231181,9116,2322,2322,3633,5712,499460,6.49,560,8630,808969,921416,1139,411560,1319081,5733,161
Andhra Pradesh,Guntur,12533,1237821,16997,337,337,7216,9686,491587,3.04,601,19749,813004,916218,1127,367376,1362032,17986,174
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",12782,932316,11562,0,0,7513,4941,261228,2.04,415,20295,534093,659260,1234,281126,912418,9919,106
Andhra Pradesh,Kurnool,15555,913500,13038,398,398,14257,8716,343087,2.13,634,29816,535486,720951,1346,279307,977280,13564,122
Andhra Pradesh,Visakhapatnam,11270,1132097,10212,4356,4356,11786,8841,678027,2.97,684,23056,888350,921547,1037,365408,1444716,12320,156
Andhra Pradesh,Anantapur,15190,1067843,19513,0,0,2212,6043,317726,2.86,498,17402,626103,758842,1212,347843,1037726,12225,121
Andhra Pradesh,Chittoor,19670,1111423,12140,851,851,15488,7619,423094,1.68,592,35158,699950,834354,1192,343992,1190525,12703,147
Andhra Pradesh,East Godavari,11164,1291424,15152,131,131,4646,7597,552152,3.73,590,15810,824842,1018521,1235,393035,1450541,14526,146
Andhra Pradesh,Prakasam,6237,975402,8242,120,120,15251,10159,321920,1.78,382,21488,594255,702895,1183,274226,1023096,13776,101
Andhra Pradesh,Sri Potti Sriramulu Nellore,5550,985216,11323,322,322,3312,4474,313524,2.12,188,8862,601160,697319,1160,369602,929138,8739,43
Andhra Pradesh,Srikakulam,10282,854730,9873,0,0,1620,2093,236082,3.85,458,11902,471291,619422,1314,232825,857987,6765,108
Andhra Pradesh,Vizianagaram,5688,637267,6044,0,0,3892,3420,243423,2.92,280,9580,388547,492023,1266,166272,714418,5492,85
Andhra Pradesh,West Godavari,1758,1191490,8062,211,211,4919,9426,382708,4.24,283,6677,668720,905278,1354,285409,1288789,14127,136
Arunachal Pradesh,Itanagar Capital Complex,622,32684,562,1767,0,1152,857,69836,3.16,56,1774,58835,43673,742,16622,85898,759,9
Arunachal Pradesh,Lower Siang,66,6907,181,0,0,129,197,8660,7.69,15,195,8407,7159,852,2701,12866,236,2
Arunachal Pradesh,Pakke Kessang,43,4901,58,0,0,27,60,3550,0.0,0,70,4414,4034,914,2097,6354,62,1
Arunachal Pradesh,Changlang,104,30762,287,659,0,112,269,45657,6.48,14,216,43424,32989,760,10522,65897,307,13
Arunachal Pradesh,Kurung Kumey,27,4675,29,0,0,53,49,4931,0.0,0,80,4592,4912,1070,2399,7207,51,1
Arunachal Pradesh,Anjaw,51,4611,19,0,0,112,58,7024,4.29,7,163,6360,5274,829,1679,9956,60,3
Arunachal Pradesh,East Kameng,163,11878,135,0,0,440,292,10570,1.16,7,603,11879,10566,889,3694,18754,307,6
Arunachal Pradesh,Kamle,29,2649,40,0,0,92,73,3220,7.44,9,121,3425,2444,714,864,5005,96,2
Arunachal Pradesh,Dibang Valley,46,1510,14,0,0,25,29,3085,12.68,9,71,2847,1748,614,1056,3539,37,1
Arunachal Pradesh,Tirap,123,11286,132,0,0,225,293,19302,3.45,12,348,17707,12875,727,3775,26813,355,4
Arunachal Pradesh,Kra Daadi,11,2753,23,0,0,19,14,3425,0.0,0,30,3285,2893,881,1057,5121,9,1
Arunachal Pradesh,West Kameng,134,22754,265,0,0,165,406,30776,7.02,21,299,29836,23680,794,10564,42966,485,7
Arunachal Pradesh,Lohit,113,10749,162,0,0,89,262,17835,3.96,8,202,16110,12464,774,4210,24374,285,1
Arunachal Pradesh,Tawang,169,12933,138,0,0,53,76,18998,3.6,8,222,17206,14713,855,6637,25294,63,3
Arunachal Pradesh,Lower Dibang Valley,125,13710,191,0,0,137,191,19016,14.5,38,262,17917,14805,826,6142,26584,184,7
Arunachal Pradesh,Lower Subansiri,142,12364,120,58,0,120,179,15266,14.5,38,262,14613,13015,891,5727,21903,193,9
Arunachal Pradesh,Lepa Rada,58,7287,76,48,0,72,101,8761,0.0,0,130,8978,7067,787,3948,12100,100,2
Arunachal Pradesh,Upper Siang,10,10808,154,0,0,0,164,9302,0.0,0,10,10641,9467,890,4721,15389,188,3
Arunachal Pradesh,Shi Yomi,39,3527,16,0,0,44,26,4157,8.43,7,83,3879,3805,981,1682,6002,26,3
Arunachal Pradesh,Namsai,392,25133,338,0,0,259,303,35979,10.6,69,651,33112,27997,846,8090,53022,340,16
Arunachal Pradesh,Siang,22,7904,69,0,0,59,144,7965,11.11,9,81,8330,7536,905,3269,12600,171,3
Arunachal Pradesh,West Siang,126,18965,292,50,0,106,265,20946,3.45,8,232,21189,18718,883,9467,30444,257,2
Arunachal Pradesh,Papum Pare,79,12506,90,0,0,135,134,19305,2.8,6,214,19232,12574,654,6638,25173,105,2
