state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,28,61065,15,994,480,70451,4.7,48,1022,68520,62978,919,52744,78772,9,10,485,57193
Andaman & Nicobar,South Andaman,280,130672,103,1324,442,164404,3.49,56,1604,158685,136342,859,106647,188429,83,16,461,117254
Andaman & Nicobar,Nicobar,50,19172,28,267,108,24307,0.95,3,317,23504,19972,850,18152,25327,3,4,132,20635
Andhra Pradesh,Krishna,25188,2366921,11161,34718,16266,1941259,1.46,876,59924,2018630,2288777,1134,1542976,2765204,10842,228,16584,1485753
Andhra Pradesh,Guntur,25866,2475678,11336,41495,18359,2037572,1.05,710,67370,2091211,2421342,1158,1596112,2917138,12800,154,16893,1470368
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",10901,1684029,4151,26237,9169,1174365,1.33,497,37233,1304950,1552954,1190,1180559,1677835,5308,126,8012,950357
Andhra Pradesh,Kurnool,9053,1774034,2173,26969,8736,1708661,1.78,641,36069,1570792,1911371,1217,1152293,2330402,6488,164,4421,1039850
Andhra Pradesh,Visakhapatnam,19380,2157210,7726,34248,12031,2250124,1.24,664,53646,2145674,2261022,1054,1540497,2866837,5069,157,14687,1554904
Andhra Pradesh,Anantapur,25450,2130006,8954,42537,20165,1714269,0.76,519,68171,1765291,2076859,1176,1384690,2459585,14843,123,14275,1143808
Andhra Pradesh,Chittoor,28243,2310732,10227,46374,19710,1905170,0.85,636,74734,1959633,2255606,1151,1597024,2618878,13061,156,16876,1282036
Andhra Pradesh,East Godavari,38226,2746390,15077,34391,15422,2251324,1.69,1226,72634,2332985,2663925,1142,1587647,3410067,6945,292,23553,1679574
Andhra Pradesh,Prakasam,17365,1905652,6810,44302,16213,1459470,0.81,501,61909,1562135,1802495,1154,1326299,2038823,12426,134,10596,1074307
Andhra Pradesh,Sri Potti Sriramulu Nellore,28423,1735317,7604,49177,15270,1405640,0.55,443,79987,1473451,1666916,1131,1213286,1927671,12569,97,10304,1002389
Andhra Pradesh,Srikakulam,18198,1494047,4163,23653,5553,931839,6.48,2717,41903,1078427,1347198,1249,828418,1597468,4321,674,5395,903332
Andhra Pradesh,Vizianagaram,14208,1201581,5889,21317,7766,874250,1.08,382,35528,940779,1134727,1206,766042,1309789,3155,98,10500,741810
Andhra Pradesh,West Godavari,19898,2156605,8612,38341,14235,1655824,1.15,671,58269,1740329,2071588,1190,1424404,2388025,6265,192,16582,1405341
Arunachal Pradesh,Itanagar Capital Complex,93,42378,27,785,268,137182,4.78,42,878,102536,77005,751,71716,107844,40,7,254,90087
Arunachal Pradesh,Lower Siang,11,9691,15,45,80,16261,7.14,4,56,13895,12056,868,9446,16506,14,1,80,13732
Arunachal Pradesh,Pakke Kessang,3,6154,1,32,10,6260,14.29,5,35,6524,5883,902,4446,7968,0,1,11,6794
Arunachal Pradesh,Changlang,107,46447,25,424,103,90547,9.23,49,531,75921,61059,804,48935,88059,16,10,111,70757
Arunachal Pradesh,Kurung Kumey,0,6046,5,0,23,8275,0.0,0,0,7032,7183,1021,5231,9090,5,1,23,7735
Arunachal Pradesh,Anjaw,11,6705,3,58,27,11969,1.45,1,69,10279,8393,817,7057,11617,1,2,28,10422
Arunachal Pradesh,East Kameng,41,17635,23,204,56,19936,10.2,25,245,19717,17848,905,14765,22806,10,5,69,19394
Arunachal Pradesh,Kamle,0,4034,8,10,36,6204,0.0,0,10,5844,4394,752,3421,6817,6,1,38,5453
Arunachal Pradesh,Dibang Valley,2,1950,1,25,10,4735,11.11,3,27,4255,2430,571,2539,4146,2,1,9,3567
Arunachal Pradesh,Tirap,20,17226,15,152,66,34027,4.65,8,172,28673,22568,787,19761,31492,4,4,76,27832
Arunachal Pradesh,Kra Daadi,2,3949,2,2,6,5514,150.0,6,4,5040,4423,878,3197,6266,1,1,7,5345
Arunachal Pradesh,West Kameng,56,28972,33,489,248,62931,8.26,45,545,50835,41036,807,36607,55296,16,9,264,46294
Arunachal Pradesh,Lohit,95,15383,18,451,91,34579,6.23,34,546,27289,22661,830,19212,30750,10,6,98,26004
Arunachal Pradesh,Tawang,25,16105,6,167,37,35549,4.17,8,192,28077,23559,839,22223,29431,5,3,38,25827
Arunachal Pradesh,Lower Dibang Valley,41,18054,16,206,67,34472,13.36,33,247,28649,23872,833,20227,32299,10,7,73,28083
Arunachal Pradesh,Lower Subansiri,28,15701,12,197,92,28593,6.67,15,225,24135,20157,835,17516,26778,8,11,95,23555
Arunachal Pradesh,Lepa Rada,9,8336,2,84,22,14577,7.53,7,93,12958,9951,768,9634,13279,2,2,22,12459
Arunachal Pradesh,Upper Siang,29,13471,13,162,79,17878,4.71,9,191,16750,14597,871,12850,18499,9,3,83,16525
Arunachal Pradesh,Shi Yomi,2,4540,1,28,10,7773,33.33,10,30,6381,5932,930,5411,6902,1,2,9,6158
Arunachal Pradesh,Namsai,83,37195,65,608,183,68138,8.54,59,691,56377,48952,868,42212,63121,20,14,227,54926
Arunachal Pradesh,Siang,23,9738,6,120,38,13219,18.88,27,143,12077,10873,900,8608,14349,1,4,43,13198
Arunachal Pradesh,West Siang,20,22200,5,179,56,38288,5.53,11,199,32159,28323,881,26822,33666,3,2,58,31292
Arunachal Pradesh,Papum Pare,22,16420,10,178,83,36756,15.0,30,200,31479,21687,689,21516,31660,13,6,79,26267
