state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Telangana,Mahabubnagar,0,329028,1953,0,4592,451083,0.0,0,0,387710,392262,1012,207473,572638,4391,1,2155,186120
Telangana,Mancherial,4,302317,733,25,1822,428434,3.45,1,29,365563,365021,999,216384,514367,770,2,1785,235030
Telangana,Medak,0,364699,1524,0,2666,421348,0.0,0,0,381560,404295,1060,237321,548726,1763,0,2427,212287
Telangana,Medchal,762,1317950,3250,3406,14061,2580833,6.53,272,4168,2085449,1812519,869,1612394,2286389,5541,197,11770,1847414
Telangana,Nagarkurnool,0,351022,1084,0,2343,387127,0.0,0,0,358696,379267,1057,169911,568238,2353,4,1073,156216
Telangana,Nalgonda,0,654790,1468,0,2981,843193,0.0,0,0,735828,761905,1035,404970,1093013,1229,1,3220,394501
Telangana,Nirmal,432,349656,2798,942,6676,303803,1.16,16,1374,307488,345874,1125,181087,472372,8410,3,1064,191385
Telangana,Nizamabad,0,601436,3244,0,6002,782476,0.0,0,0,634872,748862,1180,410366,973546,2301,1,6945,447239
Telangana,Peddapalli,683,349156,1540,913,2972,458432,2.76,44,1596,402104,405368,1008,273322,534266,2584,93,1928,317046
Telangana,Rajanna Sircilla,0,301434,940,0,2762,298080,0.0,0,0,280488,318893,1137,205134,394380,612,0,3090,211917
Telangana,Rangareddy,82,1291286,3463,694,14157,2862594,8.25,64,776,2299208,1853978,806,1633564,2520316,6412,22,11208,1891161
Telangana,Sangareddy,5463,520702,2836,15121,8771,916044,2.02,416,20584,750141,686376,915,492220,944526,4693,121,6914,442121
Telangana,Siddipet,339,511619,1458,911,3463,485459,5.6,70,1250,476531,520354,1092,342653,654425,2647,71,2273,337990
Telangana,Suryapet,0,465711,1062,0,2334,498014,0.0,0,0,464736,498796,1073,302116,661609,1138,0,2257,290802
Telangana,Vikarabad,3,293586,1275,3,2674,436527,66.67,4,6,355801,374189,1052,133187,596926,3056,1,892,148478
Telangana,Wanaparthy,185,218602,751,219,1831,275448,6.44,26,404,239426,254533,1063,111561,382489,2243,11,339,97907
Telangana,Warangal(Rural),3061,281751,3282,4850,5222,322054,3.41,270,7920,283385,320262,1130,169008,434797,5875,93,2629,159173
Telangana,Warangal(Urban),0,596970,1838,2,4542,798838,900.0,18,2,675661,719872,1065,570773,825035,2263,3,4116,510429
Telangana,Yadadri Bhuvanagiri,0,450538,348,0,1369,366657,0.0,0,0,397461,419522,1056,309560,507635,496,0,1221,285857
Telangana,Mulugu,0,157298,125,0,326,143983,0.0,0,0,143836,157381,1094,100665,200616,88,0,363,105701
Telangana,Narayanpet,992,191447,4049,1899,8367,297189,0.31,9,2891,232525,256027,1101,94711,393925,10168,5,2247,111442
Tripura,Dhalai,1,191122,148,58,513,280672,1.69,1,59,249494,222243,891,211379,260415,54,1,606,255363
Tripura,Gomati,37,267981,376,45,650,297974,21.95,18,82,292142,273744,937,270488,295467,597,128,429,276012
Tripura,Khowai,367,153309,338,860,839,194369,26.32,323,1227,176026,171599,975,143668,204010,63,101,1114,197562
Tripura,North Tripura,0,220812,249,0,1035,303378,0.0,0,0,266520,257563,966,234470,289720,240,0,1043,278596
Tripura,Sepahijala,0,256985,161,1,605,349927,900.0,9,1,307838,298972,971,269810,337102,126,163,640,327015
Tripura,South Tripura,25,289270,585,33,1014,274343,20.69,12,58,283749,279784,986,255196,308417,152,3,1446,300666
Tripura,Unakoti,10,132418,67,24,303,175631,17.65,6,34,153725,154289,1004,130841,177208,46,1,323,169906
Tripura,West Tripura,1,576015,205,1,1171,643810,400.0,8,2,610963,608656,996,534252,685573,233,1,1143,666904
Uttar Pradesh,Agra,311,1304895,6528,1011,17027,2488094,11.95,158,1322,1982595,1808008,912,1219278,2573711,11907,85,11648,1664464
Uttar Pradesh,Aligarh,2428,1037403,5254,7192,14188,1979264,6.34,610,9620,1551888,1464066,943,938220,2078447,9820,198,9622,1141532
Uttar Pradesh,Prayagraj,662,1587538,8381,1598,20426,3054818,3.98,90,2260,2418627,2221718,919,1309261,3333095,17124,30,11684,1717680
Uttar Pradesh,Ambedkar Nagar,3266,800779,5865,8085,12858,1196653,1.39,158,11402,989970,1005939,1016,584885,1412547,12799,101,5923,808610
Uttar Pradesh,Amethi,116,702124,3234,368,8097,1037126,7.44,36,484,848559,890227,1049,608667,1130583,4205,16,7126,778518
Uttar Pradesh,Amroha,214,483631,1144,777,3599,862736,3.94,39,991,713148,632663,887,403353,943014,1456,17,3287,637687
