state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,67,57162,132,70,0,338,898,34173,13.58,55,405,47725,43598,914,28222,63113,912,10
Andaman & Nicobar,South Andaman,556,112744,617,0,0,727,987,65525,7.56,97,1283,95962,82284,857,55416,122853,1038,22
Andaman & Nicobar,Nicobar,45,16455,78,2,0,78,113,12910,5.69,7,123,15821,13542,856,7912,21453,150,3
Andhra Pradesh,Krishna,39180,1417184,15752,1326,1326,15291,8863,619076,2.9,1579,54471,952954,1082987,1136,504027,1532233,18170,390
Andhra Pradesh,Guntur,8780,1413208,16089,763,762,8029,11286,603099,3.04,511,16809,942783,1073289,1138,488958,1527349,18141,156
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",4977,1027341,10314,63,0,3530,5052,312354,4.74,403,8507,602796,736687,1222,362316,977379,6635,140
Andhra Pradesh,Kurnool,7583,1058746,14985,26,0,3324,7023,422783,3.69,403,10907,633904,847450,1337,400101,1081428,10728,103
Andhra Pradesh,Visakhapatnam,2665,1249297,9924,2813,2801,4171,12604,818563,4.15,284,6836,1009573,1058029,1048,486316,1581544,14937,90
Andhra Pradesh,Anantapur,5315,1225683,14037,86,86,947,7466,399697,3.8,238,6262,735218,889464,1210,473425,1151955,12050,112
Andhra Pradesh,Chittoor,6476,1302087,21319,423,423,4131,11472,545282,2.1,223,10607,844010,1003135,1189,557589,1289780,11425,144
Andhra Pradesh,East Godavari,4440,1523340,25449,560,0,3334,8776,666191,5.99,466,7774,979983,1209290,1234,501398,1688133,26124,177
Andhra Pradesh,Prakasam,6072,1108992,16588,130,130,4600,8199,413203,3.9,416,10674,697355,824663,1183,427195,1095000,7501,126
Andhra Pradesh,Sri Potti Sriramulu Nellore,16044,1122545,15089,0,0,18005,9861,402188,1.17,399,34081,708536,815909,1152,485130,1039603,13864,96
Andhra Pradesh,Srikakulam,24754,952678,10232,174,174,9673,4479,280748,1.66,573,34427,533577,699744,1311,301904,931522,8428,127
Andhra Pradesh,Vizianagaram,2176,680755,3481,30,0,2597,3789,286703,5.59,267,4773,428908,538419,1255,196480,770978,5067,87
Andhra Pradesh,West Godavari,18314,1317550,14883,27,27,8566,13274,498317,2.46,660,26880,781522,1034117,1323,386616,1429251,16334,269
Arunachal Pradesh,Itanagar Capital Complex,135,36433,163,0,0,547,559,79962,4.11,28,682,66582,49801,748,24739,91656,313,8
Arunachal Pradesh,Lower Siang,32,8215,96,2,0,30,35,9634,12.9,8,62,9597,8251,860,3911,13938,35,2
Arunachal Pradesh,Pakke Kessang,16,5456,39,18,0,17,54,4241,51.52,17,33,5115,4578,895,2686,7011,54,2
Arunachal Pradesh,Changlang,77,35235,245,802,0,167,401,51725,6.56,16,244,49403,37547,760,14568,72392,427,13
Arunachal Pradesh,Kurung Kumey,13,4999,22,10,0,69,66,5727,9.76,8,82,5160,5463,1059,2680,8046,68,1
Arunachal Pradesh,Anjaw,3,5074,31,0,0,8,23,7649,81.82,9,11,6964,5758,827,2163,10560,22,1
Arunachal Pradesh,East Kameng,34,13111,77,0,0,46,39,11382,12.5,10,80,12928,11562,894,4936,19557,38,2
Arunachal Pradesh,Kamle,0,3028,26,0,0,0,29,3756,0.0,0,0,3908,2876,736,1157,5627,34,0
Arunachal Pradesh,Dibang Valley,0,1616,13,199,0,0,31,3345,0.0,0,0,3091,1870,605,1142,3819,36,1
Arunachal Pradesh,Tirap,40,12352,62,180,0,71,62,20614,17.12,19,111,19072,13886,728,4806,28160,67,4
Arunachal Pradesh,Kra Daadi,2,3237,37,0,0,1,52,4013,233.33,7,3,3825,3425,895,1441,5809,67,2
Arunachal Pradesh,West Kameng,75,24580,84,2,0,120,154,34809,12.82,25,195,33106,26268,793,12267,47122,151,9
Arunachal Pradesh,Lohit,18,12320,70,0,0,46,132,19934,9.38,6,64,18142,14103,777,5598,26656,140,1
Arunachal Pradesh,Tawang,35,14186,64,0,0,46,51,19890,11.11,9,81,18325,15739,859,7966,26110,41,1
Arunachal Pradesh,Lower Dibang Valley,11,14840,50,696,0,35,84,20987,52.17,24,46,19686,16137,820,7360,28467,82,7
Arunachal Pradesh,Lower Subansiri,67,13725,81,0,0,141,141,17477,15.38,32,208,16671,14529,872,7117,24085,136,6
Arunachal Pradesh,Lepa Rada,36,7793,24,0,0,58,44,9381,17.02,16,94,9696,7475,771,4490,12684,37,3
Arunachal Pradesh,Upper Siang,49,11680,52,0,0,20,94,10871,1.45,1,69,11997,10552,880,5726,16825,67,2
Arunachal Pradesh,Shi Yomi,80,3860,29,2,0,69,28,4465,14.09,21,149,4230,4095,968,2003,6322,29,3
Arunachal Pradesh,Namsai,82,28215,170,0,0,129,141,38431,9.0,19,211,36028,30615,850,10868,55778,163,7
Arunachal Pradesh,Siang,98,8526,50,1,0,22,43,8724,16.67,20,120,9109,8138,893,3885,13365,43,4
Arunachal Pradesh,West Siang,356,20597,84,100,0,77,71,22266,1.62,7,433,22842,20016,876,11313,31550,59,2
Arunachal Pradesh,Papum Pare,45,13695,60,0,0,163,157,21461,5.77,12,208,21226,13925,656,8213,26943,118,4
Arunachal Pradesh,Longding,6,8039,35,2,0,10,64,11333,25.0,4,16,12258,7114,580,2838,16534,49,2
Arunachal Pradesh,Upper Subansiri,56,16090,111,97,0,62,178,11112,18.64,22,118,14217,12981,913,5939,21263,189,6
Arunachal Pradesh,East Siang,39,27506,93,0,0,77,130,37950,29.31,34,116,33990,31456,925,14704,50752,63,8
Assam,Dibrugarh,831,274789,2331,0,0,376,2932,276070,2.73,33,1207,288809,261982,907,108558,442301,3692,12
Assam,Sivasagar,1198,166522,2235,0,0,1756,3652,162397,1.56,46,2954,173986,154884,890,55030,273889,5123,16
Assam,Tinsukia,592,193111,2565,14,0,1026,2152,184323,3.21,52,1618,198796,178574,898,61993,315441,2740,11
Assam,Baksa,1439,99769,1297,10,0,2768,2312,99709,2.45,103,4207,109206,90230,826,34184,165294,3010,21
Assam,Barpeta,3150,279505,1460,0,0,8605,3974,190586,2.08,245,11755,248155,221876,894,121218,348873,5198,57
Assam,Darrang,2037,135013,1562,0,0,2757,1840,114421,2.21,106,4794,134587,114814,853,44938,204496,2461,23
Assam,Kamrup Metropolitan,3188,516476,4865,160,160,3960,4855,653685,2.97,212,7148,655263,514685,785,231220,938941,6036,66
Assam,Kamrup Rural,780,333408,3537,196,186,827,4869,219397,3.92,63,1607,292524,260203,890,110822,441983,6380,15
