state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,9,61452,10,807,306,79223,5.39,44,816,73063,67593,925,61690,78985,6,10,310,68043
Andaman & Nicobar,South Andaman,137,133111,81,2117,960,184134,2.04,46,2254,170266,146925,863,127189,190056,57,15,985,142585
Andaman & Nicobar,Nicobar,7,19895,10,73,41,26171,25.0,20,80,24926,21136,848,20655,25411,2,3,48,22081
Andhra Pradesh,Krishna,13119,2676853,9357,22360,15431,2382808,2.98,1058,35482,2381659,2677066,1124,2045542,3014119,6081,286,18707,1756261
Andhra Pradesh,Guntur,11599,2751793,6602,25976,14967,2728710,1.82,685,37575,2556500,2923174,1143,1975905,3504598,9371,153,12197,1758535
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",6475,1797747,3288,15746,7822,1430663,2.04,455,22255,1489956,1737886,1166,1373659,1854751,4532,125,6578,1043434
Andhra Pradesh,Kurnool,6471,1887215,4298,14956,9825,2168571,2.47,530,21470,1848527,2206640,1194,1351840,2703946,5129,156,8994,1242692
Andhra Pradesh,Visakhapatnam,5232,2347625,3486,12761,8164,2594695,3.15,567,17993,2399725,2541870,1059,1919488,3022832,3530,156,8119,1875574
Andhra Pradesh,Anantapur,9332,2314675,5307,17975,11505,2094627,1.91,522,27308,2039763,2367120,1160,1684463,2724839,5619,123,11193,1364374
Andhra Pradesh,Chittoor,20673,2526955,9871,16155,10249,2252565,1.68,619,36851,2230333,2548418,1143,1917387,2862133,4289,156,15831,1565591
Andhra Pradesh,East Godavari,13380,3108306,10655,10335,8599,2548993,4.41,1045,23715,2647383,3009004,1137,2107073,3550226,2578,269,16676,1927490
Andhra Pradesh,Prakasam,6215,2088916,6140,14277,13307,1880251,2.19,448,20492,1861346,2107225,1132,1585818,2383349,9373,163,10073,1231912
Andhra Pradesh,Sri Potti Sriramulu Nellore,5205,1899656,5154,13548,12699,1767598,1.9,357,18753,1735826,1930746,1112,1474963,2192291,7373,95,10480,1158076
Andhra Pradesh,Srikakulam,80,1628592,4073,146,2644,1023397,6.19,14,226,1177086,1474616,1253,1015001,1636988,963,3,5753,1028569
Andhra Pradesh,Vizianagaram,7904,1367852,6846,12722,8882,1129375,1.4,289,20631,1144639,1352197,1181,1061111,1436116,6175,93,9552,921086
Andhra Pradesh,West Godavari,3967,2382632,4744,9890,10381,2024602,4.93,683,13857,2033063,2373555,1167,1862043,2545191,2965,265,12160,1642547
Arunachal Pradesh,Itanagar Capital Complex,36,43287,45,507,501,147129,6.81,37,543,108665,81731,752,80634,109782,81,7,464,95012
Arunachal Pradesh,Lower Siang,3,9822,5,15,20,16914,11.11,2,18,14327,12408,866,10138,16598,5,1,21,15692
Arunachal Pradesh,Pakke Kessang,0,6294,4,13,21,6869,53.85,7,13,6912,6244,903,5146,8017,2,1,23,7668
Arunachal Pradesh,Changlang,67,48986,140,194,523,99877,11.11,29,261,82420,66424,806,58960,89903,149,8,514,75590
Arunachal Pradesh,Kurung Kumey,0,6202,9,10,38,8849,0.0,0,10,7395,7550,1021,5885,9166,6,3,40,8574
Arunachal Pradesh,Anjaw,6,6831,3,22,18,12969,7.14,2,28,10987,8811,802,8082,11718,3,3,17,10922
Arunachal Pradesh,East Kameng,20,17947,16,63,62,21173,8.43,7,83,20587,18527,900,16111,23009,11,2,66,20421
Arunachal Pradesh,Kamle,0,4246,9,0,21,6778,0.0,0,0,6274,4750,757,4063,6961,2,6,27,6199
Arunachal Pradesh,Dibang Valley,0,1959,0,0,0,4800,0.0,0,0,4310,2449,568,2603,4156,0,1,0,3915
Arunachal Pradesh,Tirap,30,17666,22,76,84,35840,13.21,14,106,29926,23568,788,21907,31599,5,4,101,29015
Arunachal Pradesh,Kra Daadi,1,3964,1,6,4,5621,42.86,3,7,5112,4473,875,3304,6281,1,1,4,5837
Arunachal Pradesh,West Kameng,2,29614,24,62,158,67582,25.0,16,64,53829,43333,805,41285,55911,31,7,150,49879
Arunachal Pradesh,Lohit,2,15901,10,48,91,37928,0.0,0,50,29368,24448,832,22616,31213,13,1,87,27886
Arunachal Pradesh,Tawang,7,16267,7,26,51,36974,21.21,7,33,29052,24171,832,23655,29586,5,1,52,27675
Arunachal Pradesh,Lower Dibang Valley,10,18497,13,30,65,36759,50.0,20,40,30235,25015,827,22498,32758,20,8,58,29726
Arunachal Pradesh,Lower Subansiri,2,15910,9,29,90,30489,29.03,9,31,25358,21039,830,19341,27058,21,1,78,24812
Arunachal Pradesh,Lepa Rada,22,8432,7,52,39,15338,8.11,6,74,13511,10255,759,10424,13346,3,3,43,12956
Arunachal Pradesh,Upper Siang,47,13723,18,81,79,19221,1.56,2,128,17673,15269,864,14281,18663,10,2,87,17475
Arunachal Pradesh,Shi Yomi,1,4571,1,24,16,8123,60.0,15,25,6597,6097,924,5773,6921,2,2,15,6719
Arunachal Pradesh,Namsai,13,38261,39,120,199,74047,12.78,17,133,60165,52139,867,48651,63657,17,8,221,57846
Arunachal Pradesh,Siang,0,9917,10,0,25,13806,0.0,0,0,12492,11223,898,9289,14434,4,0,31,13877
Arunachal Pradesh,West Siang,7,22345,6,44,56,39726,17.65,9,51,33099,28965,875,28262,33809,5,1,56,32647
Arunachal Pradesh,Papum Pare,16,16717,12,99,90,38828,13.04,15,115,32792,22743,694,23477,32068,16,2,85,28245
Arunachal Pradesh,Longding,3,10350,27,24,65,17378,11.11,3,27,17001,10727,631,8352,19376,17,3,75,17969
Arunachal Pradesh,Upper Subansiri,16,21167,25,52,61,20665,2.94,2,68,21995,19831,902,16939,24893,7,2,78,23099
Arunachal Pradesh,East Siang,43,30938,31,302,215,64225,10.14,35,345,49180,45964,935,40958,54205,29,11,217,51321
Assam,Dibrugarh,1357,507680,1341,3477,3496,866910,6.54,316,4834,687186,687231,1000,456411,918179,605,77,4231,556467
Assam,Sivasagar,1100,294051,751,2569,1697,425203,4.66,171,3669,362631,356512,983,239405,479849,134,59,2314,348789
Assam,Tinsukia,559,406321,1296,1670,3244,698370,6.33,141,2229,551780,552718,1002,294794,809897,3068,66,1471,402046
Assam,Baksa,690,258154,624,2319,1647,448070,9.01,271,3009,353272,352812,999,150617,555607,240,71,2030,263822
Assam,Barpeta,2470,616294,1912,5652,4271,968637,9.46,768,8122,786442,798281,1015,484867,1100064,769,277,5413,503553
Assam,Darrang,1461,321150,1258,2802,2786,487030,10.02,427,4263,404824,403248,996,202138,606042,1375,98,2669,280728
Assam,Kamrup Metropolitan,1040,765778,868,3717,2881,1380529,4.9,233,4757,1196276,949638,794,896881,1249426,507,66,3242,1021908
Assam,Kamrup Rural,2763,636438,1371,8030,3760,887718,4.88,527,10793,772946,751005,972,440582,1083574,673,131,4458,607960
Assam,Karbi-Anglong,632,140069,627,2042,1802,263714,6.21,166,2674,208038,195687,941,112226,291557,1043,63,1386,149963
Assam,Nalbari,1289,274433,1159,3079,2581,401337,6.0,262,4368,334960,340729,1017,187886,487884,742,56,2998,266558
Assam,Golaghat,1443,378696,942,3598,2492,660475,0.18,9,5041,525935,513050,976,325635,713536,354,59,3080,489257
Assam,Jorhat,2442,400635,1532,5502,3333,578038,3.6,286,7944,489228,489297,1000,326983,651690,378,72,4487,503031
Assam,Morigaon,1328,319881,1075,3027,2566,509452,7.92,345,4355,403635,425612,1054,233398,595935,536,101,3104,353676
Assam,Nagaon,2136,645540,1843,4940,4437,1048093,7.12,504,7076,818139,875254,1070,482834,1210799,1104,118,5176,607354
Assam,Bongaigaon,763,260992,1167,1775,2647,441361,7.57,192,2538,350251,351983,1005,207317,495036,268,55,3546,269597
Assam,Chirang,616,142329,340,1449,778,256473,15.25,315,2065,206508,192248,931,108997,289805,162,63,955,151312
Assam,Dhubri,1487,433151,1119,3583,2797,766269,5.52,280,5070,607891,591377,973,249217,950203,854,116,3061,328637
Assam,Goalpara,947,308973,880,2273,1894,567850,10.87,350,3220,436029,440642,1011,212863,663960,284,94,2489,293385
Assam,Kokrajhar,1209,257975,771,2890,1720,453866,8.32,341,4099,362787,348977,962,171225,540616,268,75,2222,261219
Assam,Dhemaji,136,229679,399,487,1184,397340,13.96,87,623,305986,320930,1049,193395,433624,270,21,1313,279226
Assam,Lakhimpur,2040,398898,1505,4251,3258,615497,3.8,239,6291,502555,511697,1018,329979,684416,454,80,4309,437664
Assam,Sonitpur,1047,439814,1083,2907,2807,786361,9.76,386,3954,598637,627353,1048,455071,771104,530,83,3360,569789
Assam,Udalguri,472,238049,849,1061,1993,416874,11.55,177,1533,326037,328810,1009,145600,509323,974,51,1868,221841
Assam,Cachar,816,582437,972,1996,2110,939822,8.82,248,2812,767103,754948,984,413569,1108690,1368,80,1714,489044
Assam,Dima Hasao,60,64032,124,191,346,117945,31.47,79,251,100984,80935,801,64319,117658,214,27,255,81926
Assam,Hailakandi,473,218234,373,1361,936,359322,7.96,146,1834,299038,278407,931,154340,423216,144,52,1165,235569
Assam,Karimganj,850,325264,565,2226,1512,572355,9.88,304,3076,446170,451342,1012,214678,682941,294,91,1783,283443
Bihar,Madhepura,854,498232,2401,1364,3873,764701,10.91,242,2218,607566,655113,1078,287771,975162,1728,194,4546,413567
Bihar,Saharsa,162,567360,3691,301,9644,841549,10.65,51,479,686399,722242,1052,382530,1026379,8465,215,4869,425804
Bihar,Supaul,326,614326,1423,773,3035,848634,7.37,81,1099,700795,761855,1087,385983,1076977,1430,163,3027,457336
Bihar,Purnia,661,929361,1182,1884,3442,1430546,9.63,245,2545,1236511,1122728,908,741338,1618569,2613,268,2010,829600
Bihar,Araria,729,672437,2110,1879,4578,938512,9.28,242,2608,810792,799675,986,409207,1201742,4252,232,2435,567117
Bihar,Katihar,555,692953,1200,1413,2764,1184033,14.84,292,1968,938710,937887,999,413704,1463282,2018,262,1946,626223
Bihar,Kishanganj,319,382420,723,682,1594,592697,23.88,239,1001,494726,480235,971,211879,763238,1167,174,1150,336450
Bihar,Aurangabad,2127,618372,1726,5944,4308,960346,3.08,249,8081,805553,772669,959,426052,1152666,3064,252,2970,541455
Bihar,Arwal,266,187499,337,676,678,279581,5.1,48,942,228988,237992,1039,121069,346011,157,33,857,213962
Bihar,Gaya,4555,1031165,2956,9623,6835,1681956,4.53,642,14178,1359372,1353097,995,748687,1964434,5844,542,3947,956039
