state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,0,28704,8,0,0,114,3711,0,0,0,17196,15217,885
Andaman & Nicobar,South Andaman,0,62,54893,57,0,420,439,14339,5.81,28,482,37691,31561,837
Andaman & Nicobar,Nicobar,0,9,7651,2,0,1,3,998,0,0,10,4553,4096,900
Andhra Pradesh,Krishna,0,9793,591881,8980,0,1633,1596,118021,1.52,174,11426,370770,339287,915
Andhra Pradesh,Guntur,0,8958,565825,19973,0,2088,1976,127676,1.94,214,11046,366629,327015,892
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",220,8765,458682,15049,0,470,411,55307,2.22,205,9235,255401,259053,1014
Andhra Pradesh,Kurnool,0,6514,471989,16905,0,402,1080,67829,4.4,304,6916,265923,274056,1031
Andhra Pradesh,Visakhapatnam,0,15913,550176,16007,0,11261,5762,167877,1.42,386,27174,379099,339978,897
Andhra Pradesh,Anantapur,0,4600,525001,15263,0,1066,1181,72932,3.07,174,5666,304741,293156,962
Andhra Pradesh,Chittoor,50,13476,596612,20977,50,1302,1195,105362,2.25,332,14778,348810,353676,1014
Andhra Pradesh,East Godavari,0,13790,612549,23080,0,1066,393,119079,1.64,244,14856,391243,340623,871
Andhra Pradesh,Prakasam,96,5374,459154,10398,0,1091,811,72528,3.33,215,6465,273955,258166,942
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,4121,466469,15178,0,578,727,73295,2.79,131,4699,270866,269074,993
Andhra Pradesh,Srikakulam,0,2234,410624,19832,0,1312,356,54107,2.65,94,3546,225175,239557,1064
Andhra Pradesh,Vizianagaram,0,13716,338133,15229,0,3296,693,46259,1.57,267,17013,187194,198385,1060
Andhra Pradesh,West Godavari,0,13270,499196,17181,0,263,281,63117,1.53,207,13533,282737,280370,992
Arunachal Pradesh,Itanagar Capital Complex,121,133,17139,30,0,5073,1009,23656,1.23,64,5206,23926,17472,730
Arunachal Pradesh,Lower Siang,10,0,3902,3,0,0,4,1169,0,0,0,2691,2380,884
Arunachal Pradesh,Pakke Kessang,0,15,2924,5,0,65,9,1206,12.5,10,80,2156,1972,915
Arunachal Pradesh,Changlang,117,120,15720,82,0,49,25,7785,6.51,11,169,13770,9736,707
Arunachal Pradesh,Kurung Kumey,0,0,2444,8,0,9,24,2098,11.11,1,9,2152,2328,1082
