state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,66,57557,106,5,0,4,439,34230,42.86,30,70,47950,43825,914,28443,63344,469,7,76
Andaman & Nicobar,South Andaman,410,115762,668,0,0,936,795,68373,6.98,94,1346,98979,85131,860,56731,127404,1047,20,415
Andaman & Nicobar,Nicobar,14,16738,68,3,0,56,55,13050,14.29,10,70,16071,13715,853,7967,21821,102,4,19
Andhra Pradesh,Krishna,8634,1461012,13266,768,768,19289,8429,659156,5.36,1497,27923,993468,1126371,1134,520102,1600066,16030,423,5664
Andhra Pradesh,Guntur,7854,1469547,13684,1092,1091,10339,9971,644345,2.95,537,18193,985387,1128247,1145,516043,1597849,16330,149,7325
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",3538,1054081,7128,72,0,2802,4629,331689,5.84,370,6340,624479,761064,1219,376584,1009186,6889,116,4867
Andhra Pradesh,Kurnool,5493,1102100,10734,378,343,2790,4894,442293,5.03,417,8283,662104,882101,1332,428409,1115984,7622,108,8006
Andhra Pradesh,Visakhapatnam,7163,1290150,7522,2181,2122,6389,6807,851364,4.49,608,13552,1044746,1096489,1050,519146,1622368,7434,159,6894
Andhra Pradesh,Anantapur,5731,1287334,11374,156,156,3646,4674,428608,4.62,433,9377,778849,936337,1202,503494,1212448,8902,118,7146
Andhra Pradesh,Chittoor,13347,1374992,20575,1018,1018,12548,11406,601533,2.14,555,25895,901614,1074636,1192,606131,1370394,11750,155,20230
Andhra Pradesh,East Godavari,4462,1619698,16942,122,0,2514,3349,679677,5.56,388,6982,1034739,1264362,1222,522704,1776671,13120,127,7171
Andhra Pradesh,Prakasam,3096,1142364,9487,146,146,3282,5916,438695,5.68,362,6378,723813,857039,1184,447208,1133851,7113,122,8290
Andhra Pradesh,Sri Potti Sriramulu Nellore,2818,1146918,9137,100,100,4923,7697,429519,2.96,229,7741,731613,844505,1154,497135,1079302,10183,95,6652
Andhra Pradesh,Srikakulam,8705,1017472,13255,175,170,2871,4304,298184,4.01,464,11576,567409,748127,1318,320633,995023,12329,112,5230
Andhra Pradesh,Vizianagaram,1885,690025,2627,341,71,3637,3247,298612,4.85,268,5522,438751,549753,1253,200156,788481,4600,84,1273
Andhra Pradesh,West Godavari,9303,1350904,13230,0,0,11330,7574,538347,3.09,637,20633,815884,1073122,1315,405460,1483791,9762,267,11041
Arunachal Pradesh,Itanagar Capital Complex,86,36858,123,0,0,333,395,81105,5.01,21,419,67511,50440,747,25311,92652,273,7,244
Arunachal Pradesh,Lower Siang,122,8568,86,0,0,176,90,10121,4.03,12,298,10052,8636,859,4112,14577,107,3,68
Arunachal Pradesh,Pakke Kessang,36,5549,21,20,0,92,50,4471,9.38,12,128,5299,4717,890,2769,7251,51,3,20
Arunachal Pradesh,Changlang,190,35949,187,330,0,406,296,52886,7.38,44,596,50446,38379,761,15056,73779,323,11,160
Arunachal Pradesh,Kurung Kumey,36,5114,24,0,0,25,36,5865,14.75,9,61,5290,5586,1056,2752,8227,41,2,19
Arunachal Pradesh,Anjaw,12,5111,16,0,0,24,31,7823,11.11,4,36,7103,5830,821,2206,10728,30,2,17
Arunachal Pradesh,East Kameng,32,13360,53,0,0,18,37,11530,20.0,10,50,13157,11731,892,5217,19673,29,3,61
Arunachal Pradesh,Kamle,82,3173,34,0,0,60,22,3853,5.63,8,142,4071,2955,726,1248,5778,30,2,26
Arunachal Pradesh,Dibang Valley,0,1643,8,193,0,0,13,3369,0.0,0,0,3127,1885,603,1162,3850,12,1,8
Arunachal Pradesh,Tirap,41,12547,52,0,0,72,79,20960,6.19,7,113,19348,14151,731,4954,28553,87,5,44
Arunachal Pradesh,Kra Daadi,5,3268,26,0,0,5,40,4023,0.0,0,10,3857,3434,890,1476,5815,49,1,17
Arunachal Pradesh,West Kameng,60,25035,100,2,0,233,180,35564,9.22,27,293,33797,26786,793,12584,48015,207,11,72
Arunachal Pradesh,Lohit,94,12519,56,0,0,116,107,20357,4.76,10,210,18498,14369,777,5831,27045,103,4,59
Arunachal Pradesh,Tawang,119,14431,73,0,0,173,64,20188,9.59,28,292,18664,15943,854,8287,26332,48,4,89
Arunachal Pradesh,Lower Dibang Valley,22,15069,43,690,0,90,72,21318,7.14,8,112,20030,16353,816,7481,28906,87,8,28
Arunachal Pradesh,Lower Subansiri,48,13861,49,0,0,68,93,17731,20.69,24,116,16895,14695,870,7291,24301,81,8,60
Arunachal Pradesh,Lepa Rada,4,7864,23,0,0,38,53,9566,42.86,18,42,9875,7552,765,4578,12852,47,3,28
Arunachal Pradesh,Upper Siang,7,11882,63,0,0,48,68,11032,9.09,5,55,12215,10697,876,5841,17073,64,1,67
