state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Arunachal Pradesh,Shi Yomi,22,3936,28,2,0,10,25,4538,56.25,18,32,4316,4158,963,2071,6403,25,2,27
Arunachal Pradesh,Namsai,79,28601,111,0,0,148,158,39121,5.73,13,227,36580,31139,851,11114,56608,182,6,86
Arunachal Pradesh,Siang,8,8683,48,1,0,20,41,8907,7.14,2,28,9271,8316,897,3954,13636,53,1,35
Arunachal Pradesh,West Siang,10,20632,66,0,0,40,67,22520,0.0,0,50,23049,20098,872,11466,31686,44,1,89
Arunachal Pradesh,Papum Pare,50,13697,28,1,0,91,164,21970,13.48,19,141,21591,14071,652,8584,27083,88,6,104
Arunachal Pradesh,Longding,12,8224,33,3,0,26,76,11757,31.58,12,38,12609,7372,585,2973,17008,77,4,32
Arunachal Pradesh,Upper Subansiri,63,16442,78,99,0,62,147,11742,4.0,5,125,14726,13453,914,6162,22022,161,4,62
Arunachal Pradesh,East Siang,49,27680,73,0,0,116,103,38279,21.21,35,165,34293,31656,923,15016,50943,55,10,120
Assam,Dibrugarh,2352,288593,2417,0,0,1724,3341,295672,5.0,204,4076,305349,278843,913,116120,468145,4272,45,1486
Assam,Sivasagar,747,175333,2086,0,0,1758,3352,177133,1.4,35,2505,185249,167163,902,56986,295480,4854,16,583
Assam,Tinsukia,92,204809,2433,0,0,198,3789,201848,6.9,20,290,213145,193442,908,65936,340721,5313,4,909
Assam,Baksa,563,111017,2002,9,0,1232,3408,118265,2.51,45,1795,124100,105137,847,37319,191963,4777,11,632
Assam,Barpeta,1906,292401,2438,0,0,4828,6121,222442,2.61,176,6734,272737,242040,887,122702,392141,8258,42,301
Assam,Darrang,2101,144870,1930,0,0,3259,2629,128586,2.24,120,5360,146812,126608,862,48499,224957,3729,26,830
Assam,Kamrup Metropolitan,3372,536339,4751,193,193,5296,5156,675745,2.79,242,8668,678280,533588,787,245778,966306,6418,69,3488
Assam,Kamrup Rural,2411,356842,3997,307,187,4538,6515,257529,3.18,221,6949,323271,291005,900,120302,494069,8784,49,1728
Assam,Karbi-Anglong,1031,79089,906,13,0,2546,1841,85558,3.72,133,3577,91496,73131,799,33780,130867,2319,33,428
Assam,Nalbari,1859,131878,2124,0,0,2445,3480,109945,1.07,46,4304,127885,113907,891,43362,198461,4904,16,700
Assam,Golaghat,2403,213113,2931,0,0,5794,6181,267923,0.28,23,8197,255777,225187,880,63031,418005,8426,33,686
Assam,Jorhat,3855,247009,4161,13,12,6544,6325,243192,1.84,191,10399,255731,234394,917,85469,404732,9166,52,1320
Assam,Morigaon,330,163317,2206,4,0,677,3941,172718,2.28,23,1007,173122,162880,941,43382,292653,5535,7,612
Assam,Nagaon,3817,316770,3497,0,0,6947,4333,311472,1.73,186,10764,326839,301322,922,111379,516863,5817,41,2013
Assam,Bongaigaon,866,130124,1725,0,0,1384,2959,131729,2.22,50,2250,135664,126152,930,48802,213051,4111,12,573
Assam,Chirang,525,68860,875,165,0,966,1533,82826,1.95,29,1491,85678,65989,770,28517,123169,2071,9,336
Assam,Dhubri,2982,173757,2473,0,0,6007,3833,161871,1.46,131,8989,183867,151717,825,67620,268008,5279,52,1026
Assam,Goalpara,448,127475,1993,0,0,836,3378,151020,3.58,46,1284,146012,132403,907,45345,233150,4629,13,741
Assam,Kokrajhar,3503,112286,2265,154,0,6444,3876,127441,1.73,172,9948,134070,105630,788,43708,196019,5252,51,888
Assam,Dhemaji,218,131010,1230,33,0,474,2351,144643,4.05,28,692,140034,135568,968,46139,229514,2998,8,582
Assam,Lakhimpur,3813,203601,2424,107,95,6378,4042,220400,0.78,79,10191,221026,202925,918,61793,362208,5765,48,701
Assam,Sonitpur,941,272119,1878,2,0,2773,4757,336637,3.39,126,3714,313636,295037,941,104787,503969,6388,34,246
Assam,Udalguri,1006,100364,1711,0,0,2077,3258,105975,2.5,77,3083,110013,96296,875,38045,168294,4265,19,705
Assam,Cachar,1521,250945,2352,107,10,2641,2808,259433,2.59,108,4162,275570,234754,852,86323,424055,4031,28,1129
Assam,Dima Hasao,254,43589,258,134,0,347,334,54385,16.47,99,601,57122,40819,715,19306,78668,431,21,160
Assam,Hailakandi,655,112396,1424,50,0,1405,2396,117925,0.97,20,2060,124728,105567,846,38664,191657,3213,10,605
Assam,Karimganj,5,138922,1578,0,0,15,2457,142381,0.0,0,20,158278,122991,777,50893,230410,3348,1,686
Bihar,Madhepura,2731,224163,3009,29832,0,4737,4031,178488,2.97,222,7468,209453,193122,922,57977,344674,5955,82,1085
Bihar,Saharsa,2845,239483,1634,0,0,4840,2359,193048,2.02,155,7685,222805,209625,941,64661,367870,3265,118,728
Bihar,Supaul,2723,261687,2143,3,0,4651,2450,199502,1.44,106,7374,242310,218792,903,63553,397636,3610,38,983
Bihar,Purnia,2833,440940,3322,0,0,5456,6034,401374,2.42,201,8289,438608,403493,920,127687,714627,7403,67,1953
Bihar,Araria,3584,306496,3386,15061,0,6050,4234,249953,2.17,209,9641,286536,269774,942,85856,470593,6422,47,1197
Bihar,Katihar,3876,286100,2825,0,0,8743,5432,327548,1.99,251,12619,322126,291428,905,76287,537361,7299,81,957
Bihar,Kishanganj,915,159747,998,0,0,2399,1642,168881,2.6,86,3314,179158,149425,834,43050,285578,2334,33,305
Bihar,Aurangabad,2914,251344,2521,591,0,6196,4881,275367,1.43,130,9110,289595,236958,818,60981,465730,6442,41,960
Bihar,Arwal,977,98495,1427,0,0,1948,2262,105586,1.2,35,2925,106309,97726,919,25459,178622,3446,14,243
Bihar,Gaya,2569,493921,3000,2929,0,7238,6055,528200,1.97,193,9807,550557,471368,856,176473,845648,7869,51,1185
Bihar,Kaimur,1513,179966,2034,0,0,2979,3457,160267,1.29,58,4492,188944,151223,800,39869,300364,5008,13,482
Bihar,Rohtas,4528,341234,2883,294,0,9406,5602,335950,0.76,106,13934,382977,294087,768,90578,586606,7252,53,1233
Bihar,Bhagalpur,4348,454054,2856,0,0,9832,4627,480723,1.13,160,14180,499199,435434,872,148119,786658,5690,118,1792
Bihar,Banka,991,246421,1390,557,0,2454,2584,231717,2.18,75,3445,250473,227572,909,66678,411460,3004,40,970
Bihar,Lakhisarai,881,107536,1634,0,0,1923,2423,109279,0.93,26,2804,112468,104311,927,28875,187940,3472,11,585
Bihar,Munger,2078,190331,1231,10,0,3900,2384,197367,0.87,52,5978,210952,176658,837,54791,332907,3126,69,489
Bihar,Muzaffarpur,6628,532126,4484,1,0,11195,7534,570457,1.61,287,17823,601338,501061,833,166574,936009,10157,96,1860
Bihar,Sheohar,513,114490,914,0,0,823,1030,68506,1.8,24,1336,91616,91349,997,33370,149626,1503,16,442
Bihar,Sitamarhi,7425,367288,5248,0,0,9824,6031,280071,1.57,271,17249,332157,315125,949,95496,551863,9613,72,1665
Bihar,Vaishali,3022,406191,3251,230,0,5926,5283,324111,1.92,172,8948,391958,338188,863,108444,621858,7262,50,1273
Bihar,Nalanda,3655,460107,3309,2208,0,6498,3965,372296,1.64,167,10153,433283,398972,921,147165,685238,5444,71,1829
Bihar,Jehanabad,1735,148782,1723,2,0,3086,2078,140927,2.26,109,4821,151352,138286,914,46386,243323,3287,57,514
Bihar,Nawada,3296,247356,2379,781,0,6215,4236,215568,2.83,269,9511,246613,216226,877,71895,391029,5610,92,1005
Bihar,Sheikhpura,1040,87913,1207,184,0,1552,2125,80850,1.47,38,2592,88762,79982,901,25495,143268,2886,29,446
Bihar,Darbhanga,6256,538513,4437,0,0,12196,7441,455886,1.18,218,18452,510822,483431,946,158313,836086,10078,103,1800
Bihar,Madhubani,5154,518490,5455,0,0,9782,8924,438292,1.03,154,14936,480082,476546,993,156491,800291,8746,46,5632
Bihar,Samastipur,8243,463712,4481,0,0,17314,7835,414093,1.26,323,25557,459348,418302,911,142325,735480,9998,131,2317
Bihar,Patna,9062,1313232,10897,333,117,22623,23483,1575240,1.03,325,31685,1617793,1270092,785,723144,2165328,24160,170,10220
Bihar,Begusarai,3268,367765,2790,0,0,7424,5444,352159,1.01,108,10692,384456,335362,872,95360,624564,7119,28,1115
Bihar,Bhojpur,3481,306034,3242,67,0,6590,5196,291629,1.08,109,10071,336597,260949,775,86970,510693,6962,42,1475
Bihar,Buxar,3480,218062,1942,0,0,5267,3099,191890,0.95,83,8747,231233,178653,773,63038,346914,4094,38,946
Bihar,Khagaria,2250,172323,2213,0,0,4506,3963,161358,1.69,114,6756,171532,162090,945,45914,287767,5498,37,678
Bihar,Saran,5958,553889,4086,11,0,11039,6878,494745,1.7,289,17021,571799,476618,834,185279,863355,8585,75,2378
Bihar,Siwan,4269,497831,3169,1,0,10938,7207,423853,0.55,83,15207,522755,398740,763,155682,766002,8851,30,1525
Bihar,Gopalganj,2645,269856,1485,0,0,5549,3169,259792,1.66,136,8194,318399,211177,663,67627,462021,3761,31,892
Bihar,East Champaran,3439,559925,5308,0,0,6526,7408,553666,1.15,115,9965,633969,479261,756,163739,949852,8424,137,4291
Bihar,West Champaran,4747,367202,3038,0,0,9144,5085,416807,1.36,189,13891,451135,332714,738,79991,704018,7193,77,929
Bihar,Jamui,843,191421,1242,0,0,2255,2141,178549,2.0,62,3098,200659,169242,843,48782,321188,2851,29,532
Chandigarh,Chandigarh,2151,423521,4197,224,211,5117,8644,447079,3.19,232,7268,492305,378168,768,206091,664509,9515,71,3326
Chhattisgarh,Raipur,405,699044,4048,140,140,1838,9060,688664,3.88,87,2243,725280,662288,913,324025,1063683,9468,30,3639
Chhattisgarh,Balod,30,276540,788,799,0,120,988,134302,0.0,0,150,193069,217713,1128,92426,318416,1366,3,410
Chhattisgarh,Baloda bazar,165,268490,1401,8920,0,1128,2152,133845,2.86,37,1293,198377,203933,1028,73400,328935,2552,34,1000
Chhattisgarh,Balrampur,331,158389,286,8321,0,659,487,66719,18.18,180,990,118015,107069,907,35717,189391,533,98,240
Chhattisgarh,Bastar,388,190396,674,1006,0,1274,1237,125873,7.1,118,1662,161031,155205,964,60927,255342,1313,35,597
Chhattisgarh,Bemetara,131,138166,981,339,0,629,1287,66551,0.0,0,760,101593,103090,1015,37903,166814,1635,158,632
Chhattisgarh,Bijapur,65,50037,123,308,0,153,250,52343,5.5,12,218,61223,41141,672,25742,76638,262,35,110
Chhattisgarh,Bilaspur,178,479689,2655,0,0,705,2856,213238,3.06,27,883,348127,344700,990,160634,532293,3788,4,1722
Chhattisgarh,Dantewada,90,81081,212,398,0,421,498,57718,3.72,19,511,71263,67509,947,31926,106873,511,27,199
Chhattisgarh,Dhamtari,30,260977,998,460,0,10,958,109081,0.0,0,40,174463,195537,1121,80647,289411,1552,3,403
Chhattisgarh,Durg,362,562822,2441,0,0,878,2809,230824,2.42,30,1240,400525,393028,981,223201,570445,3539,11,1710
Chhattisgarh,Gariaband,86,133010,512,398,0,454,838,58718,0.0,0,540,92011,99700,1084,34185,157543,1012,14,338
Chhattisgarh,Janjgir-Champa,506,380935,2048,244,0,3582,2832,158594,2.25,92,4088,268954,270531,1006,115609,423920,3264,66,1616
Chhattisgarh,Jashpur,170,211449,774,12090,0,409,1384,91835,1.9,11,579,143161,160082,1118,57720,245564,1536,59,622
Chhattisgarh,Kanker,244,191798,607,40102,0,1614,1200,106786,1.72,32,1858,153032,145531,951,66090,232494,1353,119,454
Chhattisgarh,Kondagaon,290,130692,291,10200,0,929,703,63219,26.33,321,1219,95636,98251,1027,29946,163965,743,77,250
Chhattisgarh,Korba,119,367454,1297,50,0,438,1774,136940,5.92,33,557,251318,253022,1007,107333,397061,1826,11,1244
Chhattisgarh,Koriya,263,146344,520,4125,0,766,741,67766,5.93,61,1029,109102,104991,962,42510,171600,831,24,430
Chhattisgarh,Mahasamund,306,394576,1500,416,0,1094,2125,165612,1.43,20,1400,268894,291223,1083,127503,432685,2865,33,760
Chhattisgarh,Mungeli,137,170362,970,46,0,642,1162,53380,1.41,11,779,109146,114582,1050,42024,181718,1413,17,719
Chhattisgarh,Narayanpur,10,22642,41,220,0,180,125,21652,0.0,0,190,25710,18581,723,11112,33182,127,7,39
Chhattisgarh,Raigarh,1607,628819,3869,377,0,4856,7612,444678,9.55,617,6463,540637,532728,985,226437,847060,8099,358,3382
Chhattisgarh,Rajnandgaon,870,459994,2143,1211,0,3309,3257,341990,3.37,141,4179,390650,411251,1053,147679,654305,3795,62,1605
Chhattisgarh,Sukma,57,68062,117,159,0,188,269,67324,10.2,25,245,77986,57382,736,31372,104014,278,8,107
Chhattisgarh,Surajpur,405,201072,417,1658,0,838,729,66249,12.63,157,1243,135088,132194,979,44285,223036,689,67,456
Chhattisgarh,Surguja,623,297815,823,7967,0,1363,1071,112783,13.8,274,1986,201928,208614,1033,90561,320037,1331,121,563
Chhattisgarh,Kawardha,310,183909,848,4242,0,1546,1473,110514,1.29,24,1856,148543,145837,982,54894,239529,1648,22,673
Chhattisgarh,Gaurela Pendra Marwahi ,164,86152,473,1429,0,658,540,35067,7.06,58,822,58811,62389,1061,18283,102936,777,15,236
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,466,93920,617,0,0,1522,2105,270454,11.67,232,1988,254437,109877,432,35208,329166,2550,59,173
Dadra and Nagar Haveli and Daman and Diu,Daman,247,69981,290,15,0,1112,1048,161390,1.55,21,1359,152694,78612,515,29361,202010,1161,5,176
Dadra and Nagar Haveli and Daman and Diu,Diu,51,23286,61,0,0,80,68,25798,6.87,9,131,24595,24479,995,11546,37538,59,3,70
Delhi,New Delhi,1466,475105,2042,358,222,4584,5662,396602,4.79,290,6050,516314,355261,688,281962,589745,4290,82,3413
Delhi,Central Delhi,2513,527644,2208,2373,2245,6086,1857,513661,4.55,391,8599,627907,413200,658,275712,765593,848,123,3217
Delhi,West Delhi,3197,646360,3868,55,0,6325,5904,449473,3.34,318,9522,607638,487926,803,324186,771647,3636,131,6135
Delhi,North West Delhi,3166,644357,3911,939,381,8201,6948,559809,4.95,563,11367,663778,540136,814,335171,868995,5883,146,4976
Delhi,South East Delhi,1621,459502,2016,1054,1054,5822,4523,538791,4.8,357,7443,594320,403784,679,265928,732365,3166,81,3372
Delhi,East Delhi,1898,390514,2256,1082,1069,5691,5190,387134,2.52,191,7589,432783,344680,796,193682,583966,3792,78,3653
Delhi,North Delhi,1918,379037,2466,51,0,5351,2759,410399,6.34,461,7269,459097,330134,719,192808,596628,2282,147,2943
Delhi,North East Delhi,1253,298919,1336,60,0,3063,1331,336414,2.87,124,4316,367242,267896,729,147419,487914,1105,62,1560
Delhi,Shahdara,2035,351904,1649,373,340,5579,3520,330707,4.41,336,7614,383265,299176,781,178781,503830,1743,99,3426
Delhi,South Delhi,2040,495266,2680,1985,1931,5590,5195,657948,4.59,350,7630,681265,471716,692,298692,854522,3653,89,4222
Delhi,South West Delhi,2675,605107,3674,1740,1729,6106,6774,526963,2.38,209,8781,630782,501070,794,307970,824100,4283,111,6165
Goa,North Goa,1239,327550,1955,284,145,1540,2117,318862,2.91,81,2779,352463,293894,834,137481,508931,2637,26,1435
Goa,South Goa,1470,378000,2225,2,0,1870,2404,332032,4.19,140,3340,373326,336640,902,144991,565041,3004,29,1625
Gujarat,Gandhinagar,21,371385,1926,0,0,32,3796,284431,13.21,7,53,353053,302681,857,139741,516075,4329,1,1393
Gujarat,Ahmedabad,21,560217,3768,0,0,96,5062,356753,11.11,13,117,521543,395299,758,151644,765326,6480,3,2350
Gujarat,Vadodara,52,529562,2992,1,1,124,4551,387265,13.64,24,176,501328,415360,829,189669,727158,4972,3,2570
Gujarat,Kheda,0,607231,3228,0,0,0,5032,371753,0.0,0,0,535054,443810,829,228030,750954,5969,0,2290
Gujarat,Surendranagar,0,392849,2932,0,0,0,4870,339266,0.0,0,0,385948,346037,897,124157,607958,6811,0,990
Gujarat,Aravalli,0,402047,2132,0,0,0,2492,180878,0.0,0,0,300674,282141,938,162766,420159,3061,0,1562
Gujarat,Banaskantha,0,972267,6096,1,0,0,9271,396734,0.0,0,0,757331,611405,807,357998,1011003,10588,0,4779
Gujarat,Mehsana,0,737527,3933,0,0,0,4499,459194,0.0,0,0,625125,571445,914,317147,879574,4531,1,3900
Gujarat,Patan,10,375793,2761,0,0,36,4570,279746,8.7,4,46,341219,314230,921,160083,495456,5270,2,2060
Gujarat,Sabarkantha,0,490781,2821,0,0,0,3422,266945,0.0,0,0,398673,358917,900,184468,573258,4509,0,1734
Gujarat,Dang,0,46782,217,0,0,0,387,32720,0.0,0,0,42632,36865,865,16117,63385,472,0,131
Gujarat,Navsari,0,481454,2497,0,0,11,3095,277605,81.82,9,11,382151,376825,986,210233,548826,3025,1,2566
Gujarat,Surat,26,424167,2631,0,0,79,5465,409633,14.29,15,105,459034,374670,816,176982,656818,5855,6,2241
Gujarat,Tapi,0,266284,1814,0,0,0,1992,159217,0.0,0,0,223932,201532,900,95411,330090,2351,0,1454
Gujarat,Valsad,38,505425,3819,0,0,474,5538,379817,1.56,8,512,499653,385438,771,241553,643689,6165,4,3192
Gujarat,Devbhumi Dwaraka,0,243219,2044,0,0,0,2867,214124,0.0,0,0,248615,208664,839,124523,332820,3147,0,1763
Gujarat,Jamnagar,82,305510,2145,0,0,1250,4408,226394,0.6,8,1332,293415,238427,813,124573,407331,4313,2,2239
Gujarat,Kutch,96,513275,4154,9,8,425,7252,519721,3.65,19,521,584659,448196,767,240983,792013,7918,8,3487
Gujarat,Morbi,25,248368,1742,0,0,46,3164,198628,12.68,9,71,239264,207674,868,94537,352459,3884,2,1021
Gujarat,Porbandar,0,242547,1106,0,0,0,2159,146428,0.0,0,0,201462,187456,930,119245,269730,1808,0,1456
Gujarat,Rajkot,0,517244,3299,0,0,0,4985,369451,0.0,0,0,466175,420392,902,201852,684843,6297,0,1986
Gujarat,Amreli,134,460482,3586,0,0,316,4828,233908,4.44,20,450,353317,340989,965,194329,500061,5269,3,3144
Gujarat,Bhavnagar,0,439861,3808,17,0,0,5569,329470,0.0,0,0,407479,361751,888,173459,595872,6930,2,2446
Gujarat,Botad,0,152169,1721,0,0,0,3234,164370,0.0,0,0,164193,152310,928,56865,259674,4047,0,908
Gujarat,Gir Somnath,0,317793,2201,0,0,0,4762,252104,0.0,0,0,310690,259032,834,119851,450046,5483,0,1481
Gujarat,Junagadh,0,403156,2754,0,0,0,3688,215481,0.0,0,0,316401,302151,955,173353,445284,4687,1,1755
Gujarat,Anand,0,681349,3154,0,0,0,4022,351490,0.0,0,0,542994,489700,902,255803,777036,4512,2,2663
Gujarat,Bharuch,87,480549,2359,0,0,682,4841,432059,1.43,11,769,522744,389706,746,197538,715070,4826,6,2373
Gujarat,Chhotaudepur,35,321079,2882,0,0,5,2536,188877,0.0,0,40,275025,234841,854,128892,381064,2733,5,2685
Gujarat,Dahod,0,638922,4278,0,0,0,3555,249127,0.0,0,0,453578,434327,958,312240,575809,4048,0,3784
Gujarat,Mahisagar,0,408808,3042,1,0,0,1473,170032,0.0,0,0,301620,277104,919,171051,407789,1628,2,2886
Gujarat,Narmada,7,216531,1558,0,0,58,1737,124767,7.69,5,65,179938,161309,896,85960,255338,1686,1,1609
Gujarat,Panchmahal,0,491292,2999,0,0,0,3730,274648,0.0,0,0,411495,354318,861,189948,575992,4809,0,1920
Haryana,Kurukshetra,1208,247538,2851,0,0,2303,3527,162779,2.25,79,3511,215008,195257,908,90210,320107,4168,17,2209
Haryana,Panchkula,1328,219518,1512,339,224,3376,3373,198661,2.68,126,4704,222333,195757,880,108036,310143,3381,31,1503
Haryana,Gurgaon,3093,765604,3704,677,677,11893,13640,1124881,2.76,414,14986,1145460,744652,650,442398,1448087,10167,100,7176
Haryana,Jhajjar,1191,239956,2260,92,0,2915,4084,209094,2.53,104,4106,248061,200917,810,92683,356367,4519,35,1825
Haryana,Kaithal,1270,195430,2049,22,0,2484,3405,176484,4.95,186,3754,193488,178387,922,65821,306093,4004,43,1449
Haryana,Hisar,666,290921,2815,0,0,1010,4224,253253,3.82,64,1676,294950,249136,845,97174,447000,4932,88,2106
Haryana,Rohtak,749,246695,2442,0,0,2088,3811,209669,5.04,143,2837,248370,207917,837,99699,356665,3957,27,2296
Haryana,Ambala,2408,456510,3371,181,0,4964,5498,384600,2.69,198,7372,442933,397984,899,231561,609549,5594,49,3275
Haryana,Sirsa,1092,303784,2471,0,0,2708,3975,197926,5.53,210,3800,263954,237664,900,104622,397088,4430,51,2016
Haryana,Panipat,431,225881,1992,614,0,1182,3891,199780,1.05,17,1613,242431,183136,755,92092,333569,3599,13,2284
Haryana,Fatehabad,765,191116,2409,0,0,1574,3542,173434,3.04,71,2339,191666,172844,902,68235,296315,4251,14,1700
Haryana,Yamunanagar,978,298127,2574,0,0,1790,3845,215409,2.24,62,2768,275072,238376,867,111763,401773,3870,16,2549
Haryana,Sonipat,1614,379938,3214,159,0,4221,6226,322416,3.0,175,5835,386775,315463,816,165923,536431,6001,43,3438
Haryana,Faridabad,2022,610273,4288,1412,1412,5609,8929,623974,2.35,179,7631,718824,515160,717,265630,968617,8685,40,4533
Haryana,Bhiwani,1422,256908,2623,3,0,3292,4399,211213,1.82,86,4714,246977,221064,895,87749,380372,5085,20,1936
Haryana,Charkhi Dadri,1705,190578,2047,0,0,4152,2931,170797,2.61,153,5857,184725,176586,956,73034,288341,3304,36,1673
Haryana,Rewari,1209,255922,2285,477,0,1473,3838,192627,4.03,108,2682,255047,193420,758,107423,341126,3622,26,2500
Haryana,Karnal,1973,383031,3196,40,0,3509,5503,298475,2.7,148,5482,360847,320553,888,167432,514074,4639,43,4060
Haryana,Jind,1117,213423,2410,0,0,2419,3460,160905,4.64,164,3536,196475,177790,905,65913,308415,4008,35,1862
Haryana,Nuh,372,64892,703,14,0,1717,1385,95404,3.4,71,2089,102914,57341,557,20448,139848,1587,22,501
Haryana,Mahendragarh,1640,245814,2210,0,0,1998,2686,177281,3.08,112,3638,224215,198794,887,89697,333398,2720,27,2175
Haryana,Palwal,1059,211425,1417,0,0,3329,2690,179491,2.55,112,4388,219385,171444,781,64283,326633,3128,29,978
Himachal Pradesh,Shimla,1845,404637,2304,2,0,3028,2992,256944,3.84,187,4873,340608,320847,942,170357,491224,3651,56,1644
Himachal Pradesh,Solan,1654,252572,1751,245,198,4341,3255,229132,2.92,175,5995,280007,201633,720,97259,384445,3735,47,1270
Himachal Pradesh,Lahaul Spiti,42,16906,54,0,0,21,52,13846,11.11,7,63,16518,14228,861,8292,22460,76,1,29
Himachal Pradesh,Kullu,874,189517,703,0,0,1683,1238,125225,5.2,133,2557,156949,157748,1005,77170,237572,1421,24,519
Himachal Pradesh,Sirmaur,1115,169593,975,6,0,2788,1957,139265,3.77,147,3903,162897,145922,896,62764,246094,2388,32,543
Himachal Pradesh,Kangra,6652,741289,6554,2,0,9181,7876,443657,2.19,347,15833,553892,630769,1139,281757,903189,9881,102,4549
Himachal Pradesh,Chamba,1064,192308,839,8,0,2276,1502,120529,4.19,140,3340,152853,159915,1046,66368,246469,1787,47,553
