state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,99,57389,131,8,0,50,842,34224,20.81,31,149,47853,43748,914,28296,63317,875,10
Andaman & Nicobar,South Andaman,411,114885,744,0,0,723,916,66576,9.35,106,1134,97614,83823,859,55914,125547,1185,21
Andaman & Nicobar,Nicobar,7,16686,96,1,0,32,93,12966,28.21,11,39,15987,13663,855,7938,21714,154,2
Andhra Pradesh,Krishna,9245,1446962,12137,1548,1548,5747,5424,635335,8.12,1218,14992,975430,1106542,1134,511594,1570703,12136,326
Andhra Pradesh,Guntur,24979,1455419,13589,1001,1000,18328,9343,627978,1.76,763,43307,972903,1110243,1141,503150,1580247,15697,166
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",11102,1044879,8819,51,0,8189,4865,325087,2.53,489,19291,617069,752672,1220,369758,1000208,7122,140
Andhra Pradesh,Kurnool,19618,1087934,13139,406,368,9839,5842,435828,2.12,626,29474,652751,870829,1334,417172,1106590,9534,150
Andhra Pradesh,Visakhapatnam,15653,1275367,6760,3713,2854,12744,6906,839027,2.19,623,28397,1031356,1082763,1050,506978,1607416,7502,155
Andhra Pradesh,Anantapur,29106,1271620,10407,38,38,15801,4753,420567,1.19,533,44907,768087,923347,1202,490526,1201661,8265,123
Andhra Pradesh,Chittoor,40293,1352918,18466,345,345,30064,9839,582638,0.97,686,70644,883867,1051423,1190,588464,1347092,9294,154
Andhra Pradesh,East Godavari,66512,1598054,15291,1362,0,4070,3107,673715,1.19,838,70582,1020160,1251337,1227,512797,1758972,11343,223
Andhra Pradesh,Prakasam,10298,1132545,11771,146,146,7901,6220,430427,2.81,512,18228,715626,847143,1184,438720,1124252,7135,146
Andhra Pradesh,Sri Potti Sriramulu Nellore,2415,1140294,9196,119,99,3633,6357,415768,2.51,152,6048,723604,832141,1150,489645,1066417,9147,47
Andhra Pradesh,Srikakulam,24462,986672,9753,2,0,6570,3594,289482,1.67,518,31032,551360,724678,1314,309754,966400,9010,113
Andhra Pradesh,Vizianagaram,3032,686674,3603,41,0,5129,3986,292976,3.91,319,8161,434550,544968,1254,198357,781293,5640,94
Andhra Pradesh,West Godavari,12145,1333974,11820,0,0,13308,5786,516793,2.9,737,25453,797599,1052929,1320,394318,1456449,7301,266
Arunachal Pradesh,Itanagar Capital Complex,61,36657,145,0,0,240,473,80305,6.31,19,301,66920,50030,748,24926,92036,278,6
Arunachal Pradesh,Lower Siang,48,8314,107,0,0,133,54,9785,4.97,9,181,9731,8367,860,3943,14156,61,2
Arunachal Pradesh,Pakke Kessang,79,5516,22,0,0,108,50,4372,12.3,23,187,5218,4666,894,2745,7143,50,3
Arunachal Pradesh,Changlang,204,35580,215,150,0,425,296,52192,4.93,31,629,49839,37923,761,14732,73040,326,10
Arunachal Pradesh,Kurung Kumey,28,5040,19,0,0,80,55,5799,11.11,12,108,5231,5505,1052,2713,8126,56,4
Arunachal Pradesh,Anjaw,18,5094,26,0,0,48,32,7729,21.21,14,66,7035,5787,823,2184,10639,31,3
Arunachal Pradesh,East Kameng,43,13194,47,0,0,44,40,11486,14.94,13,87,13040,11638,892,5030,19650,37,3
Arunachal Pradesh,Kamle,17,3094,26,0,0,33,26,3787,0.0,0,50,3974,2907,732,1178,5703,36,2
