state,district,slots,today,Total doses til date,avgdaily
Andaman and Nicobar Islands,North and Middle Andaman,0,0,28645,12
Andaman and Nicobar Islands,South Andaman,0,20,54491,56
Andaman and Nicobar Islands,Nicobar,143,0,7634,1
Andhra Pradesh,Krishna,0,36465,527372,17506
Andhra Pradesh,Guntur,0,13759,423425,3255
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",41,31152,351140,4191
Andhra Pradesh,Kurnool,0,12244,352350,1971
Andhra Pradesh,Visakhapatnam,0,18113,435759,5138
Andhra Pradesh,Anantapur,49,25265,415983,4335
Andhra Pradesh,Chittoor,0,8224,449586,2181
Andhra Pradesh,East Godavari,0,35782,449307,8992
Andhra Pradesh,Prakasam,490,13853,384489,9204
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,20478,355956,3752
Andhra Pradesh,Srikakulam,0,999,271771,615
Andhra Pradesh,Vizianagaram,0,3849,230608,661
Andhra Pradesh,West Godavari,0,21538,371581,5349
Arunachal Pradesh,Itanagar Capital Complex,0,8,16931,37
Arunachal Pradesh,Lower Siang,9,43,3880,13
Arunachal Pradesh,Pakke Kessang,40,16,2888,11
Arunachal Pradesh,Changlang,197,19,15143,82
Arunachal Pradesh,Kurung Kumey,0,0,2386,22
Arunachal Pradesh,Anjaw,0,0,2040,5
Arunachal Pradesh,East Kameng,0,9,5728,12
Arunachal Pradesh,Kamle,0,0,1508,10
Arunachal Pradesh,Dibang Valley,0,0,735,6
Arunachal Pradesh,Tirap,0,73,3736,39
Arunachal Pradesh,Kra Daadi,0,1,1391,30
Arunachal Pradesh,West Kameng,0,0,11989,11
Arunachal Pradesh,Lohit,0,19,5497,19
Arunachal Pradesh,Tawang,15,8,7091,9
Arunachal Pradesh,Lower Dibang Valley,140,3,6555,5
Arunachal Pradesh,Lower Subansiri,0,37,6666,41
Arunachal Pradesh,Lepa Rada,0,0,3753,5
Arunachal Pradesh,Upper Siang,0,0,5555,7
Arunachal Pradesh,Shi Yomi,0,0,1918,9
Arunachal Pradesh,Namsai,0,0,13007,35
Arunachal Pradesh,Siang,19,51,4098,19
Arunachal Pradesh,West Siang,0,3,10070,12
Arunachal Pradesh,Papum Pare,0,1,6851,31
Arunachal Pradesh,Longding,0,0,2083,4
Arunachal Pradesh,Upper Subansiri,0,20,8002,54
Arunachal Pradesh,East Siang,0,17,13527,34
Assam,Dibrugarh,0,541,123399,949
Assam,Sivasagar,0,329,65824,558
Assam,Tinsukia,0,1,78294,854
Assam,Baksa,0,334,45858,461
Assam,Barpeta,0,1249,122984,994
Assam,Darrang,0,926,64178,709
Assam,Kamrup Metropolitan,0,2317,228468,2032
Assam,Kamrup Rural,156,2269,157258,1428
Assam,Karbi-Anglong,0,218,35475,171
Assam,Nalbari,0,208,51800,488
Assam,Golaghat,0,277,75383,740
Assam,Jorhat,5,611,85524,625
