state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,560,53062,1527,144,0,442,743,22604,5.79,58,1002,39510,36147,915,24295,51371,859,10
Andaman & Nicobar,South Andaman,1705,97564,2667,0,0,623,609,52922,3.95,92,2328,81783,68686,840,41223,109263,1060,21
Andaman & Nicobar,Nicobar,175,14767,306,2,0,607,207,10092,2.3,18,782,13244,11614,877,6727,18132,293,3
Andhra Pradesh,Krishna,2932,1216548,7604,2479,2479,3631,5087,489564,8.79,577,6563,795640,910220,1144,393005,1313107,5224,161
Andhra Pradesh,Guntur,3141,1209059,13779,561,561,3012,8504,474297,4.66,287,6153,791361,891812,1127,347268,1336088,15793,72
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2610,915452,9245,44,0,2240,3628,251557,6.6,320,4850,521343,645479,1238,269605,897404,7871,87
Andhra Pradesh,Kurnool,12083,889584,11205,63,60,10343,6373,321483,2.25,504,22426,515498,695424,1349,262170,948897,10571,125
Andhra Pradesh,Visakhapatnam,2403,1110505,7673,3315,3310,3095,6109,652797,6.04,332,5498,867672,895409,1032,344063,1419239,9501,79
Andhra Pradesh,Anantapur,4853,1033160,15004,72,72,3383,5907,312483,3.33,274,8236,605720,739309,1221,308771,1036872,13137,84
Andhra Pradesh,Chittoor,920,1084747,8429,874,874,2244,5039,400854,3.67,116,3164,677078,808317,1194,322372,1163229,9429,52
Andhra Pradesh,East Godavari,6753,1249359,15077,92,20,5621,6926,537404,2.8,346,12374,797105,989453,1241,372871,1413892,12661,96
Andhra Pradesh,Prakasam,1166,962288,6871,0,0,3530,6015,289370,2.64,124,4696,570191,681304,1195,261483,990175,9774,42
Andhra Pradesh,Sri Potti Sriramulu Nellore,2200,964097,14304,0,0,1270,4568,302697,3.46,120,3470,585489,681053,1163,351218,915576,9443,26
Andhra Pradesh,Srikakulam,924,844340,8678,6,0,2586,1899,233318,5.7,200,3510,464435,613125,1320,220752,856906,6948,49
Andhra Pradesh,Vizianagaram,1622,629577,5067,25,0,1752,2753,237233,5.81,196,3374,381887,484815,1270,160250,706560,4627,64
