state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,0,28755,3,0,0,0,186,5904,0.0,0,0,18336,16322,890,3292
Andaman & Nicobar,South Andaman,0,78,55863,56,0,0,353,368,20762,4.41,19,431,41538,35083,845,10307
Andaman & Nicobar,Nicobar,0,0,7670,1,0,0,418,170,2242,2.87,12,418,5318,4594,864,1907
Andhra Pradesh,Krishna,0,149,736497,4408,40,40,1104,3668,208890,3.75,47,1253,469364,476138,1014,259128
Andhra Pradesh,Guntur,0,1359,695289,4988,0,0,1882,3314,193793,2.13,69,3241,447068,442111,989,236152
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,42,546441,2810,0,0,155,3448,83840,6.6,13,197,300659,329586,1096,183608
Andhra Pradesh,Kurnool,0,25,530733,1463,0,0,126,2555,128451,5.96,9,151,297956,361229,1212,179673
Andhra Pradesh,Visakhapatnam,955,630,673726,3658,727,727,3915,8317,333938,2.53,115,4545,517563,490354,947,236505
Andhra Pradesh,Anantapur,0,27,601713,1935,0,0,67,1739,103521,6.38,6,94,346339,358668,1036,203316
Andhra Pradesh,Chittoor,33,38,670669,2048,52,52,367,2628,158362,6.17,25,405,392102,436974,1114,237969
Andhra Pradesh,East Godavari,0,123,749046,1714,0,0,597,6949,215910,2.78,20,720,473685,491315,1037,255344
Andhra Pradesh,Prakasam,0,0,554264,147,0,0,11,3381,112386,81.82,9,11,320598,346010,1079,195721
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,151,538700,1527,0,0,2912,2638,120324,0.56,17,3063,318399,340647,1070,202960
Andhra Pradesh,Srikakulam,0,0,502041,4557,0,0,0,3424,99776,0.0,0,0,270474,331332,1225,132244
Andhra Pradesh,Vizianagaram,0,0,391997,2763,0,0,0,3089,104539,0.0,0,0,223072,273448,1226,111881
Andhra Pradesh,West Godavari,0,73,664682,3665,0,0,457,3993,129517,1.89,10,530,365824,428448,1171,217765
Arunachal Pradesh,Itanagar Capital Complex,0,86,19439,83,0,0,1245,1111,45279,2.18,29,1331,36652,28066,766,7706
Arunachal Pradesh,Lower Siang,0,18,4075,16,0,0,166,147,3278,8.7,16,184,3916,3437,878,1107
Arunachal Pradesh,Pakke Kessang,0,2,3097,12,0,0,9,29,1724,81.82,9,11,2512,2306,918,1415
Arunachal Pradesh,Changlang,40,117,20384,429,0,0,416,2560,29778,3.19,17,533,28142,22023,783,4683
Arunachal Pradesh,Kurung Kumey,0,0,2480,0,0,0,11,11,2325,81.82,9,11,2276,2467,1084,1949
Arunachal Pradesh,Anjaw,0,64,3302,51,0,0,10,44,2587,21.62,16,74,3161,2734,865,1327
Arunachal Pradesh,East Kameng,0,2,8302,116,0,0,30,61,4054,25.0,8,32,6331,6023,951,1880
Arunachal Pradesh,Kamle,0,0,1608,4,0,0,28,24,1077,7.14,2,28,1527,1159,759,537
Arunachal Pradesh,Dibang Valley,0,0,946,2,0,0,4,41,1380,150.0,6,4,1359,967,712,889
Arunachal Pradesh,Tirap,0,64,6626,173,0,0,245,284,6862,3.56,11,309,7883,5606,711,2636
Arunachal Pradesh,Kra Daadi,0,0,1748,26,0,0,0,19,1700,0.0,0,0,1797,1653,920,731
Arunachal Pradesh,West Kameng,0,38,13330,62,0,0,378,247,11387,5.77,24,416,13859,10860,784,6838
Arunachal Pradesh,Lohit,0,60,6580,90,0,0,322,153,5934,2.09,8,382,7207,5306,736,2047
Arunachal Pradesh,Tawang,0,6,7801,8,0,0,606,412,10268,2.94,18,612,9528,8534,896,4291
Arunachal Pradesh,Lower Dibang Valley,0,150,7387,69,0,0,1134,436,8501,2.02,26,1284,8470,7420,876,2592
Arunachal Pradesh,Lower Subansiri,0,26,7300,38,0,0,211,212,7014,1.27,3,237,7281,7034,966,4071
Arunachal Pradesh,Lepa Rada,0,20,4000,12,0,0,0,72,2953,0.0,0,20,3719,3234,870,2530
Arunachal Pradesh,Upper Siang,0,12,6315,62,0,0,0,50,3663,66.67,8,12,5174,4806,929,2681
Arunachal Pradesh,Shi Yomi,0,20,2060,11,0,0,89,13,1064,0.92,1,109,1548,1576,1018,1436
Arunachal Pradesh,Namsai,0,15,16065,67,83,0,823,572,9888,2.63,22,838,14058,11899,846,4554
Arunachal Pradesh,Siang,10,43,4270,4,0,0,108,65,1985,12.58,19,151,3161,3093,978,1601
Arunachal Pradesh,West Siang,0,70,10613,53,0,0,674,475,9093,4.84,36,744,10344,9361,905,4203
Arunachal Pradesh,Papum Pare,0,32,8005,32,0,0,278,276,11079,3.23,10,310,11589,7496,647,4537
Arunachal Pradesh,Longding,0,7,4693,158,0,0,87,74,4099,17.02,16,94,5598,3197,571,1720
Arunachal Pradesh,Upper Subansiri,0,7,9746,48,0,0,23,62,4799,0.0,0,30,7510,7034,937,3149
Arunachal Pradesh,East Siang,0,48,14272,15,0,0,647,483,12076,6.47,45,695,13523,12821,948,8510
Assam,Dibrugarh,0,1932,146956,1133,0,0,7328,3340,108808,2.38,220,9260,136503,119242,874,46390
Assam,Sivasagar,0,434,76596,641,0,0,2509,808,27086,1.94,57,2943,56503,47173,835,27356
Assam,Tinsukia,0,1859,110152,1431,0,0,5708,1647,67417,2.68,203,7567,95740,81806,854,28270
Assam,Baksa,0,478,53076,361,0,0,930,532,22978,10.8,152,1408,40959,35089,857,17588
Assam,Barpeta,0,737,136169,530,0,0,872,668,39688,9.38,151,1609,91951,83893,912,97631
Assam,Darrang,0,386,75658,468,0,0,2548,978,35425,3.61,106,2934,61310,49758,812,27023
Assam,Kamrup Metropolitan,172,3546,272042,2304,1419,46,13199,10913,354284,2.78,465,16745,350882,275612,785,118382
Assam,Kamrup Rural,12,840,199482,1008,21,21,1864,755,64432,5.4,146,2704,140903,122977,873,56613
Assam,Karbi-Anglong,0,421,40921,199,0,0,824,584,23384,7.63,95,1245,36002,28303,786,16349
Assam,Nalbari,0,81,64293,640,0,0,485,356,24057,9.54,54,566,49127,39209,798,18827
