state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people
Telangana,Nalgonda,0,2254,153269,4895,0,0,5285,4501,86509,2.4,181,7539,123376,116376,943,32746,207032,4718
Telangana,Nirmal,0,290,142024,3082,0,0,1119,1251,24390,5.75,81,1409,81056,85325,1053,23902,142513,919
Telangana,Nizamabad,0,1306,176279,4657,0,0,4652,4254,90241,2.72,162,5958,137604,128881,937,36446,230074,3705
Telangana,Peddapalli,0,1700,131428,3749,0,0,5777,3739,80706,2.05,153,7477,112144,99967,891,23831,188303,4084
Telangana,Rajanna Sircilla,0,242,114663,1781,0,0,1653,1408,30908,2.9,55,1895,69717,75809,1087,13432,132139,1271
Telangana,Rangareddy,537,8569,563119,21666,450,450,22223,24861,719139,1.91,588,30792,706377,575677,815,147543,1134717,25449
Telangana,Sangareddy,0,1029,172730,5373,0,0,4208,4833,120041,2.92,153,5237,153691,139043,905,40157,252616,4470
Telangana,Siddipet,0,777,230700,4881,0,0,2330,2428,59337,3.96,123,3107,134747,155230,1152,39189,250848,1711
Telangana,Suryapet,0,1599,158239,5067,0,0,3175,2377,48417,3.06,146,4774,102042,104563,1025,34947,171772,2460
Telangana,Vikarabad,0,663,70508,1954,0,0,2389,1480,32408,4.19,128,3052,53689,49210,917,16167,86749,1124
Telangana,Wanaparthy,0,385,60167,1625,0,0,1173,1051,22713,3.98,62,1558,41805,41061,982,12667,70213,866
Telangana,Warangal(Rural),0,885,66970,1898,0,0,1968,1456,29866,4.1,117,2853,49239,47568,966,12917,83922,1509
Telangana,Warangal(Urban),17,2839,251237,9692,10,10,6527,6518,178840,2.28,214,9366,221127,208870,945,66132,363945,6762
Telangana,Yadadri Bhuvanagiri,0,985,217309,6941,0,0,2647,2229,44101,3.25,118,3632,123068,138269,1124,49585,211874,2093
Telangana,Mulugu,0,174,64612,1632,0,0,1430,908,11988,3.49,56,1604,37342,39245,1051,12961,63659,691
Telangana,Narayanpet,0,159,37403,1073,0,0,832,675,13694,5.95,59,991,26255,24830,946,8753,42356,500
Tripura,Dhalai,3889,740,131267,5755,10354,0,2653,9598,96389,13.92,473,3397,122397,105225,860,47163,180609,8632
Tripura,Gomati,3674,432,163823,8366,1842,0,2132,8347,86808,3.74,96,2564,128729,121873,947,57383,193278,8519
Tripura,Khowai,50,221,95020,4014,205,0,3111,6423,57851,5.64,188,3332,78624,74227,944,32306,120565,5822
Tripura,North Tripura,0,1601,178150,10493,99,0,5963,11125,130554,6.56,496,7564,158033,150632,953,74491,234213,10976
Tripura,Sepahijala,214,214,185537,8989,3,0,1190,10386,114358,1.85,26,1404,155570,144272,927,66153,233742,9925
Tripura,South Tripura,0,128,229634,11302,599,0,1211,9927,111011,3.81,51,1339,174191,166408,955,84726,255930,9127
Tripura,Unakoti,0,1,87213,3544,0,0,515,6740,55872,0.78,4,516,73128,69941,956,27229,115856,6394
Tripura,West Tripura,814,2157,441303,21531,838,0,6317,20508,263526,1.6,136,8474,360272,344450,956,177083,527791,16748
Uttar Pradesh,Agra,6436,5322,416994,15551,269,49,11066,14641,370821,5.08,832,16388,467218,320405,686,101688,686191,15674
Uttar Pradesh,Aligarh,85,4716,266937,10638,1,0,7622,7801,248968,2.37,292,12338,304984,210786,691,78245,437660,7261
Uttar Pradesh,Prayagraj,174,6815,433757,15856,0,0,11348,14941,392693,3.4,617,18163,499049,327157,656,128481,698218,12479
Uttar Pradesh,Ambedkar Nagar,1337,4227,196024,8202,0,0,6086,6761,90328,2.01,207,10313,163511,122779,751,41705,245002,9055
Uttar Pradesh,Amethi,5122,2115,194064,6270,2275,0,3255,3494,58547,2.24,120,5350,140909,111653,792,42882,209865,3658
Uttar Pradesh,Amroha,1164,2515,159383,5377,0,0,4809,4750,66617,2.68,196,7324,129012,96935,751,32781,193264,5450
Uttar Pradesh,Auraiya,0,2248,112840,4575,0,0,2314,2107,42167,6.53,298,4562,91703,63274,690,27182,127825,2799
Uttar Pradesh,Azamgarh,4742,6289,333848,13212,60,0,12048,12287,242036,2.63,483,18337,335032,240682,718,67787,509085,15956
Uttar Pradesh,Badaun,1381,2255,237963,6541,246,0,3433,3937,68022,4.61,262,5688,169323,136606,807,48004,258004,3624
Uttar Pradesh,Baghpat,1914,2148,254547,6280,995,0,6486,5823,72564,1.58,136,8634,175350,151684,865,36982,290331,6848
Uttar Pradesh,Bahraich,5218,7230,434189,15919,1249,0,7357,9052,118284,2.29,334,14586,306716,245681,801,75588,478309,14376
Uttar Pradesh,Balarampur,5547,5380,288542,10089,631,0,4508,3966,58112,3.05,302,9888,196040,150565,768,61424,286528,5465
Uttar Pradesh,Ballia,38,2085,232905,8485,1,0,3865,4745,74994,2.18,130,5950,177671,130100,732,55731,252764,5353
Uttar Pradesh,Banda,1823,2884,129443,4488,661,0,4797,4185,96602,3.37,259,7681,135959,90021,662,24475,201797,5209
Uttar Pradesh,Barabanki,853,5108,321668,10254,7,0,11417,10479,128109,2.21,365,16525,254796,194895,765,55938,394643,12856
Uttar Pradesh,Bareilly,3204,5630,390190,13206,2941,21,10472,12860,343579,3.96,638,16102,424605,308947,728,112054,621868,10080
