state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people
Uttar Pradesh,Basti,398,2952,270030,8609,2,0,5329,6205,133786,4.7,389,8281,235536,168186,714,43261,360723,8658
Uttar Pradesh,Bijnour,2133,7214,375491,14045,0,0,11708,11121,131540,1.94,368,18922,273464,233487,854,72393,434638,14824
Uttar Pradesh,Bulandshahr,797,7348,480549,16529,0,0,14442,10915,143236,1.7,370,21790,335257,288425,860,84866,539038,15337
Uttar Pradesh,Chandauli,4579,1641,158111,4917,94,0,3480,4300,66204,5.28,269,5091,128461,95806,746,31338,193250,4779
Uttar Pradesh,Chitrakoot,1190,1193,70465,2273,1126,0,2490,2386,41712,6.25,227,3633,66087,46066,697,11606,100818,3036
Uttar Pradesh,Deoria,839,3343,277203,9979,0,0,7102,8275,101670,2.44,255,10445,216490,162292,750,58689,320553,9923
Uttar Pradesh,Etah,439,2259,119631,3999,308,0,3674,3537,54521,3.99,237,5933,102631,71485,697,22976,151281,4269
Uttar Pradesh,Etawah,171,2174,148698,5087,120,0,4147,3357,57622,2.83,179,6321,120432,85845,713,34761,172027,3546
Uttar Pradesh,Ayodhya,82,3248,182388,7894,128,0,7632,8628,177641,3.86,420,10880,212014,147879,697,50146,310088,9387
Uttar Pradesh,Farrukhabad,3211,1535,165718,6969,712,0,3946,4292,62747,1.62,89,5481,133893,94510,706,41345,187358,5389
Uttar Pradesh,Fatehpur,954,3297,199067,7497,359,0,5431,5869,75112,2.89,252,8728,156909,117229,747,47398,227360,6678
Uttar Pradesh,Firozabad,2844,2471,179212,5931,1251,0,3885,4935,125018,3.52,224,6356,177479,126670,714,40016,264493,5189
Uttar Pradesh,Gautam Buddha Nagar,2519,5291,467388,16600,4590,4560,19942,21862,655173,1.89,477,25233,695224,427027,614,127284,995391,20295
Uttar Pradesh,Ghaziabad,621,6924,493880,17318,1579,1272,22839,21418,476950,1.74,517,29763,556962,413647,743,126868,843967,20613
Uttar Pradesh,Ghazipur,2328,3459,320937,10128,182,0,8633,10813,131897,3.87,468,12092,254526,198205,779,58360,394857,12658
Uttar Pradesh,Gonda,3068,9306,430794,15227,1603,0,8219,7738,166393,1.89,331,17519,345935,251106,726,62673,535088,14094
Uttar Pradesh,Gorakhpur,2026,8550,445511,17158,1087,535,20756,20759,400393,2.1,614,29306,489325,356341,728,116235,729921,21348
Uttar Pradesh,Hamirpur,376,2058,134596,3919,331,0,3197,3169,49676,4.28,225,5255,102231,82019,802,20921,163361,4101
Uttar Pradesh,Hapur,352,2423,153974,4814,190,189,5395,4731,66663,5.01,392,7818,123569,97032,785,29469,191189,5338
Uttar Pradesh,Hardoi,7666,4880,264689,11077,807,0,8644,9623,117731,3.37,456,13524,220280,162068,736,53330,329684,13166
Uttar Pradesh,Hathras,3701,2355,159229,5124,3591,0,5603,3959,57790,2.66,212,7958,120544,96446,800,31240,186035,4657
Uttar Pradesh,Jalaun,597,4715,204130,6400,5,0,3903,4018,58748,2.11,182,8618,148582,114240,769,25427,237588,6805
Uttar Pradesh,Jaunpur,1652,6190,406161,16879,0,0,8217,10123,121318,3.98,573,14407,291136,236227,811,86927,440767,14614
Uttar Pradesh,Jhansi,928,3953,176746,7456,1641,0,6170,6634,180562,4.12,417,10123,209618,147572,704,50581,306791,6873
Uttar Pradesh,Kannauj,11756,2542,130683,4946,18478,0,5971,5271,68947,2.31,197,8513,117335,82224,701,22437,177758,7092
Uttar Pradesh,Kanpur Dehat,1268,1669,173373,5919,0,0,2053,3025,48043,4.78,178,3722,131072,90284,689,32337,189155,4335
Uttar Pradesh,Kanpur Nagar,191,5878,474957,16017,0,0,12066,14595,383797,2.88,516,17944,496656,361897,729,124957,733821,12764
Uttar Pradesh,Kasganj,2111,1886,93451,3538,1116,0,3856,3786,50126,3.97,228,5742,81681,61871,757,21737,121858,4221
Uttar Pradesh,Kaushambi,0,2393,110537,3861,0,0,3954,3629,51916,3.04,193,6347,96041,66393,691,24050,138580,4080
Uttar Pradesh,Kushinagar,1072,2499,267133,9141,353,0,8183,7758,103994,2.16,230,10660,221000,150042,679,60598,311086,8322
Uttar Pradesh,Lakhimpur Kheri,6937,5049,280939,9471,314,0,7030,8049,106678,2.54,305,12015,225646,161676,717,50315,337940,10423
Uttar Pradesh,Lalitpur,2033,2310,101194,3571,1267,0,4090,3618,51681,3.28,210,6400,86576,66264,765,17247,135878,4761
Uttar Pradesh,Lucknow,929,9496,690397,27935,822,683,18622,25914,664600,2.6,732,28118,788004,566605,719,251024,1103999,17992
Uttar Pradesh,Maharajganj,411,2834,190847,6231,42,0,7865,7488,102335,3,321,10699,170748,122385,717,42085,251371,7746
Uttar Pradesh,Mahoba,2671,1403,120379,3165,2754,0,3091,2495,47952,5.92,266,4494,93941,74355,792,19482,148877,2880
Uttar Pradesh,Mainpuri,80,2018,134539,4503,240,0,3905,3469,53812,4.51,267,5923,108210,80104,740,28607,159831,3898
Uttar Pradesh,Mathura,2737,3913,297058,10093,1107,0,9416,8987,196266,3.39,448,13202,288065,205144,712,65278,429007,9892
Uttar Pradesh,Mau,1035,2241,153891,6153,5,0,5759,6576,91254,2.75,220,8000,144223,100859,699,40749,204396,6907
Uttar Pradesh,Meerut,2698,8439,570018,17392,351,0,14802,16309,344810,2.32,539,23241,506902,407683,804,133995,780879,14565
Uttar Pradesh,Mirzapur,3586,5235,255075,8977,2740,0,11034,9540,179330,2.34,381,16269,246579,187694,761,51633,383109,11189
Uttar Pradesh,Moradabad,42,3709,236427,8179,1,0,6277,8232,233672,2.94,294,9986,276013,193924,703,62979,407142,7417
Uttar Pradesh,Muzaffarnagar,40,5705,331292,11870,0,0,7264,8327,107834,1.7,221,12969,242810,196223,808,62864,376262,11217
Uttar Pradesh,Pilibhit,627,2217,225785,6823,485,0,4449,4583,69891,2.91,194,6666,163978,131638,803,46620,249261,4775
Uttar Pradesh,Raebareli,1155,2077,171457,5204,0,0,3287,4447,76877,4.21,226,5364,140812,107477,763,35746,212766,4570
Uttar Pradesh,Pratapgarh,6633,1588,226003,8462,188,0,3920,5400,80746,6.35,342,5388,172745,133930,775,57551,249543,5690
Uttar Pradesh,Rampur,154,1545,152896,5291,98,0,3084,4047,61489,1.97,91,4629,120429,93924,780,39734,174651,3662
Uttar Pradesh,Saharanpur,425,6981,373571,12408,236,0,12331,12808,283017,2.73,528,19312,367829,288535,784,74313,582280,14600
Uttar Pradesh,Sambhal,240,1409,125950,4240,34,0,2995,3014,53657,4.99,221,4429,101868,77718,763,29637,150000,3024
Uttar Pradesh,Sant Kabir Nagar,849,1118,114425,3526,75,0,2919,3439,56601,2.3,93,4037,98153,72531,739,26633,144411,3163
Uttar Pradesh,Bhadohi,996,2312,169837,5736,5,0,6413,5086,69628,2.23,195,8725,133711,105698,790,33657,205809,6013
Uttar Pradesh,Shahjahanpur,985,6644,259586,10156,768,0,6473,5095,133669,1.55,203,13117,231348,161801,699,53515,339795,7613
Uttar Pradesh,Shamli,81,1856,142139,4826,2,0,4559,4011,57759,2.57,165,6415,114752,85097,742,28138,171760,4816
Uttar Pradesh,Shravasti,3530,3970,132439,5200,1865,0,4350,3705,45868,3.85,320,8320,103688,74599,719,18692,160885,6416
Uttar Pradesh,Siddharthnagar,8068,4344,312742,10084,682,0,9222,9041,106410,3.05,414,13566,230544,188546,818,48863,371498,12317
Uttar Pradesh,Sitapur,312,3281,283344,8648,58,0,5885,6774,103482,5.06,464,9166,225959,160790,712,59005,328228,7051
Uttar Pradesh,Sonbhadra,70,1920,122707,4441,0,0,4250,4397,73981,1.46,90,6170,124698,71969,577,28998,167756,4705
Uttar Pradesh,Sultanpur,127,1995,238169,7987,0,0,4432,6035,84210,3.31,213,6427,177563,144761,815,54270,268248,6289
Uttar Pradesh,Unnao,86,2296,239370,7463,52,0,4183,5381,79338,4.8,311,6479,179131,139524,779,54542,264609,5115
Uttar Pradesh,Varanasi,521,6675,439584,16704,5,0,10831,15265,355550,3.28,574,17506,477277,317671,666,136259,658887,12505
Uttarakhand,Dehradun,41,3017,533044,20060,0,0,14823,17948,301227,2.58,460,17840,439749,394378,897,175212,659280,13009
Uttarakhand,Pauri Garhwal,0,624,187367,6041,328,0,2250,4052,74927,4.73,136,2874,126283,135938,1076,50091,212205,2937
Uttarakhand,Chamoli,0,314,129387,4808,9,0,5224,4398,70090,3.47,192,5538,100660,98742,981,40698,158845,3401
Uttarakhand,Rudraprayag,232,188,74243,2579,46,0,2339,2966,62918,5.66,143,2527,65226,71876,1102,21379,115832,2498
Uttarakhand,Tehri Garhwal,45,487,154753,5432,394,0,6262,5138,78510,2.24,151,6749,114375,118811,1039,43841,189449,4311
Uttarakhand,Haridwar,904,1232,376528,11982,2252,73,5925,19510,261000,1.58,113,7157,368082,269318,732,101286,536287,17028
Uttarakhand,Uttarkashi,22,173,118802,5813,238,0,2516,2963,63404,4.13,111,2689,93213,88943,954,46976,135358,2083
Uttarakhand,Almora,99,580,184881,6331,72,0,3111,3903,70110,3.49,129,3691,119261,135672,1138,50308,204742,3055
Uttarakhand,Udham Singh Nagar,1136,3834,272293,9975,970,0,18436,15583,216903,1.08,240,22270,277794,211265,761,69008,420471,15740
Uttarakhand,Pithoragarh,172,423,112779,3631,63,0,4116,4085,72829,3.33,151,4539,92591,92953,1004,30907,154701,3300
Uttarakhand,Bageshwar,292,503,89535,3683,139,0,2562,3187,57753,0.49,15,3065,70608,76624,1085,29285,118003,2686
Uttarakhand,Champawat,100,213,77327,2464,0,0,1655,2507,60638,7.07,132,1868,70786,67129,948,22306,115672,1786
Uttarakhand,Nainital,74,2283,251958,9670,88,0,12411,12197,169906,0.86,126,14694,219316,202399,923,76978,345052,10894
West Bengal,Alipurduar District,6,2264,252734,10724,0,0,3592,3523,91491,2.46,144,5856,194098,150066,773,78237,266122,3089
West Bengal,Bankura,20,2060,342502,17579,1,0,1421,5095,133563,3.99,139,3481,281865,194169,689,134605,341460,3445
West Bengal,Basirhat HD (North 24 Parganas),1108,327,382174,16213,226,0,223,4394,95802,12.73,70,550,256582,221353,863,117692,360284,3795
West Bengal,Birbhum,185,4724,339174,14739,749,150,8856,6709,132110,3.02,410,13580,257434,213776,830,104269,367188,6577
West Bengal,Bishnupur HD (Bankura),1350,1885,147469,7166,0,0,3085,2292,56378,2.41,120,4970,120574,83261,691,49577,154271,2376
West Bengal,Dakshin Dinajpur,1,3961,274741,11897,0,0,2121,4173,102201,1.94,118,6082,200893,175977,876,95003,281939,2498
West Bengal,Darjeeling,10,6350,399065,17716,0,0,7073,7829,188127,2.88,387,13423,310609,276387,890,137243,449951,5940
West Bengal,Diamond Harbor HD (S 24 Parganas),59,10926,529640,26105,23,0,7619,6194,141978,2.51,465,18545,364348,307182,843,163508,508378,8979
West Bengal,East Bardhaman,1,3814,752959,33210,0,0,5081,8542,195112,2.19,195,8895,528799,419194,793,242286,705786,7140
West Bengal,Hoogly,0,13511,1035836,47407,0,0,3785,11088,272794,2.16,374,17296,714659,593816,831,351958,956675,8216
West Bengal,Howrah,0,7111,778912,33773,0,0,16649,17907,306932,2.31,550,23760,615730,469982,763,239311,846533,17492
West Bengal,Jalpaiguri,0,2610,235124,8347,0,0,3810,5084,121136,2.49,160,6420,209313,146882,702,70694,285566,3332
West Bengal,Jhargram,20,4483,117688,6030,0,0,1936,3111,68246,2.35,151,6419,116986,68928,589,41416,144518,3225
West Bengal,Kalimpong,303,688,89134,4204,0,0,1140,1505,31795,2.84,52,1828,60212,60700,1008,30674,90332,1337
West Bengal,Kolkata,1360,26245,1914783,80361,1790,1790,41648,45278,1112046,2.19,1487,67893,1735207,1291131,744,576824,2450006,43236
West Bengal,Malda,4464,6900,445751,18625,0,0,4495,7328,179170,4.08,465,11395,340551,284229,835,138153,486865,6231
West Bengal,Murshidabad,314,2344,743416,31733,0,0,3448,14357,287483,1.35,78,5792,553470,477299,862,244318,786581,11187
West Bengal,Nadia,2,12047,671977,29918,0,0,4985,8575,208705,1.93,328,17032,503714,376860,748,201368,679314,9726
West Bengal,Nandigram HD (East Medinipore),22,7290,437004,16854,11,0,12149,7081,116135,3.61,701,19439,306714,246369,803,122122,431073,6496
West Bengal,North 24 Parganas,452,17272,1319356,53400,325,264,21259,23797,685124,2.67,1029,38531,1137750,866499,762,364837,1639731,25090
West Bengal,Paschim Medinipore,3,4641,663386,28053,0,0,3498,9521,216210,4.56,371,8139,522419,357096,684,205376,674220,8235
West Bengal,Purba Medinipore,21,3088,619619,28009,0,0,9447,8469,175653,2.19,275,12535,448468,346731,773,201213,594060,7733
West Bengal,Purulia,1696,7558,326411,14179,0,0,641,4674,133420,4.39,360,8200,271252,188529,695,100155,360089,4604
West Bengal,Rampurhat HD (Birbhum),2051,568,216868,7385,6,0,3528,4807,86066,3.27,134,4096,162674,140224,862,55500,247606,4287
West Bengal,South 24 Parganas,144,14769,838561,40618,7,0,9712,10260,239330,2.94,719,24481,572762,504961,882,258889,819149,13915
West Bengal,Uttar Dinajpur,1751,878,272799,10915,42,0,13233,7629,153026,2.26,319,14111,234954,190765,812,89969,336203,5740
West Bengal,West Bardhaman,1213,6213,376244,15961,979,979,4498,7835,213238,2.95,316,10714,360122,229287,637,119002,470537,6804
Assam,Hojai,0,1708,120694,5912,0,0,4092,5977,69376,3.97,230,5800,101910,88127,865,38023,152047,6458
Assam,Biswanath,0,994,84707,2904,5,0,2823,5452,64107,2.17,83,3817,78276,70511,901,21620,127194,5267
Assam,Charaideo,0,789,53457,1802,0,0,2639,2925,34954,2.1,72,3428,48174,40218,835,12892,75586,2895
Assam,Majuli,88,130,41640,1331,10,0,1405,2125,25530,0.98,15,1535,35519,31642,891,11406,55774,1827
Assam,South Salmara Mankachar,3746,618,19465,936,4084,0,1246,1920,22906,1.93,36,1864,25230,17138,679,4207,38164,2255
Assam,West Karbi Anglong,6499,722,22187,1054,6696,0,1850,1493,19978,3.03,78,2572,24469,17692,723,7926,34535,1457
Gujarat,Ahmedabad Corporation,213,11625,1343141,57003,0,0,21425,44701,1453940,2.3,760,33050,1586985,1209735,762,511498,2285583,28632
Gujarat,Bhavnagar Corporation,0,1083,158731,7868,20,20,2373,5497,151613,3.01,104,3456,167021,143288,858,76938,233407,2374
Gujarat,Gandhinagar Corporation,132,1377,104969,5615,112,98,1775,5392,174319,1.84,58,3152,160674,118560,738,53742,225546,3329
Gujarat,Jamnagar Corporation,105,1585,152295,6498,0,0,2062,3598,167210,3.92,143,3647,170601,148858,873,57447,262058,1890
Gujarat,Junagadh Corporation,0,1543,88711,4442,0,0,1946,2280,56637,4.04,141,3489,76532,68790,899,34985,110364,1724
Gujarat,Rajkot Corporation,79,3894,392141,18098,28,0,6523,10605,468413,2.52,263,10417,477119,383309,803,171023,689531,4272
Gujarat,Surat Corporation,2392,9641,965259,43843,2488,2488,17192,36641,1043065,1.85,497,26833,1185279,822781,694,380185,1628139,26171
Gujarat,Vadodara Corporation,54,3094,571519,25263,8,8,4967,12353,580536,3.96,319,8061,620563,531317,856,216307,935748,6714
Tamil Nadu,Cheyyar,0,1585,53319,2753,0,0,2448,2874,60040,2.65,107,4033,58538,54811,936,13882,99752,3683
Tamil Nadu,Aranthangi,0,1025,57344,2251,0,0,1703,1865,40714,4.84,132,2728,51275,46762,912,11438,86872,2517
Tamil Nadu,Kovilpatti,400,1448,63452,2807,398,0,2223,2475,48822,0.79,29,3671,52234,60028,1149,14043,98231,3276
Tamil Nadu,Ranipet,1461,1227,74935,3057,1,0,3190,3552,81371,4.82,213,4417,91368,64918,711,20269,136097,3722
West Bengal,COOCHBEHAR,302,3475,340359,14694,259,0,5479,4591,130606,1.97,176,8954,273573,197333,721,106607,364517,4078
