state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,0,28719,2,0,0,19,3,3730,5.26,1,19,17206,15241,886,3289
Andaman & Nicobar,South Andaman,0,52,55309,59,0,0,172,345,16778,11.61,26,224,39192,32891,839,10096
Andaman & Nicobar,Nicobar,0,0,7651,0,0,0,20,3,1017,0,0,20,4561,4107,900,1906
Andhra Pradesh,Krishna,8,21847,681640,12815,0,0,18592,5901,159289,2.8,1131,40439,430296,410740,955,252625
Andhra Pradesh,Guntur,0,18975,635583,9961,0,0,11879,3708,153646,1.87,576,30854,410131,379182,925,225063
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,10,490600,4495,0,0,0,311,57508,0,0,10,271572,276513,1018,177956
Andhra Pradesh,Kurnool,0,1174,506840,4959,0,0,277,471,71128,4.76,69,1451,283669,294316,1038,178299
Andhra Pradesh,Visakhapatnam,0,1275,617934,9593,0,0,8635,8530,227759,1.61,160,9910,447052,398862,892,229211
Andhra Pradesh,Anantapur,0,2669,555572,4354,0,0,235,250,74686,2.62,76,2904,320647,309426,965,200292
Andhra Pradesh,Chittoor,8,444,636748,5674,5,5,306,869,111479,9.33,70,750,370626,377645,1019,232801
Andhra Pradesh,East Godavari,0,14493,710275,13937,0,0,1463,992,126035,1.4,224,15956,440682,395674,898,254396
Andhra Pradesh,Prakasam,0,11156,530435,10128,0,0,1565,868,78685,1.09,139,12721,308836,300248,972,193355
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,9371,513576,6705,0,0,7857,2010,87352,2.22,382,17228,298582,302349,1013,197680
Andhra Pradesh,Srikakulam,0,0,451564,5849,0,0,518,497,57582,0.39,2,518,246476,262668,1066,127215
Andhra Pradesh,Vizianagaram,0,0,358259,2746,0,0,3,898,52832,233.33,7,3,199747,211333,1058,110831
Andhra Pradesh,West Godavari,0,31892,616630,16673,0,0,1843,1141,71089,1.05,355,33735,341559,346234,1014,217156
Arunachal Pradesh,Itanagar Capital Complex,0,77,18507,190,0,0,115,1533,34950,19.79,38,192,30626,22831,745,7655
Arunachal Pradesh,Lower Siang,0,26,3937,5,0,0,5,131,2083,29.03,9,31,3167,2853,901,1099
Arunachal Pradesh,Pakke Kessang,0,0,2988,9,0,0,17,41,1493,17.65,3,17,2333,2145,919,1386
Arunachal Pradesh,Changlang,0,409,16612,127,0,0,65,560,11703,5.49,26,474,16241,12074,743,4559
Arunachal Pradesh,Kurung Kumey,0,0,2476,5,0,0,0,20,2235,0,0,0,2232,2417,1083,1942
Arunachal Pradesh,Anjaw,0,158,2711,87,0,0,185,44,1762,7.87,27,343,2383,2094,879,1252
Arunachal Pradesh,East Kameng,0,136,6710,113,0,0,20,151,3611,21.79,34,156,5373,4946,921,1853
Arunachal Pradesh,Kamle,0,0,1560,5,0,0,27,10,812,11.11,3,27,1290,1083,840,537
Arunachal Pradesh,Dibang Valley,0,0,914,16,0,0,0,8,1081,0,0,0,1178,817,694,877
Arunachal Pradesh,Tirap,0,298,4704,99,0,0,272,187,4465,5.26,30,570,5573,3595,645,2570
Arunachal Pradesh,Kra Daadi,0,4,1562,15,0,0,36,22,1517,0,0,40,1607,1474,917,728
Arunachal Pradesh,West Kameng,0,89,12523,68,0,0,736,355,8800,6.67,55,825,12128,9197,758,6756
Arunachal Pradesh,Lohit,0,8,5754,21,0,0,291,219,4338,3.68,11,299,5969,4119,690,2029
Arunachal Pradesh,Tawang,0,8,7741,45,0,0,410,406,6956,2.87,12,418,7767,6924,891,4247
Arunachal Pradesh,Lower Dibang Valley,0,37,6725,14,0,0,469,308,5410,8.7,44,506,6459,5677,879,2570
Arunachal Pradesh,Lower Subansiri,0,98,6928,31,0,0,21,295,5343,9.24,11,119,6224,6047,972,4063
Arunachal Pradesh,Lepa Rada,0,31,3850,11,0,0,109,94,2317,0,0,140,3332,2835,851,2519
Arunachal Pradesh,Upper Siang,0,0,5644,9,0,0,120,139,3222,0,0,120,4609,4259,924,2673
Arunachal Pradesh,Shi Yomi,0,0,1962,0,0,0,0,31,926,0,0,0,1434,1454,1014,1434
Arunachal Pradesh,Namsai,0,251,14500,111,0,0,3,287,5881,14.17,36,254,11014,9372,851,4523
Arunachal Pradesh,Siang,0,0,4233,2,0,0,0,48,1529,0,0,0,2918,2843,974,1577
Arunachal Pradesh,West Siang,0,16,10216,18,0,0,6,332,5734,36.36,8,22,8380,7570,903,4151
Arunachal Pradesh,Papum Pare,0,140,7583,76,0,0,217,350,8702,12.04,43,357,10088,6198,614,4522
Arunachal Pradesh,Longding,100,133,2653,77,35,0,63,58,3408,12.24,24,196,4108,1956,476,1668
Arunachal Pradesh,Upper Subansiri,0,73,9066,112,138,0,114,118,4114,12.3,23,187,6804,6376,937,3122
Arunachal Pradesh,East Siang,0,40,14076,48,0,0,169,370,8274,14.83,31,209,11506,10843,942,8485
Assam,Dibrugarh,0,1538,137911,1103,0,0,166,1922,74375,3.87,66,1704,113685,98590,867,39091
Assam,Sivasagar,0,420,71610,352,0,0,334,273,18050,2.12,16,754,48530,41124,847,23300
Assam,Tinsukia,0,912,95872,1602,0,0,208,1877,41960,5.36,60,1120,75013,62801,837,23696
Assam,Baksa,0,255,49427,200,0,0,20,17,15926,23.64,65,275,35608,29741,835,13582
Assam,Barpeta,6,2255,131041,396,0,0,222,19,31104,3.35,83,2477,84887,77245,910,71177
Assam,Darrang,0,308,72052,575,0,0,217,76,24739,6.67,35,525,53493,43285,809,23292
Assam,Kamrup Metropolitan,0,1054,251834,1210,0,0,2122,4024,235693,7.05,224,3176,275528,212115,770,94352
Assam,Kamrup Rural,133,1360,189521,2866,46,46,147,177,52875,8.16,123,1507,129788,112574,867,50149
Assam,Karbi-Anglong,0,231,38443,204,0,0,55,72,19180,8.39,24,286,32585,25038,768,14757
Assam,Nalbari,0,212,59309,498,0,0,19,22,17589,16.88,39,231,42872,34013,793,15818
Assam,Golaghat,0,66,83499,609,0,0,13,47,25737,1.27,1,79,60365,48858,809,25955
Assam,Jorhat,0,1582,95502,744,0,0,251,118,32045,3.66,67,1833,69073,58465,846,28438
Assam,Morigaon,0,0,68470,473,0,0,9,22,17775,11.11,1,9,43681,42556,974,17472
Assam,Nagaon,0,1159,134421,854,0,0,3141,2054,54194,3.02,130,4300,96930,91672,946,41502
Assam,Bongaigaon,0,125,59152,260,0,0,93,60,24971,28.44,62,218,44848,39267,876,23665
Assam,Chirang,72,160,28311,263,0,0,23,54,14721,9.29,17,183,25123,17905,713,13352
Assam,Dhubri,9,250,75591,127,0,0,315,94,23608,2.65,15,565,54749,44438,812,29536
Assam,Goalpara,396,75,55806,100,0,0,22,13,27751,34.02,33,97,43803,39718,907,21831
Assam,Kokrajhar,0,53,49745,317,0,0,13,72,24358,66.67,44,66,42187,31914,756,19662
Assam,Dhemaji,0,266,65311,130,0,0,89,53,21477,4.23,15,355,43909,42865,976,19232
Assam,Lakhimpur,0,475,82587,964,0,0,34,12,24554,2.16,11,509,56284,50848,903,28637
Assam,Sonitpur,43,684,103121,353,0,0,723,1819,48720,5.9,83,1407,80559,71276,885,53315
Assam,Udalguri,0,176,48253,322,0,0,35,75,19233,4.27,9,211,36711,30764,838,16148
Assam,Cachar,0,4182,114662,2252,0,0,9722,5058,73566,1.12,156,13904,98930,89295,903,36380
Assam,Dima Hasao,268,9,19871,27,0,0,3,8,10101,66.67,8,12,17867,12098,677,9404
Assam,Hailakandi,0,203,51517,361,0,0,5,35,20334,10.58,22,208,39607,32240,814,16851
Assam,Karimganj,0,414,65884,354,0,0,48,121,26701,8.23,38,462,50961,41614,817,23220
Bihar,Madhepura,0,376,122252,282,48,0,356,703,45117,7.92,58,732,92390,74979,812,28117
